,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,15300,14650,15300,14800,6028700,12200
1,22/11/2022,15200,14600,15000,14650,2630900,12100
2,23/11/2022,15000,14600,15000,14650,1809500,12100
3,24/11/2022,14900,14400,14900,14800,1397500,12200
4,25/11/2022,14950,14750,14950,14950,945600,12300
5,28/11/2022,15550,15000,15000,15450,2203900,12800
6,29/11/2022,15750,15000,15500,15450,1864100,12800
7,30/11/2022,15750,15150,15500,15550,2034700,12800
8,01/12/2022,16150,15650,16000,15950,3244400,13200
9,02/12/2022,16500,16100,16100,16500,2276600,13600
10,05/12/2022,17150,16650,17100,16950,3911000,14000
11,06/12/2022,17450,16400,17450,16400,5460300,13500
12,07/12/2022,16500,15850,16350,15900,1569900,13100
13,08/12/2022,16750,16200,16300,16500,5321800,13600
14,09/12/2022,17000,16500,17000,16800,2878900,13900
15,12/12/2022,17150,16200,17150,16200,4325500,13400
16,13/12/2022,16800,16100,16800,16450,5763200,13600
17,14/12/2022,16650,16400,16650,16450,2876800,13600
18,15/12/2022,16800,16450,16700,16750,5372600,13800
19,16/12/2022,17450,16750,16750,17300,6009700,14300
20,19/12/2022,17900,17350,17500,17350,4821600,14300
21,20/12/2022,17500,16350,17400,16650,6344800,13700
22,21/12/2022,17000,16500,17000,16800,2318900,13900
23,22/12/2022,17150,16700,17000,16850,2644200,13900
24,23/12/2022,17000,16750,16900,17000,3772300,14000
25,26/12/2022,17200,16150,17000,16250,5865400,13400
26,27/12/2022,16500,16200,16400,16350,2247000,13500
27,28/12/2022,16500,16000,16400,16200,1580400,13400
28,29/12/2022,16400,15900,15950,15900,1361200,13100
29,30/12/2022,15950,15650,15900,15950,6461800,13200
30,03/01/2023,16500,15900,16100,16500,3956900,13600
31,04/01/2023,16800,16350,16800,16350,2554700,13500
32,05/01/2023,16500,16300,16400,16400,2987600,13500
33,06/01/2023,16900,16350,16400,16450,8679400,13600
34,09/01/2023,16850,16550,16600,16750,1519200,13800
35,10/01/2023,16850,16500,16850,16750,2218300,13800
36,11/01/2023,16900,16600,16750,16700,4380800,13800
37,12/01/2023,16900,16600,16700,16600,3679800,13700
38,13/01/2023,16950,16600,16800,16650,2104100,13700
39,16/01/2023,17000,16700,16850,16900,2829200,14000
40,17/01/2023,17250,17000,17100,17250,1944400,14200
41,18/01/2023,17750,17250,17400,17450,2425400,14400
42,19/01/2023,17800,17400,17600,17500,4525600,14500
43,27/01/2023,18000,17650,17950,17700,1546900,14600
44,30/01/2023,18300,17700,17900,18250,4061000,15100
45,31/01/2023,18650,18050,18250,18650,7304500,15400
46,01/02/2023,19500,18700,18700,19000,5421700,15700
47,02/02/2023,19050,18350,19000,18350,2513300,15200
48,03/02/2023,18550,17800,18500,18550,10697300,15300
49,06/02/2023,18500,18050,18300,18500,2209800,15300
50,07/02/2023,18600,18000,18500,18000,2236800,14900
51,08/02/2023,18400,17700,17800,18300,14223900,15100
52,09/02/2023,18450,17800,18300,18200,2289800,15000
53,10/02/2023,18300,17900,18000,18150,1596100,15000
54,13/02/2023,18050,17450,18000,18050,2384400,14900
55,14/02/2023,18200,17650,18000,17650,1486800,14600
56,15/02/2023,18050,17600,17650,17800,1811500,14700
57,16/02/2023,18500,17750,17750,18500,2971500,15300
58,17/02/2023,18450,18100,18250,18450,1997300,15200
59,20/02/2023,18800,18300,18450,18800,2806900,15500
60,21/02/2023,19000,18600,18800,19000,3492800,15700
61,22/02/2023,19000,18500,18900,18500,1912300,15300
62,23/02/2023,18350,17600,18350,18050,2996200,14900
63,24/02/2023,18200,17500,17850,17500,1578400,14500
64,27/02/2023,17500,16900,17500,16900,7281100,14000
65,28/02/2023,17450,17000,17000,17050,4278400,14100
66,01/03/2023,17800,16650,17050,17700,5243500,14600
67,02/03/2023,18000,17550,17600,18000,1843400,14900
68,03/03/2023,18050,17400,18000,17800,1240100,14700
69,06/03/2023,18250,17500,17850,18000,3111700,14900
70,07/03/2023,18600,17900,17900,18500,6587700,15300
71,08/03/2023,18600,18000,18000,18600,3426981,15400
72,09/03/2023,18700,18200,18500,18500,1197800,15300
73,10/03/2023,18500,18050,18200,18500,1956300,15300
74,13/03/2023,18600,18100,18200,18450,2748900,15200
75,14/03/2023,18450,18050,18150,18050,1783200,14900
76,15/03/2023,18700,18250,18250,18500,2758500,15300
77,16/03/2023,18700,17600,18500,17850,2118500,14700
78,17/03/2023,18500,17900,18200,18500,2990200,15300
79,20/03/2023,18150,17600,18100,17800,2908600,14700
80,21/03/2023,18000,17350,18000,17400,5107700,14400
81,22/03/2023,17800,17400,17700,17650,3366300,14600
82,23/03/2023,17750,17500,17650,17650,1840000,14600
83,24/03/2023,18200,17700,17700,18050,1377400,14900
84,27/03/2023,18250,17900,18200,18200,1265000,15000
85,28/03/2023,18300,17950,18200,18150,2388100,15000
86,29/03/2023,18350,18050,18200,18100,1189700,14900
87,30/03/2023,18900,18300,18300,18700,8521600,15400
88,31/03/2023,19400,18700,18700,19250,6818700,15900
89,03/04/2023,19500,19000,19450,19350,3952500,16000
90,04/04/2023,19300,19050,19200,19150,2694600,15800
91,05/04/2023,19700,19200,19300,19700,10575400,16300
92,06/04/2023,20100,19550,19700,19650,6462200,16200
93,07/04/2023,19650,19200,19500,19450,2687600,16100
94,10/04/2023,19750,19500,19500,19700,5370900,16300
95,11/04/2023,19700,19300,19600,19550,8561800,16100
96,12/04/2023,19700,19550,19550,19650,3612300,16200
97,13/04/2023,19700,19300,19650,19700,2786000,16300
98,14/04/2023,19750,19500,19750,19500,2385600,16100
