,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,8780,8420,8420,8640,256200,8400
1,22/11/2022,9110,8630,8640,8980,612600,8700
2,23/11/2022,9010,8720,9000,8740,288100,8400
3,24/11/2022,8720,8460,8510,8580,239700,8300
4,25/11/2022,8850,8710,8780,8810,210200,8500
5,28/11/2022,9420,8870,8870,9420,833600,9100
6,29/11/2022,10050,9600,9890,10000,868700,9700
7,30/11/2022,10350,9800,9800,10200,783400,9900
8,01/12/2022,10600,10150,10150,10250,688300,9900
9,02/12/2022,10300,9970,10050,10300,440500,10000
10,05/12/2022,10700,10300,10700,10500,471200,10200
11,06/12/2022,10700,10250,10500,10250,1112200,9900
12,07/12/2022,10250,10000,10050,10050,410500,9700
13,08/12/2022,10550,10050,10050,10300,353700,10000
14,09/12/2022,10800,10150,10300,10800,707400,10400
15,12/12/2022,11300,10800,11000,11000,638200,10600
16,13/12/2022,11000,10400,11000,10800,424200,10400
17,14/12/2022,11150,10600,10950,10650,478200,10300
18,15/12/2022,10750,10600,10750,10700,161900,10300
19,16/12/2022,11100,10400,10650,10950,810900,10600
20,19/12/2022,11350,10950,11100,11100,786100,10700
21,20/12/2022,11100,10350,11000,10350,1280800,10000
22,21/12/2022,10600,9960,10400,10400,539700,10100
23,22/12/2022,10700,10150,10650,10250,185500,9900
24,23/12/2022,10350,10000,10250,10250,153700,9900
25,26/12/2022,10300,9800,10250,9850,374100,9500
26,27/12/2022,10400,9650,9650,10200,382800,9900
27,28/12/2022,10600,10050,10500,10450,214000,10100
28,29/12/2022,10550,10250,10250,10300,130600,10000
29,30/12/2022,10500,10250,10500,10350,235300,10000
30,03/01/2023,11050,10400,10400,11050,662100,10700
31,04/01/2023,11700,11100,11600,11400,845100,11000
32,05/01/2023,11700,11300,11450,11450,494000,11100
33,06/01/2023,11600,10900,11400,11100,443200,10700
34,09/01/2023,11400,10950,11100,10950,365200,10600
35,10/01/2023,11700,11100,11100,11700,1461700,11300
36,11/01/2023,12500,12000,12500,12400,1200400,12000
37,12/01/2023,13100,12400,12500,13100,1783500,12700
38,13/01/2023,13450,12500,13300,12900,1942600,12500
39,16/01/2023,13350,12900,12900,13350,1048000,12900
40,17/01/2023,13800,13050,13450,13450,1310700,13000
41,18/01/2023,13950,12950,13950,13050,1409500,12600
42,19/01/2023,13800,12850,13100,13300,1216500,12900
43,27/01/2023,13900,13350,13350,13650,915500,13200
44,30/01/2023,14100,13700,13700,13800,1835300,13300
45,31/01/2023,14350,13500,13750,14350,1172500,13900
46,01/02/2023,14400,13350,14350,13350,1223700,12900
47,02/02/2023,13500,12800,13200,13200,880600,12800
48,03/02/2023,13800,13200,13300,13700,647700,13200
49,06/02/2023,13750,13000,13550,13400,346600,13000
50,07/02/2023,13600,12500,13550,13000,807300,12600
51,08/02/2023,13350,12150,13250,13200,566800,12800
52,09/02/2023,13500,13000,13300,13100,493600,12700
53,10/02/2023,13750,13100,13100,13450,868400,13000
54,13/02/2023,14300,13100,13400,14300,2257700,13800
55,14/02/2023,14500,13750,14500,14050,904800,13600
56,15/02/2023,15000,13950,14050,14950,2425700,14500
57,16/02/2023,15050,14600,15050,15000,1359100,14500
58,17/02/2023,15300,14650,15050,14800,1123900,14300
59,20/02/2023,15500,14800,14900,15450,2139500,14900
60,21/02/2023,15700,15000,15500,15000,1312500,14500
61,22/02/2023,15350,14100,14600,14100,2138300,13600
62,23/02/2023,15050,14050,14200,15050,1688800,14500
63,24/02/2023,15700,15000,15300,15050,1331300,14500
64,27/02/2023,15250,14550,14600,14650,1059500,14200
65,28/02/2023,15000,14000,14900,14000,1164300,13500
66,01/03/2023,14650,14000,14000,14600,838300,14100
67,02/03/2023,14800,14400,14500,14450,513100,14000
68,03/03/2023,15000,14400,14500,14650,1637500,14200
69,06/03/2023,15150,14600,15000,14650,667000,14200
70,07/03/2023,15500,14600,14650,15400,2010400,14900
71,08/03/2023,15650,15200,15200,15600,1410400,15100
72,09/03/2023,15800,15400,15600,15400,1847600,14900
73,10/03/2023,15300,14850,15150,14900,1884100,14400
74,13/03/2023,15200,14700,14700,14900,1038100,14400
75,14/03/2023,15100,14200,14900,14350,1709800,13900
76,15/03/2023,15100,14500,14950,15100,876300,14600
77,16/03/2023,15000,14750,15000,14800,696200,14300
78,17/03/2023,15000,14700,15000,14800,406700,14300
79,20/03/2023,15200,14600,14650,14600,846100,14100
80,21/03/2023,15050,14500,15050,14850,569400,14400
81,22/03/2023,15600,14900,14950,15300,2549000,14800
82,23/03/2023,15650,15150,15300,15450,1124600,14900
83,24/03/2023,15650,15050,15600,15200,1387300,14700
84,27/03/2023,15400,15100,15300,15400,1019100,14900
85,28/03/2023,15950,15300,15600,15300,2510700,14800
86,29/03/2023,15850,15300,15300,15550,1205000,15000
87,30/03/2023,15750,15200,15700,15350,1401000,14800
88,31/03/2023,15400,15100,15350,15100,1408300,14600
89,03/04/2023,15550,15050,15250,15550,1415600,15000
90,04/04/2023,15800,15450,15650,15600,1895100,15100
91,05/04/2023,15600,15200,15500,15450,1339600,14900
92,06/04/2023,15750,15300,15400,15350,1578700,14800
93,07/04/2023,15400,15150,15300,15400,902600,14900
94,10/04/2023,15450,14700,15300,14700,2378500,14200
95,11/04/2023,14800,14500,14500,14750,1172400,14300
96,12/04/2023,14900,14600,14850,14650,607500,14200
97,13/04/2023,14800,14550,14650,14600,449600,14100
98,14/04/2023,14750,14500,14650,14500,610000,14000
99,17/04/2023,14700,14450,14500,14700,192100,14200
100,18/04/2023,14900,14600,14750,14800,740600,14300
101,19/04/2023,14950,14600,14950,14600,380200,14100
102,20/04/2023,14750,14500,14500,14550,597000,14100
103,21/04/2023,14400,13900,14300,14050,2016900,13600
104,24/04/2023,14050,13650,13750,13700,869800,13200
105,25/04/2023,14000,13600,13950,13600,568600,13100
106,26/04/2023,13700,13450,13700,13550,653000,13100
107,27/04/2023,13900,13550,13550,13550,472000,13100
108,28/04/2023,13800,13600,13600,13750,321800,13300
109,04/05/2023,14150,13650,13650,14150,972100,13700
110,05/05/2023,14150,13850,14100,14150,497400,13700
111,08/05/2023,14200,14000,14150,14050,304400,13600
112,09/05/2023,14250,14000,14100,14050,314500,13600
113,10/05/2023,14150,13950,14150,14100,491600,13600
114,11/05/2023,14400,14200,14200,14250,625000,13800
115,12/05/2023,14650,14100,14250,14450,814200,14000
116,15/05/2023,14600,14100,14500,14200,480700,13700
117,16/05/2023,14450,14100,14450,14200,540200,13700
118,17/05/2023,14350,14050,14350,14050,394000,13600
119,18/05/2023,14150,13800,14100,13800,743000,13300
120,19/05/2023,13900,13600,13850,13800,442900,13300
121,22/05/2023,14450,13800,13800,14400,925400,13900
122,23/05/2023,14550,14150,14550,14200,468900,13700
123,24/05/2023,14350,14100,14250,14250,695600,13800
124,25/05/2023,14600,14050,14050,14350,875900,13900
125,26/05/2023,14550,14300,14400,14350,704600,13900
126,29/05/2023,14600,14350,14550,14600,1283800,14100
127,30/05/2023,15250,14600,14800,15200,2415900,14700
128,31/05/2023,15400,15000,15400,15100,1125900,14600
129,01/06/2023,15100,14850,15050,15000,1050600,14500
130,02/06/2023,15400,14850,15100,15050,1803000,14500
131,05/06/2023,15200,14950,15050,15050,817400,14500
132,06/06/2023,15200,14850,15000,15050,872500,14500
133,07/06/2023,15600,15150,15150,15600,2035900,15100
134,08/06/2023,15600,15150,15500,15150,954600,14600
135,09/06/2023,15200,14800,15150,15000,1274400,14500
136,12/06/2023,15150,14900,15000,15150,574400,14600
137,13/06/2023,15250,15050,15200,15050,410300,14500
138,14/06/2023,15200,14850,15200,14900,492300,14400
139,15/06/2023,14900,14650,14850,14700,633800,14200
140,16/06/2023,15050,14700,14700,14700,942700,14200
141,19/06/2023,15000,14550,14950,14850,741200,14400
142,20/06/2023,15250,14850,14950,15200,836100,14700
143,21/06/2023,16250,15000,15300,16250,4854100,15700
144,22/06/2023,16500,16100,16500,16250,1188900,15700
145,23/06/2023,16500,16050,16300,16200,2257000,15700
146,26/06/2023,16300,15700,16300,16300,2024600,15800
147,27/06/2023,16700,16250,16500,16450,1288500,15900
148,28/06/2023,16500,16250,16500,16300,732600,15800
149,29/06/2023,16800,16000,16300,16200,1851200,15700
150,30/06/2023,16200,15950,16100,16200,820500,15700
151,03/07/2023,16750,16250,16300,16300,979900,15800
152,04/07/2023,16500,16100,16500,16400,1101700,15900
153,05/07/2023,17200,16650,16650,17000,2569000,16400
154,06/07/2023,16900,16500,16900,16700,1142800,16100
155,07/07/2023,17200,16500,16700,17200,1084300,16600
156,10/07/2023,17300,16850,17200,17200,1409500,16600
157,11/07/2023,17300,16700,17250,16750,2163500,16200
158,12/07/2023,17000,16600,16800,16750,819600,16200
159,13/07/2023,16950,16450,16950,16600,1646700,16000
