,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,26500,25100,25500,25500,28201,19000
1,22/11/2022,26800,25600,25600,26200,31432,19500
2,23/11/2022,26200,25000,26200,25000,8001,18600
3,24/11/2022,26600,25100,25200,25200,45301,18800
4,25/11/2022,26400,25700,26200,26200,16741,19500
5,28/11/2022,26800,26000,26200,26800,30180,20000
6,29/11/2022,27000,25000,26500,25800,42628,19200
7,30/11/2022,26800,25600,25600,26700,42890,19900
8,01/12/2022,27700,26500,27000,27000,38491,20100
9,02/12/2022,27000,26200,26500,27000,20443,20100
10,05/12/2022,27500,26600,27500,26700,6210,19900
11,06/12/2022,26400,25900,26200,26100,23209,19500
12,07/12/2022,26000,25800,25800,25900,6600,19300
13,08/12/2022,27300,26000,26000,27300,26724,20400
14,09/12/2022,27800,27100,27300,27500,46972,20500
15,12/12/2022,28300,27300,28100,28100,25400,21000
16,13/12/2022,28300,26900,28300,27800,24321,20700
17,14/12/2022,28000,27000,28000,27500,20700,20500
18,15/12/2022,27200,26500,27200,27200,30127,20300
19,16/12/2022,27300,27000,27000,27200,5401,20300
20,19/12/2022,27700,26500,27700,27500,22757,20500
21,20/12/2022,26900,26300,26900,26500,26500,19800
22,21/12/2022,27500,26500,26600,27000,22219,20100
23,22/12/2022,26800,26600,26800,26600,5457,19800
24,23/12/2022,27100,26600,27000,27000,15790,20100
25,26/12/2022,27000,26000,27000,26200,48800,19500
26,27/12/2022,26500,25700,26500,26500,31908,19800
27,28/12/2022,27000,26300,26300,26900,7900,20100
28,29/12/2022,27500,27000,27200,27500,19534,20500
29,30/12/2022,27500,27200,27300,27400,20402,20400
30,03/01/2023,29600,27400,27500,29400,74050,21900
31,04/01/2023,31000,29300,29300,29900,78674,22300
32,05/01/2023,30600,29800,30600,29900,24325,22300
33,06/01/2023,30600,29900,30600,30400,35801,22700
34,09/01/2023,31200,30500,30500,30900,43800,23000
35,10/01/2023,31000,30800,31000,30900,20882,23000
36,11/01/2023,31700,30900,30900,31700,14750,23600
37,12/01/2023,35200,31800,31800,34800,76062,26000
38,13/01/2023,35000,34400,34700,34400,25935,25700
39,16/01/2023,34800,33000,34600,33000,38681,24600
40,17/01/2023,33200,32000,33200,33000,59431,24600
41,18/01/2023,34900,33900,33900,34300,17300,25600
42,19/01/2023,35800,34800,34800,35400,44000,26400
43,27/01/2023,36000,35000,35000,35300,8670,26300
44,30/01/2023,37100,35200,36000,37000,40948,27600
45,31/01/2023,40000,37500,38500,38000,27128,28300
46,01/02/2023,38300,36100,38300,36600,41968,27300
47,02/02/2023,36700,35400,36600,35600,36498,26600
48,03/02/2023,36800,35700,36800,36000,40708,26900
49,06/02/2023,36000,35200,35500,35300,31321,26300
50,07/02/2023,35500,34200,35500,34300,17625,25600
51,08/02/2023,34700,33500,34700,34000,24203,25400
52,09/02/2023,34700,34000,34000,34100,9726,25400
53,10/02/2023,34700,33500,34300,33600,25100,25100
54,13/02/2023,33300,32800,33200,32800,13302,24500
55,14/02/2023,33700,32000,33700,32500,14800,24200
56,15/02/2023,33900,33000,33000,33800,25100,25200
57,16/02/2023,34200,33300,33700,33400,19100,24900
58,17/02/2023,34200,33600,33600,33800,2895,25200
59,20/02/2023,34700,33900,33900,34500,7287,25700
60,21/02/2023,35400,34500,34700,34800,24957,26000
61,22/02/2023,35100,34100,34800,34100,15610,25400
62,23/02/2023,34200,33800,34000,34200,4428,25500
63,24/02/2023,34300,33500,34300,33600,10737,25100
64,27/02/2023,33900,33000,33500,33000,8820,24600
65,28/02/2023,33500,32900,33500,33200,9816,24800
66,01/03/2023,34300,33200,33200,34300,12870,25600
67,02/03/2023,34200,33900,34100,33900,8635,25300
68,03/03/2023,34700,34100,34100,34100,7100,25400
69,06/03/2023,34500,34200,34500,34200,1800,25500
70,07/03/2023,34500,34000,34100,34500,7127,25700
71,08/03/2023,34000,33900,33900,34000,1410,25400
72,09/03/2023,34200,34100,34200,34200,5713,25500
73,10/03/2023,34100,33900,34100,34000,10519,25400
74,13/03/2023,34200,33500,34000,34000,12072,25400
75,14/03/2023,34100,33700,33700,34000,17600,25400
76,15/03/2023,34800,34000,34000,34700,7016,25900
77,16/03/2023,34500,34000,34200,34000,12213,25400
78,17/03/2023,34500,34300,34300,34500,10400,25700
79,20/03/2023,34500,33800,34300,34200,15620,25500
80,21/03/2023,34500,34100,34200,34200,16137,25500
81,22/03/2023,34700,34100,34100,34600,3621,25800
82,23/03/2023,34500,34200,34300,34300,4811,25600
83,24/03/2023,35500,34200,34300,35500,22342,26500
84,27/03/2023,37900,35400,35400,37900,54310,28300
85,28/03/2023,38700,36700,38500,37000,24974,27600
86,29/03/2023,36800,36000,36800,36600,16720,27300
87,30/03/2023,37600,36000,36600,36800,26261,27400
88,31/03/2023,37100,36300,36300,37100,21515,27700
89,03/04/2023,38000,37000,37000,37500,19400,28000
90,04/04/2023,37500,37000,37500,37300,21304,27800
91,05/04/2023,37400,37100,37100,37300,25376,27800
92,06/04/2023,38000,37300,37400,37800,38800,28200
93,07/04/2023,38000,37400,37600,37700,21747,28100
94,10/04/2023,38100,37400,38000,37900,30867,28300
95,11/04/2023,38000,37100,38000,37500,10362,28000
96,12/04/2023,37800,37000,37500,37200,30270,27700
97,13/04/2023,37800,36700,37500,37300,51934,27800
98,14/04/2023,37500,37100,37500,37100,4153,27700
99,17/04/2023,37200,36300,36900,36900,212425,27500
100,18/04/2023,37000,32000,33600,36800,27621,27400
101,19/04/2023,36900,36700,36800,36700,14606,27400
102,20/04/2023,37000,36400,36900,36800,17447,27400
103,21/04/2023,36900,36300,36900,36800,12501,27400
104,24/04/2023,36900,36500,36900,36700,15112,27400
105,25/04/2023,37600,36500,36700,37300,52502,27800
106,26/04/2023,37400,36500,37400,37300,11539,27800
107,27/04/2023,37400,37000,37300,37400,17801,27900
108,28/04/2023,37400,36800,37400,37200,30347,27700
109,04/05/2023,37400,36700,36700,37000,4481,27600
110,05/05/2023,37200,36000,37200,36700,59265,27400
111,08/05/2023,37200,36000,36600,37200,70628,27700
112,09/05/2023,38000,36700,37300,37800,55394,28200
113,10/05/2023,37500,37000,37500,37100,7720,27700
114,11/05/2023,37200,37000,37100,37200,9111,27700
115,12/05/2023,37800,37000,37000,37500,49135,28000
116,15/05/2023,37800,37200,37800,37200,26828,27700
117,16/05/2023,37400,37200,37400,37200,17333,27700
