,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,6670,6670,6670,6670,-,6700
1,22/11/2022,7130,6380,7130,6380,200,6400
2,23/11/2022,6820,5950,6820,6820,45500,6800
3,24/11/2022,6900,6900,6900,6900,1700,6900
4,25/11/2022,7370,7370,7370,7370,100,7400
5,28/11/2022,6900,6900,6900,6900,1100,6900
6,29/11/2022,6540,6540,6540,6540,100,6500
7,30/11/2022,6540,6540,6540,6540,-,6500
8,01/12/2022,6990,6960,6960,6990,1200,7000
9,02/12/2022,6990,6990,6990,6990,-,7000
10,05/12/2022,7470,7390,7470,7470,3600,7500
11,06/12/2022,7470,7470,7470,7470,-,7500
12,07/12/2022,7470,7470,7470,7470,-,7500
13,08/12/2022,7600,7600,7600,7600,100,7600
14,09/12/2022,7600,7600,7600,7600,-,7600
15,12/12/2022,8000,8000,8000,8000,100,8000
16,13/12/2022,8000,8000,8000,8000,-,8000
17,14/12/2022,8000,8000,8000,8000,-,8000
18,15/12/2022,8000,8000,8000,8000,-,8000
19,16/12/2022,8000,8000,8000,8000,-,8000
20,19/12/2022,7440,7440,7440,7440,10000,7400
21,20/12/2022,7960,7960,7960,7960,300,8000
22,21/12/2022,7960,7960,7960,7960,-,8000
23,22/12/2022,7410,7410,7410,7410,1000,7400
24,23/12/2022,7410,7410,7410,7410,-,7400
25,26/12/2022,7410,7410,7410,7410,-,7400
26,27/12/2022,7410,7410,7410,7410,-,7400
27,28/12/2022,7410,7410,7410,7410,-,7400
28,29/12/2022,7410,7410,7410,7410,-,7400
29,30/12/2022,7410,7410,7410,7410,-,7400
30,03/01/2023,7500,7300,7300,7500,3100,7500
31,04/01/2023,7500,7500,7500,7500,-,7500
32,05/01/2023,7500,7500,7500,7500,-,7500
33,06/01/2023,7500,7500,7500,7500,-,7500
34,09/01/2023,7500,7500,7500,7500,-,7500
35,10/01/2023,7500,7500,7500,7500,-,7500
36,11/01/2023,7800,7800,7800,7800,100,7800
37,12/01/2023,7960,7960,7960,7960,100,8000
38,13/01/2023,7410,7410,7410,7410,8000,7400
39,16/01/2023,7410,7410,7410,7410,-,7400
40,17/01/2023,7410,7410,7410,7410,-,7400
41,18/01/2023,7010,7000,7000,7000,14000,7000
42,19/01/2023,7000,7000,7000,7000,1000,7000
43,27/01/2023,7000,7000,7000,7000,-,7000
44,30/01/2023,7490,7490,7490,7490,100,7500
45,31/01/2023,7490,7490,7490,7490,-,7500
46,01/02/2023,8010,7550,8010,7560,2100,7600
47,02/02/2023,7560,7560,7560,7560,-,7600
48,03/02/2023,7560,7560,7560,7560,-,7600
49,06/02/2023,7560,7560,7560,7560,-,7600
50,07/02/2023,7560,7560,7560,7560,-,7600
51,08/02/2023,7560,7560,7560,7560,-,7600
52,09/02/2023,7560,7560,7560,7560,-,7600
53,10/02/2023,7560,7560,7560,7560,-,7600
54,13/02/2023,8000,8000,8000,8000,1600,8000
55,14/02/2023,8000,8000,8000,8000,-,8000
56,15/02/2023,8000,8000,8000,8000,-,8000
57,16/02/2023,8000,8000,8000,8000,-,8000
58,17/02/2023,7500,7440,7440,7500,5900,7500
59,20/02/2023,7500,7500,7500,7500,100,7500
60,21/02/2023,7500,7500,7500,7500,500,7500
61,22/02/2023,7500,7500,7500,7500,-,7500
62,23/02/2023,7500,7500,7500,7500,3500,7500
63,24/02/2023,7500,7400,7500,7400,2000,7400
64,27/02/2023,7400,7400,7400,7400,-,7400
65,28/02/2023,7400,7400,7400,7400,-,7400
66,01/03/2023,7400,7400,7400,7400,-,7400
67,02/03/2023,7400,7400,7400,7400,-,7400
68,03/03/2023,7400,7400,7400,7400,-,7400
69,06/03/2023,7400,7400,7400,7400,-,7400
70,07/03/2023,7400,7400,7400,7400,-,7400
