,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,13950,13100,13850,13550,49200,11800
1,22/11/2022,13950,12650,13550,13000,58600,11300
2,23/11/2022,13250,12500,12500,13050,30700,11300
3,24/11/2022,13050,12350,12500,13000,17000,11300
4,25/11/2022,13450,13000,13000,13450,17700,11700
5,28/11/2022,14350,13400,13400,14350,47100,12500
6,29/11/2022,15200,14450,14500,14900,34900,12900
7,30/11/2022,15400,14400,14900,14950,59000,13000
8,01/12/2022,15400,14950,14950,15200,65400,13200
9,02/12/2022,15350,14750,15200,15350,28700,13300
10,05/12/2022,15500,15000,15150,15000,46300,13000
11,06/12/2022,15200,14500,15000,14950,31700,13000
12,07/12/2022,14700,14000,14700,14000,16800,12200
13,08/12/2022,14000,13350,14000,14000,45900,12200
14,09/12/2022,14000,13500,13600,14000,25600,12200
15,12/12/2022,14050,13450,13450,13900,49100,12100
16,13/12/2022,14000,13000,13850,13900,25200,12100
17,14/12/2022,14000,13800,13900,14000,29700,12200
18,15/12/2022,14150,13800,14100,13950,26500,12100
19,16/12/2022,13950,13100,13800,13950,11400,12100
20,19/12/2022,13950,13550,13600,13950,22200,12100
21,20/12/2022,13900,13000,13600,13700,24400,11900
22,21/12/2022,13700,12850,13500,12850,20800,11200
23,22/12/2022,13700,13000,13300,13700,56900,11900
24,23/12/2022,14650,14150,14500,14650,141600,12700
25,26/12/2022,15250,14200,15000,15000,57700,13000
26,27/12/2022,15500,13950,14950,15500,174900,13500
27,28/12/2022,15800,14900,15450,15800,75800,13700
28,29/12/2022,16350,15000,15800,15700,41800,13600
29,30/12/2022,15900,14800,15900,15700,66300,13600
30,03/01/2023,15600,14900,15000,14900,43500,12900
31,04/01/2023,15400,14800,15400,15000,18800,13000
32,05/01/2023,15100,14700,14700,15000,17300,13000
33,06/01/2023,15050,14800,15000,15000,28000,13000
34,09/01/2023,15000,14500,15000,14650,19900,12700
35,10/01/2023,14900,14500,14650,14900,13500,12900
36,11/01/2023,15100,14650,14850,15000,31000,13000
37,12/01/2023,15000,14700,14700,15000,19400,13000
38,13/01/2023,14850,14850,14850,14850,10100,12900
39,16/01/2023,14800,14200,14550,14800,8900,12900
40,17/01/2023,15000,14750,14800,15000,11800,13000
41,18/01/2023,15100,14650,14800,14950,45400,13000
42,19/01/2023,15000,14700,14700,14950,14500,13000
43,27/01/2023,15400,15050,15050,15200,16600,13200
44,30/01/2023,16250,15250,15300,16200,146700,14100
45,31/01/2023,16950,15850,16950,16200,7000,14100
46,01/02/2023,16450,15350,16450,15400,35000,13400
47,02/02/2023,15400,14950,15100,15200,41100,13200
48,03/02/2023,15600,15200,15600,15350,18600,13300
49,06/02/2023,15600,15250,15400,15600,19400,13600
50,07/02/2023,15700,14950,15700,14950,30700,13000
51,08/02/2023,15150,14750,15000,15100,24300,13100
52,09/02/2023,15350,15100,15300,15350,3400,13300
53,10/02/2023,15300,15000,15000,15200,29200,13200
54,13/02/2023,15100,14600,14750,14650,20000,12700
55,14/02/2023,15000,14000,14000,14950,6800,13000
56,15/02/2023,15200,14900,14900,15200,7200,13200
57,16/02/2023,15200,15200,15200,15200,300,13200
58,17/02/2023,15300,14900,15300,15200,6900,13200
59,20/02/2023,15350,15000,15000,15350,35500,13300
60,21/02/2023,15450,14900,15450,15200,42900,13200
61,22/02/2023,15400,14900,15400,14900,13000,12900
62,23/02/2023,14900,14650,14900,14700,8400,12800
63,24/02/2023,14950,14600,14800,14900,30500,12900
64,27/02/2023,14900,14450,14850,14800,12400,12900
65,28/02/2023,15000,14600,15000,14600,5300,12700
66,01/03/2023,14800,14300,14750,14800,12300,12900
67,02/03/2023,14950,14550,14950,14800,17800,12900
68,03/03/2023,14700,14600,14700,14650,15500,12700
69,06/03/2023,14750,14600,14600,14750,8300,12800
70,07/03/2023,14750,14600,14750,14600,10900,12700
71,08/03/2023,14750,14600,14750,14700,4100,12800
72,09/03/2023,14800,14550,14800,14800,26600,12900
73,10/03/2023,14850,14650,14850,14800,6500,12900
74,13/03/2023,14750,14300,14300,14750,2400,12800
75,14/03/2023,14700,14400,14400,14500,12500,12600
76,15/03/2023,14800,14600,14800,14800,24300,12900
77,16/03/2023,14700,14500,14500,14600,11400,12700
78,17/03/2023,14950,14550,14550,14750,3100,12800
79,20/03/2023,14600,14500,14600,14500,19900,12600
80,21/03/2023,14700,14000,14350,14550,8100,12600
81,22/03/2023,14750,14550,14600,14550,10300,12600
82,23/03/2023,14550,14500,14550,14550,3900,12600
83,24/03/2023,14600,14500,14550,14600,5200,12700
84,27/03/2023,15150,14600,15150,14600,41200,12700
85,28/03/2023,14700,14600,14700,14700,15400,12800
86,29/03/2023,14700,14650,14650,14700,4600,12800
87,30/03/2023,14700,14600,14700,14700,2200,12800
88,31/03/2023,14800,14700,14700,14800,4600,12900
89,03/04/2023,15300,14800,15100,15050,28100,13100
90,04/04/2023,15400,14800,15400,14950,28600,13000
91,05/04/2023,15000,14850,14950,15000,190800,13000
92,06/04/2023,15200,14900,14900,15050,31300,13100
93,07/04/2023,15200,14950,15100,15100,11900,13100
94,10/04/2023,15500,15150,15150,15150,22700,13200
95,11/04/2023,15350,15000,15150,15050,28200,13100
96,12/04/2023,15750,15000,15050,15200,50400,13200
97,13/04/2023,15550,15100,15200,15350,15100,13300
98,14/04/2023,15400,15100,15400,15150,16700,13200
99,17/04/2023,15200,15150,15150,15150,26700,13200
100,18/04/2023,15250,15150,15150,15200,15200,13200
101,19/04/2023,15400,15200,15200,15400,5700,13400
102,20/04/2023,15350,15150,15350,15150,3300,13200
103,21/04/2023,15200,15150,15200,15200,6800,13200
104,24/04/2023,15350,15150,15200,15300,20000,13300
105,25/04/2023,15300,15100,15300,15100,13600,13100
106,26/04/2023,15200,14900,15000,15200,3600,13200
107,27/04/2023,15200,15050,15050,15200,7200,13200
108,28/04/2023,15300,15200,15300,15300,13500,13300
109,04/05/2023,15600,15250,15400,15300,21800,13300
110,05/05/2023,15400,15300,15300,15400,5400,13400
111,08/05/2023,16000,15300,15300,15700,11100,13600
112,09/05/2023,15700,15700,15700,15700,100,13600
113,10/05/2023,16650,15600,15750,16150,34200,14000
114,11/05/2023,16750,16200,16750,16700,19900,14500
115,12/05/2023,16900,16400,16700,16700,8000,14500
116,15/05/2023,16850,16400,16850,16450,10600,14300
117,16/05/2023,16400,16000,16400,16000,10300,13900
118,17/05/2023,16300,15900,16000,16000,7400,13900
119,18/05/2023,16000,16000,16000,16000,2500,13900
