,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,16050,14300,14300,15800,538388,15800
1,22/11/2022,15500,14700,14700,15500,39800,15500
2,23/11/2022,15000,14450,14500,14450,515000,14500
3,24/11/2022,13450,13450,13450,13450,34500,13500
4,25/11/2022,12550,12550,12550,12550,1200,12600
5,28/11/2022,11700,11700,11700,11700,600,11700
6,29/11/2022,10900,10900,10900,10900,203300,10900
7,30/11/2022,10150,10150,10150,10150,47900,10200
8,01/12/2022,9440,9440,9440,9440,108700,9400
9,02/12/2022,8780,8780,8780,8780,47900,8800
10,05/12/2022,8170,8170,8170,8170,53600,8200
11,06/12/2022,7600,7600,7600,7600,18800,7600
12,07/12/2022,7070,7070,7070,7070,11700,7100
13,08/12/2022,6580,6580,6580,6580,21300,6600
14,09/12/2022,6120,6120,6120,6120,16300,6100
15,12/12/2022,5700,5700,5700,5700,46300,5700
16,13/12/2022,5310,5310,5310,5310,24300,5300
17,14/12/2022,4940,4940,4940,4940,81500,4900
18,15/12/2022,4940,4600,4600,4600,3245200,4600
19,16/12/2022,4280,4280,4280,4280,1508100,4300
20,19/12/2022,3990,3990,3990,3990,228600,4000
21,20/12/2022,3720,3720,3720,3720,54300,3700
22,21/12/2022,3460,3460,3460,3460,52200,3500
23,22/12/2022,3220,3220,3220,3220,369300,3200
24,23/12/2022,3000,3000,3000,3000,219300,3000
25,26/12/2022,2790,2790,2790,2790,171500,2800
26,27/12/2022,2600,2600,2600,2600,213300,2600
27,28/12/2022,2420,2420,2420,2420,574400,2400
28,29/12/2022,2580,2260,2260,2580,11891700,2600
29,30/12/2022,2760,2760,2760,2760,784100,2800
30,03/01/2023,2950,2950,2950,2950,4885300,3000
31,04/01/2023,3150,3000,3150,3150,6685900,3200
32,05/01/2023,3370,3350,3360,3370,4504700,3400
33,06/01/2023,3600,3600,3600,3600,934700,3600
34,09/01/2023,3850,3850,3850,3850,638900,3900
35,10/01/2023,4110,4110,4110,4110,758500,4100
36,11/01/2023,4390,3830,4390,3830,7174700,3800
37,12/01/2023,3570,3570,3570,3570,421300,3600
38,13/01/2023,3330,3330,3330,3330,610300,3300
