,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,8900,8510,8650,8610,2528000,8600
1,22/11/2022,9210,8350,8630,8350,5596900,8400
2,23/11/2022,8500,7840,8350,7850,2419700,7900
3,24/11/2022,8000,7510,7800,7810,2159900,7800
4,25/11/2022,8350,7910,8100,8350,2519100,8400
5,28/11/2022,8930,8700,8800,8930,1718800,8900
6,29/11/2022,9550,8940,9290,9330,6019300,9300
7,30/11/2022,9590,9270,9540,9550,3365900,9600
8,01/12/2022,10200,9700,9960,9900,6010300,9900
9,02/12/2022,10200,9530,9700,10200,4600400,10200
10,05/12/2022,10850,10100,10450,10350,4142100,10400
11,06/12/2022,11050,9880,10050,11050,11265700,11100
12,07/12/2022,11600,10300,11300,10300,4891700,10300
13,08/12/2022,11000,10050,10550,10350,5675700,10400
14,09/12/2022,10800,10300,10350,10700,2855400,10700
15,12/12/2022,11400,10850,11000,11400,7809500,11400
16,13/12/2022,12100,11200,11200,11950,6982700,12000
17,14/12/2022,12400,11550,12250,11650,3953000,11700
18,15/12/2022,12100,11100,11750,11250,5616400,11300
19,16/12/2022,11700,11000,11000,11500,3547300,11500
20,19/12/2022,12300,11600,11800,12050,8466300,12100
21,20/12/2022,12250,11250,12000,11250,7624700,11300
22,21/12/2022,11600,10500,11450,10600,6495700,10600
23,22/12/2022,11000,10050,10900,10700,3320100,10700
24,23/12/2022,11000,10500,10500,10800,1896600,10800
25,26/12/2022,10950,10050,10950,10050,3239600,10100
26,27/12/2022,10750,9720,10000,10750,3661100,10800
27,28/12/2022,11450,10700,10950,11250,4464000,11300
28,29/12/2022,11300,10900,11200,11000,2934400,11000
29,30/12/2022,11250,10900,11100,10900,2811700,10900
30,03/01/2023,11650,11100,11100,11650,1925200,11700
31,04/01/2023,12450,11950,12450,12150,8493500,12200
32,05/01/2023,12900,11900,12150,12900,7173400,12900
33,06/01/2023,13350,12500,12950,12750,6772900,12800
34,09/01/2023,13100,12100,12850,12100,7261600,12100
35,10/01/2023,12600,11800,12300,12350,5420500,12400
36,11/01/2023,12700,12350,12600,12400,3778300,12400
37,12/01/2023,13250,12100,12400,13150,7855800,13200
38,13/01/2023,13300,12650,13150,12650,4111300,12700
39,16/01/2023,12850,12500,12650,12750,3129700,12800
40,17/01/2023,13300,12700,12900,13100,5167400,13100
41,18/01/2023,13850,13100,13200,13450,5334300,13500
42,19/01/2023,13450,13050,13100,13350,6143100,13400
43,27/01/2023,13600,13200,13500,13200,3909500,13200
44,30/01/2023,13600,12900,13200,13100,5930400,13100
45,31/01/2023,13500,12850,13000,13500,5165800,13500
46,01/02/2023,13600,12600,13600,12600,7970200,12600
47,02/02/2023,12750,11800,12600,12000,6686500,12000
48,03/02/2023,12350,11750,12100,11750,2787100,11800
49,06/02/2023,12300,11650,11800,12100,3395700,12100
50,07/02/2023,12700,11950,12200,12200,5484400,12200
51,08/02/2023,12400,11650,12400,12050,3225700,12100
52,09/02/2023,12850,12150,12250,12850,9108600,12900
53,10/02/2023,13050,12500,12900,12500,3731800,12500
54,13/02/2023,12550,11650,12350,11650,7564200,11700
55,14/02/2023,11900,11600,11900,11700,2780700,11700
56,15/02/2023,12250,11700,11750,12000,2878700,12000
57,16/02/2023,12450,12150,12150,12400,3779300,12400
58,17/02/2023,12550,12100,12400,12150,3695400,12200
59,20/02/2023,12700,12200,12350,12650,4436500,12700
60,21/02/2023,13150,12700,12900,12800,7665600,12800
61,22/02/2023,12800,12100,12550,12100,5490800,12100
62,23/02/2023,12300,11500,12150,12150,6193500,12200
63,24/02/2023,12250,11700,12200,11700,2478400,11700
64,27/02/2023,11500,10950,11500,10950,4492200,11000
65,28/02/2023,11250,10900,11200,10950,1724000,11000
66,01/03/2023,11600,10800,10950,11600,1580600,11600
67,02/03/2023,11750,11400,11650,11400,1646000,11400
68,03/03/2023,11650,11200,11450,11200,1537000,11200
69,06/03/2023,11550,11250,11400,11300,1607800,11300
70,07/03/2023,11500,11200,11350,11350,1547800,11400
71,08/03/2023,11850,11150,11400,11800,3514700,11800
72,09/03/2023,12000,11600,11850,11600,2514600,11600
73,10/03/2023,12000,11500,11500,11750,3126800,11800
74,13/03/2023,11750,11500,11500,11550,1813000,11600
75,14/03/2023,11650,11050,11550,11050,4153600,11100
76,15/03/2023,11600,11200,11450,11600,1784400,11600
77,16/03/2023,11500,11100,11350,11200,2122900,11200
78,17/03/2023,11400,11150,11400,11200,892500,11200
79,20/03/2023,11350,11050,11200,11100,1442000,11100
80,21/03/2023,11550,11050,11200,11400,1987500,11400
81,22/03/2023,11500,11250,11450,11250,838800,11300
82,23/03/2023,11400,11150,11150,11400,1117700,11400
83,24/03/2023,11550,11300,11450,11500,2420500,11500
84,27/03/2023,11600,11350,11450,11550,2908400,11600
85,28/03/2023,11800,11450,11600,11450,3844100,11500
86,29/03/2023,11500,11250,11500,11300,2172000,11300
87,30/03/2023,11450,11150,11450,11150,2705000,11200
88,31/03/2023,11250,11100,11250,11150,1536800,11200
89,03/04/2023,11600,11150,11250,11600,4176100,11600
90,04/04/2023,12000,11550,11700,11950,5662100,12000
91,05/04/2023,12050,11700,11950,11900,3488000,11900
92,06/04/2023,12300,11600,12000,11600,6211300,11600
93,07/04/2023,11700,11450,11600,11550,2738900,11600
94,10/04/2023,11800,11500,11600,11750,3723200,11800
95,11/04/2023,12400,11800,11800,12250,7973900,12300
96,12/04/2023,12350,11900,12250,12000,4013000,12000
97,13/04/2023,12150,11800,12100,11900,3806400,11900
98,14/04/2023,12400,11750,12000,11750,6180200,11800
99,17/04/2023,11950,11650,11700,11800,2230000,11800
100,18/04/2023,12300,11850,11850,12300,7318400,12300
101,19/04/2023,12350,11800,12300,11850,3559300,11900
102,20/04/2023,12200,11800,11850,11900,1952900,11900
103,21/04/2023,12100,11400,12000,11500,5680500,11500
104,24/04/2023,11550,11200,11400,11200,4210500,11200
105,25/04/2023,11450,11100,11300,11200,2463700,11200
106,26/04/2023,11350,11000,11150,11350,2057000,11400
107,27/04/2023,11550,11250,11350,11300,1993700,11300
108,28/04/2023,11400,11250,11300,11350,1824900,11400
109,04/05/2023,11400,11200,11300,11350,2219400,11400
110,05/05/2023,11700,11300,11350,11500,3524000,11500
111,08/05/2023,11600,11400,11550,11500,2056200,11500
112,09/05/2023,11550,11350,11500,11450,1736900,11500
113,10/05/2023,11750,11400,11450,11700,3668000,11700
114,11/05/2023,11900,11550,11850,11650,2350200,11700
115,12/05/2023,11900,11500,11600,11800,4154200,11800
116,15/05/2023,11900,11550,11850,11550,3205100,11600
117,16/05/2023,11700,11450,11650,11500,2452400,11500
118,17/05/2023,11900,11550,11600,11650,4248500,11700
119,18/05/2023,11750,11500,11750,11500,1369600,11500
120,19/05/2023,11600,11300,11450,11450,2679400,11500
121,22/05/2023,11750,11350,11500,11750,2690200,11800
122,23/05/2023,11850,11500,11800,11550,2123700,11600
123,24/05/2023,11650,11450,11600,11500,2509400,11500
124,25/05/2023,11700,11350,11500,11400,1934500,11400
125,26/05/2023,11650,11450,11550,11500,1945600,11500
126,29/05/2023,12300,11500,11500,12300,10553100,12300
127,30/05/2023,12550,12000,12500,12250,5214700,12300
