,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,24500,24000,24000,24150,4000,22700
1,22/11/2022,25000,24900,24900,25000,4200,23500
2,23/11/2022,24450,24450,24450,24450,1600,23000
3,24/11/2022,24450,24450,24450,24450,-,23000
4,25/11/2022,25900,24450,24500,24450,6600,23000
5,28/11/2022,26000,25400,25400,26000,6300,24400
6,29/11/2022,26000,26000,26000,26000,2500,24400
7,30/11/2022,26800,26000,26000,26750,2300,25100
8,01/12/2022,27350,26000,26500,26750,9300,25100
9,02/12/2022,28450,27300,27300,28450,1200,26700
10,05/12/2022,28450,28450,28450,28450,200,26700
11,06/12/2022,28000,26500,28000,26500,28200,24900
12,07/12/2022,26500,25100,25100,26500,1900,24900
13,08/12/2022,26500,26400,26500,26400,27000,24800
14,09/12/2022,26500,26400,26400,26400,13400,24800
15,12/12/2022,26400,25200,26400,25200,8100,23700
16,13/12/2022,25500,25000,25500,25000,36500,23500
17,14/12/2022,25100,25000,25000,25000,28000,23500
18,15/12/2022,26600,25550,26600,25550,1900,24000
19,16/12/2022,25050,25000,25050,25000,2000,23500
20,19/12/2022,25050,25000,25000,25000,3600,23500
21,20/12/2022,26000,24700,25000,26000,22100,24400
22,21/12/2022,26000,26000,26000,26000,-,24400
23,22/12/2022,26000,26000,26000,26000,100,24400
24,23/12/2022,25900,25000,25900,25000,300,23500
25,26/12/2022,25000,25000,25000,25000,600,23500
26,27/12/2022,25000,24700,24800,25000,2000,23500
27,28/12/2022,25000,24800,25000,25000,600,23500
28,29/12/2022,25050,24500,24800,25050,3200,23500
29,30/12/2022,24950,24000,24600,24950,12900,23400
30,03/01/2023,24950,24500,24950,24950,6000,23400
31,04/01/2023,25500,24950,24950,25500,28900,23900
32,05/01/2023,25500,25000,25500,25500,3700,23900
33,06/01/2023,26000,25000,25600,25000,6200,23500
34,09/01/2023,25000,25000,25000,25000,1000,23500
35,10/01/2023,25000,25000,25000,25000,2300,23500
36,11/01/2023,26000,25000,25000,26000,24300,24400
37,12/01/2023,27800,26000,26000,27800,23600,26100
38,13/01/2023,29700,29650,29700,29700,11700,27900
39,16/01/2023,31750,31600,31750,31750,16100,29800
40,17/01/2023,33950,33200,33900,33950,40600,31900
41,18/01/2023,35000,32500,35000,33650,31400,31600
42,19/01/2023,34100,31300,33650,34050,35700,32000
43,27/01/2023,36000,34000,36000,34050,25700,32000
44,30/01/2023,35500,34500,35000,35000,154600,32900
45,31/01/2023,35500,33000,35500,33000,61700,31000
46,01/02/2023,33000,31650,33000,32900,38900,30900
47,02/02/2023,31000,31000,31000,31000,1500,29100
48,03/02/2023,32400,31000,31000,32100,48200,30100
49,06/02/2023,33000,32000,32000,33000,21100,31000
50,07/02/2023,33000,32500,33000,33000,38400,31000
51,08/02/2023,33300,31500,31500,33250,10700,31200
52,09/02/2023,33250,32000,33250,33000,24000,31000
53,10/02/2023,33000,33000,33000,33000,66600,31000
54,13/02/2023,33000,32500,32500,33000,8300,31000
55,14/02/2023,31650,31000,31550,31000,10800,29100
56,15/02/2023,32000,29400,32000,32000,26700,30000
57,16/02/2023,32000,32000,32000,32000,-,30000
58,17/02/2023,32050,31950,31950,32050,6200,30100
59,20/02/2023,32050,32000,32050,32000,6200,30000
60,21/02/2023,32000,31900,32000,32000,4600,30000
61,22/02/2023,31100,31000,31100,31100,2900,29200
62,23/02/2023,30600,29500,30250,30100,23900,28300
63,24/02/2023,30950,30950,30950,30950,100,29100
64,27/02/2023,31750,29450,30500,31750,700,29800
65,28/02/2023,31750,31750,31750,31750,-,29800
66,01/03/2023,31500,30050,30050,31500,500,29600
67,02/03/2023,31300,30000,30000,31300,2000,29400
68,03/03/2023,30600,30300,30300,30600,300,28700
69,06/03/2023,30600,30600,30600,30600,600,28700
70,07/03/2023,30950,30000,30950,30600,3500,28700
71,08/03/2023,29900,29900,29900,29900,800,28100
72,09/03/2023,29900,29900,29900,29900,-,28100
73,10/03/2023,29900,29900,29900,29900,-,28100
74,13/03/2023,30900,29900,29900,30800,15400,28900
75,14/03/2023,30800,30800,30800,30800,5100,28900
76,15/03/2023,30700,30000,30000,30100,8600,28300
77,16/03/2023,31000,29850,31000,30100,23700,28300
78,17/03/2023,30000,30000,30000,30000,3300,28200
79,20/03/2023,30900,29000,29000,30900,9200,29000
80,21/03/2023,30000,30000,30000,30000,500,28200
81,22/03/2023,30000,30000,30000,30000,4000,28200
82,23/03/2023,30200,30000,30000,30000,3400,28200
83,24/03/2023,30600,30000,30000,30600,3100,28700
84,27/03/2023,30600,30600,30600,30600,-,28700
85,28/03/2023,30600,30600,30600,30600,-,28700
86,29/03/2023,30600,30600,30600,30600,-,28700
87,30/03/2023,30600,30600,30600,30600,-,28700
88,31/03/2023,31000,30000,31000,31000,6400,29100
89,03/04/2023,31000,30300,30300,31000,51700,29100
90,04/04/2023,31500,30400,31500,30400,5600,28500
91,05/04/2023,30000,30000,30000,30000,134700,28200
92,06/04/2023,30000,30000,30000,30000,31200,28200
93,07/04/2023,32100,29950,30000,32100,51300,30100
94,10/04/2023,33000,30200,31000,33000,5600,31000
95,11/04/2023,32900,30700,30700,32900,2600,30900
96,12/04/2023,32500,31000,32000,32500,7600,30500
97,13/04/2023,32500,32500,32500,32500,-,30500
98,14/04/2023,31950,30300,30300,31950,200,30000
99,17/04/2023,33450,30000,33450,32200,9300,30200
100,18/04/2023,32900,30400,30400,31700,10500,29800
101,19/04/2023,32900,31950,32900,31950,700,30000
102,20/04/2023,34150,31900,31900,32000,2200,30000
103,21/04/2023,32950,30300,32950,32500,4400,30500
104,24/04/2023,32950,31450,31500,32800,700,30800
105,25/04/2023,32300,31100,31100,31400,1900,29500
106,26/04/2023,31500,31400,31500,31500,800,29600
107,27/04/2023,32800,32400,32500,32800,800,30800
108,28/04/2023,35000,31500,32000,35000,8000,32900
109,04/05/2023,34850,32650,34850,34000,1500,31900
110,05/05/2023,36000,34000,34000,34000,1600,31900
111,08/05/2023,34000,34000,34000,34000,-,31900
112,09/05/2023,33500,31850,31850,33000,900,31000
113,10/05/2023,32800,31100,31600,32800,400,30800
