,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,59000,56900,58800,59000,918400,59000
1,22/11/2022,61000,59300,59800,61000,2944600,61000
2,23/11/2022,61800,61000,61800,61300,871000,61300
3,24/11/2022,62000,60800,62000,61200,1648000,61200
4,25/11/2022,61800,60800,61500,61500,1199100,61500
5,28/11/2022,61800,61200,61800,61500,1198460,61500
6,29/11/2022,61600,61000,61500,61500,1163000,61500
7,30/11/2022,61600,61200,61500,61500,889500,61500
8,01/12/2022,62900,60800,62900,61500,1314700,61500
9,02/12/2022,62300,61200,61900,61500,844600,61500
10,05/12/2022,63000,61300,62800,61600,835800,61600
11,06/12/2022,62300,61000,61300,61500,1249800,61500
12,07/12/2022,61900,61300,61500,61500,1185100,61500
13,08/12/2022,61700,61200,61400,61700,1252829,61700
14,09/12/2022,61500,61100,61400,61500,1162100,61500
15,12/12/2022,65000,61300,61500,62500,2447390,62500
16,13/12/2022,63800,62200,62500,62200,871000,62200
17,14/12/2022,62900,61300,62900,61500,2388090,61500
18,15/12/2022,61600,61300,61500,61500,1268000,61500
19,16/12/2022,62600,61400,62000,62000,1820900,62000
20,19/12/2022,62800,61100,62800,61800,1744700,61800
21,20/12/2022,62000,60700,61700,62000,820000,62000
22,21/12/2022,62900,61000,62800,62000,1696000,62000
23,22/12/2022,62700,61100,62600,62300,2516000,62300
24,23/12/2022,62500,61600,62300,62500,4157600,62500
25,26/12/2022,62700,61900,62700,62300,1163800,62300
26,27/12/2022,62600,61700,62500,62500,1712700,62500
27,28/12/2022,65000,62200,62700,65000,2058800,65000
28,29/12/2022,66800,64800,66300,65000,1616300,65000
29,30/12/2022,66500,64600,65000,65000,1882700,65000
30,03/01/2023,65500,64100,65500,65000,1092200,65000
31,04/01/2023,65500,64700,64900,65000,1668500,65000
32,05/01/2023,65000,64500,65000,64500,2223600,64500
33,06/01/2023,64900,63700,64000,64500,838700,64500
34,09/01/2023,64900,64000,64900,64000,1313700,64000
35,10/01/2023,64000,61700,64000,62000,1018000,62000
36,11/01/2023,63000,61300,62500,62000,1345800,62000
37,12/01/2023,63500,61300,63500,62000,1597600,62000
38,13/01/2023,62300,61700,62300,62000,753000,62000
39,16/01/2023,62300,60500,62300,61000,1797700,61000
40,17/01/2023,62000,60800,62000,61900,1030100,61900
41,18/01/2023,62100,61600,62000,62100,867600,62100
42,19/01/2023,62800,61800,62200,62800,827400,62800
43,27/01/2023,63000,61500,62800,62500,897900,62500
44,30/01/2023,62700,61300,62700,62000,2702100,62000
45,31/01/2023,62000,60500,61800,61800,979000,61800
46,01/02/2023,61800,60000,61800,61300,2534200,61300
47,02/02/2023,61100,58900,61100,60100,881900,60100
48,03/02/2023,60600,58800,60000,59800,799800,59800
49,06/02/2023,60200,58800,60100,60000,849300,60000
50,07/02/2023,60300,58300,60100,59600,1054600,59600
51,08/02/2023,59700,58300,59200,59600,1288700,59600
52,09/02/2023,59600,58000,59600,58800,836900,58800
53,10/02/2023,61800,58500,58700,61800,1171500,61800
54,13/02/2023,61700,59200,61700,61600,1214300,61600
55,14/02/2023,61900,59600,61500,61000,1370800,61000
56,15/02/2023,61100,59300,60200,60100,1465100,60100
57,16/02/2023,60100,58500,60000,59800,2013200,59800
58,17/02/2023,59800,58100,59000,58800,1703400,58800
59,20/02/2023,59000,57900,58800,58800,1966700,58800
60,21/02/2023,60000,57800,58700,58200,1583900,58200
61,22/02/2023,58300,56300,56500,57500,1383700,57500
62,23/02/2023,57700,55800,57500,56900,863300,56900
63,24/02/2023,56900,55100,56800,55800,809900,55800
64,27/02/2023,56000,53300,56000,55000,1827000,55000
65,28/02/2023,56800,54900,54900,55400,3270100,55400
66,01/03/2023,56400,54700,55400,56000,1525800,56000
67,02/03/2023,56500,55100,56000,55900,1778600,55900
68,03/03/2023,56400,54700,55900,55300,1582800,55300
69,06/03/2023,55800,54200,55300,55000,2253800,55000
70,07/03/2023,55100,54000,54900,54700,2159500,54700
71,08/03/2023,54500,53500,54500,54100,1799000,54100
72,09/03/2023,54200,53500,54000,53900,974800,53900
73,10/03/2023,53900,53100,53900,53900,1002300,53900
74,13/03/2023,55200,53500,53800,54900,2041100,54900
75,14/03/2023,56300,54900,55200,55900,2377700,55900
76,15/03/2023,56900,55300,56900,56100,1124500,56100
77,16/03/2023,56300,54900,56100,55300,1698800,55300
78,17/03/2023,55900,52900,54900,52900,3139700,52900
79,20/03/2023,55700,52800,54000,53900,1751500,53900
80,21/03/2023,55800,53000,54200,54900,2113700,54900
81,22/03/2023,55700,54000,54900,55700,4201600,55700
82,23/03/2023,58900,53800,53800,58900,2314000,58900
83,24/03/2023,60200,58800,59000,59400,1385600,59400
84,27/03/2023,60000,59100,59800,59900,1493000,59900
85,28/03/2023,60700,59800,60000,60600,2095000,60600
86,29/03/2023,61400,60300,61000,60900,1619400,60900
87,30/03/2023,60900,60000,60900,60900,1233000,60900
88,31/03/2023,61100,60600,60900,60900,1111000,60900
89,03/04/2023,61000,60300,60900,60900,1157100,60900
90,04/04/2023,60900,60300,60800,60900,1509200,60900
91,05/04/2023,61100,60000,61000,60400,1080200,60400
92,06/04/2023,61000,60100,60800,60500,931000,60500
93,07/04/2023,62500,60200,60800,60600,1140200,60600
94,10/04/2023,61500,60700,60800,61200,1419800,61200
95,11/04/2023,61700,60700,61500,61300,918700,61300
96,12/04/2023,61500,60900,61500,61300,890800,61300
97,13/04/2023,61800,61100,61500,61500,946700,61500
98,14/04/2023,62300,61200,61600,62000,1005700,62000
99,17/04/2023,62600,61900,62400,62100,916300,62100
100,18/04/2023,62300,61600,62200,62100,1278000,62100
101,19/04/2023,62400,61900,62200,62100,1327600,62100
102,20/04/2023,64200,62100,64000,62500,1334100,62500
103,21/04/2023,63900,61500,63800,63000,1032600,63000
104,24/04/2023,64000,62300,63900,63000,1134500,63000
105,25/04/2023,63700,62400,63600,63000,876000,63000
106,26/04/2023,63500,62200,63200,63500,1101100,63500
107,27/04/2023,64300,62900,63900,63500,1111500,63500
108,28/04/2023,64000,63500,64000,63900,952800,63900
109,04/05/2023,65200,62500,65000,64300,1038000,64300
110,05/05/2023,65100,63600,64800,64500,880500,64500
111,08/05/2023,65200,63900,65000,64800,1127000,64800
112,09/05/2023,65100,63700,65000,64800,1159700,64800
113,10/05/2023,64900,64100,64800,64600,1480000,64600
114,11/05/2023,64800,64000,64600,64800,1126300,64800
115,12/05/2023,64900,64300,64800,64700,943600,64700
116,15/05/2023,65300,64500,65100,64900,993800,64900
117,16/05/2023,65200,64300,65000,64900,1302000,64900
118,17/05/2023,65200,64300,65200,64800,1504500,64800
119,18/05/2023,64900,64500,64800,64800,1236000,64800
120,19/05/2023,65000,64200,64800,64700,825900,64700
121,22/05/2023,65000,63800,64400,64500,1496380,64500
122,23/05/2023,64800,63200,64500,64400,1322100,64400
123,24/05/2023,64700,63400,64500,64200,1820800,64200
124,25/05/2023,64400,63300,64300,64100,1190900,64100
125,26/05/2023,64100,63200,64100,64100,1524560,64100
126,29/05/2023,64200,63500,64200,64000,1761900,64000
127,30/05/2023,63900,63200,63900,63900,1680800,63900
128,31/05/2023,64300,63800,63900,64000,1545800,64000
129,01/06/2023,64100,63400,64000,64000,1494000,64000
130,02/06/2023,64100,63500,64000,64100,1565500,64100
131,05/06/2023,65400,63800,64100,64500,2606900,64500
132,06/06/2023,65000,64200,65000,64800,2890000,64800
133,07/06/2023,64900,64200,64800,64800,1361900,64800
134,08/06/2023,64900,64300,64800,64800,958600,64800
135,09/06/2023,64900,64100,64900,64800,1566600,64800
136,12/06/2023,65100,64400,64800,64900,1913500,64900
137,13/06/2023,65000,64500,64900,64900,1826400,64900
138,14/06/2023,65200,64200,65200,64700,1052900,64700
139,15/06/2023,64700,63700,64700,64600,1216200,64600
140,16/06/2023,64700,63200,64600,64500,1273200,64500
141,19/06/2023,64600,63800,64600,64400,1191600,64400
142,20/06/2023,64400,63100,64300,64100,1092200,64100
143,21/06/2023,64400,62600,64300,63900,1204400,63900
144,22/06/2023,64000,62500,64000,63800,841900,63800
145,23/06/2023,63800,62800,63800,63500,804400,63500
146,26/06/2023,63500,62300,63300,63000,812200,63000
147,27/06/2023,63100,62500,62900,63100,778200,63100
148,28/06/2023,63100,62500,63000,62900,840300,62900
149,29/06/2023,62900,62000,62900,62800,776600,62800
150,30/06/2023,62900,61900,62900,62600,1579300,62600
151,03/07/2023,62600,61900,62600,62600,1060400,62600
152,04/07/2023,62600,62000,62600,62600,1826400,62600
153,05/07/2023,62800,62000,62700,62600,773100,62600
154,06/07/2023,62800,62000,62800,62500,801500,62500
155,07/07/2023,63000,62000,62500,62600,4115600,62600
156,10/07/2023,62700,62000,62700,62600,2943900,62600
157,11/07/2023,62600,62100,62400,62600,1389400,62600
158,12/07/2023,62600,61700,62600,62300,1662500,62300
159,13/07/2023,62700,61900,62400,62700,1171900,62700
160,14/07/2023,62800,61900,62800,62600,1309100,62600
161,17/07/2023,62600,62000,62600,62500,1063700,62500
162,18/07/2023,62600,62100,62400,62500,1190200,62500
163,19/07/2023,63500,62300,62500,63500,1346000,63500
164,20/07/2023,64000,63500,63600,64000,1380900,64000
165,21/07/2023,64800,64000,64800,64500,920600,64500
166,24/07/2023,65400,63500,65300,64500,1484400,64500
167,25/07/2023,65000,63400,64900,64200,1753200,64200
168,26/07/2023,64200,63300,64200,64000,3752500,64000
169,27/07/2023,64000,63300,64000,64000,1374700,64000
170,28/07/2023,64000,63300,63900,64000,869900,64000
171,31/07/2023,65100,63800,63900,65000,913000,65000
172,01/08/2023,65300,64000,65100,64700,1687500,64700
173,02/08/2023,64900,64000,64900,64700,1089500,64700
174,03/08/2023,64800,64100,64800,64400,4745400,64400
175,04/08/2023,64500,63700,64500,64400,3358200,64400
