,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,22600,21950,22500,22400,22963200,20400
1,22/11/2022,23600,22000,22400,22450,4370700,20400
2,23/11/2022,22450,21500,22300,21850,2332590,19900
3,24/11/2022,22100,20350,21650,21000,5567700,19100
4,25/11/2022,22450,21450,21500,22450,5957400,20400
5,28/11/2022,24000,22850,22950,24000,8168100,21800
6,29/11/2022,25650,24500,24700,25650,8516200,23300
7,30/11/2022,27400,25500,26200,27400,2715400,24900
8,01/12/2022,29300,26200,29200,27200,6110400,24700
9,02/12/2022,29100,26800,27200,29100,2610800,26500
10,05/12/2022,31100,29700,30500,31100,3500900,28300
11,06/12/2022,30950,29550,30550,29550,3309000,26900
12,07/12/2022,30900,29200,29550,29900,3292600,27200
13,08/12/2022,30450,28900,29800,30300,4646300,27500
14,09/12/2022,30200,29200,30200,30050,2912800,27300
15,12/12/2022,30000,27950,30000,27950,3998400,25400
16,13/12/2022,27950,26000,27400,27900,2363600,25400
17,14/12/2022,28800,27600,28800,28000,1421600,25500
18,15/12/2022,28450,27750,27950,28200,1051900,25600
19,16/12/2022,29300,27500,28100,27500,4008400,25000
20,19/12/2022,27500,26700,27500,26700,2347000,24300
21,20/12/2022,27300,24900,26700,25800,8202130,23500
22,21/12/2022,26000,24750,25850,25100,4792700,22800
23,22/12/2022,26850,25200,25300,26850,3888900,24400
24,23/12/2022,27000,26100,27000,26250,2206400,23900
25,26/12/2022,26300,24650,26200,24650,1389700,22400
26,27/12/2022,26350,25050,25100,26350,1083300,24000
27,28/12/2022,27950,26350,26850,27050,1303200,24600
28,29/12/2022,28150,26700,27100,27950,1415400,25400
29,30/12/2022,28300,26500,28300,26500,784000,24100
30,03/01/2023,28200,26600,26900,28000,1783300,25500
31,04/01/2023,28200,27550,28200,27850,1528300,25300
32,05/01/2023,28050,27650,27850,27700,1108500,25200
33,06/01/2023,28550,27700,27900,27800,8916700,25300
34,09/01/2023,28500,27850,27850,27950,2627400,25400
35,10/01/2023,28100,27500,28000,27900,1522900,25400
36,11/01/2023,28350,27950,28000,28100,1262300,25500
37,12/01/2023,28300,26800,28200,26800,1935200,24400
38,13/01/2023,27300,25800,27100,26200,3332600,23800
39,16/01/2023,26550,26200,26200,26350,1044800,24000
40,17/01/2023,26850,26250,26400,26800,930500,24400
41,18/01/2023,27900,26700,26800,27800,817600,25300
42,19/01/2023,28000,27600,27750,27600,1443900,25100
43,27/01/2023,28100,27450,27650,27650,1104400,25100
44,30/01/2023,28500,27300,27650,27750,1299300,25200
45,31/01/2023,28150,27750,27750,28000,4179000,25500
46,01/02/2023,28600,26050,28500,26500,2835300,24100
47,02/02/2023,27400,26500,26550,26600,1347700,24200
48,03/02/2023,27000,26450,26800,26950,5075200,24500
49,06/02/2023,27400,26700,26900,27350,1615200,24900
50,07/02/2023,28100,27200,27500,27200,1859100,24700
51,08/02/2023,27250,26700,27200,27000,1501200,24500
52,09/02/2023,27150,26900,27000,26950,2181900,24500
53,10/02/2023,27850,27050,27050,27500,3018300,25000
54,13/02/2023,27500,25750,27400,26000,2904600,23600
55,14/02/2023,26900,26200,26550,26600,1101800,24200
56,15/02/2023,27550,26600,26600,27500,1757300,25000
57,16/02/2023,27800,27200,27550,27800,1161200,25300
58,17/02/2023,28700,27800,27900,27800,1838900,25300
59,20/02/2023,28300,27850,27900,28300,2333900,25700
60,21/02/2023,28800,28050,28500,28100,2003100,25500
61,22/02/2023,28000,26800,28000,26800,1595600,24400
62,23/02/2023,27150,25750,26850,26650,1852300,24200
63,24/02/2023,26900,25700,26650,26000,1058000,23600
64,27/02/2023,25900,25100,25600,25450,1126400,23100
65,28/02/2023,25800,24600,25700,25450,1047480,23100
66,01/03/2023,25200,24450,25200,24650,3048800,22400
67,02/03/2023,25450,24700,24700,24900,770300,22600
68,03/03/2023,25300,24000,25000,24350,1095100,22100
69,06/03/2023,25900,24600,25150,25900,2049600,23500
70,07/03/2023,26050,25750,25900,25800,691300,23500
71,08/03/2023,25900,24000,25600,25900,654600,23500
72,09/03/2023,26300,25800,25900,26000,1322800,23600
73,10/03/2023,26650,25850,25850,26500,763800,24100
74,13/03/2023,26900,25900,26300,26500,1012200,24100
75,14/03/2023,26600,25400,26500,25800,819000,23500
76,15/03/2023,26800,25250,26400,26550,662000,24100
77,16/03/2023,26550,26100,26550,26250,439900,23900
78,17/03/2023,26750,26250,26400,26750,1340900,24300
79,20/03/2023,26500,24950,26400,25750,870500,23400
80,21/03/2023,26200,25300,26000,26200,1173400,23800
81,22/03/2023,26500,25950,26300,26100,1235900,23700
82,23/03/2023,26300,25950,26000,26150,766100,23800
83,24/03/2023,26700,26100,26150,26600,1125700,24200
84,27/03/2023,26850,26500,26650,26700,957400,24300
85,28/03/2023,27500,26500,27000,26750,1188000,24300
86,29/03/2023,27200,26750,27150,27050,670800,24600
87,30/03/2023,27200,27000,27200,27000,395000,24500
88,31/03/2023,27800,27000,27000,27600,1315300,25100
89,03/04/2023,29300,27800,28000,29300,2543800,26600
90,04/04/2023,29500,28700,29500,29150,2411100,26500
91,05/04/2023,29500,28850,29050,29000,2385710,26400
92,06/04/2023,29100,28000,29100,28500,4760509,25900
93,07/04/2023,28700,27950,28200,28050,2584300,25500
94,10/04/2023,28900,28000,28500,28350,3536200,25800
95,11/04/2023,28550,27950,28350,28500,1023040,25900
96,12/04/2023,30050,28500,28600,29850,3632100,27100
97,13/04/2023,29900,29150,29850,29750,1521100,27000
98,14/04/2023,29750,28500,29600,28600,2118200,26000
99,17/04/2023,29200,28500,28600,29200,979600,26500
100,18/04/2023,29200,28600,29200,29000,854200,26400
101,19/04/2023,29100,28450,29100,28450,1040800,25900
102,20/04/2023,28550,28300,28300,28450,774600,25900
103,21/04/2023,28600,28050,28450,28400,858900,25800
104,24/04/2023,28500,27700,28400,28250,1173000,25700
105,25/04/2023,28800,28200,28300,28350,1440800,25800
106,26/04/2023,28350,27600,28350,28300,1754900,25700
107,27/04/2023,28900,28300,28350,28750,1890000,26100
108,28/04/2023,29800,28750,28900,29800,1691300,27100
109,04/05/2023,30700,29700,29800,30450,3100000,27700
110,05/05/2023,30250,29900,30200,30200,1032900,27500
111,08/05/2023,30350,29850,30200,29950,1608800,27200
112,09/05/2023,29950,29400,29950,29500,763600,26800
113,10/05/2023,29950,29500,29550,29800,1812500,27100
114,11/05/2023,30150,29800,29800,29950,1452000,27200
115,12/05/2023,30400,29800,29950,30300,2104500,27500
116,15/05/2023,30400,29700,30400,29800,2300200,27100
117,16/05/2023,29850,29200,29800,29450,4421185,26800
118,17/05/2023,29450,28450,29450,28500,2776700,25900
119,18/05/2023,29550,28550,28550,29300,4353200,26600
120,19/05/2023,29600,29050,29300,29450,1301500,26800
121,22/05/2023,29600,29200,29450,29600,2181700,26900
122,23/05/2023,29600,29050,29600,29200,3108900,26500
123,24/05/2023,29300,29050,29300,29250,3627200,26600
124,25/05/2023,29400,28950,29200,29400,2500600,26700
125,26/05/2023,30150,29500,29500,29800,3721700,27100
126,29/05/2023,30050,29850,30000,29950,1419800,27200
127,30/05/2023,30550,29900,30000,30100,2561500,27400
128,31/05/2023,30200,29650,30100,29700,1441600,27000
129,01/06/2023,29800,29200,29700,29400,1601000,26700
130,02/06/2023,29600,29200,29500,29400,2183900,26700
131,05/06/2023,29950,29350,29500,29850,2217400,27100
132,06/06/2023,29900,29650,29850,29800,2819400,27100
133,07/06/2023,30550,29800,29800,30450,4710300,27700
134,08/06/2023,31300,30400,30500,30400,3587500,27600
135,09/06/2023,30600,29900,30350,30450,2561600,27700
136,12/06/2023,30550,29550,30500,30550,2875700,27800
137,13/06/2023,30700,30100,30500,30650,2938800,27900
138,14/06/2023,31050,30600,30650,30850,3646600,28000
139,15/06/2023,30800,30550,30650,30650,2168000,27900
140,16/06/2023,30900,30400,30700,30700,3320600,27900
141,19/06/2023,30700,30100,30650,30400,1802200,27600
142,20/06/2023,30700,30200,30200,30600,1736700,27800
143,21/06/2023,30850,30500,30600,30600,2169700,27800
144,22/06/2023,32050,30600,30650,31350,4820400,28500
145,23/06/2023,31750,31400,31550,31650,2143900,28800
146,26/06/2023,31650,31000,31500,31450,2872400,28600
147,27/06/2023,31700,31100,31500,31500,1606400,28600
148,28/06/2023,31650,31200,31550,31450,1502800,28600
149,29/06/2023,31450,30600,31100,30750,1836500,28000
150,30/06/2023,30800,30150,30800,30800,1677300,28000
151,03/07/2023,30700,30300,30650,30400,812600,27600
152,04/07/2023,30450,30250,30300,30400,1069700,27600
153,05/07/2023,31000,30350,30400,30750,1709100,28000
154,06/07/2023,30750,30100,30750,30200,1202900,27500
155,07/07/2023,30300,29700,30200,30200,2725500,27500
156,10/07/2023,30650,30150,30300,30300,2494900,27500
157,11/07/2023,30550,30300,30400,30400,1824100,27600
158,12/07/2023,30800,30450,30450,30550,1516600,27800
159,13/07/2023,31800,30600,30700,31700,3155100,28800
160,14/07/2023,31900,31000,31900,31500,1931500,28600
161,17/07/2023,32900,31700,31700,32500,5398500,29600
162,18/07/2023,33100,32100,32200,32550,3144500,29600
163,19/07/2023,32750,32050,32750,32200,2735200,29300
164,20/07/2023,32350,31650,32000,32100,1768500,29200
165,21/07/2023,32850,32050,32050,32850,2161000,29900
166,24/07/2023,34350,32900,32900,34250,3841400,31100
167,25/07/2023,34400,33050,33050,34150,2059500,31100
168,26/07/2023,35000,33800,33950,35000,3239100,31800
169,27/07/2023,35700,34800,34950,35500,3221600,32300
170,28/07/2023,37950,35500,35600,36750,3537400,33400
171,31/07/2023,37500,35850,36750,37500,2846900,34100
172,01/08/2023,37400,35900,37400,35900,1416300,32600
173,02/08/2023,36350,35350,35900,35800,1938400,32600
174,03/08/2023,35950,35250,35800,35250,2131100,32100
175,04/08/2023,36100,35300,35550,36000,2650500,32700
176,07/08/2023,36900,35650,36100,36000,2379300,32700
177,08/08/2023,36000,35150,35800,35250,2256100,32100
178,09/08/2023,35550,35200,35400,35500,1934800,32300
179,10/08/2023,35750,34900,35500,34900,1876300,31700
180,11/08/2023,36700,34850,35050,36450,3355400,33100
181,14/08/2023,36900,36350,36350,36500,1738400,33200
182,15/08/2023,36850,35950,36850,36000,1263500,32700
183,16/08/2023,36050,35350,36000,35550,1671200,32300
184,17/08/2023,35950,35000,35950,35500,2268100,32300
185,18/08/2023,35200,33050,35000,33150,3578300,30100
186,21/08/2023,34450,32700,32850,33950,1989100,30900
187,22/08/2023,34200,33200,34000,34050,927300,31000
188,23/08/2023,34500,32800,34400,33500,2000600,30500
189,24/08/2023,35300,33500,33500,34500,1782700,31400
190,25/08/2023,35000,34350,34500,34550,1291300,31400
191,28/08/2023,35500,34650,34900,35500,1332400,32300
192,29/08/2023,36000,35250,35600,35500,1589900,32300
193,30/08/2023,36000,35500,35550,35850,1205600,32600
194,31/08/2023,37000,36100,36100,37000,2198900,33600
195,05/09/2023,37000,36000,37000,36300,2597200,33000
196,06/09/2023,37000,35900,36250,36450,1032500,33100
197,07/09/2023,37050,36350,36600,36450,2214400,33100
198,08/09/2023,36500,36100,36500,36200,2145700,32900
199,11/09/2023,36500,34800,36400,34800,1881100,31600
200,12/09/2023,35500,34750,34800,35200,2251900,32000
201,13/09/2023,36200,35200,35600,35300,1995300,32100
202,14/09/2023,35400,34400,35300,34600,903200,31500
203,15/09/2023,35200,34600,34900,34600,1172700,31500
204,18/09/2023,34850,34350,34700,34500,892500,31400
205,19/09/2023,34700,33750,34600,34000,941900,30900
206,20/09/2023,35500,34000,34200,35500,1655900,32300
207,21/09/2023,35600,34700,35500,34800,2947900,31600
208,22/09/2023,34500,32800,34300,33000,1827900,30000
209,25/09/2023,33450,30800,33000,31500,1957800,28600
210,26/09/2023,32000,31100,31500,31500,1304600,28600
211,27/09/2023,32400,31350,31500,32400,994400,29500
212,28/09/2023,33000,31500,32100,32750,1073900,29800
213,29/09/2023,33050,32650,32750,32650,652400,29700
214,02/10/2023,32750,32250,32700,32500,450400,29600
215,03/10/2023,30000,28500,29650,28700,999700,28700
216,04/10/2023,29100,28200,28200,29000,600500,29000
217,05/10/2023,29100,28200,29000,28400,1013600,28400
218,06/10/2023,29500,27200,28350,29500,1901700,29500
219,09/10/2023,29500,28550,29000,29500,1348100,29500
220,10/10/2023,29900,29000,29700,29400,1246600,29400
221,11/10/2023,29350,28700,29050,29200,1145000,29200
222,12/10/2023,30000,29200,29450,29950,1543000,30000
223,13/10/2023,32000,29900,30000,32000,3063300,32000
224,16/10/2023,32000,31400,32000,31700,1182500,31700
225,17/10/2023,31950,29600,31950,29600,2211900,29600
226,18/10/2023,29800,28000,29800,29200,1236300,29200
227,19/10/2023,29300,28500,29200,29150,1040600,29200
228,20/10/2023,30200,28500,29000,30200,1213500,30200
229,23/10/2023,30450,29700,30000,30150,1015500,30200
230,24/10/2023,30800,29800,30150,30600,784500,30600
231,25/10/2023,30900,30200,30600,30250,787800,30300
232,26/10/2023,29900,28550,29500,29800,1342600,29800
