,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,15750,15750,15750,15750,-,14400
1,22/11/2022,15750,15750,15750,15750,-,14400
2,23/11/2022,15750,15750,15750,15750,-,14400
3,24/11/2022,15750,15750,15750,15750,-,14400
4,25/11/2022,15750,15750,15750,15750,-,14400
5,28/11/2022,15750,15750,15750,15750,-,14400
6,29/11/2022,15950,14650,14650,15950,200,14500
7,30/11/2022,15950,15950,15950,15950,-,14500
8,01/12/2022,15950,15950,15950,15950,-,14500
9,02/12/2022,15950,15950,15950,15950,-,14500
10,05/12/2022,15950,15950,15950,15950,-,14500
11,06/12/2022,14850,14850,14850,14850,100,13500
12,07/12/2022,14850,14850,14850,14850,-,13500
13,08/12/2022,14850,14850,14850,14850,-,13500
14,09/12/2022,14850,14850,14850,14850,-,13500
15,12/12/2022,15550,15550,15550,15550,100,14200
16,13/12/2022,16500,15000,16500,15000,200,13700
17,14/12/2022,15000,15000,15000,15000,-,13700
18,15/12/2022,16050,14000,16050,16000,900,14600
19,16/12/2022,16000,16000,16000,16000,-,14600
20,19/12/2022,16000,16000,16000,16000,-,14600
21,20/12/2022,16450,16450,16450,16450,100,15000
22,21/12/2022,17550,15300,17550,15300,200,13900
23,22/12/2022,15300,15300,15300,15300,-,13900
24,23/12/2022,15300,15300,15300,15300,-,13900
25,26/12/2022,15300,15300,15300,15300,-,13900
26,27/12/2022,15300,15300,15300,15300,-,13900
27,28/12/2022,15300,15300,15300,15300,-,13900
28,29/12/2022,15300,15300,15300,15300,-,13900
29,30/12/2022,15300,15300,15300,15300,-,13900
30,03/01/2023,15300,15300,15300,15300,-,13900
31,04/01/2023,15300,15300,15300,15300,-,13900
32,05/01/2023,15300,14300,14300,15300,200,13900
33,06/01/2023,14300,14300,14300,14300,500,13000
34,09/01/2023,15250,13300,14000,13300,600,12100
35,10/01/2023,14150,12550,12550,14150,200,12900
36,11/01/2023,14150,14000,14000,14150,200,12900
37,12/01/2023,13450,13400,13400,13450,200,12300
38,13/01/2023,13450,13450,13450,13450,-,12300
39,16/01/2023,13400,13400,13400,13400,200,12200
40,17/01/2023,13400,13400,13400,13400,-,12200
41,18/01/2023,13400,13400,13400,13400,2000,12200
