,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,43400,40750,40750,40800,4300,39000
1,22/11/2022,42100,42100,42100,42100,100,40200
2,23/11/2022,42100,42100,42100,42100,-,40200
3,24/11/2022,42100,42100,42100,42100,-,40200
4,25/11/2022,42100,42100,42100,42100,600,40200
5,28/11/2022,44850,40550,44850,42000,1000,40100
6,29/11/2022,42900,39500,39500,42900,200,41000
7,30/11/2022,45700,40500,40500,45700,16500,43700
8,01/12/2022,43500,42550,42600,42550,20300,40700
9,02/12/2022,42500,40500,42000,42500,14800,40600
10,05/12/2022,42900,40600,40650,42250,2000,40400
11,06/12/2022,44100,40100,42000,42500,10800,40600
12,07/12/2022,42500,40000,40050,42500,6100,40600
13,08/12/2022,42450,41500,41500,42450,300,40600
14,09/12/2022,42000,40000,40200,41500,13500,39700
15,12/12/2022,41000,40000,40000,41000,300,39200
16,13/12/2022,40450,40450,40450,40450,500,38700
17,14/12/2022,40400,40000,40000,40400,800,38600
18,15/12/2022,40500,40000,40000,40500,300,38700
19,16/12/2022,43000,43000,43000,43000,5000,41100
20,19/12/2022,42500,40000,42050,41950,7100,40100
21,20/12/2022,42000,39100,39200,42000,600,40100
22,21/12/2022,41350,39800,39800,41000,600,39200
23,22/12/2022,40700,40700,40700,40700,300,38900
24,23/12/2022,43000,40000,40000,43000,11600,41100
25,26/12/2022,42500,40000,40450,42000,5400,40100
26,27/12/2022,43000,42000,42000,43000,200,41100
27,28/12/2022,43000,40000,41000,41900,4400,40000
28,29/12/2022,41900,40000,40500,41500,39400,39700
29,30/12/2022,41400,39800,40050,41100,30800,39300
30,03/01/2023,40400,40000,40350,40200,1200,38400
31,04/01/2023,41450,40000,40300,40000,3800,38200
32,05/01/2023,40000,39700,39900,40000,4000,38200
33,06/01/2023,40800,39200,39500,40800,900,39000
34,09/01/2023,39700,39700,39700,39700,300,37900
35,10/01/2023,40150,40050,40150,40050,400,38300
36,11/01/2023,39700,39700,39700,39700,600,37900
37,12/01/2023,40450,39500,40450,40000,1800,38200
38,13/01/2023,40000,40000,40000,40000,2000,38200
39,16/01/2023,40350,39500,40000,39500,2700,37700
40,17/01/2023,39800,38900,39400,39800,1800,38000
41,18/01/2023,40100,39500,39550,40100,2800,38300
42,19/01/2023,39500,38000,38050,39500,4800,37700
43,27/01/2023,41900,38800,38800,40750,1700,38900
44,30/01/2023,40450,39550,39550,40000,2300,38200
45,31/01/2023,42800,40000,40000,42800,96900,40900
46,01/02/2023,43500,41200,41200,42800,23400,40900
47,02/02/2023,43500,41050,41050,42300,28700,40400
48,03/02/2023,43400,42000,43400,42000,20100,40100
49,06/02/2023,43000,41700,42150,42150,22300,40300
50,07/02/2023,42450,41400,42000,42350,47400,40500
51,08/02/2023,42500,41000,42000,41200,70300,39400
52,09/02/2023,42900,41000,41200,42100,15200,40200
53,10/02/2023,42100,40600,42100,41950,12500,40100
54,13/02/2023,42750,41000,41050,41500,8400,39700
55,14/02/2023,41400,41000,41000,41400,4200,39600
56,15/02/2023,41750,41200,41750,41200,1200,39400
57,16/02/2023,42000,41000,42000,41000,9800,39200
58,17/02/2023,41800,40600,41800,40900,2500,39100
59,20/02/2023,41750,41000,41750,41000,3200,39200
60,21/02/2023,42000,40800,41000,41800,10500,39900
61,22/02/2023,41500,40800,40850,41500,2700,39700
62,23/02/2023,41500,41500,41500,41500,2300,39700
63,24/02/2023,41000,41000,41000,41000,900,39200
64,27/02/2023,41000,40300,41000,40300,1700,38500
65,28/02/2023,42900,40000,40050,42900,17700,41000
66,01/03/2023,42700,40100,41000,41850,3900,40000
67,02/03/2023,41800,40650,40650,41600,2200,39800
68,03/03/2023,42000,41350,41700,41800,9800,39900
69,06/03/2023,41800,41100,41800,41750,3900,39900
70,07/03/2023,41750,41750,41750,41750,-,39900
71,08/03/2023,41850,41500,41500,41500,4500,39700
72,09/03/2023,41500,41000,41500,41450,3500,39600
73,10/03/2023,42000,41900,42000,41900,1200,40000
74,13/03/2023,42800,41200,41200,42200,6600,40300
75,14/03/2023,41900,40200,41100,41500,18300,39700
76,15/03/2023,44300,40600,41000,43000,5200,41100
77,16/03/2023,42400,40200,41200,42200,26100,40300
78,17/03/2023,42200,42050,42050,42200,1000,40300
79,20/03/2023,42200,40450,40450,41000,3000,39200
80,21/03/2023,41650,40950,41150,41650,3100,39800
81,22/03/2023,41750,41550,41550,41550,1900,39700
82,23/03/2023,41400,40500,40650,41100,5800,40100
83,24/03/2023,41450,41100,41100,41400,3100,40400
84,27/03/2023,41350,40800,40850,41200,3800,40200
85,28/03/2023,41600,41300,41600,41300,6100,40300
86,29/03/2023,41250,40500,40800,41250,8200,40300
87,30/03/2023,42000,38600,42000,41300,14300,40300
88,31/03/2023,43500,40000,40000,42400,50800,41400
89,03/04/2023,42000,40600,40650,41550,5000,40600
90,04/04/2023,41550,40400,40400,40500,15500,39600
91,05/04/2023,40800,40200,40500,40800,1000,39900
92,06/04/2023,41100,40800,40950,41050,4200,40100
93,07/04/2023,41200,40550,40550,41100,1300,40100
94,10/04/2023,41400,40500,41400,40500,2100,39600
95,11/04/2023,41100,40500,40500,41100,1700,40100
96,12/04/2023,41400,41300,41400,41300,1800,40300
97,13/04/2023,41000,40500,41000,40850,4100,39900
98,14/04/2023,41500,40600,40600,41200,4700,40200
99,17/04/2023,40800,40000,40500,40800,6600,39900
100,18/04/2023,40650,40000,40650,40450,8100,39500
101,19/04/2023,40550,40000,40150,40550,2700,39600
102,20/04/2023,41300,40550,40550,41300,500,40300
103,21/04/2023,41900,40000,40300,40000,8800,39100
104,24/04/2023,41450,40250,40250,41000,7100,40000
105,25/04/2023,41000,39100,40500,40500,5200,39600
106,26/04/2023,40900,40200,40200,40500,18200,39600
107,27/04/2023,40500,40000,40500,40400,3700,39500
108,28/04/2023,43000,39300,40000,42800,135700,41800
109,04/05/2023,41600,41000,41450,41400,52200,40400
110,05/05/2023,42000,41000,41500,41300,12800,40300
111,08/05/2023,41800,40700,40700,41300,9700,40300
112,09/05/2023,41500,41050,41100,41400,24700,40400
113,10/05/2023,43500,41300,43500,42200,48200,41200
114,11/05/2023,42200,41550,42200,41900,43300,40900
115,12/05/2023,44800,41700,41700,44800,23600,43800
