,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,41850,39100,40200,39200,28200,36200
1,22/11/2022,40600,39600,40600,39600,2400,36600
2,23/11/2022,40500,40000,40000,40100,2300,37000
3,24/11/2022,40500,40500,40500,40500,700,37400
4,25/11/2022,40850,39800,40850,40850,3200,37700
5,28/11/2022,40850,40300,40850,40300,3100,37200
6,29/11/2022,41500,40000,40050,41250,6100,38100
7,30/11/2022,41500,40600,41250,41400,8700,38200
8,01/12/2022,42000,40800,42000,41050,4400,37900
9,02/12/2022,40900,39500,40800,40600,63300,37500
10,05/12/2022,40500,38000,39100,40200,178200,37100
11,06/12/2022,40900,39800,40200,40900,43600,37800
12,07/12/2022,40400,39250,39250,39700,28100,36700
13,08/12/2022,40000,38800,39800,39500,84700,36500
14,09/12/2022,40000,39900,39950,40000,11700,37000
15,12/12/2022,41000,40000,40250,40600,16400,37500
16,13/12/2022,40500,39700,40100,40200,6600,37100
17,14/12/2022,40500,40200,40500,40200,4500,37100
18,15/12/2022,41450,40300,40300,41450,19000,38300
19,16/12/2022,41300,40100,41000,41200,1600,38100
20,19/12/2022,41200,41000,41200,41100,8800,38000
21,20/12/2022,40500,40000,40500,40000,11600,37000
22,21/12/2022,41000,40000,41000,40950,3700,37800
23,22/12/2022,40950,40950,40950,40950,-,37800
24,23/12/2022,40200,40000,40000,40000,88700,37000
25,26/12/2022,40000,40000,40000,40000,18000,37000
26,27/12/2022,40250,40000,40000,40150,26800,37100
27,28/12/2022,41200,40100,40100,41000,4300,37900
28,29/12/2022,41200,41000,41150,41200,16600,38100
29,30/12/2022,41500,41050,41500,41050,18600,37900
30,03/01/2023,41500,41250,41500,41500,56800,38300
31,04/01/2023,41900,41500,41500,41500,7000,38300
32,05/01/2023,41950,41500,41950,41500,23800,38300
33,06/01/2023,42000,41500,42000,41700,35200,38500
34,09/01/2023,42000,41800,42000,42000,25800,38800
35,10/01/2023,41150,40550,41000,41150,2500,39400
36,11/01/2023,41150,40800,41150,40800,4700,39100
37,12/01/2023,40800,40000,40800,40250,8000,38600
38,13/01/2023,41000,39500,39500,40400,6500,38700
39,16/01/2023,40500,39900,40400,40400,27200,38700
40,17/01/2023,40500,40200,40500,40500,7400,38800
41,18/01/2023,40900,40400,40900,40650,11100,38900
42,19/01/2023,40900,40100,40900,40900,7000,39200
43,27/01/2023,41500,40800,40900,41000,2700,39300
44,30/01/2023,41000,40100,41000,41000,7400,39300
45,31/01/2023,41100,41000,41100,41000,2800,39300
46,01/02/2023,41300,40600,41050,41000,21200,39300
47,02/02/2023,41000,40900,41000,41000,5300,39300
48,03/02/2023,41200,40800,41200,41000,1300,39300
49,06/02/2023,41100,40400,41000,40400,4000,38700
50,07/02/2023,41100,40500,41000,41100,11900,39400
51,08/02/2023,41500,41100,41200,41450,15200,39700
52,09/02/2023,41500,41450,41450,41500,5200,39800
53,10/02/2023,41500,41400,41450,41500,4300,39800
54,13/02/2023,40150,40150,40150,40150,100,38500
55,14/02/2023,41500,41500,41500,41500,10200,39800
56,15/02/2023,41500,41000,41500,41000,14900,39300
57,16/02/2023,41200,41000,41200,41050,22900,39300
58,17/02/2023,41050,41050,41050,41050,28400,39300
59,20/02/2023,41500,41050,41500,41400,2300,39700
60,21/02/2023,41600,41000,41600,41500,54900,39800
61,22/02/2023,41900,41100,41900,41100,1100,39400
62,23/02/2023,41950,41100,41900,41700,2600,39900
63,24/02/2023,41200,41100,41200,41100,3000,39400
64,27/02/2023,41850,41000,41000,41850,2300,40100
65,28/02/2023,41650,41000,41500,41650,2900,39900
66,01/03/2023,41600,41600,41600,41600,11000,39900
67,02/03/2023,41700,41500,41650,41500,1300,39800
68,03/03/2023,41700,41500,41700,41500,1400,39800
69,06/03/2023,41600,41500,41500,41550,9700,39800
70,07/03/2023,41500,40300,40300,41100,1800,39400
71,08/03/2023,41100,41100,41100,41100,3200,39400
72,09/03/2023,41700,41100,41100,41650,3100,39900
73,10/03/2023,41750,41600,41600,41750,6800,40000
74,13/03/2023,41750,41700,41700,41750,16900,40000
75,14/03/2023,41750,41100,41100,41700,30500,39900
76,15/03/2023,41700,41700,41700,41700,200,39900
77,16/03/2023,41700,41500,41700,41700,6500,39900
78,17/03/2023,41800,41700,41800,41700,3600,39900
79,20/03/2023,41900,40800,41900,41100,17300,39400
80,21/03/2023,41200,41200,41200,41200,200,39500
81,22/03/2023,41300,41300,41300,41300,100,39600
82,23/03/2023,41300,41300,41300,41300,700,39600
83,24/03/2023,42000,41750,42000,41800,4200,40000
84,27/03/2023,41900,41700,41800,41900,1600,40100
85,28/03/2023,42000,41800,41900,42000,5100,40200
86,29/03/2023,42250,42000,42000,42250,36800,40500
87,30/03/2023,42300,41500,42300,41500,500,39800
88,31/03/2023,42200,41550,41550,42000,2000,40200
89,03/04/2023,42300,42000,42300,42000,3300,40200
90,04/04/2023,42100,42000,42000,42000,500,40200
91,05/04/2023,42500,42000,42500,42000,1500,40200
92,06/04/2023,42500,41800,42500,41800,2400,40000
93,07/04/2023,42800,41500,42800,41500,3100,39800
94,10/04/2023,42500,42500,42500,42500,300,40700
