,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5830,5410,5700,5700,245100,5400
1,22/11/2022,5990,5700,5770,5700,316500,5400
2,23/11/2022,5810,5690,5790,5690,99400,5300
3,24/11/2022,5780,5600,5600,5750,114000,5400
4,25/11/2022,5990,5760,5760,5990,90600,5600
5,28/11/2022,6300,6000,6000,6250,306000,5900
6,29/11/2022,6340,6060,6290,6270,238900,5900
7,30/11/2022,6350,6220,6250,6290,214900,5900
8,01/12/2022,6730,6290,6300,6730,569000,6300
9,02/12/2022,6990,6500,6990,6760,137600,6300
10,05/12/2022,7200,6830,7200,6850,227600,6400
11,06/12/2022,6850,6600,6850,6620,242300,6200
12,07/12/2022,6620,6260,6610,6390,145700,6000
13,08/12/2022,6370,6150,6350,6340,157100,6300
14,09/12/2022,6350,6020,6340,6330,173300,6300
15,12/12/2022,6500,6290,6300,6290,166700,6300
16,13/12/2022,6310,6160,6230,6300,116000,6300
17,14/12/2022,6450,6260,6450,6270,44200,6300
18,15/12/2022,6380,6160,6160,6380,318000,6400
19,16/12/2022,6500,6220,6220,6450,137400,6500
20,19/12/2022,6900,6500,6500,6550,304300,6600
21,20/12/2022,6550,6290,6500,6440,88700,6400
22,21/12/2022,6790,6440,6440,6730,366200,6700
23,22/12/2022,7090,6300,7090,6660,203200,6700
24,23/12/2022,6860,6460,6860,6700,112300,6700
25,26/12/2022,6600,6280,6550,6280,227600,6300
26,27/12/2022,6500,6250,6300,6500,66100,6500
27,28/12/2022,6500,6250,6490,6320,157000,6300
28,29/12/2022,6440,6320,6320,6320,68400,6300
29,30/12/2022,6450,6310,6400,6390,59800,6400
30,03/01/2023,6460,6340,6390,6460,166900,6500
31,04/01/2023,6590,6420,6480,6490,97400,6500
32,05/01/2023,6600,6420,6600,6420,50200,6400
33,06/01/2023,6450,6330,6400,6340,128200,6300
34,09/01/2023,6450,6290,6320,6340,136600,6300
35,10/01/2023,6350,6270,6350,6340,90500,6300
36,11/01/2023,6600,6360,6390,6400,31200,6400
37,12/01/2023,6400,6200,6390,6380,41100,6400
38,13/01/2023,6380,6280,6320,6280,56800,6300
39,16/01/2023,6300,6130,6200,6130,95800,6100
40,17/01/2023,6310,6140,6200,6240,74000,6200
41,18/01/2023,6470,6280,6470,6330,73400,6300
42,19/01/2023,6380,6000,6380,6360,45600,6400
43,27/01/2023,6550,6420,6450,6540,183800,6500
44,30/01/2023,6990,6560,6650,6990,459300,7000
45,31/01/2023,7210,6680,6990,7000,451000,7000
46,01/02/2023,7490,7110,7250,7490,1530700,7500
47,02/02/2023,7520,7000,7500,7120,378600,7100
48,03/02/2023,7610,7150,7150,7610,1162900,7600
49,06/02/2023,8130,7720,7720,7750,408700,7800
