,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,15000,13800,15000,13800,2100,13200
1,22/11/2022,13800,13750,13800,13750,200,13100
2,23/11/2022,13750,13750,13750,13750,-,13100
3,24/11/2022,13750,13750,13750,13750,-,13100
4,25/11/2022,13700,13700,13700,13700,100,13100
5,28/11/2022,14600,12750,13650,12750,900,12200
6,29/11/2022,12750,12750,12750,12750,-,12200
7,30/11/2022,12750,12750,12750,12750,-,12200
8,01/12/2022,13500,12100,12150,13500,4000,12900
9,02/12/2022,13500,13500,13500,13500,-,12900
10,05/12/2022,12700,12600,12650,12700,1300,12100
11,06/12/2022,13550,13550,13550,13550,600,12900
12,07/12/2022,13000,12950,12950,13000,20100,12400
13,08/12/2022,13000,13000,13000,13000,-,12400
14,09/12/2022,13900,13900,13900,13900,100,13300
15,12/12/2022,12950,12950,12950,12950,100,12400
16,13/12/2022,12950,12950,12950,12950,-,12400
17,14/12/2022,12150,12100,12150,12100,1000,11500
18,15/12/2022,12900,12900,12900,12900,400,12300
19,16/12/2022,12900,12900,12900,12900,-,12300
20,19/12/2022,12900,12900,12900,12900,-,12300
21,20/12/2022,13000,12850,12850,13000,2700,12400
22,21/12/2022,12500,12100,12500,12100,1000,11500
23,22/12/2022,12100,12100,12100,12100,-,11500
24,23/12/2022,12100,12100,12100,12100,-,11500
25,26/12/2022,11900,11900,11900,11900,100,11400
26,27/12/2022,11900,11900,11900,11900,-,11400
27,28/12/2022,11900,11900,11900,11900,-,11400
28,29/12/2022,11900,11900,11900,11900,-,11400
29,30/12/2022,11900,11900,11900,11900,-,11400
30,03/01/2023,12700,12300,12300,12700,300,12100
31,04/01/2023,12700,12700,12700,12700,-,12100
32,05/01/2023,12700,12700,12700,12700,200,12100
33,06/01/2023,12700,12700,12700,12700,-,12100
34,09/01/2023,12700,12700,12700,12700,-,12100
35,10/01/2023,12700,12700,12700,12700,-,12100
36,11/01/2023,12700,12700,12700,12700,-,12100
37,12/01/2023,12700,12700,12700,12700,-,12100
38,13/01/2023,12700,12700,12700,12700,-,12100
39,16/01/2023,12700,12700,12700,12700,-,12100
40,17/01/2023,12700,12700,12700,12700,-,12100
41,18/01/2023,12700,12700,12700,12700,-,12100
42,19/01/2023,12700,12700,12700,12700,-,12100
43,27/01/2023,12700,12700,12700,12700,-,12100
44,30/01/2023,12700,12700,12700,12700,700,12100
45,31/01/2023,12700,12700,12700,12700,-,12100
46,01/02/2023,12700,12700,12700,12700,-,12100
47,02/02/2023,12700,12700,12700,12700,-,12100
48,03/02/2023,12700,12700,12700,12700,-,12100
49,06/02/2023,12700,12700,12700,12700,-,12100
50,07/02/2023,12700,12700,12700,12700,-,12100
51,08/02/2023,12700,12700,12700,12700,-,12100
52,09/02/2023,12700,12700,12700,12700,-,12100
53,10/02/2023,12700,12700,12700,12700,-,12100
54,13/02/2023,13550,11850,13200,13550,1700,12900
55,14/02/2023,13550,13550,13550,13550,-,12900
56,15/02/2023,14450,12650,14450,12700,700,12100
57,16/02/2023,12700,12700,12700,12700,-,12100
58,17/02/2023,12700,12700,12700,12700,-,12100
59,20/02/2023,12700,12700,12700,12700,-,12100
60,21/02/2023,12700,12700,12700,12700,-,12100
61,22/02/2023,12700,12700,12700,12700,-,12100
62,23/02/2023,12700,12700,12700,12700,-,12100
63,24/02/2023,12700,12700,12700,12700,-,12100
64,27/02/2023,12700,12700,12700,12700,-,12100
65,28/02/2023,13550,12700,12700,13550,300,12900
66,01/03/2023,13550,13550,13550,13550,-,12900
67,02/03/2023,13550,13550,13550,13550,-,12900
68,03/03/2023,13500,13500,13500,13500,100,12900
69,06/03/2023,13500,13500,13500,13500,-,12900
70,07/03/2023,13500,13500,13500,13500,-,12900
71,08/03/2023,13500,13500,13500,13500,-,12900
72,09/03/2023,13500,13500,13500,13500,-,12900
73,10/03/2023,13500,13500,13500,13500,-,12900
74,13/03/2023,13500,13500,13500,13500,-,12900
75,14/03/2023,12600,12600,12600,12600,5500,12000
76,15/03/2023,13450,11950,13450,11950,1400,11400
77,16/03/2023,12750,12700,12700,12750,2900,12200
78,17/03/2023,12750,12750,12750,12750,-,12200
79,20/03/2023,13000,13000,13000,13000,200,12400
80,21/03/2023,13300,13300,13300,13300,300,12700
81,22/03/2023,14200,12450,13250,12450,700,11900
82,23/03/2023,12450,12450,12450,12450,-,11900
83,24/03/2023,13000,13000,13000,13000,100,12400
84,27/03/2023,13000,13000,13000,13000,-,12400
85,28/03/2023,13000,13000,13000,13000,-,12400
86,29/03/2023,13000,13000,13000,13000,-,12400
87,30/03/2023,12200,12200,12200,12200,100,11600
88,31/03/2023,13050,13050,13050,13050,200,12400
89,03/04/2023,13950,13950,13950,13950,100,13300
90,04/04/2023,13950,13950,13950,13950,-,13300
91,05/04/2023,14900,14900,14900,14900,100,14200
92,06/04/2023,15900,15900,15900,15900,100,15200
93,07/04/2023,15900,15900,15900,15900,-,15200
94,10/04/2023,16950,16000,16000,16950,900,16200
95,11/04/2023,16950,16950,16950,16950,-,16200
96,12/04/2023,16950,16950,16950,16950,-,16200
97,13/04/2023,16950,16950,16950,16950,-,16200
98,14/04/2023,15800,15800,15800,15800,100,15100
99,17/04/2023,14700,14700,14700,14700,100,14000
100,18/04/2023,14750,13700,14700,13700,2100,13100
101,19/04/2023,13700,13700,13700,13700,-,13100
102,20/04/2023,13700,13700,13700,13700,-,13100
103,21/04/2023,13100,13100,13100,13100,100,12500
104,24/04/2023,12600,12600,12600,12600,100,12000
105,25/04/2023,12600,12600,12600,12600,200,12000
106,26/04/2023,12600,12600,12600,12600,-,12000
107,27/04/2023,12600,12600,12600,12600,-,12000
108,28/04/2023,12600,12600,12600,12600,-,12000
109,04/05/2023,12600,12600,12600,12600,-,12000
110,05/05/2023,12600,12600,12600,12600,-,12000
111,08/05/2023,12600,12600,12600,12600,-,12000
112,09/05/2023,12600,12600,12600,12600,-,12000
113,10/05/2023,12600,12600,12600,12600,-,12000
114,11/05/2023,12600,12600,12600,12600,-,12000
115,12/05/2023,12550,12550,12550,12550,100,12000
116,15/05/2023,12550,12550,12550,12550,-,12000
117,16/05/2023,13000,13000,13000,13000,100,12400
118,17/05/2023,12950,12950,12950,12950,100,13000
119,18/05/2023,12950,12950,12950,12950,-,13000
120,19/05/2023,12950,12950,12950,12950,-,13000
121,22/05/2023,12950,12950,12950,12950,100,13000
122,23/05/2023,12950,12950,12950,12950,200,13000
123,24/05/2023,12950,12950,12950,12950,-,13000
124,25/05/2023,12950,12950,12950,12950,-,13000
125,26/05/2023,12950,12950,12950,12950,-,13000
126,29/05/2023,12950,12950,12950,12950,-,13000
127,30/05/2023,12200,12200,12200,12200,100,12200
128,31/05/2023,12200,12200,12200,12200,-,12200
129,01/06/2023,12200,12200,12200,12200,-,12200
130,02/06/2023,12200,12200,12200,12200,-,12200
131,05/06/2023,12200,12200,12200,12200,-,12200
132,06/06/2023,12200,12200,12200,12200,-,12200
133,07/06/2023,12200,12200,12200,12200,-,12200
134,08/06/2023,12200,12200,12200,12200,-,12200
135,09/06/2023,13050,13050,13050,13050,300,13100
136,12/06/2023,13050,13050,13050,13050,-,13100
137,13/06/2023,13050,13050,13050,13050,-,13100
138,14/06/2023,13050,13050,13050,13050,-,13100
139,15/06/2023,13050,13050,13050,13050,-,13100
140,16/06/2023,13050,13050,13050,13050,-,13100
141,19/06/2023,13050,13050,13050,13050,-,13100
142,20/06/2023,13050,13050,13050,13050,-,13100
143,21/06/2023,13950,12150,12200,13950,300,14000
144,22/06/2023,13950,13950,13950,13950,500,14000
145,23/06/2023,13950,13950,13950,13950,-,14000
146,26/06/2023,13950,13950,13950,13950,100,14000
147,27/06/2023,14000,14000,14000,14000,300,14000
148,28/06/2023,14000,14000,14000,14000,-,14000
149,29/06/2023,14950,13050,13050,14900,300,14900
150,30/06/2023,15850,15800,15800,15850,200,15900
151,03/07/2023,16950,16900,16900,16950,1300,17000
152,04/07/2023,16950,16950,16950,16950,200,17000
153,05/07/2023,17500,16950,16950,16950,4000,17000
154,06/07/2023,16950,16950,16950,16950,-,17000
155,07/07/2023,16950,16950,16950,16950,-,17000
156,10/07/2023,16950,16950,16950,16950,-,17000
157,11/07/2023,16950,16950,16950,16950,-,17000
158,12/07/2023,15800,15800,15800,15800,100,15800
159,13/07/2023,14800,14700,14700,14700,4700,14700
160,14/07/2023,14700,14700,14700,14700,-,14700
161,17/07/2023,14700,13700,14700,13700,1600,13700
162,18/07/2023,13700,13700,13700,13700,-,13700
163,19/07/2023,12850,12850,12850,12850,100,12900
164,20/07/2023,12850,12850,12850,12850,-,12900
165,21/07/2023,12850,12850,12850,12850,-,12900
166,24/07/2023,12300,12000,12300,12300,6100,12300
167,25/07/2023,12300,12300,12300,12300,-,12300
168,26/07/2023,13150,13150,13150,13150,4500,13200
