,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4090,3860,3860,3870,19100,3900
1,22/11/2022,4080,3900,3970,3950,58300,4000
2,23/11/2022,4000,3870,4000,3900,8400,3900
3,24/11/2022,4000,3800,3880,3870,2400,3900
4,25/11/2022,4000,3900,3900,4000,46200,4000
5,28/11/2022,4200,4000,4000,4180,113100,4200
6,29/11/2022,4250,4050,4180,4200,62000,4200
7,30/11/2022,4440,4120,4190,4370,90300,4400
8,01/12/2022,4670,4400,4400,4670,222800,4700
9,02/12/2022,4800,4500,4680,4670,46600,4700
10,05/12/2022,4900,4500,4700,4730,119500,4700
11,06/12/2022,4800,4400,4800,4600,133900,4600
12,07/12/2022,4590,4280,4300,4280,145000,4300
13,08/12/2022,4500,4280,4500,4400,72700,4400
14,09/12/2022,4500,4200,4470,4260,28000,4300
15,12/12/2022,4400,4180,4200,4180,48300,4200
16,13/12/2022,4190,4000,4180,4180,20400,4200
17,14/12/2022,4270,4100,4270,4110,91100,4100
18,15/12/2022,4170,4100,4100,4160,18900,4200
19,16/12/2022,4190,4100,4100,4160,36900,4200
20,19/12/2022,4200,4100,4160,4100,70200,4100
21,20/12/2022,4170,3830,4170,4090,28600,4100
22,21/12/2022,4100,3830,4090,4050,15500,4100
23,22/12/2022,4100,3810,4050,3990,18200,4000
24,23/12/2022,3990,3820,3990,3830,17600,3800
25,26/12/2022,3950,3650,3840,3830,24700,3800
26,27/12/2022,3870,3610,3610,3870,11400,3900
27,28/12/2022,3950,3840,3900,3950,10000,4000
28,29/12/2022,3950,3760,3950,3830,10900,3800
29,30/12/2022,3980,3800,3960,3900,11200,3900
30,03/01/2023,3970,3850,3900,3970,34400,4000
31,04/01/2023,4000,3920,3950,3920,25700,3900
32,05/01/2023,4040,3800,3800,3970,22100,4000
33,06/01/2023,3970,3850,3960,3950,7100,4000
34,09/01/2023,4050,3860,4050,3940,9700,3900
35,10/01/2023,3980,3800,3840,3980,31200,4000
36,11/01/2023,3900,3780,3890,3900,36900,3900
37,12/01/2023,3900,3850,3900,3880,11600,3900
38,13/01/2023,3900,3780,3780,3800,14200,3800
39,16/01/2023,3800,3700,3800,3800,13600,3800
40,17/01/2023,3930,3630,3630,3900,11900,3900
41,18/01/2023,3940,3630,3670,3900,8300,3900
42,19/01/2023,3980,3730,3980,3950,36800,4000
43,27/01/2023,4050,3950,3950,4030,59700,4000
44,30/01/2023,4190,4040,4080,4050,38500,4100
45,31/01/2023,4050,3900,4050,4030,49400,4000
46,01/02/2023,4200,3930,4100,3930,171000,3900
47,02/02/2023,4060,3960,3960,3970,63900,4000
48,03/02/2023,4010,3930,4000,4000,29400,4000
49,06/02/2023,4080,3800,3800,4000,36200,4000
50,07/02/2023,4040,3910,4040,3940,31500,3900
51,08/02/2023,3960,3910,3920,3940,14600,3900
52,09/02/2023,3980,3890,3940,3960,2800,4000
53,10/02/2023,3980,3870,3960,3960,18900,4000
54,13/02/2023,3960,3700,3900,3700,65000,3700
55,14/02/2023,3800,3550,3750,3700,25600,3700
56,15/02/2023,3750,3600,3610,3690,18900,3700
57,16/02/2023,3750,3650,3690,3750,22700,3800
58,17/02/2023,3790,3700,3750,3780,36500,3800
59,20/02/2023,3900,3760,3780,3900,51400,3900
60,21/02/2023,3940,3890,3900,3930,50300,3900
61,22/02/2023,3900,3700,3800,3750,48500,3800
62,23/02/2023,3800,3730,3730,3790,42800,3800
63,24/02/2023,3800,3730,3730,3800,31300,3800
64,27/02/2023,3780,3620,3710,3740,62200,3700
65,28/02/2023,3740,3650,3740,3730,14300,3700
66,01/03/2023,3750,3670,3700,3670,32900,3700
67,02/03/2023,3860,3660,3860,3700,32900,3700
68,03/03/2023,3730,3680,3720,3710,82300,3700
69,06/03/2023,3960,3730,3890,3960,112500,4000
70,07/03/2023,3950,3810,3890,3860,57200,3900
71,08/03/2023,3920,3800,3800,3900,70700,3900
72,09/03/2023,4030,3860,3900,4000,314100,4000
73,10/03/2023,4090,3950,4090,3980,14100,4000
74,13/03/2023,3980,3810,3980,3850,49800,3900
75,14/03/2023,3850,3700,3850,3700,18100,3700
76,15/03/2023,3890,3690,3710,3800,21500,3800
77,16/03/2023,3810,3750,3800,3770,11600,3800
78,17/03/2023,3790,3710,3710,3790,13100,3800
79,20/03/2023,3850,3540,3790,3700,34100,3700
80,21/03/2023,3790,3560,3560,3750,5700,3800
81,22/03/2023,3800,3650,3650,3750,8500,3800
82,23/03/2023,3750,3700,3700,3750,5600,3800
83,24/03/2023,3840,3700,3840,3750,1400,3800
84,27/03/2023,3770,3610,3650,3770,16600,3800
85,28/03/2023,3850,3660,3800,3690,29800,3700
86,29/03/2023,3700,3630,3630,3700,14800,3700
87,30/03/2023,3730,3600,3700,3730,38000,3700
88,31/03/2023,3730,3650,3700,3730,16200,3700
89,03/04/2023,3750,3650,3650,3750,31300,3800
90,04/04/2023,3830,3700,3830,3800,30900,3800
91,05/04/2023,3850,3750,3800,3830,42100,3800
92,06/04/2023,3920,3840,3850,3860,147500,3900
93,07/04/2023,3880,3750,3760,3880,114700,3900
94,10/04/2023,3900,3780,3900,3800,120400,3800
95,11/04/2023,3870,3740,3740,3830,19000,3800
96,12/04/2023,3840,3710,3830,3830,5300,3800
97,13/04/2023,3820,3750,3780,3800,10400,3800
98,14/04/2023,3800,3720,3770,3760,25600,3800
99,17/04/2023,3780,3600,3710,3750,43700,3800
100,18/04/2023,3750,3620,3750,3660,23400,3700
101,19/04/2023,3700,3650,3660,3690,28300,3700
102,20/04/2023,3730,3670,3690,3720,1300,3700
103,21/04/2023,3800,3670,3720,3800,25700,3800
104,24/04/2023,3780,3650,3780,3740,51300,3700
105,25/04/2023,3740,3650,3740,3650,34000,3700
106,26/04/2023,3880,3650,3650,3810,154500,3800
107,27/04/2023,3890,3760,3780,3850,110100,3900
108,28/04/2023,4000,3800,3800,3900,43000,3900
109,04/05/2023,3900,3800,3800,3890,32700,3900
110,05/05/2023,4160,3890,3890,4160,535500,4200
111,08/05/2023,4400,4240,4400,4390,330000,4400
112,09/05/2023,4400,4100,4400,4130,186600,4100
113,10/05/2023,4410,4140,4180,4410,320000,4400
114,11/05/2023,4510,4300,4500,4320,131200,4300
115,12/05/2023,4360,4170,4200,4200,144000,4200
116,15/05/2023,4490,4180,4200,4400,192100,4400
117,16/05/2023,4440,4250,4300,4370,79900,4400
118,17/05/2023,4430,4300,4390,4370,124800,4400
119,18/05/2023,4400,4240,4240,4350,67200,4400
120,19/05/2023,4340,4210,4340,4230,96500,4200
121,22/05/2023,4270,4210,4230,4260,25600,4300
122,23/05/2023,4550,4260,4260,4440,296200,4400
123,24/05/2023,4500,4400,4440,4440,50100,4400
124,25/05/2023,4430,4220,4220,4300,29100,4300
125,26/05/2023,4380,4200,4300,4350,62000,4400
126,29/05/2023,4650,4430,4430,4650,360500,4700
127,30/05/2023,4970,4860,4890,4970,546700,5000
128,31/05/2023,5310,5150,5310,5310,394200,5300
129,01/06/2023,5670,5340,5670,5600,297900,5600
130,02/06/2023,5700,5400,5400,5630,523000,5600
131,05/06/2023,5990,5500,5990,5580,200100,5600
132,06/06/2023,5700,5300,5300,5680,143300,5700
133,07/06/2023,5760,5550,5680,5760,267700,5800
134,08/06/2023,6000,5660,5660,5900,287200,5900
135,09/06/2023,5990,5710,5900,5780,93100,5800
136,12/06/2023,6180,5720,5720,6100,299900,6100
137,13/06/2023,6180,6020,6180,6020,91800,6000
138,14/06/2023,6170,5750,6000,5990,161100,6000
139,15/06/2023,6000,5650,5990,5670,46600,5700
140,16/06/2023,5900,5300,5670,5600,97600,5600
141,19/06/2023,5500,5210,5390,5210,260000,5200
142,20/06/2023,5470,5150,5470,5270,100700,5300
143,21/06/2023,5500,5310,5310,5390,166100,5400
144,22/06/2023,5600,5350,5600,5390,125700,5400
145,23/06/2023,5450,5110,5390,5140,218100,5100
146,26/06/2023,5300,4790,5100,5000,249700,5000
147,27/06/2023,5300,5000,5300,5000,73300,5000
148,28/06/2023,5160,5000,5000,5100,90200,5100
149,29/06/2023,5200,5010,5040,5040,284800,5000
150,30/06/2023,5160,5000,5160,5040,37100,5000
151,03/07/2023,5090,5010,5010,5040,23900,5000
152,04/07/2023,5090,5030,5030,5080,52600,5100
153,05/07/2023,5110,4860,5080,5000,128200,5000
154,06/07/2023,5100,4910,5000,5000,74600,5000
155,07/07/2023,4990,4900,4920,4990,23000,5000
156,10/07/2023,5000,4960,4990,5000,136600,5000
157,11/07/2023,5250,5000,5000,5050,137800,5100
158,12/07/2023,5100,4970,5020,4980,180100,5000
159,13/07/2023,5100,4970,5080,5010,130300,5000
160,14/07/2023,5040,4970,5000,5010,227500,5000
161,17/07/2023,5220,5030,5100,5180,170500,5200
162,18/07/2023,5200,5120,5180,5130,67000,5100
163,19/07/2023,5480,5130,5140,5480,530400,5500
164,20/07/2023,5860,5860,5860,5860,352900,5900
165,21/07/2023,6270,5700,6270,5750,599100,5800
166,24/07/2023,5900,5520,5900,5750,271100,5800
167,25/07/2023,5890,5650,5890,5760,150300,5800
168,26/07/2023,5860,5690,5700,5750,195300,5800
169,27/07/2023,5800,5520,5800,5550,272600,5600
170,28/07/2023,5930,5930,5930,5930,78300,5900
171,31/07/2023,6340,6340,6340,6340,150500,6300
172,01/08/2023,6780,6780,6780,6780,236300,6800
173,02/08/2023,7250,6330,7200,7250,2539800,7300
174,03/08/2023,7750,7750,7750,7750,454000,7800
175,04/08/2023,8290,8290,8290,8290,260700,8300
176,07/08/2023,8870,8870,8870,8870,182500,8900
177,08/08/2023,9490,9490,9490,9490,226900,9500
178,09/08/2023,10150,9490,10150,9850,5544100,9900
179,10/08/2023,10100,9300,9850,9790,1553200,9800
180,11/08/2023,9990,9110,9810,9700,2290200,9700
181,14/08/2023,10200,9350,9810,9990,1507300,10000
182,15/08/2023,10150,9700,10150,9980,865500,10000
183,16/08/2023,10650,9800,9990,10650,1399800,10700
184,17/08/2023,11350,11000,11350,11350,2966600,11400
185,18/08/2023,12100,11100,11100,11300,3259200,11300
186,21/08/2023,11700,10550,11600,10550,2190800,10600
187,22/08/2023,10700,9820,10600,10300,1031800,10300
188,23/08/2023,11000,10600,10600,11000,1754900,11000
189,24/08/2023,11500,10800,11400,11500,974300,11500
190,25/08/2023,12100,11350,11500,11450,1262100,11500
191,28/08/2023,11850,11200,11600,11700,885100,11700
192,29/08/2023,11800,11200,11750,11550,1216200,11600
193,30/08/2023,11700,10800,10800,11600,909200,11600
194,31/08/2023,11800,11350,11700,11800,1231500,11800
195,05/09/2023,12600,12100,12200,12600,1391800,12600
196,06/09/2023,13300,12550,12950,12950,1937000,13000
197,07/09/2023,12950,12400,12950,12900,1308000,12900
198,08/09/2023,12850,12500,12850,12650,1101900,12700
199,11/09/2023,13050,11800,12650,11800,1429900,11800
200,12/09/2023,12450,11500,11800,12450,1120100,12500
201,13/09/2023,12500,11900,12400,12000,776600,12000
202,14/09/2023,12250,11400,12000,11400,835100,11400
203,15/09/2023,11700,11200,11400,11300,709400,11300
204,18/09/2023,11200,10550,11200,10650,1376900,10700
205,19/09/2023,10950,10150,10800,10350,874600,10400
206,20/09/2023,11050,10300,10400,11050,948900,11100
207,21/09/2023,11500,10900,11050,10950,530400,11000
208,22/09/2023,10650,10200,10350,10200,1479900,10200
209,25/09/2023,10300,9490,9900,9490,624700,9500
210,26/09/2023,9550,8830,8900,8830,787300,8800
211,27/09/2023,9200,8220,9000,9000,1219900,9000
212,28/09/2023,9560,8800,9180,8810,529500,8800
213,29/09/2023,9200,8680,8850,8680,572700,8700
214,02/10/2023,9090,8690,8690,9000,428400,9000
215,03/10/2023,8900,8370,8900,8370,473900,8400
216,04/10/2023,8670,7810,8330,8590,498900,8600
217,05/10/2023,8790,8200,8790,8220,210600,8200
218,06/10/2023,8500,7650,8220,8400,409500,8400
219,09/10/2023,8590,8150,8150,8540,242100,8500
220,10/10/2023,9130,8610,8740,9130,553400,9100
221,11/10/2023,9750,9200,9750,9550,588000,9600
222,12/10/2023,9720,9360,9550,9360,369200,9400
223,13/10/2023,9620,9200,9350,9370,308600,9400
224,16/10/2023,9400,9100,9370,9110,324300,9100
225,17/10/2023,9310,9000,9310,9000,255100,9000
226,18/10/2023,9000,8370,8880,8500,736000,8500
227,19/10/2023,8590,8010,8590,8300,449800,8300
228,20/10/2023,8490,7900,8300,8490,450300,8500
229,23/10/2023,8430,8210,8400,8220,424900,8200
230,24/10/2023,8460,8000,8200,8250,170500,8300
231,25/10/2023,8600,8250,8290,8500,238400,8500
232,26/10/2023,8110,7910,8100,7910,1300200,7900
233,27/10/2023,8100,7800,7910,8000,361400,8000
234,30/10/2023,8360,8000,8150,8070,288600,8100
235,31/10/2023,8120,7510,8020,7510,324400,7500
236,01/11/2023,7900,7000,7700,7900,288600,7900
237,02/11/2023,8450,7570,7960,8440,521200,8400
238,03/11/2023,8500,8150,8500,8170,222600,8200
239,06/11/2023,8190,7950,8150,8000,209900,8000
240,07/11/2023,8350,7890,7900,8240,325600,8200
241,08/11/2023,8750,8140,8370,8700,435500,8700
242,09/11/2023,9250,8750,8990,9180,708400,9200
243,10/11/2023,9390,8900,9000,9170,1762000,9200
244,13/11/2023,9270,8750,9100,8900,413900,8900
245,14/11/2023,9520,8960,8960,9520,1637700,9500
246,15/11/2023,10150,9980,10000,10150,921000,10200
247,16/11/2023,10400,9770,10200,9940,1164600,9900
248,17/11/2023,10150,9400,10150,9400,1457400,9400
249,20/11/2023,9530,9030,9290,9320,796600,9300
