,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,10050,9700,10000,10050,331300,10100
1,22/11/2022,10750,10100,10700,10600,419100,10600
2,23/11/2022,10900,9860,10700,10050,202300,10100
3,24/11/2022,10500,9350,9450,10300,152100,10300
4,25/11/2022,11000,10800,10900,11000,145800,11000
5,28/11/2022,11750,11750,11750,11750,45800,11800
6,29/11/2022,12550,11800,12550,12550,470300,12600
7,30/11/2022,13400,12500,13350,13400,322000,13400
8,01/12/2022,14300,13800,14300,14300,287800,14300
9,02/12/2022,15300,13800,14400,15300,436600,15300
10,05/12/2022,16350,15750,16350,16350,249200,16400
11,06/12/2022,17450,15250,17200,15250,634300,15300
12,07/12/2022,14600,14200,14200,14200,263200,14200
13,08/12/2022,15150,14000,14000,15150,586500,15200
14,09/12/2022,15900,14500,15900,15200,257300,15200
15,12/12/2022,15300,14150,15200,14150,391700,14200
16,13/12/2022,14000,13200,14000,13650,449800,13700
17,14/12/2022,14550,13600,14500,13950,191000,14000
18,15/12/2022,14000,13250,13800,13950,211500,14000
19,16/12/2022,14250,13400,13850,14000,248000,14000
20,19/12/2022,14700,13600,14000,13600,228400,13600
21,20/12/2022,13600,12650,13150,12650,348400,12700
22,21/12/2022,12500,11800,12100,11800,319300,11800
23,22/12/2022,12400,11150,12000,11900,152600,11900
24,23/12/2022,12100,11300,11300,11600,134500,11600
25,26/12/2022,11600,10800,11600,10800,206300,10800
26,27/12/2022,11550,10500,10700,11550,229800,11600
27,28/12/2022,12000,11700,12000,12000,211800,12000
28,29/12/2022,12200,11400,12000,11450,84800,11500
29,30/12/2022,11600,11150,11500,11300,97000,11300
30,03/01/2023,12050,10900,10900,12050,141300,12100
31,04/01/2023,12600,12150,12150,12450,181400,12500
32,05/01/2023,12700,11800,12050,12300,99300,12300
33,06/01/2023,12350,11600,12250,11700,277400,11700
34,09/01/2023,11800,11350,11750,11350,93000,11400
35,10/01/2023,11700,11000,11350,11700,58400,11700
36,11/01/2023,12000,11500,11700,11600,92300,11600
37,12/01/2023,11900,11300,11600,11500,49200,11500
38,13/01/2023,11650,11200,11550,11200,80600,11200
39,16/01/2023,11400,11050,11100,11200,75100,11200
40,17/01/2023,11950,11000,11200,11950,169700,12000
41,18/01/2023,12750,12000,12200,12750,231700,12800
42,19/01/2023,13200,12550,13200,12750,169200,12800
43,27/01/2023,13050,12500,12800,12500,180900,12500
44,30/01/2023,13350,12150,12550,12850,285800,12900
45,31/01/2023,13300,12500,13300,13100,162000,13100
46,01/02/2023,13450,12400,13450,12500,304700,12500
47,02/02/2023,12750,12000,12500,12100,112800,12100
48,03/02/2023,12400,11950,12100,12100,84600,12100
49,06/02/2023,12300,11800,12000,12000,73700,12000
50,07/02/2023,12300,11800,12000,11800,135900,11800
51,08/02/2023,12000,11350,11800,11950,118800,12000
52,09/02/2023,12000,11500,11500,11950,46600,12000
53,10/02/2023,11900,11300,11900,11500,50500,11500
54,13/02/2023,11500,10700,11050,10800,116800,10800
55,14/02/2023,11200,10500,10800,10800,53300,10800
56,15/02/2023,11550,10500,10500,11300,76300,11300
57,16/02/2023,11500,11000,11300,11500,58900,11500
58,17/02/2023,11900,11200,11200,11350,73600,11400
59,20/02/2023,12100,11150,11150,12100,163700,12100
60,21/02/2023,12700,11900,12700,12000,97700,12000
61,22/02/2023,12000,11300,11950,11450,147500,11500
62,23/02/2023,11600,10900,11600,11250,81100,11300
63,24/02/2023,11600,11000,11600,11200,54400,11200
64,27/02/2023,11050,10450,10900,10450,99400,10500
65,28/02/2023,10950,10500,10950,10750,55000,10800
66,01/03/2023,11350,10000,10100,11350,110400,11400
67,02/03/2023,11350,10950,11350,10950,43400,11000
68,03/03/2023,11300,10500,11300,10500,78100,10500
69,06/03/2023,11200,10500,10900,10900,97000,10900
70,07/03/2023,11000,10800,10800,10900,25400,10900
71,08/03/2023,11250,10300,10300,11250,89100,11300
72,09/03/2023,11250,10950,11250,11050,95500,11100
73,10/03/2023,11100,10850,10900,10850,33500,10900
74,13/03/2023,10950,10450,10450,10650,49500,10700
75,14/03/2023,10750,10450,10650,10500,80300,10500
76,15/03/2023,11200,10750,10950,11150,61500,11200
77,16/03/2023,11000,10750,10800,10800,91200,10800
78,17/03/2023,11100,10800,10800,10800,83100,10800
79,20/03/2023,11000,10500,11000,10550,81200,10600
80,21/03/2023,10700,10200,10600,10600,92900,10600
81,22/03/2023,10800,10550,10600,10550,36400,10600
82,23/03/2023,10700,10400,10500,10600,41700,10600
83,24/03/2023,11000,10600,10700,10900,234900,10900
84,27/03/2023,11250,10900,11250,10950,103600,11000
85,28/03/2023,11200,10950,11150,10950,99500,11000
86,29/03/2023,11150,10800,10950,10950,89200,11000
87,30/03/2023,11400,11050,11350,11150,285700,11200
88,31/03/2023,11350,11100,11350,11200,114900,11200
89,03/04/2023,11950,11250,11700,11950,255400,12000
90,04/04/2023,12650,12000,12650,12350,235100,12400
91,05/04/2023,13200,12300,12300,13200,404700,13200
92,06/04/2023,14100,13300,13800,13300,559500,13300
93,07/04/2023,14000,13000,13500,13600,356700,13600
94,10/04/2023,14200,13400,13950,13550,305400,13600
95,11/04/2023,13600,12650,13300,13550,388100,13600
96,12/04/2023,13950,13200,13550,13550,204000,13600
97,13/04/2023,13700,13200,13700,13200,141300,13200
98,14/04/2023,13500,12300,13200,12300,216700,12300
99,17/04/2023,12450,12000,12200,12450,106200,12500
100,18/04/2023,13100,12350,12500,13000,124300,13000
101,19/04/2023,13650,12800,13650,12800,195800,12800
102,20/04/2023,13100,12500,12500,13000,118500,13000
103,21/04/2023,13000,12750,13000,12950,130100,13000
104,24/04/2023,13350,12650,12950,13200,148800,13200
105,25/04/2023,13600,13000,13350,13000,135500,13000
106,26/04/2023,13150,12850,13000,13100,79500,13100
107,27/04/2023,14000,13300,13450,14000,588600,14000
108,28/04/2023,14900,14300,14900,14550,401700,14600
109,04/05/2023,15300,14200,14500,15000,391800,15000
110,05/05/2023,15050,14000,14900,14500,356700,14500
111,08/05/2023,15500,14500,14700,15500,668800,15500
112,09/05/2023,16300,15200,15500,15550,256700,15600
113,10/05/2023,16200,15550,16000,15950,398400,16000
114,11/05/2023,16900,15500,16300,16000,664100,16000
115,12/05/2023,16100,15500,16050,15800,445900,15800
116,15/05/2023,16050,15300,16000,15300,403200,15300
117,16/05/2023,15700,15200,15600,15450,232700,15500
118,17/05/2023,16400,15450,15450,15600,485700,15600
119,18/05/2023,15900,15500,15900,15550,176900,15600
120,19/05/2023,15800,14800,15500,15500,493800,15500
121,22/05/2023,16250,15300,15500,16250,484900,16300
122,23/05/2023,17350,16250,16750,17350,915900,17400
123,24/05/2023,18550,18550,18550,18550,323100,18600
124,25/05/2023,19800,18550,19800,19250,1324100,19300
125,26/05/2023,20000,19000,19000,19200,353100,19200
126,29/05/2023,20500,19500,19500,20500,430000,20500
127,30/05/2023,21850,20700,21850,21500,611000,21500
128,31/05/2023,21950,20550,21500,21000,679900,21000
129,01/06/2023,21000,20350,21000,20850,657600,20900
130,02/06/2023,21750,20500,21050,20500,472700,20500
131,05/06/2023,21200,20500,20650,20700,267200,20700
132,06/06/2023,22000,19600,20650,21900,693300,21900
133,07/06/2023,22500,21600,22450,22350,625000,22400
134,08/06/2023,22500,20900,22500,20900,608900,20900
135,09/06/2023,20950,19900,20900,20600,478900,20600
136,12/06/2023,20700,19650,20100,20500,420100,20500
137,13/06/2023,21300,20200,20200,21050,514700,21100
138,14/06/2023,21850,20350,21850,20400,294400,20400
139,15/06/2023,20800,20100,20100,20250,204800,20300
140,16/06/2023,20800,19800,20800,19800,446200,19800
141,19/06/2023,19800,18450,19800,18450,685500,18500
142,20/06/2023,19700,18500,18500,19700,312000,19700
143,21/06/2023,20450,19850,20450,20150,322100,20200
144,22/06/2023,20800,20350,20400,20350,380100,20400
145,23/06/2023,20700,20000,20700,20300,371500,20300
146,26/06/2023,20450,19100,20000,19500,566100,19500
147,27/06/2023,19850,19300,19850,19500,213100,19500
148,28/06/2023,19900,19400,19500,19400,255600,19400
149,29/06/2023,19400,18500,19400,18500,330200,18500
150,30/06/2023,18900,18300,18300,18600,202900,18600
151,03/07/2023,18900,18300,18600,18350,152300,18400
152,04/07/2023,19450,18200,18200,19300,212400,19300
153,05/07/2023,19700,18900,19300,18900,220200,18900
154,06/07/2023,19250,18300,18900,18800,268500,18800
155,07/07/2023,19650,18550,18800,19650,553400,19700
156,10/07/2023,21000,20050,20050,21000,748900,21000
157,11/07/2023,21600,20100,21600,20500,565000,20500
158,12/07/2023,21200,19950,20500,21100,603100,21100
159,13/07/2023,21600,21100,21600,21200,525700,21200
160,14/07/2023,21400,20500,21250,20800,535100,20800
161,17/07/2023,22000,21000,21000,21500,679400,21500
162,18/07/2023,21700,21000,21700,21400,300300,21400
163,19/07/2023,21600,20850,21500,20850,423200,20900
164,20/07/2023,20850,20000,20750,20600,431500,20600
165,21/07/2023,21500,20450,20950,21200,687900,21200
166,24/07/2023,21850,21150,21500,21450,685400,21500
167,25/07/2023,21500,20750,21500,21100,653500,21100
168,26/07/2023,21150,20600,21050,20900,319100,20900
169,27/07/2023,22350,20800,21000,22350,1637300,22400
170,28/07/2023,23900,23100,23100,23750,899900,23800
171,31/07/2023,24550,22800,24550,23450,625700,23500
172,01/08/2023,23450,22500,22800,22500,727200,22500
173,02/08/2023,23400,22300,22450,23400,503000,23400
174,03/08/2023,24100,23050,23400,23400,534100,23400
175,04/08/2023,24300,23500,23700,24000,489400,24000
176,07/08/2023,24450,22900,24450,23450,864400,23500
177,08/08/2023,23400,22800,23000,22900,612400,22900
178,09/08/2023,23450,22400,22950,23450,551800,23500
179,10/08/2023,23500,22400,23450,22400,556100,22400
180,11/08/2023,22700,21400,22700,22500,680800,22500
181,14/08/2023,23600,22800,22900,23150,749500,23200
182,15/08/2023,23450,22900,23400,23000,389500,23000
183,16/08/2023,24000,22450,23000,24000,841100,24000
184,17/08/2023,25200,24000,24000,24000,1161200,24000
185,18/08/2023,23950,22350,23900,22350,781500,22400
186,21/08/2023,22350,20850,21000,21000,863700,21000
187,22/08/2023,21300,19550,21250,20900,725900,20900
188,23/08/2023,21750,20850,21750,20900,261302,20900
189,24/08/2023,21800,20700,21000,21650,497303,21700
190,25/08/2023,21800,21300,21750,21350,426302,21400
191,28/08/2023,21800,21200,21400,21800,360503,21800
192,29/08/2023,22850,21700,21900,22000,399002,22000
193,30/08/2023,22200,21600,22000,21900,352201,21900
194,31/08/2023,22700,22050,22050,22200,410401,22200
195,05/09/2023,22850,22350,22850,22450,425000,22500
196,06/09/2023,24000,21950,22450,24000,975702,24000
197,07/09/2023,24800,23900,24500,23900,729502,23900
198,08/09/2023,24000,23050,23600,23300,666801,23300
199,11/09/2023,23800,22050,23500,22050,727900,22100
200,12/09/2023,23050,21800,22550,23000,475521,23000
201,13/09/2023,23350,22300,23350,22700,546208,22700
202,14/09/2023,22600,21650,22500,21800,674900,21800
203,15/09/2023,21900,21100,21700,21500,369800,21500
204,18/09/2023,21500,20700,21200,20800,526100,20800
205,19/09/2023,21200,20400,21100,21200,354600,21200
206,20/09/2023,22100,20650,21200,22000,246400,22000
207,21/09/2023,22400,21700,22300,21700,256600,21700
208,22/09/2023,21100,20200,20900,20300,468200,20300
209,25/09/2023,20350,18900,20300,18900,371302,18900
210,26/09/2023,19200,17600,17950,17600,542700,17600
211,27/09/2023,18000,16550,17600,17700,562200,17700
212,28/09/2023,18000,16800,17700,17350,267000,17400
213,29/09/2023,17850,17500,17850,17500,194400,17500
214,02/10/2023,18300,17400,17500,17700,229700,17700
215,03/10/2023,17600,16500,17600,16500,426500,16500
216,04/10/2023,16800,15350,15350,16500,209700,16500
217,05/10/2023,16750,15700,16550,15700,203200,15700
218,06/10/2023,16100,15200,15700,15800,334100,15800
219,09/10/2023,16200,15500,15500,16200,153700,16200
220,10/10/2023,16650,16250,16500,16300,287800,16300
221,11/10/2023,16500,15850,16350,16500,205900,16500
222,12/10/2023,17650,16650,16650,17350,458500,17400
223,13/10/2023,17850,16750,16850,17750,274600,17800
224,16/10/2023,17800,17050,17450,17050,217500,17100
225,17/10/2023,17200,16400,17100,16400,246700,16400
226,18/10/2023,16300,15300,16200,15300,458800,15300
227,19/10/2023,15300,14500,14750,14500,274200,14500
228,20/10/2023,15500,14300,14400,15500,335500,15500
229,23/10/2023,16000,15100,15100,15500,213200,15500
230,24/10/2023,15900,15400,15800,15650,196300,15700
231,25/10/2023,16100,15650,15750,15700,163400,15700
232,26/10/2023,15600,14650,14650,14650,444800,14700
233,27/10/2023,15500,14300,15100,15300,292100,15300
234,30/10/2023,15700,15000,15300,15000,246900,15000
235,31/10/2023,15100,14000,15100,14200,307700,14200
236,01/11/2023,14650,13600,14650,14100,192500,14100
237,02/11/2023,15050,14350,14500,15050,366200,15100
238,03/11/2023,15850,15200,15400,15700,361500,15700
239,06/11/2023,16000,15500,15800,15950,254300,16000
240,07/11/2023,16100,15500,15900,15500,200600,15500
241,08/11/2023,16550,15500,15500,16550,444200,16600
242,09/11/2023,17650,16800,16950,17250,359300,17300
243,10/11/2023,17900,16950,17000,17100,543900,17100
244,13/11/2023,17600,17000,17600,17250,326100,17300
245,14/11/2023,17550,17000,17550,17300,266900,17300
246,15/11/2023,17800,17050,17800,17250,437900,17300
247,16/11/2023,18000,17050,17250,18000,320600,18000
248,17/11/2023,18400,17300,18050,17600,438600,17600
249,20/11/2023,17750,17000,17100,17450,244100,17500
