,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,13400,12750,12750,13200,263000,12800
1,22/11/2022,13600,12950,13400,13400,290800,13000
2,23/11/2022,13750,13000,13400,13700,245400,13300
3,24/11/2022,14000,12900,13750,13400,264800,13000
4,25/11/2022,14000,13250,13400,14000,286700,13600
5,28/11/2022,14500,14100,14150,14500,309000,14100
6,29/11/2022,14950,14050,14500,14050,280100,13600
7,30/11/2022,14500,13800,14000,14400,391600,14000
8,01/12/2022,14900,14000,14500,14400,351300,14000
9,02/12/2022,14500,14050,14400,14500,112200,14100
10,05/12/2022,14700,14300,14600,14550,269800,14100
11,06/12/2022,14500,13600,14450,13600,231600,13200
12,07/12/2022,14000,13400,13600,13500,224000,13100
13,08/12/2022,13900,13500,13550,13500,367800,13100
14,09/12/2022,14400,13450,13650,14300,390200,13900
15,12/12/2022,14500,14100,14500,14200,229500,13800
16,13/12/2022,14300,13800,14200,14300,233100,13900
17,14/12/2022,14700,14300,14400,14500,195300,14100
18,15/12/2022,14550,14250,14550,14400,123600,14000
19,16/12/2022,14400,14000,14300,14100,285800,13700
20,19/12/2022,14500,13500,14200,13500,281400,13100
21,20/12/2022,13900,13000,13600,13100,333100,12700
22,21/12/2022,13400,12600,13150,13100,213300,12700
23,22/12/2022,13450,12950,13100,13450,219300,13000
24,23/12/2022,14350,13450,13450,14300,328900,13900
25,26/12/2022,14500,13650,14400,13800,207300,13400
26,27/12/2022,14000,12950,13800,13800,235800,13400
27,28/12/2022,13850,13250,13850,13500,129200,13100
28,29/12/2022,13600,13200,13600,13500,92000,13100
29,30/12/2022,13600,13100,13600,13100,79000,12700
30,03/01/2023,13650,13100,13100,13650,183100,13200
31,04/01/2023,14000,13450,13750,13700,155400,13300
32,05/01/2023,13850,13600,13750,13800,98900,13400
33,06/01/2023,14450,13900,13900,13950,267000,13500
34,09/01/2023,14200,13850,14200,13950,101300,13500
35,10/01/2023,14000,13600,14000,13600,83900,13200
36,11/01/2023,13900,13500,13750,13650,94300,13200
37,12/01/2023,13700,13500,13700,13700,89400,13300
38,13/01/2023,13850,13600,13800,13700,82900,13300
39,16/01/2023,13850,13600,13700,13750,99000,13300
40,17/01/2023,14100,13650,13800,14100,166500,13700
41,18/01/2023,14400,14000,14200,14300,142700,13900
42,19/01/2023,14650,14300,14350,14350,141100,13900
43,27/01/2023,14750,14450,14500,14500,140500,14100
44,30/01/2023,15500,14500,14500,15500,366800,15000
45,31/01/2023,15400,15100,15400,15400,207000,14900
46,01/02/2023,16450,15150,15400,16000,697600,15500
47,02/02/2023,16050,15250,16050,15250,145800,14800
48,03/02/2023,15500,15000,15300,15000,270300,14600
49,06/02/2023,15600,14900,15050,15400,233400,14900
50,07/02/2023,15550,15100,15400,15100,187700,14600
51,08/02/2023,15250,14700,15250,14700,148000,14300
52,09/02/2023,15700,14700,14750,15700,427300,15200
53,10/02/2023,16300,15600,15800,15700,404800,15200
54,13/02/2023,15800,14650,15700,15000,436900,14600
55,14/02/2023,15150,14200,15050,14200,287400,13800
56,15/02/2023,14600,14100,14300,14200,182700,13800
57,16/02/2023,14750,14300,14300,14600,235100,14200
58,17/02/2023,15100,14700,14750,14900,395700,14500
59,20/02/2023,15500,15000,15000,15450,326300,15000
