,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,23050,22550,23000,23050,6105400,22700
1,22/11/2022,24650,22600,23600,23100,6766500,22700
2,23/11/2022,23400,22000,23000,22150,3005100,21800
3,24/11/2022,23700,21700,21700,23500,4460300,23100
4,25/11/2022,25100,23900,24200,25000,3847700,24600
5,28/11/2022,26750,25500,25950,26750,3225800,26300
6,29/11/2022,27900,25500,27500,27600,4018800,27100
7,30/11/2022,28500,26650,27550,28500,3171300,28000
8,01/12/2022,29900,27500,28600,27550,6461300,27100
9,02/12/2022,29450,27400,27550,29350,3324400,28900
10,05/12/2022,30000,28500,29500,29900,3459500,29400
11,06/12/2022,29800,28150,29500,29250,4298700,28800
12,07/12/2022,28900,27600,28850,28250,3087000,27800
13,08/12/2022,30000,28400,28400,30000,2714000,29500
14,09/12/2022,30200,28500,29700,30200,2370600,29700
15,12/12/2022,30200,28550,30200,28550,1809800,28100
16,13/12/2022,30000,27600,27600,30000,1729500,29800
17,14/12/2022,31000,30000,30950,30500,1674300,30300
18,15/12/2022,30650,30050,30400,30500,835900,30300
19,16/12/2022,31500,30100,30350,30500,1387700,30300
20,19/12/2022,30800,30350,30750,30700,1671800,30500
21,20/12/2022,30700,28600,30000,30700,4710500,30500
22,21/12/2022,30600,28800,30600,30500,1776200,30300
23,22/12/2022,30500,29100,29800,30500,1489100,30300
24,23/12/2022,30250,29550,29700,30000,879100,29800
25,26/12/2022,29800,27900,29800,28950,1008100,28800
26,27/12/2022,30000,28150,28150,30000,1049600,29800
27,28/12/2022,30050,29300,30000,30050,934600,29900
28,29/12/2022,30100,29700,29700,29900,299800,29700
29,30/12/2022,31000,29650,29950,31000,1427600,30800
30,03/01/2023,31950,30650,31000,31950,2060300,31800
31,04/01/2023,32400,30750,32400,31000,1219700,30800
32,05/01/2023,31300,30600,31000,30750,874000,30600
33,06/01/2023,31300,29100,30900,30150,1080300,30000
34,09/01/2023,30150,28500,30150,28500,1018300,28300
35,10/01/2023,28850,27300,28100,27700,1348800,27500
36,11/01/2023,28900,27400,27700,27950,650900,27800
37,12/01/2023,28200,26700,28000,26700,1148000,26500
38,13/01/2023,27450,26100,27250,26250,1838800,26100
39,16/01/2023,26350,25600,26300,25600,1327000,25400
40,17/01/2023,26900,25750,25750,26500,1084000,26300
41,18/01/2023,27900,26500,27350,27750,844200,27600
42,19/01/2023,28700,27500,27750,28550,912000,28400
43,27/01/2023,28900,28350,28550,28500,742800,28300
44,30/01/2023,29450,28000,28400,29400,1829700,29200
45,31/01/2023,29500,28850,29400,29200,627700,29000
46,01/02/2023,29600,27800,29550,27800,1870500,27600
47,02/02/2023,28100,27050,27800,27800,911200,27600
48,03/02/2023,28200,27600,27950,27700,297100,27500
49,06/02/2023,27800,27400,27700,27700,311900,27500
50,07/02/2023,27800,27000,27800,27700,482900,27500
51,08/02/2023,27700,26650,27700,27000,781100,26800
52,09/02/2023,27200,26600,26600,26650,324300,26500
53,10/02/2023,27050,26500,26650,26750,393300,26600
54,13/02/2023,26750,25700,26750,25800,1203200,25600
