,Date,High,Low,Open,Close,Volume,Adj Close
0,28/11/2022,11500,10150,10700,10450,681600,10500
1,29/11/2022,10450,9900,10400,9950,463300,10000
2,30/11/2022,10250,9450,9950,9500,145600,9500
3,01/12/2022,9500,8840,9500,9000,373800,9000
4,02/12/2022,9000,8370,8800,9000,182700,9000
5,05/12/2022,9350,9000,9000,9180,235000,9200
6,06/12/2022,9200,8850,9180,8980,141800,9000
7,07/12/2022,9050,8800,8970,8990,257600,9000
8,08/12/2022,9200,8950,8990,9200,325300,9200
9,09/12/2022,9200,8920,9200,9100,530200,9100
10,12/12/2022,9200,9050,9100,9100,173600,9100
11,13/12/2022,9120,8900,9100,9000,168400,9000
12,14/12/2022,9120,9000,9000,9040,115400,9000
13,15/12/2022,9080,8950,9040,9030,72300,9000
14,16/12/2022,9050,9000,9030,9050,20400,9100
15,19/12/2022,9050,8900,9050,9000,28500,9000
16,20/12/2022,8990,8660,8950,8990,21800,9000
17,21/12/2022,8990,8700,8990,8990,21300,9000
18,22/12/2022,8950,8600,8950,8950,12700,9000
19,23/12/2022,8950,8720,8950,8940,6700,8900
20,26/12/2022,8950,8680,8900,8940,15200,8900
21,27/12/2022,8940,8800,8940,8940,7300,8900
22,28/12/2022,8940,8920,8940,8940,3800,8900
23,29/12/2022,8960,8500,8920,8960,13000,9000
24,30/12/2022,9000,8950,8960,9000,8500,9000
25,03/01/2023,9000,8970,9000,8970,3300,9000
26,04/01/2023,8970,8800,8960,8960,18700,9000
27,05/01/2023,8970,8960,8960,8970,13000,9000
28,06/01/2023,8960,8960,8960,8960,600,9000
29,09/01/2023,8960,8950,8960,8950,300,9000
30,10/01/2023,8950,8610,8950,8950,18800,9000
31,11/01/2023,8960,8850,8900,8950,13600,9000
32,12/01/2023,8950,8850,8900,8950,2800,9000
33,13/01/2023,8960,8950,8960,8950,2800,9000
34,16/01/2023,8960,8850,8900,8960,21900,9000
35,17/01/2023,8970,8900,8900,8960,31900,9000
36,18/01/2023,8960,8960,8960,8960,800,9000
37,19/01/2023,8970,8900,8900,8970,2500,9000
38,27/01/2023,8970,8930,8930,8970,3200,9000
39,30/01/2023,9020,8970,8970,9000,42600,9000
40,31/01/2023,9000,8950,9000,8990,36000,9000
41,01/02/2023,8970,8900,8970,8970,28100,9000
42,02/02/2023,8990,8700,8950,8700,45500,8700
43,03/02/2023,8950,8800,8800,8950,20400,9000
44,06/02/2023,8950,8800,8900,8950,31800,9000
