,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,32400,30900,31000,30900,6600,29200
1,22/11/2022,30900,30900,30900,30900,-,29200
2,23/11/2022,30900,30900,30900,30900,2700,29200
3,24/11/2022,33050,31700,31900,33050,7028299,31300
4,25/11/2022,35200,33200,33900,35100,37600,33200
5,28/11/2022,36300,33000,35500,36250,26100,34300
6,29/11/2022,36250,36250,36250,36250,2860101,34300
7,30/11/2022,34000,34000,34000,34000,1600,32200
8,01/12/2022,34000,33500,34000,33500,2500,31700
9,02/12/2022,33500,33500,33500,33500,-,31700
10,05/12/2022,34450,34450,34450,34450,200,32600
11,06/12/2022,32400,32400,32400,32400,100,30600
12,07/12/2022,32400,32400,32400,32400,-,30600
13,08/12/2022,33450,31000,31000,33400,3300,31600
14,09/12/2022,32000,31400,31400,32000,300,30300
15,12/12/2022,32000,30500,32000,31950,7300,30200
16,13/12/2022,31950,31950,31950,31950,-,30200
17,14/12/2022,33000,31100,31100,33000,200,31200
18,15/12/2022,33000,33000,33000,33000,-,31200
19,16/12/2022,33000,32900,32950,33000,1700,31200
20,19/12/2022,33100,33100,33100,33100,300,31300
21,20/12/2022,33000,33000,33000,33000,2400,31200
22,21/12/2022,33000,33000,33000,33000,-,31200
23,22/12/2022,33200,30800,30800,33200,1100,31400
24,23/12/2022,33200,33200,33200,33200,-,31400
25,26/12/2022,33200,33200,33200,33200,-,31400
26,27/12/2022,32100,31300,31300,32100,1800,30400
27,28/12/2022,31500,31000,31100,31500,700,29800
28,29/12/2022,33400,31700,31700,33400,900,31600
29,30/12/2022,33300,33300,33300,33300,2800,31500
30,03/01/2023,33000,33000,33000,33000,1000,31200
31,04/01/2023,33000,33000,33000,33000,-,31200
32,05/01/2023,31550,31100,31550,31150,3900,29500
33,06/01/2023,31150,31150,31150,31150,-,29500
34,09/01/2023,33200,32500,33200,32500,300,30700
35,10/01/2023,32500,31000,32500,32350,4100,30600
36,11/01/2023,33950,33200,33200,33950,3500,32100
37,12/01/2023,33950,33000,33950,33000,700,31200
38,13/01/2023,32850,32650,32850,32650,1200,30900
39,16/01/2023,32650,32650,32650,32650,-,30900
40,17/01/2023,31550,31550,31550,31550,1900,29800
41,18/01/2023,31050,31000,31050,31000,4000,30300
42,19/01/2023,32950,30600,32950,32650,7700,31900
43,27/01/2023,33850,33850,33850,33850,100,33100
44,30/01/2023,33650,31500,33650,31500,21500,30800
45,31/01/2023,32450,31050,32450,31050,400,30300
46,01/02/2023,31050,31050,31050,31050,3800,30300
47,02/02/2023,31050,31050,31050,31050,-,30300
48,03/02/2023,31900,31050,31050,31900,700,31200
49,06/02/2023,31900,31900,31900,31900,-,31200
50,07/02/2023,31900,31900,31900,31900,-,31200
51,08/02/2023,31750,31750,31750,31750,1600,31000
52,09/02/2023,31600,31600,31600,31600,100,30900
53,10/02/2023,31600,31600,31600,31600,-,30900
54,13/02/2023,30550,30500,30500,30500,3200,29800
55,14/02/2023,31000,30400,30400,31000,4400,30300
56,15/02/2023,32000,30000,30050,32000,7800,31300
57,16/02/2023,32000,32000,32000,32000,-,31300
58,17/02/2023,32750,32750,32750,32750,2500,32000
59,20/02/2023,33650,30900,33650,30900,2100,30200
60,21/02/2023,32000,31850,31850,32000,3600,31300
61,22/02/2023,31850,30850,30850,31850,6000,31100
62,23/02/2023,31850,30350,30350,31850,6700,31100
63,24/02/2023,30700,30600,30650,30700,1300,30000
64,27/02/2023,30200,30150,30150,30200,2400,29500
65,28/02/2023,31400,31400,31400,31400,1200,30700
66,01/03/2023,30900,30300,30300,30900,1800,30200
67,02/03/2023,30900,30900,30900,30900,-,30200
68,03/03/2023,30900,30900,30900,30900,-,30200
69,06/03/2023,30900,30900,30900,30900,-,30200
70,07/03/2023,30900,30900,30900,30900,-,30200
71,08/03/2023,30900,29100,30900,29100,500,28400
72,09/03/2023,31000,31000,31000,31000,100,30300
73,10/03/2023,31000,31000,31000,31000,-,30300
74,13/03/2023,31000,28950,31000,28950,4600,28300
75,14/03/2023,30550,29650,29650,30550,600,29800
76,15/03/2023,30550,30550,30550,30550,-,29800
77,16/03/2023,30950,30000,30000,30950,4400,30200
78,17/03/2023,30150,30150,30150,30150,100,29500
79,20/03/2023,30600,30600,30600,30600,100,29900
80,21/03/2023,30600,30600,30600,30600,-,29900
81,22/03/2023,31800,31800,31800,31800,100,31100
82,23/03/2023,31500,29700,30500,31000,1800,30300
83,24/03/2023,30900,29500,30900,30800,3800,30100
84,27/03/2023,31750,29500,29600,30950,4500,30200
85,28/03/2023,30950,30000,30950,30500,3900,29800
86,29/03/2023,30400,30400,30400,30400,100,29700
87,30/03/2023,31000,29800,30400,29800,5400,29100
88,31/03/2023,31400,28800,28800,31400,5700,30700
