,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,16450,15500,15950,15700,720200,13200
1,22/11/2022,16750,15400,15800,15600,1277700,13100
2,23/11/2022,16100,15350,15600,15350,700600,12900
3,24/11/2022,15550,14300,15350,14300,907700,12000
4,25/11/2022,15300,13700,14600,15300,880300,12900
5,28/11/2022,16350,15550,15600,16350,666500,13800
6,29/11/2022,17450,16700,17100,17450,2510800,14700
7,30/11/2022,18650,18000,18650,18650,665600,15700
8,01/12/2022,19950,19000,19950,19950,1261400,16800
9,02/12/2022,21300,19200,19850,21300,1764500,17900
10,05/12/2022,22200,20500,21950,20900,1887200,17600
11,06/12/2022,21450,19450,20800,19450,2381900,16400
12,07/12/2022,19700,18450,19600,18800,1152600,15800
13,08/12/2022,20100,19300,19300,20100,1095300,16900
14,09/12/2022,20500,19700,20400,20200,5327500,17000
15,12/12/2022,21300,19200,20600,19450,1122200,16400
16,13/12/2022,20800,18900,19400,20800,516200,17500
17,14/12/2022,21600,20800,21100,20850,925500,17500
18,15/12/2022,21400,20350,20900,21000,759700,17700
19,16/12/2022,21700,20300,20300,21300,800100,17900
20,19/12/2022,22750,21400,21500,21800,1527200,18300
21,20/12/2022,22600,20300,22000,21050,1706900,17700
22,21/12/2022,21900,19600,21900,20000,1211900,16800
23,22/12/2022,20500,18600,20500,19100,975400,16100
24,23/12/2022,19500,18800,19000,19000,415800,16000
25,26/12/2022,19450,17700,19100,17700,809700,14900
26,27/12/2022,18550,17200,17500,18550,418700,15600
27,28/12/2022,18900,18400,18400,18550,383500,15600
28,29/12/2022,19200,17950,17950,18500,440500,15600
29,30/12/2022,18850,18450,18500,18450,246000,15500
30,03/01/2023,19700,17800,18400,19700,724900,16600
31,04/01/2023,20500,19650,20200,19700,431100,16600
32,05/01/2023,19900,19200,19550,19700,556900,16600
33,06/01/2023,20200,19500,19500,19900,825100,16700
34,09/01/2023,20200,19750,20100,19750,349200,16600
35,10/01/2023,19950,19000,19750,19600,455900,16500
36,11/01/2023,20800,19550,19550,20400,1051100,17200
37,12/01/2023,20900,20300,20800,20700,471700,17400
38,13/01/2023,20950,20050,20900,20400,576900,17200
39,16/01/2023,20500,20000,20500,20250,383000,17000
40,17/01/2023,21150,20150,20400,20900,1015500,17600
41,18/01/2023,20300,19400,19500,20300,836500,18800
42,19/01/2023,20800,20000,20800,20800,840400,19300
43,27/01/2023,21300,20600,21150,20800,842400,19300
44,30/01/2023,21500,20400,20800,20900,1139100,19300
45,31/01/2023,22350,20700,20900,22350,1264000,20700
46,01/02/2023,23250,20800,22500,20900,1285700,19300
47,02/02/2023,21400,19950,21000,20900,708000,19300
48,03/02/2023,21300,20450,21100,20800,453100,19300
49,06/02/2023,21450,20400,20800,21200,358900,19600
50,07/02/2023,22300,21300,21700,21500,969600,19900
51,08/02/2023,22100,21050,21400,21800,536900,20200
52,09/02/2023,22800,21500,21500,22300,1268500,20600
53,10/02/2023,22400,21200,22400,21200,625900,19600
54,13/02/2023,21200,19750,21200,19800,1079500,18300
55,14/02/2023,20500,19700,20500,19900,209000,18400
56,15/02/2023,20750,19450,19900,20500,280600,19000
57,16/02/2023,21350,20700,20900,21200,337500,19600
58,17/02/2023,22000,21250,21250,21500,521600,19900
59,20/02/2023,22500,21350,21600,22450,613900,20800
60,21/02/2023,23700,22700,22800,23250,3373800,21500
61,22/02/2023,24250,22000,22850,22000,1251700,20400
62,23/02/2023,22750,20900,21800,22500,5261400,20800
63,24/02/2023,22700,21500,22000,21500,360200,19900
64,27/02/2023,21200,20300,21100,20500,671900,19000
65,28/02/2023,20900,20400,20900,20650,292900,19100
66,01/03/2023,21500,20200,20300,21500,297200,19900
67,02/03/2023,21800,21300,21500,21400,205900,19800
68,03/03/2023,21900,20700,21400,20700,327300,19200
69,06/03/2023,21400,20500,20900,20500,372300,19000
70,07/03/2023,20900,20400,20500,20800,373200,19300
71,08/03/2023,21500,20500,20700,21500,465500,19900
72,09/03/2023,22400,21500,21500,22050,763200,20400
73,10/03/2023,22000,21400,21650,21700,480000,20100
74,13/03/2023,21500,21000,21000,21200,365500,19600
75,14/03/2023,21500,20300,21500,20300,557600,18800
76,15/03/2023,21250,20800,21050,21150,279300,19600
77,16/03/2023,21000,20450,21000,20500,351100,19000
78,17/03/2023,21000,20350,20800,20700,255400,19200
79,20/03/2023,20800,19800,20650,19850,696200,18400
80,21/03/2023,20100,19500,20050,20000,263400,18500
81,22/03/2023,20500,19900,20300,20000,141700,18500
82,23/03/2023,20150,19600,19950,20100,258100,18600
83,24/03/2023,20450,20000,20450,20200,275300,18700
84,27/03/2023,20700,20250,20250,20500,248300,19000
85,28/03/2023,20900,20600,20900,20700,1925600,19200
86,29/03/2023,20850,20400,20700,20700,255100,19200
87,30/03/2023,20950,20200,20850,20200,380000,18700
88,31/03/2023,20550,20100,20100,20300,2795200,18800
89,03/04/2023,20900,20500,20800,20900,479400,19300
90,04/04/2023,22100,21050,21250,22100,1469100,20500
91,05/04/2023,22800,21850,22200,22500,2995600,20800
92,06/04/2023,22500,21500,22500,21500,689300,19900
93,07/04/2023,22000,21100,21500,22000,359700,20400
94,10/04/2023,23500,22100,22500,23500,2546700,21700
95,11/04/2023,24500,23500,23600,24200,1086000,22400
96,12/04/2023,24750,23500,24750,23900,827300,22100
97,13/04/2023,24350,23400,24200,24100,1067000,22300
98,14/04/2023,24300,23300,24100,23300,754000,21600
99,17/04/2023,23650,22750,23350,22800,584700,21100
100,18/04/2023,24100,23300,23300,24100,784600,22300
101,19/04/2023,25750,24050,24300,25500,2062600,23600
102,20/04/2023,25350,24750,25300,25000,1180700,23100
103,21/04/2023,25800,24700,25000,25100,725300,23200
