,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5800,5220,5800,5500,56400,5500
1,22/11/2022,5800,5500,5600,5800,160400,5800
2,23/11/2022,5780,5600,5650,5640,86400,5600
3,24/11/2022,5650,5510,5640,5650,181700,5700
4,25/11/2022,5800,5600,5650,5750,162000,5800
5,28/11/2022,6150,5750,5800,6150,347200,6200
6,29/11/2022,6520,6000,6520,6000,146400,6000
7,30/11/2022,6140,6000,6100,6090,145600,6100
8,01/12/2022,6300,6090,6090,6090,130500,6100
9,02/12/2022,6180,5900,6180,6100,117300,6100
10,05/12/2022,6300,6110,6190,6300,186200,6300
11,06/12/2022,6310,6100,6150,6100,133700,6100
12,07/12/2022,6150,5800,6000,5950,174000,6000
13,08/12/2022,6120,6000,6000,6000,119800,6000
14,09/12/2022,6420,5900,5950,6420,599700,6400
15,12/12/2022,6860,6850,6860,6860,330100,6900
16,13/12/2022,6950,6400,6950,6610,266000,6600
17,14/12/2022,6820,6500,6660,6660,219800,6700
18,15/12/2022,6670,6380,6660,6520,198100,6500
19,16/12/2022,6860,6210,6210,6410,292000,6400
20,19/12/2022,6400,6160,6250,6160,378800,6200
21,20/12/2022,6150,5730,6100,5750,487000,5800
22,21/12/2022,5850,5470,5470,5650,331700,5700
23,22/12/2022,5880,5550,5880,5650,232900,5700
24,23/12/2022,5880,5650,5650,5790,229000,5800
25,26/12/2022,5880,5500,5790,5600,293900,5600
26,27/12/2022,5650,5600,5600,5610,223700,5600
27,28/12/2022,5750,5610,5610,5750,173700,5800
28,29/12/2022,5890,5750,5750,5750,52300,5800
29,30/12/2022,5840,5750,5840,5780,17800,5800
30,03/01/2023,6030,5790,5790,5980,262400,6000
31,04/01/2023,6090,5980,5980,6030,305900,6000
32,05/01/2023,6250,5900,6030,6240,339900,6200
33,06/01/2023,6300,6050,6240,6050,191000,6100
34,09/01/2023,6100,6000,6050,6050,185500,6100
35,10/01/2023,6070,5800,5800,6030,125200,6000
36,11/01/2023,6110,6000,6030,6050,926900,6100
37,12/01/2023,6100,6000,6050,6000,153100,6000
38,13/01/2023,6120,5960,6000,6000,81500,6000
39,16/01/2023,6090,6000,6000,6040,120900,6000
40,17/01/2023,6200,6040,6050,6200,212900,6200
41,18/01/2023,6260,6150,6200,6230,125900,6200
42,19/01/2023,6400,6100,6400,6250,30300,6300
43,27/01/2023,6330,6250,6250,6280,285100,6300
44,30/01/2023,6450,6300,6300,6330,254700,6300
45,31/01/2023,6350,6260,6330,6340,196700,6300
46,01/02/2023,6420,6260,6340,6340,283900,6300
47,02/02/2023,6350,6180,6350,6290,180900,6300
48,03/02/2023,6300,6200,6290,6260,159400,6300
49,06/02/2023,6290,6100,6260,6200,128000,6200
