,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4750,4610,4720,4750,166800,4800
1,22/11/2022,5080,4750,4750,5080,341100,5100
2,23/11/2022,5390,5010,5090,5020,143200,5000
3,24/11/2022,5090,4790,5020,5000,98400,5000
4,25/11/2022,5250,4890,5100,5250,129300,5300
5,28/11/2022,5610,5210,5210,5610,401000,5600
6,29/11/2022,6000,5600,5650,5960,368400,6000
7,30/11/2022,6170,5960,5980,6060,274400,6100
8,01/12/2022,6420,6000,6420,6000,309400,6000
9,02/12/2022,6300,5800,6090,6300,217000,6300
10,05/12/2022,6450,6150,6400,6250,316300,6300
11,06/12/2022,6240,5890,6230,6140,414100,6100
12,07/12/2022,6130,5720,5780,5720,332800,5700
13,08/12/2022,5900,5330,5720,5590,408300,5600
14,09/12/2022,5700,5250,5650,5380,354300,5400
15,12/12/2022,5650,5350,5650,5400,587900,5400
16,13/12/2022,5400,5100,5400,5330,237100,5300
17,14/12/2022,5450,5000,5380,5190,634700,5200
18,15/12/2022,5240,4950,5190,5090,833200,5100
19,16/12/2022,5150,4790,4860,4900,808400,4900
20,19/12/2022,5110,4590,5000,4710,2352600,4700
21,20/12/2022,4840,4390,4840,4430,1818200,4400
22,21/12/2022,4550,4120,4550,4120,1457300,4100
23,22/12/2022,4200,3840,4050,3880,2346200,3900
24,23/12/2022,4150,3880,3950,4150,2003700,4200
25,26/12/2022,4440,4440,4440,4440,196100,4400
26,27/12/2022,4750,4750,4750,4750,349900,4800
27,28/12/2022,5080,4760,5080,4870,3048300,4900
28,29/12/2022,4870,4560,4870,4600,1042800,4600
29,30/12/2022,4920,4600,4670,4920,1604000,4900
30,03/01/2023,5200,5000,5050,5000,952800,5000
31,04/01/2023,5290,4870,5000,4870,1315700,4900
32,05/01/2023,4950,4700,4880,4750,469900,4800
33,06/01/2023,5000,4730,4750,4800,730200,4800
34,09/01/2023,4990,4830,4900,4850,729300,4900
35,10/01/2023,4900,4750,4850,4790,409700,4800
36,11/01/2023,4910,4790,4800,4850,485200,4900
37,12/01/2023,5120,4800,4920,5000,1163100,5000
38,13/01/2023,5020,4880,5000,4880,637500,4900
39,16/01/2023,4890,4680,4890,4730,585000,4700
40,17/01/2023,4860,4710,4710,4860,403400,4900
41,18/01/2023,5100,4940,5100,5060,727800,5100
42,19/01/2023,5080,4930,5050,4990,559300,5000
43,27/01/2023,5330,4990,5120,5330,958600,5300
44,30/01/2023,5700,5430,5700,5690,2648000,5700
45,31/01/2023,5680,5500,5600,5600,953100,5600
46,01/02/2023,5950,5310,5690,5410,1061700,5400
47,02/02/2023,5480,5160,5420,5290,753200,5300
48,03/02/2023,5600,5220,5220,5520,534700,5500
49,06/02/2023,5600,5400,5400,5530,474200,5500
50,07/02/2023,5750,5400,5400,5680,1109900,5700
51,08/02/2023,6070,5690,5730,6070,2322800,6100
52,09/02/2023,6490,6100,6190,6300,1376000,6300
53,10/02/2023,6370,6030,6120,6050,1090800,6100
54,13/02/2023,6290,5890,6050,6000,1536600,6000
55,14/02/2023,6200,6000,6100,6050,434200,6100
56,15/02/2023,6390,6040,6090,6390,839300,6400
57,16/02/2023,6750,6460,6590,6720,1114700,6700
58,17/02/2023,6800,6500,6800,6500,796200,6500
59,20/02/2023,6750,6460,6500,6750,939300,6800
60,21/02/2023,7220,6780,6780,7180,1628600,7200
61,22/02/2023,7670,6910,7100,7400,1913300,7400
62,23/02/2023,7580,6950,7580,7440,1418600,7400
63,24/02/2023,7490,7000,7360,7000,1091200,7000
