,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,72500,70000,71000,72500,61100,68800
1,22/11/2022,77500,71000,71000,74000,27100,70200
2,23/11/2022,74500,72000,74000,73000,41000,69300
3,24/11/2022,73200,71700,72900,72300,22000,68600
4,25/11/2022,76000,71500,73200,75300,56800,71500
5,28/11/2022,80500,76500,76500,80500,54900,76400
6,29/11/2022,84000,80500,80500,82800,24900,78600
7,30/11/2022,84600,82000,84600,83400,28400,79200
8,01/12/2022,85000,82500,84000,82500,38600,78300
9,02/12/2022,82400,81400,82400,82100,7100,77900
10,05/12/2022,83300,80600,82500,82400,17200,78200
11,06/12/2022,82600,79700,80100,82300,28800,78100
12,07/12/2022,84000,82100,82200,82100,56000,77900
13,08/12/2022,84000,81500,84000,81500,10900,77400
14,09/12/2022,82500,80500,81000,82500,19600,78300
15,12/12/2022,84000,82000,82500,82500,7400,78300
16,13/12/2022,82600,82000,82400,82600,26400,78400
17,14/12/2022,83500,82600,82600,82700,15300,78500
18,15/12/2022,83600,82200,83600,82800,75500,78600
19,16/12/2022,82800,82000,82700,82700,11800,78500
20,19/12/2022,82800,81700,82700,82100,70400,77900
21,20/12/2022,82100,80100,82100,80500,23600,76400
22,21/12/2022,81000,80000,80400,80100,9700,76000
23,22/12/2022,80900,80000,80900,80300,2200,76200
24,23/12/2022,80300,79900,80300,79900,900,75800
25,26/12/2022,79900,78000,79900,78000,8200,74000
26,27/12/2022,78100,75500,76400,78000,6100,74000
27,28/12/2022,78500,77900,78000,78000,1800,74000
28,29/12/2022,78700,78000,78000,78700,3000,74700
29,30/12/2022,78500,76700,78500,77100,1800,73200
30,03/01/2023,79500,78900,79000,79500,1300,75500
31,04/01/2023,79500,78600,79500,79500,12800,75500
32,05/01/2023,79700,79500,79500,79600,1800,75600
33,06/01/2023,79800,79000,79600,79600,700,75600
34,09/01/2023,79800,79100,79600,79800,18500,75700
35,10/01/2023,79800,79600,79800,79700,10000,75700
36,11/01/2023,79700,79200,79700,79300,7300,75300
37,12/01/2023,79600,79100,79100,79600,1100,75600
38,13/01/2023,80000,78000,78500,79800,7300,75700
39,16/01/2023,82000,79800,82000,79800,3300,75700
40,17/01/2023,81500,79500,81500,80000,9900,75900
41,18/01/2023,80200,79300,80000,80200,10500,76100
42,19/01/2023,85800,85800,85800,85800,18900,81400
43,27/01/2023,91800,91800,91800,91800,9000,87100
44,30/01/2023,98200,96500,98200,97000,105100,92100
45,31/01/2023,97000,94500,96800,97000,32100,92100
46,01/02/2023,99800,95200,97100,95200,28700,90400
47,02/02/2023,95200,93800,94900,95200,24900,90400
48,03/02/2023,96500,94000,95200,94600,8100,89800
49,06/02/2023,95800,93600,94600,95800,12500,90900
50,07/02/2023,96000,94800,96000,95700,8600,90800
51,08/02/2023,95900,92500,95700,94500,32500,89700
52,09/02/2023,94900,93500,94500,93700,3000,88900
53,10/02/2023,93500,92000,93000,92000,7100,87300
54,13/02/2023,92000,88500,90700,89000,29400,84500
55,14/02/2023,88600,88000,88400,88600,5400,84100
56,15/02/2023,90800,88600,88600,90000,13900,85400
57,16/02/2023,90300,88800,90000,90000,12200,85400
58,17/02/2023,90000,88900,90000,90000,800,85400
59,20/02/2023,93500,89700,89900,93400,27000,88700
60,21/02/2023,95500,92400,93600,92500,25400,87800
61,22/02/2023,92500,90500,90500,91000,20700,86400
62,23/02/2023,91000,90000,91000,90000,14200,85400
63,24/02/2023,90200,89500,90200,89500,4900,85000
64,27/02/2023,89500,88000,89500,88200,8400,83700
65,28/02/2023,89000,88300,88300,89000,4400,84500
66,01/03/2023,89000,88000,88500,89000,5100,84500
67,02/03/2023,89700,88800,89000,88800,5700,84300
68,03/03/2023,88800,87400,88800,87400,9500,83000
69,06/03/2023,88600,86000,87500,86900,4500,82500
70,07/03/2023,88000,86800,87100,87500,4200,83100
71,08/03/2023,87600,86700,87600,87000,3600,82600
72,09/03/2023,87800,87000,87800,87100,8200,82700
73,10/03/2023,87500,83100,87500,86700,27700,82300
74,13/03/2023,86000,83900,86000,85500,21900,81200
75,14/03/2023,85700,83800,85500,84000,13300,79700
76,15/03/2023,89200,84400,89200,85600,13100,81300
77,16/03/2023,85300,83200,83700,84600,9100,80300
78,17/03/2023,84800,83600,84800,83900,4800,79600
79,20/03/2023,85400,83000,85400,83100,6600,78900
80,21/03/2023,83500,82300,83000,83400,13200,79200
81,22/03/2023,83100,82800,83100,82900,6300,78700
82,23/03/2023,83100,82300,83100,83000,7500,78800
83,24/03/2023,83200,82400,83200,82600,11800,78400
84,27/03/2023,84300,82700,82700,84300,14100,80000
85,28/03/2023,88900,85000,88900,86000,34000,81600
86,29/03/2023,86200,84800,86100,84800,8500,80500
87,30/03/2023,86300,85000,85000,86300,7700,81900
88,31/03/2023,86500,85400,86300,86500,10300,82100
89,03/04/2023,88800,86700,87900,88800,26600,84300
90,04/04/2023,89700,88500,88900,89700,50600,85100
91,05/04/2023,89900,89400,89800,89700,16500,85100
92,06/04/2023,90800,89400,89900,90800,27100,86200
93,07/04/2023,91900,89600,91900,89700,28500,85100
94,10/04/2023,90500,88500,89700,89000,4100,84500
95,11/04/2023,90000,88200,89900,89500,8300,85000
