,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,70200,68800,68900,69500,366900,59600
1,22/11/2022,70500,68700,69200,70000,560200,60000
2,23/11/2022,70500,68500,70000,70200,166600,60200
3,24/11/2022,70200,68600,70200,69800,204900,59800
4,25/11/2022,70600,69500,70000,70400,307900,60300
5,28/11/2022,73000,70000,71000,72500,381800,62100
6,29/11/2022,74000,71000,74000,72900,364400,62500
7,30/11/2022,74000,72400,72600,74000,365700,63400
8,01/12/2022,75000,72200,74500,74500,401400,63800
9,02/12/2022,78000,72800,74400,78000,532800,66800
10,05/12/2022,80000,78000,78100,79400,361300,68000
11,06/12/2022,80300,75500,79300,78000,351000,66800
12,07/12/2022,78500,76000,78000,77400,444000,66300
13,08/12/2022,78500,76800,78100,77400,319000,66300
14,09/12/2022,81000,76000,77400,80000,989200,68500
15,12/12/2022,80300,78500,80100,80000,289800,68500
16,13/12/2022,80000,77000,80000,79000,393800,67700
17,14/12/2022,79500,77400,79500,77800,453400,66700
18,15/12/2022,77900,76400,77900,77200,417500,66200
19,16/12/2022,79000,76000,76000,79000,601400,67700
20,19/12/2022,78700,77100,78700,77100,240700,66100
21,20/12/2022,76900,73000,76200,75400,351500,64600
22,21/12/2022,75100,72000,75100,73500,248100,63000
23,22/12/2022,73800,72000,73400,73500,164100,63000
24,23/12/2022,76000,72000,73400,73900,333100,63300
25,26/12/2022,73900,69800,73900,70300,544000,60200
26,27/12/2022,72000,69200,70100,72000,607200,61700
27,28/12/2022,72100,71000,72000,71800,875200,61500
28,29/12/2022,72000,71000,71700,71800,944300,61500
29,30/12/2022,72600,71200,71200,71500,316600,61300
30,03/01/2023,73800,71300,71300,72500,275700,62100
31,04/01/2023,73500,72200,73500,73100,212900,62600
32,05/01/2023,74500,72700,72700,74500,393500,63800
33,06/01/2023,74500,73000,73800,74300,153200,63700
34,09/01/2023,74800,72500,74400,73400,230900,62900
35,10/01/2023,73700,72000,73500,72000,505365,61700
36,11/01/2023,73200,71800,72000,72500,221300,62100
37,12/01/2023,73000,71700,73000,72500,127000,62100
38,13/01/2023,72700,71700,72500,71800,228000,61500
39,16/01/2023,72200,70900,72100,70900,223600,60800
40,17/01/2023,71100,69000,70900,69000,743600,59100
41,18/01/2023,70300,68100,69900,69100,595300,59200
42,19/01/2023,70500,69300,69700,69900,303100,59900
43,27/01/2023,73800,71000,71500,72500,660000,62100
44,30/01/2023,75400,72500,72500,73500,1107200,63000
45,31/01/2023,75400,73600,74600,74600,478100,63900
46,01/02/2023,75500,72800,75000,73100,438300,62600
47,02/02/2023,73500,71500,73100,72400,320300,62000
48,03/02/2023,72900,70500,72500,70500,1279900,60400
49,06/02/2023,72900,70800,71000,72900,312400,62500
50,07/02/2023,75400,72800,74300,73500,789100,63000
51,08/02/2023,74000,72400,74000,73500,326500,63000
52,09/02/2023,73800,72500,73800,72500,203900,62100
53,10/02/2023,73000,71500,72600,71500,442800,61300
54,13/02/2023,71600,69100,70000,70500,495900,60400
55,14/02/2023,71100,70100,70600,70300,124400,60200
56,15/02/2023,71000,70100,70500,70500,194000,60400
57,16/02/2023,71200,70600,70900,71000,161900,60800
58,17/02/2023,71500,70700,70800,71200,207500,61000
59,20/02/2023,72900,71400,71400,72900,313700,62500
60,21/02/2023,73700,72500,72900,72900,331500,62500
61,22/02/2023,72500,71400,72500,71400,251900,61200
62,23/02/2023,71200,69600,71000,70000,473800,60000
63,24/02/2023,70600,69500,70200,70000,244900,60000
64,27/02/2023,69600,67600,69600,68500,356700,58700
65,28/02/2023,68500,67300,68300,67800,109500,59000
66,01/03/2023,68000,66400,66600,68000,214500,59100
67,02/03/2023,68800,68000,68000,68700,107600,59700
68,03/03/2023,69000,67100,68700,67100,159800,58300
69,06/03/2023,68400,67000,68400,67000,132700,58300
70,07/03/2023,68000,67000,68000,67400,85000,58600
71,08/03/2023,68200,66600,66600,68000,153600,59100
