,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,36100,36100,36100,36100,-,33100
1,22/11/2022,36000,33600,33600,36000,4400,33000
2,23/11/2022,35400,33500,33600,35400,2100,32500
3,24/11/2022,35200,34000,35200,34050,2500,31200
4,25/11/2022,34800,34500,34800,34500,200,31600
5,28/11/2022,35000,33900,34000,35000,4300,32100
6,29/11/2022,35000,34450,35000,34450,10000,31600
7,30/11/2022,34450,34450,34450,34450,-,31600
8,01/12/2022,34050,34000,34000,34000,1200,31200
9,02/12/2022,34000,34000,34000,34000,-,31200
10,05/12/2022,35900,35900,35900,35900,100,32900
11,06/12/2022,34100,34000,34100,34000,200,31200
12,07/12/2022,34000,32000,34000,32000,300,29400
13,08/12/2022,34000,33000,33000,34000,600,31200
14,09/12/2022,32500,32500,34000,32500,-,31200
15,12/12/2022,32400,32000,32400,32400,300,31100
16,13/12/2022,32000,32000,32000,32000,300,30700
17,14/12/2022,32000,32000,32000,32000,-,30700
18,15/12/2022,31900,29900,30000,31900,1300,30600
19,16/12/2022,32000,31100,31100,32000,1600,30700
20,19/12/2022,32000,32000,32000,32000,100,30700
21,20/12/2022,34200,34200,34200,34200,100,32800
22,21/12/2022,34200,34200,34200,34200,-,32800
23,22/12/2022,35400,34200,34200,35400,5000,34000
24,23/12/2022,35400,35400,35400,35400,-,34000
25,26/12/2022,35400,35400,35400,35400,-,34000
26,27/12/2022,34000,34000,34000,34000,300,32600
27,28/12/2022,34000,33900,34000,33900,1300,32500
28,29/12/2022,33900,33900,33900,33900,-,32500
29,30/12/2022,34500,34500,34500,34500,200,33100
30,03/01/2023,34500,34500,34500,34500,-,33100
31,04/01/2023,34500,34500,34500,34500,-,33100
32,05/01/2023,36000,36000,36000,36000,100,34500
33,06/01/2023,36000,36000,36000,36000,-,34500
34,09/01/2023,34500,34500,34500,34500,1000,33100
35,10/01/2023,34500,34500,34500,34500,-,33100
36,11/01/2023,34500,34500,34500,34500,-,33100
37,12/01/2023,34500,34500,34500,34500,-,33100
38,13/01/2023,34500,34500,34500,34500,-,33100
39,16/01/2023,34500,34500,34500,34500,-,33100
40,17/01/2023,34500,34500,34500,34500,-,33100
41,18/01/2023,34500,34500,34500,34500,-,33100
42,19/01/2023,34500,34500,34500,34500,-,33100
43,27/01/2023,34500,34500,34500,34500,-,33100
44,30/01/2023,35000,35000,35000,35000,1000,33600
45,31/01/2023,34900,34500,34900,34750,5600,33400
46,01/02/2023,34750,34750,34750,34750,-,33400
47,02/02/2023,34750,34750,34750,34750,-,33400
48,03/02/2023,35000,33000,33000,35000,500,33600
49,06/02/2023,34050,32550,32550,34000,300,32600
50,07/02/2023,34000,33600,34000,34000,2300,32600
51,08/02/2023,34000,34000,34000,34000,1500,32600
52,09/02/2023,34000,34000,34000,34000,200,32600
53,10/02/2023,34000,34000,34000,34000,-,32600
54,13/02/2023,34700,31650,31650,34700,200,33300
55,14/02/2023,34750,33000,33000,34750,200,33400
56,15/02/2023,34750,34750,34750,34750,-,33400
57,16/02/2023,34750,33300,33300,34000,300,32600
58,17/02/2023,36350,35000,35000,36350,1300,34900
59,20/02/2023,35700,34050,34050,35700,200,34300
60,21/02/2023,34200,34200,34200,34200,2100,33400
61,22/02/2023,34200,34200,34200,34200,-,33400
62,23/02/2023,34000,34000,34000,34000,400,33200
63,24/02/2023,34000,34000,34000,34000,-,33200
64,27/02/2023,34400,34400,34400,34400,300,33600
65,28/02/2023,34400,34400,34400,34400,-,33600
66,01/03/2023,34500,32350,32350,34500,300,33700
67,02/03/2023,34500,34500,34500,34500,200,33700
68,03/03/2023,34400,34200,34200,34300,4000,33500
69,06/03/2023,34500,33000,33000,34500,200,33700
70,07/03/2023,34500,34500,34500,34500,-,33700
71,08/03/2023,34500,34400,34400,34450,400,33600
72,09/03/2023,34450,34450,34450,34450,-,33600
73,10/03/2023,34450,34450,34450,34450,-,33600
74,13/03/2023,34500,34500,34500,34500,500,33700
