,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,14500,12900,14500,13700,300,11200
1,22/11/2022,14350,13300,14350,13350,2700,10900
2,23/11/2022,13800,12900,13800,12900,1000,10500
3,24/11/2022,12850,12000,12250,12500,8000,10200
4,25/11/2022,12600,12450,12500,12500,9900,10200
5,28/11/2022,13350,12650,13000,13150,5500,10700
6,29/11/2022,13750,12650,13750,13050,18400,10600
7,30/11/2022,13300,13000,13000,13250,4600,10800
8,01/12/2022,13650,13000,13250,13450,8700,11000
9,02/12/2022,13450,13050,13050,13400,15100,10900
10,05/12/2022,13500,13000,13150,13500,17100,11000
11,06/12/2022,13650,12600,13400,13650,37800,11100
12,07/12/2022,13500,12800,12900,13300,9500,10800
13,08/12/2022,13500,12700,12700,13400,14100,10900
14,09/12/2022,13600,12950,12950,13600,12400,11100
15,12/12/2022,13600,13300,13500,13600,40200,11100
16,13/12/2022,13750,13400,13400,13750,3800,11200
17,14/12/2022,14000,13500,13650,14000,17700,11400
18,15/12/2022,14500,13850,13950,14500,18100,11800
19,16/12/2022,15350,14500,14500,15000,99200,12200
20,19/12/2022,15650,15000,15100,15650,24500,12700
21,20/12/2022,15100,14650,15000,15100,18800,12300
22,21/12/2022,15100,14800,14850,15050,5800,12300
23,22/12/2022,15050,15050,15050,15050,46500,12300
24,23/12/2022,15100,14800,15100,14800,8400,12000
25,26/12/2022,15100,14550,15100,14550,10000,11800
26,27/12/2022,14850,14500,14550,14850,2600,12100
27,28/12/2022,14900,14450,14600,14900,2100,12100
28,29/12/2022,14900,14900,14900,14900,-,12100
29,30/12/2022,15500,14650,15500,14650,2100,11900
30,03/01/2023,14900,14600,14650,14900,3900,12100
31,04/01/2023,15000,14900,14900,14900,25600,12100
32,05/01/2023,14950,14700,14750,14950,8100,12200
33,06/01/2023,14950,14500,14650,14950,10200,12200
34,09/01/2023,14900,14000,14750,14900,7600,12100
35,10/01/2023,15800,14050,15800,14950,7000,12200
36,11/01/2023,14950,14900,14900,14950,200,12200
37,12/01/2023,14850,14700,14700,14850,22200,12100
38,13/01/2023,14850,14850,14850,14850,-,12100
39,16/01/2023,14600,14200,14200,14400,3800,11700
40,17/01/2023,14800,14750,14750,14800,3700,12000
41,18/01/2023,15000,14800,14800,14950,658700,12200
42,19/01/2023,15050,14900,14900,15050,6100,12300
43,27/01/2023,15050,14700,15050,14750,12600,12000
44,30/01/2023,15100,14850,14850,15000,18200,12200
45,31/01/2023,15100,14700,15000,15100,3900,12300
46,01/02/2023,15000,14750,14900,14800,16800,12000
47,02/02/2023,14850,14800,14800,14850,14600,12100
48,03/02/2023,14950,14700,14750,14950,22000,12200
49,06/02/2023,14950,14500,14600,14950,7200,12200
50,07/02/2023,14900,14800,14900,14850,900,12100
51,08/02/2023,15000,14500,15000,14800,5100,12000
52,09/02/2023,14800,14400,14550,14800,1200,12000
53,10/02/2023,14700,14250,14300,14400,7000,11700
54,13/02/2023,14800,13850,13850,14300,23400,11600
55,14/02/2023,14400,14050,14050,14100,5400,11500
56,15/02/2023,14850,14250,14850,14250,2400,11600
57,16/02/2023,14750,14250,14250,14750,5300,12000
58,17/02/2023,14700,14150,14700,14400,4100,11700
59,20/02/2023,14700,14400,14400,14700,10800,12000
60,21/02/2023,14800,14700,14800,14700,5000,12000
61,22/02/2023,14900,14500,14900,14900,4300,12100
62,23/02/2023,14900,14400,14500,14900,10200,12100
63,24/02/2023,14600,14150,14450,14400,31800,11700
64,27/02/2023,14400,14150,14200,14400,6300,11700
65,28/02/2023,14450,14350,14350,14450,6700,11800
66,01/03/2023,14600,14450,14500,14600,11400,11900
67,02/03/2023,14600,14500,14500,14600,2800,11900
68,03/03/2023,14550,14500,14550,14550,5100,11800
69,06/03/2023,14650,14550,14650,14600,2400,11900
70,07/03/2023,14500,14150,14400,14500,8800,11800
71,08/03/2023,14650,14250,14250,14650,14700,11900
72,09/03/2023,14700,14500,14500,14700,6600,12000
73,10/03/2023,14950,14700,14700,14950,9100,12200
74,13/03/2023,14900,14600,14850,14850,7500,12100
75,14/03/2023,14800,14450,14800,14700,1700,12000
76,15/03/2023,14950,14750,14850,14950,3300,12200
77,16/03/2023,14650,14650,14650,14650,2800,11900
78,17/03/2023,15000,14650,14650,14900,6100,12100
79,20/03/2023,14750,14550,14550,14700,10000,12000
80,21/03/2023,14850,14500,14850,14650,2300,11900
81,22/03/2023,14700,14650,14700,14700,5100,12000
82,23/03/2023,14700,14450,14450,14700,400,12000
83,24/03/2023,14850,14700,14700,14850,15400,12100
84,27/03/2023,15000,14700,14950,15000,8600,12200
85,28/03/2023,15000,15000,15000,15000,5200,12200
86,29/03/2023,15000,14650,14700,15000,3600,12200
87,30/03/2023,15000,14900,15000,14900,15300,12100
88,31/03/2023,14950,14650,14750,14900,30700,12100
89,03/04/2023,15000,14800,14900,14800,6900,12000
90,04/04/2023,15050,14800,14900,14800,33700,12000
91,05/04/2023,15150,14800,15050,14800,8000,12000
92,06/04/2023,15350,14500,15000,14500,67600,11800
93,07/04/2023,15200,14500,15200,14900,2403712,12100
94,10/04/2023,14950,14600,14900,14950,11700,12200
95,11/04/2023,15000,14750,14900,15000,7100,12200
96,12/04/2023,15250,14850,14850,15250,18300,12400
97,13/04/2023,15450,15250,15250,15450,15200,12600
98,14/04/2023,15400,14900,14900,15400,7000,12500
99,17/04/2023,15400,15000,15400,15350,2000,12500
100,18/04/2023,15400,15000,15400,15300,6800,12500
101,19/04/2023,15100,15000,15050,15100,982046,12300
102,20/04/2023,15100,14900,15050,15100,7500,12300
103,21/04/2023,15100,14850,15050,15000,28200,12200
104,24/04/2023,15050,14800,14800,15000,37100,12200
105,25/04/2023,15050,14800,14900,14950,13600,12200
106,26/04/2023,14950,14800,14900,14950,14800,12200
107,27/04/2023,15000,14900,14950,15000,913457,12200
108,28/04/2023,15000,14950,15000,15000,38900,12200
109,04/05/2023,15000,14650,15000,14700,34900,12000
110,05/05/2023,14800,14650,14800,14700,7500,12000
111,08/05/2023,14950,14700,14700,14900,2900,12100
112,09/05/2023,14950,14700,14950,14950,2100,12200
113,10/05/2023,15000,14900,14900,15000,12000,12200
114,11/05/2023,15000,14600,14600,15000,39300,12200
115,12/05/2023,15000,14950,15000,14950,2000,12200
116,15/05/2023,15000,14950,15000,15000,81600,12200
117,16/05/2023,15000,14950,15000,15000,41900,12200
118,17/05/2023,15000,14950,15000,14950,5000,12200
119,18/05/2023,15000,14350,14350,14950,70900,12200
120,19/05/2023,15000,14900,14900,15000,14200,12200
121,22/05/2023,15300,15000,15000,15300,37000,12500
122,23/05/2023,16100,15200,15400,15500,9800,12600
123,24/05/2023,15400,15000,15400,15350,16700,12500
124,25/05/2023,15350,15000,15350,15100,4100,12300
125,26/05/2023,15300,15050,15100,15300,1800,12500
126,29/05/2023,15300,15000,15300,15300,209032,12500
127,30/05/2023,15400,15300,15400,15300,800,12500
128,31/05/2023,15300,15050,15150,15300,7600,12500
129,01/06/2023,15350,15150,15300,15300,19800,12500
130,02/06/2023,16350,15250,15250,16350,71200,13300
131,05/06/2023,17450,16900,17300,17350,66300,14100
132,06/06/2023,17350,16800,17350,17350,20400,14100
133,07/06/2023,17700,17200,17300,17500,10700,14200
134,08/06/2023,17500,17050,17100,17200,14100,14000
135,09/06/2023,17100,16650,17000,17000,18300,13800
136,12/06/2023,16950,16600,16950,16950,855800,13800
137,13/06/2023,17250,16700,17250,16950,8700,13800
138,14/06/2023,17350,16750,17350,16750,21100,13600
139,15/06/2023,16800,16800,16800,16800,9000,13700
140,16/06/2023,16950,16750,16750,16950,5300,13800
141,19/06/2023,17000,16750,16800,17000,10900,13800
142,20/06/2023,17400,16750,16800,17300,3600,14100
143,21/06/2023,17250,16950,17050,17200,13100,14000
144,22/06/2023,17200,16800,16900,17000,8000,13800
145,23/06/2023,17300,16800,17000,17300,13400,14100
146,26/06/2023,17500,17200,17350,17350,18900,14100
147,27/06/2023,17400,17150,17400,17350,2100,14100
148,28/06/2023,17500,17300,17500,17300,4000,14100
149,29/06/2023,17400,17400,17400,17400,200,14200
150,30/06/2023,17400,17100,17400,17100,1400,13900
151,03/07/2023,17450,17050,17450,17050,2200,13900
152,04/07/2023,17400,17000,17050,17400,5700,14200
153,05/07/2023,17300,17000,17050,17300,4400,14100
154,06/07/2023,17300,17050,17300,17300,6400,14100
155,07/07/2023,17300,17050,17050,17300,8300,14100
