,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12100,11400,11550,12100,23200,11500
1,22/11/2022,12100,12000,12050,12000,17300,11400
2,23/11/2022,11950,11650,11950,11750,22100,11200
3,24/11/2022,11800,11650,11750,11800,16900,11200
4,25/11/2022,11800,11700,11750,11750,21800,11200
5,28/11/2022,11750,11650,11700,11750,25000,11200
6,29/11/2022,11750,11600,11750,11650,26900,11100
7,30/11/2022,11700,11500,11600,11600,24700,11000
8,01/12/2022,11600,11400,11500,11400,32600,10800
9,02/12/2022,11550,11200,11400,11550,59900,11000
10,05/12/2022,11550,11300,11550,11550,27400,11000
11,06/12/2022,11550,11200,11550,11350,42400,10800
12,07/12/2022,11550,11000,11300,11250,38200,10700
13,08/12/2022,11250,11000,11250,11250,23600,10700
14,09/12/2022,11300,10900,11250,11200,22800,10600
15,12/12/2022,11250,10950,11200,11050,23100,10500
16,13/12/2022,11100,10850,11050,11100,25900,10500
17,14/12/2022,11200,10900,11150,10900,21400,10400
18,15/12/2022,11150,10900,10900,11150,21500,10600
19,16/12/2022,11150,10950,11150,11150,23400,10600
20,19/12/2022,11500,11000,11150,11200,18200,10600
21,20/12/2022,11250,10950,11250,11250,22900,10700
22,21/12/2022,11250,11000,11250,11200,19500,10600
23,22/12/2022,11250,11000,11200,11100,19000,10500
24,23/12/2022,11150,10900,11100,11050,22600,10500
25,26/12/2022,11200,10900,11050,11200,23300,10600
26,27/12/2022,11150,11000,11150,11100,17800,10500
27,28/12/2022,11100,10900,11100,11100,18300,10500
28,29/12/2022,11100,10900,11050,11100,22600,10500
29,30/12/2022,11100,10800,11050,11100,22700,10500
30,03/01/2023,11200,11000,11050,11050,18100,10500
31,04/01/2023,11100,10950,11050,11100,17000,10500
32,05/01/2023,11050,10850,11000,11050,21300,10500
33,06/01/2023,11050,10900,11050,11000,24700,10500
34,09/01/2023,10950,10850,10950,10950,20300,10400
35,10/01/2023,10950,10750,10950,10950,17400,10400
36,11/01/2023,11000,10850,10950,11000,21400,10500
37,12/01/2023,11000,10850,10950,11000,20600,10500
38,13/01/2023,10950,10800,10950,10900,19800,10400
39,16/01/2023,10900,10700,10900,10850,20200,10300
40,17/01/2023,11000,10800,10800,10900,15900,10400
41,18/01/2023,10950,10800,10900,10950,18100,10400
42,19/01/2023,11000,10850,10950,11000,12500,10500
43,27/01/2023,11050,10900,10950,11050,17000,10500
44,30/01/2023,11000,10900,11000,11000,13300,10500
45,31/01/2023,11200,10900,10900,11000,16400,10500
46,01/02/2023,11000,10900,10950,11000,16400,10500
47,02/02/2023,10950,10800,10900,10950,11300,10400
48,03/02/2023,10950,10700,10900,10700,9800,10200
49,06/02/2023,10900,10700,10750,10850,11400,10300
50,07/02/2023,10950,10850,10900,10950,9200,10400
51,08/02/2023,10950,10800,10900,10950,12300,10400
52,09/02/2023,10950,10700,10900,10950,12500,10400
53,10/02/2023,10950,10850,10900,10950,12400,10400
54,13/02/2023,11000,10650,11000,10900,16200,10400
55,14/02/2023,10900,10750,10850,10850,10800,10300
56,15/02/2023,10900,10800,10850,10850,3600,10300
57,16/02/2023,10850,10800,10850,10850,5800,10300
58,17/02/2023,10850,10700,10800,10850,4100,10300
59,20/02/2023,10850,10750,10850,10850,8600,10300
60,21/02/2023,10900,10800,10850,10850,3800,10300
61,22/02/2023,10850,10800,10850,10850,7200,10300
62,23/02/2023,10800,10700,10800,10800,6500,10300
63,24/02/2023,10800,10700,10800,10800,7500,10300
64,27/02/2023,10750,10700,10750,10750,12500,10200
65,28/02/2023,10750,10700,10700,10750,13100,10200
66,01/03/2023,10750,10600,10750,10700,13000,10200
67,02/03/2023,10750,10550,10700,10650,15900,10100
68,03/03/2023,10650,10550,10600,10650,11800,10100
69,06/03/2023,10600,10600,10600,10600,13000,10100
70,07/03/2023,10600,10500,10600,10550,9700,10000
71,08/03/2023,10550,10450,10550,10500,6800,10000
72,09/03/2023,10700,10500,10700,10550,7000,10000
73,10/03/2023,10550,10500,10550,10550,6700,10000
74,13/03/2023,10550,10450,10500,10550,5200,10000
75,14/03/2023,10500,10400,10500,10450,7400,9900
76,15/03/2023,10500,10400,10500,10450,13300,9900
77,16/03/2023,10450,10350,10450,10350,10800,9800
78,17/03/2023,10350,10350,10350,10350,16100,9800
79,20/03/2023,10350,10250,10350,10300,11800,9800
80,21/03/2023,10250,10100,10250,10100,16100,9600
81,22/03/2023,10400,10100,10100,10400,11600,9900
82,23/03/2023,10350,10250,10350,10350,10600,9800
83,24/03/2023,10300,10200,10300,10250,12600,9700
84,27/03/2023,10250,10100,10250,10200,18900,9700
85,28/03/2023,10200,10150,10200,10200,11300,9700
86,29/03/2023,10200,10100,10200,10200,12700,9700
87,30/03/2023,10200,10100,10200,10200,17300,9700
88,31/03/2023,10200,10100,10200,10200,12000,9700
89,03/04/2023,10200,10150,10200,10200,18000,9700
90,04/04/2023,10500,10150,10200,10500,16800,10000
91,05/04/2023,10500,10350,10500,10450,16000,9900
92,06/04/2023,10450,10400,10400,10450,15100,9900
93,07/04/2023,10500,10350,10400,10500,18600,10000
94,10/04/2023,10500,10400,10500,10450,18000,9900
95,11/04/2023,10450,10350,10450,10450,18300,9900
96,12/04/2023,10450,10400,10450,10450,14900,9900
97,13/04/2023,10450,10350,10400,10400,15700,9900
98,14/04/2023,10400,10300,10400,10400,16000,9900
99,17/04/2023,10400,10300,10400,10400,15000,9900
100,18/04/2023,10350,10250,10350,10350,12200,9800
101,19/04/2023,10450,10350,10350,10400,12000,9900
102,20/04/2023,10400,10350,10400,10400,12100,9900
103,21/04/2023,10350,10300,10300,10350,11400,9800
104,24/04/2023,10450,10200,10350,10350,14700,9800
105,25/04/2023,10400,10300,10350,10400,28500,9900
106,26/04/2023,10400,10300,10400,10400,11000,9900
107,27/04/2023,10400,10350,10350,10400,14000,9900
108,28/04/2023,10450,10300,10400,10450,14300,9900
109,04/05/2023,10450,10350,10400,10450,14400,9900
110,05/05/2023,10400,10150,10400,10350,23100,9800
111,08/05/2023,10350,10200,10300,10300,17600,9800
112,09/05/2023,10300,10150,10300,10150,16300,9600
113,10/05/2023,10400,10200,10300,10400,15000,9900
114,11/05/2023,10350,10200,10350,10350,14402,9800
115,12/05/2023,10350,10200,10350,10350,19800,9800
116,15/05/2023,10350,10300,10350,10350,17000,9800
117,16/05/2023,10400,10250,10350,10300,17100,9800
118,17/05/2023,10300,10250,10300,10300,13700,9800
119,18/05/2023,10300,10200,10300,10300,16300,9800
120,19/05/2023,10300,10200,10300,10250,15900,9700
121,22/05/2023,10400,10150,10250,10250,14900,9700
122,23/05/2023,10250,10200,10250,10250,14400,9700
123,24/05/2023,10250,10150,10250,10250,15200,9700
124,25/05/2023,10250,10200,10250,10250,14500,9700
125,26/05/2023,10400,10200,10300,10400,18600,9900
126,29/05/2023,10400,10200,10350,10300,23700,9800
127,30/05/2023,10350,10300,10300,10350,19700,9800
128,31/05/2023,10400,10200,10350,10400,21600,9900
129,01/06/2023,10450,10300,10350,10400,21500,9900
130,02/06/2023,10400,10250,10400,10400,29300,9900
131,05/06/2023,10400,10300,10400,10400,19300,9900
132,06/06/2023,10400,10300,10400,10400,16300,9900
133,07/06/2023,10350,10250,10350,10350,26500,9800
134,08/06/2023,10400,10300,10350,10400,30300,9900
135,09/06/2023,10400,10350,10400,10400,18100,9900
136,12/06/2023,10400,10350,10400,10400,15900,9900
137,13/06/2023,10450,10300,10350,10400,15900,9900
138,14/06/2023,10500,10350,10400,10400,15500,9900
139,15/06/2023,10400,10350,10400,10400,14600,9900
140,16/06/2023,10400,10200,10400,10400,16600,9900
141,19/06/2023,10350,10250,10350,10350,17600,9800
142,20/06/2023,10350,10250,10350,10300,15300,9800
143,21/06/2023,10400,10250,10300,10400,16900,9900
144,22/06/2023,10350,10300,10350,10350,14300,9800
145,23/06/2023,10350,10250,10350,10350,13900,9800
146,26/06/2023,10350,10050,10350,10300,33900,9800
147,27/06/2023,10300,10250,10300,10300,19700,9800
148,28/06/2023,10300,10150,10300,10250,18400,9700
149,29/06/2023,10300,10150,10250,10300,16200,9800
150,30/06/2023,10500,10150,10250,10400,18200,9900
151,03/07/2023,10350,10200,10350,10250,28700,9700
152,04/07/2023,10250,10200,10250,10250,15900,9700
153,05/07/2023,10250,10150,10200,10250,13000,9700
154,06/07/2023,10350,10150,10350,10250,25800,9700
155,07/07/2023,10350,10150,10250,10250,21700,9700
156,10/07/2023,10500,10250,10300,10450,36900,9900
157,11/07/2023,10550,10350,10350,10500,44100,10000
158,12/07/2023,10500,10400,10500,10450,17900,9900
159,13/07/2023,10450,10350,10450,10400,13800,9900
160,14/07/2023,10450,10300,10400,10450,18800,9900
161,17/07/2023,10500,10300,10450,10350,13500,9800
162,18/07/2023,10500,10350,10500,10400,19600,9900
163,19/07/2023,10400,10300,10400,10400,16500,9900
164,20/07/2023,10400,10000,10400,10350,38900,9800
165,21/07/2023,10450,10350,10350,10400,18100,9900
166,24/07/2023,10400,10350,10400,10400,27600,9900
167,25/07/2023,10400,10350,10400,10400,15000,9900
168,26/07/2023,10450,10200,10450,10350,32400,9800
169,27/07/2023,10350,10300,10350,10350,15000,9800
170,28/07/2023,10400,10250,10300,10350,17700,9800
171,31/07/2023,10300,10200,10250,10300,37600,9800
172,01/08/2023,10300,10250,10300,10250,18800,9700
173,02/08/2023,10300,10200,10250,10300,20400,9800
174,03/08/2023,10300,10200,10300,10300,23400,9800
175,04/08/2023,10300,10250,10300,10300,17200,9800
176,07/08/2023,10300,10150,10300,10250,24200,9700
177,08/08/2023,10250,10200,10250,10250,19200,9700
178,09/08/2023,10300,10200,10250,10300,45200,9800
179,10/08/2023,10300,10200,10300,10300,20200,9800
180,11/08/2023,10300,10200,10300,10250,25300,9700
181,14/08/2023,10250,10150,10250,10250,20600,9700
182,15/08/2023,10350,10200,10250,10300,27100,9800
183,16/08/2023,10300,10200,10250,10250,19300,9700
184,17/08/2023,10250,10150,10250,10250,19900,9700
185,18/08/2023,10250,9900,10250,10200,58800,9700
186,21/08/2023,10150,9980,10150,10100,22700,9600
187,22/08/2023,10200,10000,10100,10150,19100,9600
188,23/08/2023,10150,10000,10100,10100,17500,9600
189,24/08/2023,10100,10000,10100,10100,17300,9600
190,25/08/2023,10100,10000,10100,10050,20100,9500
191,28/08/2023,10100,10000,10050,10050,11400,9500
192,29/08/2023,10100,10000,10050,10100,46400,9600
193,30/08/2023,10200,10000,10050,10200,85200,9700
194,31/08/2023,10250,10100,10100,10250,17000,9700
195,05/09/2023,10300,10100,10250,10300,18600,9800
196,06/09/2023,10300,10200,10300,10300,11700,9800
197,07/09/2023,10450,10200,10350,10300,17600,9800
198,08/09/2023,10450,10250,10450,10400,13800,9900
199,11/09/2023,10500,10300,10400,10400,15000,9900
200,12/09/2023,10600,10300,10400,10450,55600,9900
201,13/09/2023,10550,10300,10550,10500,17700,10000
202,14/09/2023,10500,10150,10500,10500,13000,10000
203,15/09/2023,10500,10400,10450,10500,18000,10000
204,18/09/2023,10500,10400,10450,10500,19400,10000
205,19/09/2023,10500,10250,10450,10500,14600,10000
206,20/09/2023,10500,10300,10500,10500,18000,10000
207,21/09/2023,10500,10350,10500,10500,12800,10000
208,22/09/2023,10500,10050,10500,10400,60700,9900
209,25/09/2023,10350,9880,10100,9900,29100,9900
