,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3090,3070,3090,3090,481200,3100
1,22/11/2022,3300,3250,3300,3300,1088600,3300
2,23/11/2022,3530,3100,3530,3100,787700,3100
3,24/11/2022,3270,2940,3010,3110,304600,3100
4,25/11/2022,3320,3150,3190,3320,421200,3300
5,28/11/2022,3550,3300,3300,3550,829400,3600
6,29/11/2022,3780,3400,3690,3620,876300,3600
7,30/11/2022,3720,3530,3640,3630,516400,3600
8,01/12/2022,3880,3610,3750,3780,2075100,3800
9,02/12/2022,4000,3580,3790,4000,679700,4000
10,05/12/2022,4280,3900,4230,4280,1847700,4300
11,06/12/2022,4570,3990,4350,4000,1556200,4000
12,07/12/2022,4050,3720,4000,3720,1073300,3700
13,08/12/2022,3910,3700,3800,3720,833300,3700
14,09/12/2022,3800,3530,3720,3670,465000,3700
15,12/12/2022,3920,3710,3880,3800,992100,3800
16,13/12/2022,3940,3650,3940,3880,347700,3900
17,14/12/2022,4050,3800,3990,3830,634900,3800
18,15/12/2022,3950,3800,3890,3850,287500,3900
19,16/12/2022,3930,3760,3830,3820,417000,3800
20,19/12/2022,3900,3720,3820,3720,342500,3700
21,20/12/2022,3720,3460,3700,3480,857800,3500
22,21/12/2022,3500,3240,3480,3250,414300,3300
23,22/12/2022,3380,3160,3300,3260,225800,3300
24,23/12/2022,3320,3200,3260,3250,195800,3300
25,26/12/2022,3280,3100,3250,3100,280100,3100
26,27/12/2022,3230,3050,3050,3230,159100,3200
27,28/12/2022,3380,3200,3300,3340,245100,3300
28,29/12/2022,3370,3200,3350,3340,185400,3300
29,30/12/2022,3360,3250,3290,3250,258700,3300
30,03/01/2023,3460,3250,3250,3440,255700,3400
31,04/01/2023,3600,3200,3440,3440,407400,3400
32,05/01/2023,3490,3270,3490,3440,355000,3400
33,06/01/2023,3490,3310,3330,3350,309100,3400
34,09/01/2023,3550,3340,3360,3360,175100,3400
35,10/01/2023,3390,3300,3300,3370,349300,3400
36,11/01/2023,3450,3370,3370,3370,247600,3400
37,12/01/2023,3420,3310,3360,3340,138600,3300
38,13/01/2023,3370,3310,3310,3310,197500,3300
39,16/01/2023,3310,3230,3250,3230,93700,3200
40,17/01/2023,3270,3230,3240,3260,261100,3300
41,18/01/2023,3380,3250,3280,3310,399900,3300
42,19/01/2023,3540,3300,3310,3540,436200,3500
43,27/01/2023,3730,3600,3700,3640,363900,3600
44,30/01/2023,3820,3640,3700,3760,534700,3800
