,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7400,6500,6500,7400,1100,7400
1,22/11/2022,7400,7400,7400,7400,100,7400
2,23/11/2022,7390,6890,6890,7390,200,7400
3,24/11/2022,7380,7380,7380,7380,100,7400
4,25/11/2022,7890,7890,7890,7890,100,7900
5,28/11/2022,7890,7880,7890,7880,500,7900
6,29/11/2022,7890,7880,7880,7890,200,7900
7,30/11/2022,7890,7890,7890,7890,-,7900
8,01/12/2022,7890,7890,7890,7890,-,7900
9,02/12/2022,7890,7890,7890,7890,-,7900
10,05/12/2022,7400,7360,7400,7360,1400,7400
11,06/12/2022,7360,7360,7360,7360,200,7400
12,07/12/2022,7350,6900,7350,6910,700,6900
13,08/12/2022,7340,7000,7000,7340,2500,7300
14,09/12/2022,7000,7000,7000,7000,2600,7000
15,12/12/2022,7470,7010,7300,7470,400,7500
16,13/12/2022,7210,7150,7150,7210,1600,7200
17,14/12/2022,7260,7250,7250,7260,200,7300
18,15/12/2022,7150,7100,7100,7150,200,7200
19,16/12/2022,7650,6700,7650,7640,1800,7600
20,19/12/2022,7800,7120,7120,7800,2100,7800
21,20/12/2022,7800,7800,7800,7800,-,7800
22,21/12/2022,7270,7270,7270,7270,3100,7300
23,22/12/2022,7270,7270,7270,7270,-,7300
24,23/12/2022,7310,7000,7050,7000,4200,7000
25,26/12/2022,7490,6800,6800,7110,6900,7100
26,27/12/2022,7570,7110,7110,7570,5100,7600
27,28/12/2022,7580,7100,7140,7580,5200,7600
28,29/12/2022,7580,7580,7580,7580,-,7600
29,30/12/2022,7600,7100,7100,7600,2700,7600
30,03/01/2023,8000,7600,7600,8000,500,8000
31,04/01/2023,7990,7450,7450,7990,200,8000
32,05/01/2023,7980,7980,7980,7980,200,8000
33,06/01/2023,7980,7980,7980,7980,-,8000
34,09/01/2023,7980,7980,7980,7980,-,8000
35,10/01/2023,7980,7980,7980,7980,-,8000
36,11/01/2023,7980,7980,7980,7980,-,8000
37,12/01/2023,7500,7430,7430,7500,2500,7500
38,13/01/2023,7500,7500,7500,7500,-,7500
39,16/01/2023,7500,7000,7500,7000,1100,7000
40,17/01/2023,7000,7000,7000,7000,-,7000
41,18/01/2023,7490,6700,6700,7490,600,7500
42,19/01/2023,7490,7490,7490,7490,-,7500
43,27/01/2023,7200,7200,7200,7200,5600,7200
44,30/01/2023,7200,7200,7200,7200,-,7200
45,31/01/2023,7450,7450,7450,7450,200,7500
46,01/02/2023,7450,7450,7450,7450,100,7500
47,02/02/2023,7450,7450,7450,7450,-,7500
48,03/02/2023,7100,7050,7100,7050,600,7100
49,06/02/2023,7050,7050,7050,7050,-,7100
50,07/02/2023,7050,7050,7050,7050,-,7100
51,08/02/2023,7050,7050,7050,7050,-,7100
52,09/02/2023,7050,7050,7050,7050,-,7100
53,10/02/2023,7050,7050,7050,7050,-,7100
54,13/02/2023,7050,7050,7050,7050,5400,7100
55,14/02/2023,7050,7050,7050,7050,-,7100
56,15/02/2023,7220,6600,6600,7220,200,7200
57,16/02/2023,7250,6800,6800,7230,500,7200
58,17/02/2023,7230,7230,7230,7230,-,7200
59,20/02/2023,7230,7220,7220,7230,1400,7200
60,21/02/2023,7230,7230,7230,7230,-,7200
61,22/02/2023,7230,7230,7230,7230,-,7200
62,23/02/2023,7720,6730,7010,7720,7200,7700
63,24/02/2023,7940,7940,7940,7940,100,7900
64,27/02/2023,7390,7390,7390,7390,700,7400
65,28/02/2023,6930,6880,6880,6900,700,6900
66,01/03/2023,6900,6900,6900,6900,-,6900
67,02/03/2023,6900,6900,6900,6900,-,6900
68,03/03/2023,6920,6920,6920,6920,100,6900
69,06/03/2023,6920,6920,6920,6920,-,6900
70,07/03/2023,7000,6920,6930,6920,3100,6900
71,08/03/2023,6920,6920,6920,6920,-,6900
72,09/03/2023,6920,6920,6920,6920,-,6900
73,10/03/2023,6920,6920,6920,6920,-,6900
74,13/03/2023,6920,6920,6920,6920,-,6900
75,14/03/2023,6920,6920,6920,6920,100,6900
76,15/03/2023,6930,6500,6500,6910,3800,6900
77,16/03/2023,6910,6910,6910,6910,-,6900
78,17/03/2023,6910,6910,6910,6910,-,6900
79,20/03/2023,6910,6910,6910,6910,-,6900
80,21/03/2023,6910,6910,6910,6910,-,6900
81,22/03/2023,7000,7000,7000,7000,3400,7000
82,23/03/2023,7000,7000,7000,7000,100,7000
83,24/03/2023,7000,7000,7000,7000,-,7000
84,27/03/2023,6990,6980,6980,6990,400,7000
85,28/03/2023,6990,6990,6990,6990,-,7000
86,29/03/2023,6990,6990,6990,6990,-,7000
87,30/03/2023,7470,6550,7470,6550,300,6600
88,31/03/2023,6550,6550,6550,6550,-,6600
89,03/04/2023,7000,7000,7000,7000,900,7000
90,04/04/2023,7010,6560,6560,6910,2800,6900
91,05/04/2023,7390,7000,7390,7390,6300,7400
92,06/04/2023,7390,7390,7390,7390,-,7400
93,07/04/2023,7390,7390,7390,7390,-,7400
94,10/04/2023,7000,6880,7000,6900,20000,6900
95,11/04/2023,6900,6900,6900,6900,500,6900
96,12/04/2023,6900,6900,6900,6900,7800,6900
97,13/04/2023,6900,6900,6900,6900,-,6900
98,14/04/2023,6900,6900,6900,6900,5100,6900
99,17/04/2023,6900,6900,6900,6900,-,6900
100,18/04/2023,6900,6900,6900,6900,-,6900
101,19/04/2023,6900,6900,6900,6900,100,6900
102,20/04/2023,7120,7120,7120,7120,100,7100
103,21/04/2023,7120,7120,7120,7120,-,7100
104,24/04/2023,7120,7120,7120,7120,-,7100
105,25/04/2023,6900,6650,6900,6900,3100,6900
106,26/04/2023,6850,6430,6840,6850,1800,6900
107,27/04/2023,6800,6800,6800,6800,700,6800
108,28/04/2023,6800,6800,6800,6800,-,6800
109,04/05/2023,6510,6510,6510,6510,100,6500
110,05/05/2023,6600,6600,6600,6600,300,6600
111,08/05/2023,6600,6600,6600,6600,-,6600
112,09/05/2023,6600,6600,6600,6600,-,6600
113,10/05/2023,7060,6610,6620,7060,26200,7100
114,11/05/2023,7550,7150,7150,7550,5300,7600
115,12/05/2023,8070,7550,8000,8070,15200,8100
116,15/05/2023,8000,7510,7530,7900,3800,7900
