,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,41000,40200,41000,40700,22700,36300
1,22/11/2022,41500,40500,40700,41500,40400,37000
2,23/11/2022,41300,41000,41000,41300,29600,36800
3,24/11/2022,41400,41250,41250,41400,18900,36900
4,25/11/2022,41700,41500,41500,41700,13660,37100
5,28/11/2022,42500,42000,42000,42500,35500,37900
6,29/11/2022,42700,42000,42000,42600,5600,38000
7,30/11/2022,43000,42000,43000,43000,6300,38300
8,01/12/2022,43500,43000,43500,43000,12600,38300
9,02/12/2022,43750,43000,43000,43200,3500,38500
10,05/12/2022,43500,43000,43000,43500,6600,38800
11,06/12/2022,43000,42300,43000,42300,36400,37700
12,07/12/2022,43000,42500,43000,42500,15300,37900
13,08/12/2022,43000,42550,43000,42600,2100,38000
14,09/12/2022,43000,42800,43000,43000,1400,38300
15,12/12/2022,44600,42500,43000,43500,2000,38800
16,13/12/2022,43600,43000,43000,43600,4400,38800
17,14/12/2022,43800,43600,43700,43600,7300,38800
18,15/12/2022,43800,43500,43800,43500,9500,38800
19,16/12/2022,43800,43500,43500,43800,2300,39000
20,19/12/2022,44000,43800,43800,43800,1800,39000
21,20/12/2022,44000,43000,44000,43500,1700,38800
22,21/12/2022,43500,43200,43500,43500,2200,38800
23,22/12/2022,43900,43500,43900,43500,2100,38800
24,23/12/2022,43500,43400,43500,43500,4500,38800
25,26/12/2022,43500,43100,43500,43100,23600,38400
26,27/12/2022,43500,43000,43500,43000,7200,38300
27,28/12/2022,43500,43500,43500,43500,1200,38800
28,29/12/2022,43500,43300,43300,43500,600,38800
29,30/12/2022,44450,43200,43500,44450,3000,39600
30,03/01/2023,44000,43500,43950,43500,1500,38800
31,04/01/2023,44200,43200,43500,43700,5000,38900
32,05/01/2023,43900,42450,42450,43700,5300,38900
33,06/01/2023,43700,43000,43700,43450,10600,38700
34,09/01/2023,43750,43000,43750,43200,5300,38500
35,10/01/2023,43500,42200,42550,42500,13300,37900
36,11/01/2023,43500,42500,43000,42900,7600,38200
37,12/01/2023,43500,42800,43500,42900,6400,38200
38,13/01/2023,43000,42050,43000,42900,7800,38200
39,16/01/2023,42900,42000,42900,42500,16700,37900
40,17/01/2023,43000,42050,43000,42050,31100,37500
41,18/01/2023,43000,42200,43000,42500,2800,37900
42,19/01/2023,42600,42400,42500,42400,1700,37800
43,27/01/2023,42900,42000,42300,42100,11700,37500
44,30/01/2023,42500,42300,42500,42300,3500,37700
45,31/01/2023,42250,41500,42250,42200,4600,37600
46,01/02/2023,42500,42000,42500,42000,20000,37400
47,02/02/2023,42500,41600,42500,42000,2500,37400
48,03/02/2023,42500,41500,42500,42000,5000,37400
49,06/02/2023,42500,42000,42000,42000,1600,37400
50,07/02/2023,42100,42000,42100,42000,2100,37400
51,08/02/2023,42400,42000,42000,42400,1100,37800
52,09/02/2023,42200,42200,42200,42200,300,37600
53,10/02/2023,42200,42000,42000,42200,300,37600
54,13/02/2023,42000,42000,42000,42000,100,37400
55,14/02/2023,42000,41700,42000,42000,3500,37400
56,15/02/2023,42000,41900,41900,42000,2400,37400
57,16/02/2023,42050,42000,42050,42000,600,37400
58,17/02/2023,42150,41500,42000,42150,400,37600
59,20/02/2023,41500,41450,41500,41500,3900,37900
60,21/02/2023,44300,41800,42000,41800,9500,38100
61,22/02/2023,42500,41600,42500,42000,9600,38300
62,23/02/2023,41800,41000,41000,41700,5300,38100
63,24/02/2023,41700,40500,41000,41700,4400,38100
64,27/02/2023,41700,41700,41700,41700,-,38100
65,28/02/2023,41650,41500,41650,41500,300,37900
66,01/03/2023,41500,41450,41450,41500,300,37900
67,02/03/2023,41500,41300,41500,41500,10000,37900
68,03/03/2023,41500,41500,41500,41500,13800,37900
69,06/03/2023,42000,41500,42000,41500,17900,37900
70,07/03/2023,41700,41500,41500,41500,35500,37900
71,08/03/2023,41700,41200,41500,41500,77200,37900
72,09/03/2023,41500,41500,41500,41500,100,37900
73,10/03/2023,41500,41500,41500,41500,13000,37900
74,13/03/2023,41500,41000,41000,41400,4100,37800
75,14/03/2023,41500,41200,41500,41400,4300,37800
76,15/03/2023,41500,41400,41400,41400,6500,37800
77,16/03/2023,41400,41400,41400,41400,600,37800
78,17/03/2023,41800,41350,41350,41400,1600,37800
79,20/03/2023,41500,41200,41500,41200,1500,37600
80,21/03/2023,41400,40550,41400,41200,1700,37600
81,22/03/2023,41200,41100,41100,41100,2500,37500
82,23/03/2023,41100,41100,41100,41100,1600,37500
83,24/03/2023,41850,41000,41850,41400,2000,37800
84,27/03/2023,41600,41400,41400,41600,4300,38000
85,28/03/2023,41600,41300,41500,41300,6400,37700
86,29/03/2023,41300,41300,41300,41300,200,37700
87,30/03/2023,41350,40650,41350,41300,1000,37700
88,31/03/2023,41350,41300,41300,41350,300,37700
89,03/04/2023,41350,41300,41350,41350,3800,37700
90,04/04/2023,41350,40650,41350,41000,14900,37400
91,05/04/2023,41300,41000,41300,41000,7000,37400
92,06/04/2023,41300,41000,41300,41000,2300,37400
93,07/04/2023,41450,41050,41300,41450,21800,37800
94,10/04/2023,41350,41000,41100,41300,9800,37700
95,11/04/2023,41300,40700,41300,41300,9100,37700
96,12/04/2023,41300,40700,41300,41000,13700,37400
97,13/04/2023,41000,40500,40500,41000,1800,37400
98,14/04/2023,41000,40500,41000,41000,5500,37400
99,17/04/2023,41000,40000,40500,41000,1200,37400
100,18/04/2023,41000,40500,40500,41000,3000,37400
101,19/04/2023,40800,39500,39500,40500,20600,37000
102,20/04/2023,40500,40000,40000,40400,32000,36900
103,21/04/2023,41000,40000,40500,40100,4600,36600
104,24/04/2023,40900,40200,40200,40900,500,37300
105,25/04/2023,40600,40600,40600,40600,15300,37000
106,26/04/2023,40600,40000,40000,40300,12300,36800
107,27/04/2023,41000,39600,41000,40000,28800,36500
108,28/04/2023,40000,39700,40000,40000,26700,36500
109,04/05/2023,39800,39000,39800,39000,25000,35600
110,05/05/2023,39000,39000,39000,39000,58600,35600
111,08/05/2023,40000,38950,40000,39000,13000,35600
112,09/05/2023,39000,39000,39000,39000,4900,35600
113,10/05/2023,39500,39000,39000,39500,2900,36000
