,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,112200,112200,112200,112200,-,55300
1,22/11/2022,112200,112200,112200,112200,-,55300
2,23/11/2022,112200,112200,112200,112200,-,55300
3,24/11/2022,112200,112200,112200,112200,-,55300
4,25/11/2022,118000,118000,118000,118000,100,58200
5,28/11/2022,118000,118000,118000,118000,-,58200
6,29/11/2022,118000,118000,118000,118000,-,58200
7,30/11/2022,109800,109800,109800,109800,400,54200
8,01/12/2022,109800,109800,109800,109800,-,54200
9,02/12/2022,109800,109800,109800,109800,-,54200
10,05/12/2022,109800,109800,109800,109800,-,54200
11,06/12/2022,109800,109800,109800,109800,-,54200
12,07/12/2022,109800,109800,109800,109800,-,54200
13,08/12/2022,109800,109800,109800,109800,-,54200
14,09/12/2022,109800,109800,109800,109800,-,54200
15,12/12/2022,109800,109800,109800,109800,-,54200
16,13/12/2022,109800,109800,109800,109800,-,54200
17,14/12/2022,109800,109800,109800,109800,-,54200
18,15/12/2022,109800,109800,109800,109800,-,54200
19,16/12/2022,109800,109800,109800,109800,-,54200
20,19/12/2022,102200,102200,102200,102200,300,50400
21,20/12/2022,95100,95100,95100,95100,200,46900
22,21/12/2022,101000,101000,101000,101000,100,49800
23,22/12/2022,108000,108000,108000,108000,700,53300
24,23/12/2022,100500,100500,100500,100500,200,49600
25,26/12/2022,107500,100000,107500,100000,111600,49300
26,27/12/2022,107000,100000,107000,107000,1800,52800
27,28/12/2022,53500,53500,107000,53500,-,52800
28,29/12/2022,57200,49800,49800,57200,2200,56400
29,30/12/2022,57200,57200,57200,57200,-,56400
30,03/01/2023,58000,57000,57000,58000,200,57200
31,04/01/2023,62000,62000,62000,62000,500,61200
32,05/01/2023,61500,61500,61500,61500,100,60700
33,06/01/2023,61500,61500,61500,61500,-,60700
34,09/01/2023,60000,60000,60000,60000,500,59200
35,10/01/2023,59500,58000,58000,59500,500,58700
36,11/01/2023,59500,59500,59500,59500,-,58700
37,12/01/2023,59500,59500,59500,59500,-,58700
38,13/01/2023,59500,59500,59500,59500,-,58700
39,16/01/2023,59500,59500,59500,59500,-,58700
40,17/01/2023,58000,58000,58000,58000,100,57200
41,18/01/2023,55400,55300,55400,55400,1500,54700
42,19/01/2023,54000,54000,54000,54000,1500,53300
43,27/01/2023,52000,50300,51700,52000,4500,51300
44,30/01/2023,50400,50400,50400,50400,1000,49700
45,31/01/2023,50400,50400,50400,50400,-,49700
46,01/02/2023,53800,50600,50600,53800,3600,53100
47,02/02/2023,57000,53700,53800,56800,2500,56000
48,03/02/2023,53700,52900,52900,53700,5700,53000
49,06/02/2023,53000,52900,52900,53000,800,52300
50,07/02/2023,50100,50100,50100,50100,100,49400
51,08/02/2023,50100,48500,50100,50100,800,49400
52,09/02/2023,51800,51800,51800,51800,100,51100
53,10/02/2023,50000,48400,50000,48400,400,47700
54,13/02/2023,48500,45700,45700,48500,1800,47800
55,14/02/2023,48900,48900,48900,48900,100,48200
56,15/02/2023,50900,48000,50900,48800,500,48100
57,16/02/2023,48400,45700,45700,46250,300,45600
58,17/02/2023,45000,43100,45000,44900,3000,44300
59,20/02/2023,44800,42600,43100,44800,3500,44200
60,21/02/2023,47300,44100,44100,47300,700,46700
61,22/02/2023,44250,44150,44200,44150,1400,43600
62,23/02/2023,44000,43500,44000,43500,5300,42900
63,24/02/2023,43500,43500,43500,43500,-,42900
64,27/02/2023,43500,43500,43500,43500,200,42900
65,28/02/2023,43500,43500,43500,43500,-,42900
66,01/03/2023,45900,45900,45900,45900,100,45300
67,02/03/2023,44800,43100,44800,43100,1200,42500
68,03/03/2023,43000,40500,43000,40500,24000,40000
69,06/03/2023,40000,39100,40000,39100,1700,38600
70,07/03/2023,39650,37500,37550,39650,4200,39100
71,08/03/2023,39650,39650,39650,39650,-,39100
72,09/03/2023,39400,39000,39400,39300,1700,38800
73,10/03/2023,38000,37000,37350,37150,900,36600
74,13/03/2023,38800,35700,35700,38500,500,38000
75,14/03/2023,38400,36050,36050,38400,200,37900
76,15/03/2023,38400,37500,37500,38400,300,37900
77,16/03/2023,38400,38400,38400,38400,-,37900
78,17/03/2023,37950,37950,37950,37950,100,37400
79,20/03/2023,37950,37950,37950,37950,-,37400
80,21/03/2023,38950,36400,38050,38950,500,38400
81,22/03/2023,40800,38500,40800,40350,600,39800
82,23/03/2023,40350,40350,40350,40350,-,39800
83,24/03/2023,38050,38000,38000,38050,900,37500
84,27/03/2023,36650,36650,36650,36650,100,36200
85,28/03/2023,38500,36700,36700,38500,1200,38000
86,29/03/2023,39950,37150,37150,39950,1000,39400
87,30/03/2023,37500,37200,37200,37250,2300,36700
88,31/03/2023,37700,37250,37250,37700,300,37200
89,03/04/2023,37000,36100,36100,36900,1100,36400
90,04/04/2023,38600,36000,36000,38500,4800,38000
91,05/04/2023,37000,36300,37000,37000,2700,36500
92,06/04/2023,38900,36300,36300,38650,700,38100
93,07/04/2023,38650,38650,38650,38650,-,38100
94,10/04/2023,37000,36100,36200,36500,7400,36000
95,11/04/2023,36500,36500,36500,36500,400,36000
96,12/04/2023,37450,36700,36700,37450,1100,36900
97,13/04/2023,37400,36350,37400,37400,1900,36900
98,14/04/2023,37000,37000,37000,37000,200,36500
99,17/04/2023,37800,37500,37800,37700,1100,37200
100,18/04/2023,37700,37000,37700,37000,200,36500
101,19/04/2023,38450,37100,38450,37100,1800,36600
102,20/04/2023,37100,37000,37100,37000,900,36500
103,21/04/2023,37650,36000,36500,37650,1200,37700
104,24/04/2023,36100,35500,36100,35500,800,35500
105,25/04/2023,36400,35500,36400,36300,600,36300
106,26/04/2023,36300,35550,36300,35550,900,35600
107,27/04/2023,35550,35550,35550,35550,-,35600
108,28/04/2023,35350,35350,35350,35350,100,35400
109,04/05/2023,36050,36050,36050,36050,100,36100
110,05/05/2023,35550,35500,35550,35500,400,35500
111,08/05/2023,36300,35000,35000,36300,6400,36300
112,09/05/2023,36500,36150,36150,36500,700,36500
113,10/05/2023,36500,36500,36500,36500,200,36500
114,11/05/2023,35500,34500,34500,34650,300,34700
115,12/05/2023,34650,34600,34600,34650,800,34700
116,15/05/2023,37000,35000,35300,35050,1100,35100
117,16/05/2023,36900,34800,34800,36900,400,36900
118,17/05/2023,36900,36800,36900,36800,1300,36800
119,18/05/2023,36800,36800,36800,36800,-,36800
120,19/05/2023,36800,36500,36500,36800,200,36800
121,22/05/2023,36800,36800,36800,36800,-,36800
122,23/05/2023,36800,36800,36800,36800,-,36800
123,24/05/2023,36800,36800,36800,36800,-,36800
124,25/05/2023,36800,36800,36800,36800,-,36800
125,26/05/2023,36800,36800,36800,36800,-,36800
126,29/05/2023,34600,34550,34600,34550,300,34600
127,30/05/2023,36950,36950,36950,36950,200,37000
128,31/05/2023,36950,36950,36950,36950,-,37000
129,01/06/2023,36950,36950,36950,36950,-,37000
130,02/06/2023,36950,36950,36950,36950,900,37000
131,05/06/2023,39500,34600,34600,39500,2100,39500
132,06/06/2023,42250,41450,41450,42150,1600,42200
133,07/06/2023,44000,42150,42150,44000,3900,44000
134,08/06/2023,44000,44000,44000,44000,-,44000
135,09/06/2023,47000,44000,44000,47000,4500,47000
136,12/06/2023,47000,46950,46950,47000,1900,47000
137,13/06/2023,47000,47000,47000,47000,-,47000
138,14/06/2023,50000,43950,49900,43950,1000,44000
139,15/06/2023,42000,40900,40900,40900,3900,40900
140,16/06/2023,39000,38050,39000,38050,1300,38100
141,19/06/2023,36500,35400,36000,35450,2500,35500
142,20/06/2023,35450,35450,35450,35450,100,35500
143,21/06/2023,37400,37400,37400,37400,100,37400
144,22/06/2023,39200,36300,39200,36300,700,36300
145,23/06/2023,37900,35100,36300,35100,1400,35100
146,26/06/2023,36700,35500,35500,36700,300,36700
147,27/06/2023,36250,36250,36250,36250,600,36300
148,28/06/2023,38700,38700,38700,38700,2000,38700
149,29/06/2023,41400,40000,40000,41400,29700,41400
150,30/06/2023,41400,41400,41400,41400,3600,41400
151,03/07/2023,44250,44250,44250,44250,4100,44300
152,04/07/2023,45000,41500,41500,45000,300,45000
153,05/07/2023,48000,41850,48000,41850,4100,41900
154,06/07/2023,39200,39200,39200,39200,600,39200
155,07/07/2023,38000,36500,37250,36500,10100,36500
156,10/07/2023,36500,36300,36500,36300,19800,36300
157,11/07/2023,38600,36300,36300,38600,2500,38600
158,12/07/2023,38600,36700,38600,36700,5100,36700
159,13/07/2023,39250,36800,36800,36900,5000,36900
160,14/07/2023,37000,36900,37000,36900,1200,36900
161,17/07/2023,38900,38000,38900,38000,400,38000
162,18/07/2023,37100,36900,36900,36900,2000,36900
163,19/07/2023,37600,36900,36900,37550,600,37600
164,20/07/2023,37550,36000,36100,37500,1100,37500
165,21/07/2023,37500,37500,37500,37500,700,37500
166,24/07/2023,37500,36100,36150,37500,1900,37500
167,25/07/2023,37500,36600,37500,36600,1500,36600
168,26/07/2023,37900,36100,36400,37900,2600,37900
169,27/07/2023,37900,36600,37900,36650,800,36700
170,28/07/2023,36800,36650,36650,36650,900,36700
171,31/07/2023,37400,36650,36650,37400,10600,37400
172,01/08/2023,37000,36500,36900,36600,2600,36600
173,02/08/2023,36600,36600,36600,36600,-,36600
174,03/08/2023,37700,36500,37700,36500,400,36500
175,04/08/2023,38650,36500,36500,37500,2300,37500
176,07/08/2023,37400,36700,37400,36700,1500,36700
177,08/08/2023,36700,36700,36700,36700,1700,36700
178,09/08/2023,36800,34250,36600,36800,2500,36800
179,10/08/2023,36800,36800,36800,36800,100,36800
180,11/08/2023,36800,35300,36800,35300,1400,35300
181,14/08/2023,37750,37400,37450,37750,4400,37800
182,15/08/2023,40350,40000,40200,40300,6900,40300
183,16/08/2023,41000,37500,41000,37700,3900,37700
184,17/08/2023,39700,36100,39700,38950,4000,39000
185,18/08/2023,36650,36600,36600,36600,1000,36600
186,21/08/2023,35600,35000,35000,35600,1100,35600
187,22/08/2023,35200,35050,35050,35200,200,35200
188,23/08/2023,36500,35000,35150,36500,600,36500
189,24/08/2023,36500,36300,36400,36500,800,36500
190,25/08/2023,35000,35000,35000,35000,1000,35000
191,28/08/2023,36250,34900,36250,34900,600,34900
192,29/08/2023,36050,34800,34800,36050,700,36100
193,30/08/2023,37800,35200,37800,36150,500,36200
194,31/08/2023,36350,36150,36150,36350,600,36400
195,05/09/2023,35350,35350,35350,35350,100,35400
196,06/09/2023,36250,36250,36250,36250,100,36300
197,07/09/2023,36550,36000,36550,36000,1900,36000
198,08/09/2023,36500,36500,36500,36500,100,36500
199,11/09/2023,35800,35800,35800,35800,1100,35800
200,12/09/2023,38300,38000,38300,38000,200,38000
201,13/09/2023,38000,38000,38000,38000,-,38000
202,14/09/2023,38000,38000,38000,38000,-,38000
203,15/09/2023,38000,38000,38000,38000,-,38000
204,18/09/2023,38000,38000,38000,38000,-,38000
205,19/09/2023,35600,35600,35600,35600,500,35600
206,20/09/2023,34800,34750,34800,34800,300,34800
207,21/09/2023,35100,35100,35100,35100,100,35100
208,22/09/2023,35100,35100,35100,35100,100,35100
209,25/09/2023,34250,33600,34150,34000,800,34000
210,26/09/2023,35500,35400,35400,35500,400,35500
211,27/09/2023,35500,35500,35500,35500,-,35500
212,28/09/2023,35500,35400,35400,35500,200,35500
213,29/09/2023,35000,35000,35000,35000,300,35000
214,02/10/2023,34800,33200,34800,33200,600,33200
215,03/10/2023,35450,33600,35450,33600,400,33600
216,04/10/2023,34900,34900,34900,34900,100,34900
217,05/10/2023,34900,34900,34900,34900,100,34900
218,06/10/2023,34900,34900,34900,34900,-,34900
219,09/10/2023,34900,34900,34900,34900,100,34900
220,10/10/2023,34900,34900,34900,34900,-,34900
221,11/10/2023,36950,36900,36900,36950,500,37000
222,12/10/2023,34450,34450,34450,34450,100,34500
223,13/10/2023,34450,34450,34450,34450,-,34500
224,16/10/2023,34450,34450,34450,34450,-,34500
225,17/10/2023,34450,34450,34450,34450,-,34500
