,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,2790,2730,2730,2790,4000,2800
1,22/11/2022,2930,2750,2800,2820,26100,2800
2,23/11/2022,2830,2700,2830,2740,12100,2700
3,24/11/2022,2740,2600,2740,2640,10400,2600
4,25/11/2022,2820,2640,2780,2820,17400,2800
5,28/11/2022,3010,2850,2930,3010,77400,3000
6,29/11/2022,3180,3000,3020,3080,21500,3100
7,30/11/2022,3260,2960,3070,2960,33200,3000
8,01/12/2022,3130,2960,3090,3120,160700,3100
9,02/12/2022,3200,3050,3140,3050,41000,3100
10,05/12/2022,3260,3100,3100,3260,150700,3300
11,06/12/2022,3480,3350,3480,3470,149000,3500
12,07/12/2022,3650,3230,3430,3230,55800,3200
13,08/12/2022,3450,3230,3230,3300,148000,3300
14,09/12/2022,3480,3200,3320,3280,53800,3300
15,12/12/2022,3380,3120,3120,3120,111900,3100
16,13/12/2022,3280,3090,3100,3200,20500,3200
17,14/12/2022,3290,3010,3010,3190,145200,3200
18,15/12/2022,3240,2970,3190,3160,179300,3200
19,16/12/2022,3300,2940,3000,3240,249700,3200
20,19/12/2022,3360,3040,3100,3290,245500,3300
21,20/12/2022,3280,3070,3080,3280,171100,3300
22,21/12/2022,3340,3060,3340,3230,164200,3200
23,22/12/2022,3230,3040,3230,3170,81400,3200
24,23/12/2022,3160,3010,3160,3010,32700,3000
25,26/12/2022,3110,2810,3000,2810,120300,2800
26,27/12/2022,2880,2710,2810,2810,83100,2800
27,28/12/2022,2970,2700,2750,2960,120500,3000
28,29/12/2022,2980,2810,2980,2930,75900,2900
29,30/12/2022,3040,2880,2930,2920,38700,2900
30,03/01/2023,3000,2880,2920,2970,70200,3000
31,04/01/2023,3150,2830,2910,3010,292600,3000
32,05/01/2023,3010,2840,2850,2890,18000,2900
33,06/01/2023,3060,2860,2950,2990,47500,3000
34,09/01/2023,3130,2790,2910,3050,258200,3100
35,10/01/2023,3100,2860,3070,3100,41500,3100
36,11/01/2023,3150,2990,2990,3090,42400,3100
37,12/01/2023,3090,3010,3010,3020,21000,3000
38,13/01/2023,3100,3000,3000,3080,13600,3100
39,16/01/2023,3080,3000,3000,3000,12000,3000
40,17/01/2023,3090,2960,3000,3010,28200,3000
41,18/01/2023,3100,2990,3010,3100,31100,3100
42,19/01/2023,3120,3060,3100,3120,11700,3100
43,27/01/2023,3180,3110,3110,3120,28000,3100
44,30/01/2023,3200,3030,3150,3120,31100,3100
45,31/01/2023,3190,3040,3040,3190,51000,3200
46,01/02/2023,3230,3100,3150,3100,42300,3100
47,02/02/2023,3100,2950,3100,2950,46200,3000
48,03/02/2023,3100,2960,3090,3000,24500,3000
49,06/02/2023,3070,2970,3000,3010,62800,3000
50,07/02/2023,3010,2960,2960,3000,35400,3000
51,08/02/2023,3000,2900,3000,2960,21000,3000
52,09/02/2023,3010,2960,2990,2970,20600,3000
53,10/02/2023,2990,2920,2920,2990,47400,3000
54,13/02/2023,2920,2860,2860,2890,27100,2900
55,14/02/2023,2920,2880,2890,2900,17600,2900
56,15/02/2023,2980,2900,2900,2980,22300,3000
57,16/02/2023,2990,2860,2980,2990,47500,3000
58,17/02/2023,3000,2950,3000,2990,2300,3000
59,20/02/2023,3000,2920,3000,3000,71100,3000
60,21/02/2023,3100,2960,3000,3040,45200,3000
61,22/02/2023,3040,2960,3000,2970,29700,3000
62,23/02/2023,2990,2920,2970,2970,44000,3000
63,24/02/2023,2970,2880,2930,2970,15900,3000
64,27/02/2023,2970,2860,2890,2910,67100,2900
65,28/02/2023,2960,2860,2900,2940,15100,2900
66,01/03/2023,3000,2800,2940,3000,25000,3000
67,02/03/2023,2990,2920,2930,2990,7200,3000
68,03/03/2023,2930,2890,2900,2900,23600,2900
69,06/03/2023,2930,2900,2900,2930,5900,2900
70,07/03/2023,2930,2900,2930,2930,31000,2900
71,08/03/2023,2930,2860,2860,2870,28900,2900
72,09/03/2023,2940,2890,2890,2920,18300,2900
73,10/03/2023,2930,2900,2930,2930,2100,2900
74,13/03/2023,2930,2900,2900,2900,15800,2900
75,14/03/2023,2920,2700,2920,2900,31400,2900
76,15/03/2023,2960,2900,2900,2930,18800,2900
77,16/03/2023,2930,2860,2860,2930,39900,2900
78,17/03/2023,2930,2930,2930,2930,3300,2900
79,20/03/2023,2920,2900,2920,2910,1500,2900
80,21/03/2023,2920,2870,2900,2910,42200,2900
81,22/03/2023,2910,2860,2910,2900,9700,2900
82,23/03/2023,2900,2850,2880,2900,1800,2900
83,24/03/2023,3040,2800,2800,2950,14300,3000
84,27/03/2023,3000,2810,3000,2930,3500,2900
85,28/03/2023,2930,2900,2930,2930,2000,2900
86,29/03/2023,2950,2860,2950,2940,1000,2900
87,30/03/2023,2900,2870,2880,2900,15200,2900
88,31/03/2023,2900,2860,2900,2880,4800,2900
89,03/04/2023,2970,2860,2860,2860,7100,2900
90,04/04/2023,2950,2860,2900,2950,36200,3000
91,05/04/2023,2950,2880,2950,2950,30600,3000
92,06/04/2023,3010,2900,2950,2970,74300,3000
93,07/04/2023,2960,2900,2900,2950,26400,3000
94,10/04/2023,2950,2850,2900,2910,26100,2900
95,11/04/2023,2930,2870,2880,2930,5400,2900
96,12/04/2023,2970,2910,2930,2920,9600,2900
97,13/04/2023,2930,2900,2900,2920,4100,2900
98,14/04/2023,2930,2900,2930,2930,4200,2900
99,17/04/2023,2930,2900,2930,2920,2600,2900
100,18/04/2023,3000,2900,2920,2940,5100,2900
101,19/04/2023,2950,2860,2950,2890,17700,2900
102,20/04/2023,2950,2890,2890,2900,38100,2900
103,21/04/2023,2920,2900,2920,2900,7000,2900
104,24/04/2023,2920,2900,2900,2900,4800,2900
105,25/04/2023,2900,2800,2900,2900,2000,2900
106,26/04/2023,2900,2860,2860,2900,5100,2900
107,27/04/2023,2910,2830,2900,2900,2600,2900
108,28/04/2023,2930,2830,2920,2910,28800,2900
109,04/05/2023,2900,2860,2860,2860,23600,2900
110,05/05/2023,2900,2660,2900,2820,54200,2800
111,08/05/2023,2890,2780,2780,2850,26300,2900
112,09/05/2023,2880,2820,2880,2870,15200,2900
113,10/05/2023,2960,2850,2850,2960,54700,3000
114,11/05/2023,2980,2900,2910,2960,48600,3000
115,12/05/2023,2990,2900,2920,2960,18300,3000
116,15/05/2023,2980,2820,2960,2950,54800,3000
117,16/05/2023,2960,2900,2950,2960,19100,3000
118,17/05/2023,2960,2870,2960,2960,24000,3000
119,18/05/2023,3020,2890,2960,3000,117500,3000
120,19/05/2023,3000,2910,3000,2950,7700,3000
121,22/05/2023,2950,2870,2940,2950,40500,3000
122,23/05/2023,2950,2880,2950,2900,9800,2900
123,24/05/2023,2910,2880,2900,2910,69300,2900
124,25/05/2023,2900,2860,2880,2860,32000,2900
125,26/05/2023,2940,2850,2860,2910,14800,2900
126,29/05/2023,3110,2950,2950,3100,291400,3100
127,30/05/2023,3260,3060,3250,3200,1155000,3200
128,31/05/2023,3280,3150,3200,3200,118500,3200
129,01/06/2023,3410,3130,3200,3400,188200,3400
130,02/06/2023,3630,3590,3590,3630,318200,3600
131,05/06/2023,3880,3860,3860,3880,155600,3900
132,06/06/2023,4150,4150,4150,4150,78500,4200
133,07/06/2023,4440,3950,4440,4170,639900,4200
134,08/06/2023,4460,4140,4140,4390,287100,4400
135,09/06/2023,4350,4170,4220,4200,152400,4200
136,12/06/2023,4280,4150,4200,4280,95500,4300
137,13/06/2023,4340,4210,4280,4320,144000,4300
138,14/06/2023,4320,4200,4320,4290,485600,4300
139,15/06/2023,4290,4090,4290,4140,64200,4100
140,16/06/2023,4140,3860,4140,3860,234700,3900
141,19/06/2023,3860,3590,3860,3780,754000,3800
142,20/06/2023,3770,3610,3770,3770,56200,3800
143,21/06/2023,3800,3760,3780,3800,42900,3800
144,22/06/2023,3890,3800,3810,3840,69400,3800
145,23/06/2023,3870,3750,3830,3870,23500,3900
146,26/06/2023,3800,3650,3800,3650,37900,3700
147,27/06/2023,3790,3650,3650,3700,30300,3700
148,28/06/2023,3730,3500,3730,3680,50000,3700
149,29/06/2023,3660,3510,3530,3640,10800,3600
150,30/06/2023,3710,3460,3460,3480,71100,3500
151,03/07/2023,3580,3400,3490,3540,5000,3500
152,04/07/2023,3720,3580,3720,3660,22100,3700
153,05/07/2023,3700,3650,3660,3660,28300,3700
154,06/07/2023,3670,3600,3620,3640,22000,3600
155,07/07/2023,3690,3490,3690,3640,11800,3600
156,10/07/2023,3730,3640,3730,3700,23900,3700
157,11/07/2023,3720,3620,3700,3700,39300,3700
158,12/07/2023,3740,3670,3720,3700,22900,3700
159,13/07/2023,3740,3570,3730,3700,16500,3700
160,14/07/2023,3740,3630,3630,3690,55700,3700
161,17/07/2023,3850,3700,3700,3760,10400,3800
162,18/07/2023,3850,3670,3670,3710,27200,3700
163,19/07/2023,3830,3660,3830,3680,37100,3700
164,20/07/2023,3740,3700,3700,3710,10100,3700
165,21/07/2023,3770,3660,3710,3700,30400,3700
166,24/07/2023,3710,3650,3710,3700,51300,3700
