,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,27350,26000,26000,26650,652800,22200
1,22/11/2022,27800,25500,26700,26350,596700,21900
2,23/11/2022,26500,25300,26500,25350,339700,21100
3,24/11/2022,25900,24500,24650,25800,423400,21500
4,25/11/2022,27550,26100,26500,27500,448200,22900
5,28/11/2022,29300,28000,28500,29000,615400,24200
6,29/11/2022,29500,27850,29300,29000,827600,24200
7,30/11/2022,30800,28500,29250,30300,1038000,25200
8,01/12/2022,31000,29300,31000,29650,998100,24700
9,02/12/2022,30900,28600,29100,30900,840700,25700
10,05/12/2022,31900,30000,31900,30300,1151000,25200
11,06/12/2022,30300,28600,30000,28600,1117400,23800
12,07/12/2022,28650,27500,28300,27500,652900,22900
13,08/12/2022,28850,27600,28400,28400,769700,23700
14,09/12/2022,29500,28150,28600,29200,575300,24300
15,12/12/2022,30600,29200,29550,29300,1209800,24400
16,13/12/2022,29600,28550,29300,29600,464400,24700
17,14/12/2022,31650,29900,29950,31650,3197900,26400
18,15/12/2022,33550,31650,32400,33000,1761400,27500
19,16/12/2022,32850,32100,32350,32450,2159900,27000
20,19/12/2022,33400,30200,32400,30200,2916400,25200
21,20/12/2022,29800,28100,29600,28100,3188100,23400
22,21/12/2022,28300,26150,28100,26600,2227000,22200
23,22/12/2022,27300,25600,26900,26650,1094500,22200
24,23/12/2022,27500,26400,26700,26900,975000,22400
25,26/12/2022,26900,25050,26500,25050,1238200,20900
26,27/12/2022,25950,24700,25000,25950,1148100,21600
27,28/12/2022,26950,25700,26000,26900,924100,22400
28,29/12/2022,27000,26200,26700,26400,463300,22000
29,30/12/2022,26600,26100,26400,26200,429400,21800
30,03/01/2023,28000,26200,26200,27950,1605000,23300
31,04/01/2023,29450,27800,27800,28700,1418800,23900
32,05/01/2023,29100,28100,28850,28600,1229600,23800
33,06/01/2023,29400,27600,28600,27900,1283000,23200
34,09/01/2023,28200,27700,28200,27800,731200,23200
35,10/01/2023,28050,27000,27700,28050,771400,23400
36,11/01/2023,28700,28050,28200,28250,632500,23500
37,12/01/2023,29150,28450,28450,28950,1080000,24100
38,13/01/2023,29500,28350,29200,28800,807000,24000
39,16/01/2023,29200,28400,29100,29200,706900,24300
40,17/01/2023,29850,29250,29500,29650,1124600,24700
41,18/01/2023,30400,29300,29800,30100,1102200,25100
42,19/01/2023,30600,29950,30400,30100,947700,25100
43,27/01/2023,32000,30100,30100,32000,1596100,26700
44,30/01/2023,32500,31450,31850,31550,1584800,26300
45,31/01/2023,32000,30550,31250,32000,1351000,26700
46,01/02/2023,32400,29800,32350,29800,2067600,24800
47,02/02/2023,29800,28400,29700,29100,1283500,24200
48,03/02/2023,29400,28450,29100,29200,787400,24300
49,06/02/2023,29050,28000,29000,28800,497500,24000
50,07/02/2023,29400,28000,28800,28000,1011800,23300
51,08/02/2023,28500,27250,28400,28200,937300,23500
