,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,23100,22250,22650,22250,8879400,22300
1,22/11/2022,23050,21850,22050,21850,9448800,21900
2,23/11/2022,22400,21700,22000,22000,4018800,22000
3,24/11/2022,22200,21500,22000,22150,7841500,22200
4,25/11/2022,23000,22200,22350,23000,5208100,23000
5,28/11/2022,24600,23250,23300,24600,9331600,24600
6,29/11/2022,25600,24350,24950,25200,8376400,25200
7,30/11/2022,25900,24950,25200,25900,8860700,25900
8,01/12/2022,27700,26250,26250,27400,18858500,27400
9,02/12/2022,29000,26850,27000,28800,19196200,28800
10,05/12/2022,29800,28800,29500,29000,8466100,29000
11,06/12/2022,29000,27000,28800,27050,14750500,27100
12,07/12/2022,27150,25950,27000,26400,7114400,26400
13,08/12/2022,28200,26500,26800,28200,14554300,28200
14,09/12/2022,28500,27700,28450,28250,5605400,28300
15,12/12/2022,28550,27200,28250,27200,36103600,27200
16,13/12/2022,28800,27000,27200,28800,7677900,28800
17,14/12/2022,29700,28800,29500,28800,12774600,28800
18,15/12/2022,29550,28600,28800,29500,7816800,29500
19,16/12/2022,29300,28600,29000,29150,11957180,29200
20,19/12/2022,30650,29050,29150,29250,10027200,29300
21,20/12/2022,29250,27250,29000,27700,20307600,27700
22,21/12/2022,28200,26300,28050,27700,7533300,27700
23,22/12/2022,28400,27250,27750,27700,7861900,27700
24,23/12/2022,27900,26950,27700,27600,3614700,27600
25,26/12/2022,27400,25700,27250,25700,7563600,25700
26,27/12/2022,26300,25400,25600,26300,5638200,26300
27,28/12/2022,26450,25750,26100,26150,7574400,26200
28,29/12/2022,26300,25750,26100,25950,3579700,26000
29,30/12/2022,26100,25850,25950,25850,5502900,25900
30,03/01/2023,27450,25750,25750,27450,3786800,27500
31,04/01/2023,27800,27250,27450,27300,6592300,27300
32,05/01/2023,27800,27150,27300,27650,7837800,27700
33,06/01/2023,28400,27300,27450,27700,7860900,27700
34,09/01/2023,27950,27600,27800,27750,7487700,27800
35,10/01/2023,28000,27300,27750,27450,2696200,27500
36,11/01/2023,28000,27300,27450,27650,3443800,27700
37,12/01/2023,27950,27600,27650,27850,3527200,27900
38,13/01/2023,28300,27800,27900,27800,2810200,27800
39,16/01/2023,28100,27650,27850,28100,15054600,28100
40,17/01/2023,29300,28350,28400,29000,8423900,29000
41,18/01/2023,29150,28900,29100,29100,10091290,29100
42,19/01/2023,29300,28850,28850,29100,10303400,29100
43,27/01/2023,29700,29000,29350,29050,5539200,29100
44,30/01/2023,29050,28550,29050,28700,6458000,28700
45,31/01/2023,29400,28050,28650,29400,6369400,29400
46,01/02/2023,29500,28000,29500,28200,7914500,28200
47,02/02/2023,28400,27600,28200,28000,4715200,28000
48,03/02/2023,28200,27100,28100,27100,7923000,27100
49,06/02/2023,28000,27050,27100,27950,6403300,28000
50,07/02/2023,28050,27400,27950,27400,6538400,27400
51,08/02/2023,27950,27400,27500,27850,8609000,27900
52,09/02/2023,27850,27300,27700,27300,3028300,27300
53,10/02/2023,27500,26900,27350,26950,4529000,27000
54,13/02/2023,26900,26350,26850,26600,4041200,26600
55,14/02/2023,27400,26500,26500,26850,3279800,26900
56,15/02/2023,27600,26600,26850,27400,2633000,27400
57,16/02/2023,27900,27200,27600,27900,2332700,27900
58,17/02/2023,27800,27500,27750,27800,2813300,27800
59,20/02/2023,28600,27700,27750,28600,5607900,28600
60,21/02/2023,28950,28350,28600,28400,7120900,28400
61,22/02/2023,28150,27500,28050,27500,9428000,27500
62,23/02/2023,27950,27000,27500,27950,5865400,28000
63,24/02/2023,27950,27150,27950,27250,5771300,27300
64,27/02/2023,27200,26600,27200,27000,6427000,27000
65,28/02/2023,27200,26500,27000,26500,3579100,26500
66,01/03/2023,27350,26050,26200,27300,2204200,27300
67,02/03/2023,27600,27000,27550,27200,1759900,27200
68,03/03/2023,27350,26550,27200,26800,4075400,26800
69,06/03/2023,27450,26700,27000,27200,7133900,27200
70,07/03/2023,27500,27050,27200,27100,2394300,27100
71,08/03/2023,27400,26800,26900,27300,2665300,27300
72,09/03/2023,27850,27200,27500,27800,4815700,27800
73,10/03/2023,27600,27000,27500,27150,2129800,27200
74,13/03/2023,26950,26550,26550,26750,44346900,26800
75,14/03/2023,26750,26300,26650,26300,4041500,26300
76,15/03/2023,27400,26800,26800,27200,4767800,27200
77,16/03/2023,26950,26350,26900,26750,8230600,26800
78,17/03/2023,27100,26600,26800,26650,4064800,26700
79,20/03/2023,26600,26250,26500,26250,14354800,26300
80,21/03/2023,26600,26100,26500,26350,2917200,26400
81,22/03/2023,26600,26200,26450,26200,9947600,26200
82,23/03/2023,26350,25850,26200,26200,3519000,26200
83,24/03/2023,26700,26300,26400,26450,5385840,26500
84,27/03/2023,26700,26350,26450,26500,1890100,26500
85,28/03/2023,27700,26700,26700,27550,9620000,27600
86,29/03/2023,28300,27500,27550,28000,6627400,28000
87,30/03/2023,28500,27700,28350,27700,5363333,27700
88,31/03/2023,28400,27800,27800,28350,11192800,28400
89,03/04/2023,29350,28700,29000,29300,15664200,29300
90,04/04/2023,29500,29050,29300,29500,10507300,29500
91,05/04/2023,29600,29200,29400,29500,5029800,29500
92,06/04/2023,30200,29350,29350,29600,8106400,29600
93,07/04/2023,29700,29400,29650,29550,5159200,29600
94,10/04/2023,30800,29600,29650,30200,8838400,30200
95,11/04/2023,30400,29600,30200,30400,7344100,30400
96,12/04/2023,30950,30100,30400,30700,5451200,30700
97,13/04/2023,30950,30200,30600,30200,4157900,30200
98,14/04/2023,30400,28900,30200,28900,10655000,28900
99,17/04/2023,29450,28750,29000,29450,7012500,29500
100,18/04/2023,29400,28900,29400,29150,4615500,29200
101,19/04/2023,29400,29000,29200,29000,5834800,29000
102,20/04/2023,29000,28550,28900,28850,7730700,28900
103,21/04/2023,29000,28700,29000,28700,3526500,28700
104,24/04/2023,29750,28650,28700,29500,3543000,29500
105,25/04/2023,29850,29000,29650,29000,6045500,29000
106,26/04/2023,30000,28850,29200,30000,6819900,30000
107,27/04/2023,30200,29850,30200,29900,2593900,29900
108,28/04/2023,29950,29500,29950,29500,4883400,29500
109,04/05/2023,29500,28900,29500,29050,3471201,29100
110,05/05/2023,29200,28450,29050,28700,5652600,28700
111,08/05/2023,29400,28700,28900,29400,6278300,29400
112,09/05/2023,29500,29050,29450,29300,2141501,29300
113,10/05/2023,29400,29100,29350,29300,5934400,29300
114,11/05/2023,29500,29100,29500,29100,2752600,29100
115,12/05/2023,29300,29000,29100,29300,3185300,29300
116,15/05/2023,30150,29400,29450,29900,11285500,29900
117,16/05/2023,30100,29750,30100,29800,4075700,29800
118,17/05/2023,29900,29250,29700,29250,9071000,29300
119,18/05/2023,29700,29250,29250,29550,5975600,29600
120,19/05/2023,29750,29250,29550,29650,5171034,29700
121,22/05/2023,30600,29700,29700,30500,10641400,30500
122,23/05/2023,30700,30000,30700,30350,4307400,30400
123,24/05/2023,30550,29750,30400,29800,17254201,29800
124,25/05/2023,29900,29600,29800,29800,2773800,29800
125,26/05/2023,29950,29650,29900,29900,1947900,29900
126,29/05/2023,30200,29800,30000,30200,2867401,30200
127,30/05/2023,30450,30000,30400,30200,8494200,30200
128,31/05/2023,30300,29900,30200,29950,9329001,30000
129,01/06/2023,30300,29750,30000,30300,10631500,30300
130,02/06/2023,32200,30700,30800,32200,21363132,32200
131,05/06/2023,32800,31900,32450,31900,7139202,31900
132,06/06/2023,32700,31750,31900,32700,8438000,32700
133,07/06/2023,32750,32200,32550,32600,8905234,32600
134,08/06/2023,32750,31750,32700,31750,6363634,31800
135,09/06/2023,32500,31600,31800,32400,12590934,32400
136,12/06/2023,32850,31900,32250,32700,5536534,32700
137,13/06/2023,32900,32400,32700,32800,19607601,32800
138,14/06/2023,33450,32550,33000,32600,9898534,32600
139,15/06/2023,32900,32400,32600,32650,3999300,32700
140,16/06/2023,33450,32500,32650,32550,8283149,32600
141,19/06/2023,32550,31950,32550,32100,9010883,32100
142,20/06/2023,32250,31950,32200,32150,5691950,32200
143,21/06/2023,32500,32100,32150,32500,5740966,32500
144,22/06/2023,33150,32600,32900,32600,4395200,32600
145,23/06/2023,33250,32550,32650,32900,7792983,32900
146,26/06/2023,33300,32550,32900,33300,4156583,33300
147,27/06/2023,33400,32900,33300,32950,4014085,33000
148,28/06/2023,33300,32750,32950,33300,4515083,33300
149,29/06/2023,33400,32650,33300,32650,3912183,32700
150,30/06/2023,32800,32350,32650,32350,2763249,32400
151,03/07/2023,32700,32000,32700,32000,4321484,32000
152,04/07/2023,32100,31850,32000,32000,5381749,32000
153,05/07/2023,32400,31950,32150,31950,16508800,32000
154,06/07/2023,32050,31200,31950,31550,6751249,31600
155,07/07/2023,31800,31300,31500,31550,3419366,31600
156,10/07/2023,32100,31700,32000,32000,6629801,32000
157,11/07/2023,32350,31950,32200,31950,5801267,32000
158,12/07/2023,32000,31600,31900,31650,7080349,31700
159,13/07/2023,32000,31650,31700,31950,8552666,32000
160,14/07/2023,32200,31700,32200,31950,4611749,32000
161,17/07/2023,32100,31800,32100,31900,4478500,31900
162,18/07/2023,32300,31800,31900,32300,8522072,32300
163,19/07/2023,32900,32250,32650,32300,7243667,32300
164,20/07/2023,32400,31800,32400,31900,5485965,31900
165,21/07/2023,32300,31850,31850,32300,5299434,32300
166,24/07/2023,32500,32150,32450,32450,8763617,32500
167,25/07/2023,33800,32700,32800,33500,13503325,33500
168,26/07/2023,33550,33200,33500,33450,8090222,33500
169,27/07/2023,33450,32700,33350,33100,8128224,33100
170,28/07/2023,33800,33000,33050,33800,10561221,33800
171,31/07/2023,34600,34000,34100,34300,7842073,34300
172,01/08/2023,34600,34000,34600,34000,9574685,34000
173,02/08/2023,34100,33750,33900,33900,5571570,33900
174,03/08/2023,34050,33500,34000,33500,4707605,33500
175,04/08/2023,34200,33450,33650,33600,13230555,33600
176,07/08/2023,34450,34000,34200,34350,6031594,34400
177,08/08/2023,34500,33950,34400,34000,6450456,34000
178,09/08/2023,34200,33800,34050,34000,5138625,34000
179,10/08/2023,34050,33500,34000,33500,6276127,33500
180,11/08/2023,33800,33100,33550,33650,5978711,33700
181,14/08/2023,33800,33450,33750,33800,4896644,33800
182,15/08/2023,34400,33850,33900,34050,4652930,34100
183,16/08/2023,35350,33950,34000,35300,17030116,35300
184,17/08/2023,35300,34700,35300,34700,8058795,34700
185,18/08/2023,34550,32450,34550,32500,13569921,32500
186,21/08/2023,32950,32100,32500,32750,5605921,32800
187,22/08/2023,33100,31900,32750,33100,19389150,33100
188,23/08/2023,34200,33200,34000,33200,9490595,33200
189,24/08/2023,33950,33400,33500,33800,5896068,33800
190,25/08/2023,33850,33400,33700,33650,5049014,33700
191,28/08/2023,34100,33600,33850,34000,4038204,34000
192,29/08/2023,34250,33750,34000,33900,8887312,33900
193,30/08/2023,34300,33900,34000,34000,4288504,34000
194,31/08/2023,34500,34100,34100,34500,4121703,34500
195,05/09/2023,35150,34750,34800,35000,45490872,35000
196,06/09/2023,35350,34850,35050,35200,7869410,35200
197,07/09/2023,36150,35100,35250,35750,9232017,35800
198,08/09/2023,35900,35350,35850,35350,50488650,35400
199,11/09/2023,35600,34450,35600,34550,11782100,34600
200,12/09/2023,35300,34400,34550,35300,20429778,35300
201,13/09/2023,35450,34850,35400,35000,6537671,35000
202,14/09/2023,35750,34900,35100,34900,7788800,34900
203,15/09/2023,35500,34900,35100,34900,8669371,34900
204,18/09/2023,35000,34000,34850,34100,23416657,34100
205,19/09/2023,34350,33800,34300,33900,16555008,33900
206,20/09/2023,34500,33850,33900,34350,4325536,34400
207,21/09/2023,34500,34000,34350,34300,6165640,34300
208,22/09/2023,34250,33400,33950,34000,12673589,34000
209,25/09/2023,34200,32750,34000,32800,4983539,32800
210,26/09/2023,33000,32400,32800,32400,6317299,32400
211,27/09/2023,32600,32250,32250,32600,3913087,32600
212,28/09/2023,33900,31850,32600,33650,6556507,33700
213,29/09/2023,33700,33100,33500,33650,3095120,33700
214,02/10/2023,33650,33000,33650,33150,8128202,33200
215,03/10/2023,32900,31900,32900,32500,8787900,32500
216,04/10/2023,32650,32000,32250,32250,2796000,32300
217,05/10/2023,32600,31800,32350,31800,5451100,31800
218,06/10/2023,32250,31600,31750,32050,3290200,32100
219,09/10/2023,32150,31900,32100,32100,4452000,32100
220,10/10/2023,32650,32250,32300,32500,4449800,32500
221,11/10/2023,32650,32300,32650,32600,4301210,32600
222,12/10/2023,32850,32500,32700,32500,3654200,32500
223,13/10/2023,32450,32000,32400,32200,2567100,32200
224,16/10/2023,32300,31800,32050,31800,3236501,31800
225,17/10/2023,32200,31750,31950,31750,3691900,31800
226,18/10/2023,31800,31000,31750,31250,5367400,31300
227,19/10/2023,31400,30650,31250,30650,4644100,30700
228,20/10/2023,31400,30550,30700,31100,3741600,31100
229,23/10/2023,31500,30500,31100,30900,7762400,30900
230,24/10/2023,31800,31050,31350,31350,5764400,31400
231,25/10/2023,31600,31200,31200,31200,2422800,31200
232,26/10/2023,30950,29200,30800,29800,8302000,29800
233,27/10/2023,30400,29100,30000,29550,7556032,29600
234,30/10/2023,29250,28100,29200,28100,13042400,28100
235,31/10/2023,28500,27200,28200,27700,7146400,27700
236,01/11/2023,28450,27450,28300,28200,4760300,28200
237,02/11/2023,29600,28500,28800,29350,4755900,29400
238,03/11/2023,31000,29550,29950,31000,8122701,31000
239,06/11/2023,31000,30300,30800,31000,3551401,31000
240,07/11/2023,30950,30450,30600,30600,7510200,30600
241,08/11/2023,31900,30200,30600,31800,4150400,31800
242,09/11/2023,31950,31300,31850,31500,4253500,31500
243,10/11/2023,31500,30700,31200,31050,5654300,31100
244,13/11/2023,31300,30650,31300,30900,4832300,30900
245,14/11/2023,31750,30900,31150,31500,8863701,31500
246,15/11/2023,32200,31500,32000,31550,3671500,31600
247,16/11/2023,31800,31500,31500,31700,8787900,31700
248,17/11/2023,31950,30700,31700,31150,5427600,31200
249,20/11/2023,31250,30450,30500,31000,8056400,31000
