,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,2840,2660,2660,2840,9100,2800
1,22/11/2022,3000,2650,2950,2840,14200,2800
2,23/11/2022,2940,2650,2940,2660,9500,2700
3,24/11/2022,2800,2790,2800,2800,900,2800
4,25/11/2022,2850,2620,2620,2850,2200,2900
5,28/11/2022,3000,2890,2900,2980,3600,3000
6,29/11/2022,3100,2980,3100,3000,11000,3000
7,30/11/2022,3050,3000,3050,3030,1700,3000
8,01/12/2022,3100,3080,3100,3080,2500,3100
9,02/12/2022,3100,3090,3100,3090,3700,3100
10,05/12/2022,3300,3010,3100,3290,27800,3300
11,06/12/2022,3390,3290,3290,3300,8700,3300
12,07/12/2022,3480,3200,3300,3400,6500,3400
13,08/12/2022,3630,3180,3400,3620,23100,3600
14,09/12/2022,3870,3620,3870,3620,5600,3600
15,12/12/2022,3650,3600,3620,3640,29900,3600
16,13/12/2022,3850,3600,3850,3600,1200,3600
17,14/12/2022,3790,3600,3600,3740,900,3700
18,15/12/2022,3700,3480,3490,3550,1800,3600
19,16/12/2022,3640,3620,3640,3640,6100,3600
20,19/12/2022,3760,3630,3760,3700,3700,3700
21,20/12/2022,3730,3450,3700,3650,3400,3700
22,21/12/2022,3650,3400,3650,3400,9500,3400
23,22/12/2022,3400,3200,3400,3200,74500,3200
24,23/12/2022,3400,3200,3210,3400,8900,3400
25,26/12/2022,3400,3170,3400,3170,28900,3200
26,27/12/2022,3180,2950,3170,3180,15500,3200
27,28/12/2022,3300,3190,3190,3300,9800,3300
28,29/12/2022,3300,3070,3070,3300,1200,3300
29,30/12/2022,3400,3080,3400,3390,500,3400
30,03/01/2023,3300,3200,3200,3300,2000,3300
31,04/01/2023,3290,3280,3290,3280,300,3300
32,05/01/2023,3500,3120,3490,3300,4200,3300
33,06/01/2023,3300,3200,3300,3300,700,3300
34,09/01/2023,3490,3300,3300,3480,1800,3500
35,10/01/2023,3480,3480,3480,3480,-,3500
36,11/01/2023,3500,3480,3480,3500,700,3500
37,12/01/2023,3500,3500,3500,3500,-,3500
38,13/01/2023,3700,3500,3700,3500,1100,3500
39,16/01/2023,3390,3390,3390,3390,100,3400
40,17/01/2023,3360,3160,3160,3360,2300,3400
41,18/01/2023,3500,3170,3500,3470,1400,3500
42,19/01/2023,3360,3340,3340,3360,900,3400
43,27/01/2023,3500,3500,3500,3500,100,3500
44,30/01/2023,3400,3300,3400,3400,10400,3400
45,31/01/2023,3400,3200,3200,3400,500,3400
46,01/02/2023,3400,3400,3400,3400,1500,3400
47,02/02/2023,3310,3300,3300,3300,1800,3300
48,03/02/2023,3400,3300,3400,3300,500,3300
49,06/02/2023,3300,3300,3300,3300,500,3300
50,07/02/2023,3300,3300,3300,3300,-,3300
51,08/02/2023,3300,3300,3300,3300,1000,3300
52,09/02/2023,3300,3080,3080,3300,600,3300
53,10/02/2023,3300,3300,3300,3300,-,3300
54,13/02/2023,3300,3300,3300,3300,-,3300
55,14/02/2023,3300,3100,3150,3290,1300,3300
56,15/02/2023,3290,3100,3290,3250,700,3300
57,16/02/2023,3300,3100,3100,3300,400,3300
