,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4000,3800,3920,3870,96300,3500
1,22/11/2022,4140,3950,3960,4000,352400,3600
2,23/11/2022,4100,3900,4000,4080,115700,3700
3,24/11/2022,4100,3850,4080,3990,141000,3600
4,25/11/2022,4100,3890,4100,3980,80900,3600
5,28/11/2022,4150,3980,3980,4100,182400,3700
6,29/11/2022,4240,4000,4100,4050,155500,3700
7,30/11/2022,4200,4000,4120,4200,166100,3800
8,01/12/2022,4490,4100,4210,4440,278100,4000
9,02/12/2022,4600,4200,4600,4450,180700,4000
10,05/12/2022,4680,4320,4680,4370,130400,4000
11,06/12/2022,4400,4070,4370,4190,175800,3800
12,07/12/2022,4240,3940,4240,4130,28100,3800
13,08/12/2022,4240,3900,3980,4130,199600,3800
14,09/12/2022,4160,4020,4160,4140,23400,3800
15,12/12/2022,4180,4040,4140,4040,84300,3700
16,13/12/2022,4100,3900,4010,4050,39900,3700
17,14/12/2022,4090,4000,4090,4070,110300,3700
18,15/12/2022,4100,3860,4070,3860,101800,3500
19,16/12/2022,4060,3870,3870,3960,54800,3600
20,19/12/2022,4150,3930,3930,4000,50400,3600
21,20/12/2022,4000,3720,4000,3720,207500,3400
22,21/12/2022,3930,3460,3930,3730,242900,3400
23,22/12/2022,3750,3560,3730,3730,37000,3400
24,23/12/2022,3710,3470,3500,3600,70600,3300
25,26/12/2022,3680,3400,3640,3400,76300,3100
26,27/12/2022,3600,3400,3400,3500,36700,3200
27,28/12/2022,3700,3510,3520,3690,40900,3400
28,29/12/2022,3700,3570,3690,3690,52100,3400
29,30/12/2022,3900,3540,3800,3690,32500,3400
30,03/01/2023,3790,3690,3690,3790,13600,3400
31,04/01/2023,3790,3690,3790,3700,59700,3400
32,05/01/2023,3800,3590,3700,3690,20700,3400
33,06/01/2023,3740,3520,3740,3690,66000,3400
34,09/01/2023,3720,3500,3690,3660,78300,3300
35,10/01/2023,3660,3520,3520,3640,5400,3300
36,11/01/2023,3800,3590,3600,3690,59400,3400
37,12/01/2023,3720,3610,3610,3720,28700,3400
38,13/01/2023,3790,3690,3720,3720,27100,3400
39,16/01/2023,3750,3470,3750,3600,139200,3300
40,17/01/2023,3700,3480,3700,3660,72200,3300
41,18/01/2023,3710,3660,3710,3690,36800,3400
42,19/01/2023,3700,3500,3690,3690,27700,3400
43,27/01/2023,3780,3590,3730,3760,135500,3400
44,30/01/2023,3820,3680,3680,3810,240400,3500
45,31/01/2023,3900,3790,3890,3830,131500,3500
46,01/02/2023,4090,3850,3880,3900,346300,3500
47,02/02/2023,3970,3730,3900,3740,89400,3400
48,03/02/2023,3800,3670,3670,3800,53200,3500
49,06/02/2023,3920,3600,3920,3750,74000,3400
50,07/02/2023,3840,3650,3710,3730,81300,3400
51,08/02/2023,3780,3600,3770,3610,141000,3300
52,09/02/2023,3720,3640,3680,3710,75300,3400
53,10/02/2023,3750,3640,3710,3640,72000,3300
54,13/02/2023,3640,3500,3640,3640,66400,3300
55,14/02/2023,3690,3580,3690,3660,7600,3300
56,15/02/2023,3700,3620,3690,3700,26400,3400
57,16/02/2023,3710,3580,3640,3680,26600,3300
58,17/02/2023,3720,3630,3720,3680,22700,3300
59,20/02/2023,3750,3610,3750,3740,47600,3400
60,21/02/2023,3910,3700,3780,3890,169000,3500
61,22/02/2023,3900,3750,3880,3890,151600,3500
62,23/02/2023,3800,3700,3800,3750,90300,3400
63,24/02/2023,3870,3720,3840,3720,145900,3400
64,27/02/2023,3880,3750,3840,3770,105400,3400
65,28/02/2023,3900,3780,3900,3780,144200,3400
66,01/03/2023,3800,3730,3770,3780,64200,3400
67,02/03/2023,3810,3720,3810,3730,41200,3400
68,03/03/2023,3990,3750,3750,3990,255600,3600
69,06/03/2023,4140,3900,4140,3980,99800,3600
70,07/03/2023,4000,3820,3910,3900,243500,3500
71,08/03/2023,3920,3800,3820,3820,137000,3500
72,09/03/2023,3940,3840,3940,3860,114800,3500
73,10/03/2023,3640,3510,3510,3630,108400,3600
74,13/03/2023,3600,3510,3600,3510,20300,3500
75,14/03/2023,3530,3400,3530,3490,85100,3500
76,15/03/2023,3690,3490,3490,3510,62200,3500
77,16/03/2023,3550,3490,3520,3500,16400,3500
78,17/03/2023,3570,3480,3500,3550,62200,3600
79,20/03/2023,3560,3450,3530,3500,22500,3500
80,21/03/2023,3560,3410,3560,3430,39400,3400
81,22/03/2023,3500,3430,3460,3430,37600,3400
82,23/03/2023,3500,3410,3500,3490,15800,3500
83,24/03/2023,3520,3400,3520,3430,67300,3400
84,27/03/2023,3480,3400,3480,3450,94200,3500
85,28/03/2023,3500,3390,3430,3400,44000,3400
86,29/03/2023,3440,3380,3400,3380,21300,3400
87,30/03/2023,3400,3360,3380,3400,72500,3400
88,31/03/2023,3440,3350,3440,3380,28500,3400
89,03/04/2023,3450,3360,3450,3430,79400,3400
90,04/04/2023,3440,3390,3430,3410,91100,3400
91,05/04/2023,3500,3450,3450,3480,74200,3500
92,06/04/2023,3610,3490,3500,3490,164800,3500
93,07/04/2023,3510,3420,3450,3420,45700,3400
94,10/04/2023,3520,3420,3420,3440,83600,3400
95,11/04/2023,3500,3400,3440,3440,39200,3400
96,12/04/2023,3490,3410,3490,3450,16800,3500
97,13/04/2023,3480,3400,3480,3400,73600,3400
98,14/04/2023,3450,3400,3450,3400,24600,3400
99,17/04/2023,3440,3360,3380,3400,49700,3400
100,18/04/2023,3440,3350,3370,3390,143000,3400
101,19/04/2023,3420,3350,3410,3360,67300,3400
102,20/04/2023,3400,3350,3390,3400,32500,3400
103,21/04/2023,3400,3320,3320,3340,51800,3300
104,24/04/2023,3400,3320,3400,3330,33800,3300
105,25/04/2023,3360,3300,3330,3340,50900,3300
106,26/04/2023,3340,3300,3340,3340,15000,3300
107,27/04/2023,3380,3270,3380,3330,19300,3300
108,28/04/2023,3370,3320,3350,3350,25800,3400
109,04/05/2023,3350,3270,3350,3300,68900,3300
110,05/05/2023,3300,3250,3300,3300,53300,3300
111,08/05/2023,3300,3230,3230,3300,153300,3300
112,09/05/2023,3390,3280,3320,3320,82000,3300
113,10/05/2023,3420,3280,3320,3400,110800,3400
114,11/05/2023,3630,3390,3440,3630,364900,3600
115,12/05/2023,3870,3530,3870,3570,357500,3600
116,15/05/2023,3680,3570,3600,3630,146600,3600
117,16/05/2023,3680,3570,3650,3590,128300,3600
118,17/05/2023,3600,3530,3600,3540,255900,3500
119,18/05/2023,3550,3500,3540,3550,147500,3600
120,19/05/2023,3580,3400,3580,3470,214200,3500
121,22/05/2023,3590,3450,3460,3590,144400,3600
122,23/05/2023,3590,3500,3590,3520,114400,3500
123,24/05/2023,3530,3500,3510,3530,85400,3500
124,25/05/2023,3540,3480,3530,3480,77700,3500
125,26/05/2023,3560,3470,3470,3510,172800,3500
126,29/05/2023,3750,3550,3570,3750,513900,3800
127,30/05/2023,3880,3730,3860,3850,419600,3900
128,31/05/2023,4110,3850,3850,4110,363900,4100
129,01/06/2023,4380,4130,4350,4370,868400,4400
130,02/06/2023,4450,4250,4450,4400,445100,4400
131,05/06/2023,4670,4410,4440,4500,382700,4500
132,06/06/2023,4500,4340,4500,4480,136800,4500
133,07/06/2023,4790,4430,4500,4600,846500,4600
134,08/06/2023,4920,4650,4910,4920,1119200,4900
135,09/06/2023,5260,4950,5100,5210,641300,5200
136,12/06/2023,5390,5060,5300,5160,324600,5200
137,13/06/2023,5180,5070,5100,5110,398700,5100
138,14/06/2023,5300,5060,5290,5070,323600,5100
139,15/06/2023,5070,4720,5070,4870,507900,4900
140,16/06/2023,5050,4810,4870,4860,242300,4900
141,19/06/2023,4800,4520,4750,4520,512600,4500
142,20/06/2023,4550,4400,4410,4550,223900,4600
143,21/06/2023,4620,4530,4600,4550,101500,4600
144,22/06/2023,4600,4400,4590,4400,360300,4400
145,23/06/2023,4700,4400,4410,4700,215000,4700
146,26/06/2023,5020,4700,5020,4810,593200,4800
147,27/06/2023,4900,4710,4900,4750,134300,4800
148,28/06/2023,4880,4600,4880,4610,226400,4600
149,29/06/2023,4630,4490,4610,4530,206100,4500
150,30/06/2023,4590,4400,4400,4530,92600,4500
151,03/07/2023,4640,4420,4450,4540,57000,4500
152,04/07/2023,4650,4500,4550,4520,185700,4500
153,05/07/2023,4760,4560,4750,4610,158400,4600
154,06/07/2023,4650,4530,4600,4590,187600,4600
155,07/07/2023,4640,4420,4640,4640,104100,4600
156,10/07/2023,4790,4630,4790,4650,243400,4700
157,11/07/2023,4760,4570,4670,4570,188700,4600
158,12/07/2023,4590,4510,4570,4550,100300,4600
159,13/07/2023,4630,4550,4570,4620,249600,4600
160,14/07/2023,4640,4570,4640,4630,173100,4600
161,17/07/2023,4840,4630,4640,4810,389600,4800
162,18/07/2023,5000,4840,4860,4900,492400,4900
163,19/07/2023,4980,4660,4900,4710,259500,4700
164,20/07/2023,4800,4700,4800,4780,105900,4800
165,21/07/2023,4850,4710,4850,4710,150600,4700
166,24/07/2023,4780,4610,4780,4760,377500,4800
167,25/07/2023,4780,4670,4780,4710,203600,4700
168,26/07/2023,4780,4680,4710,4680,177500,4700
169,27/07/2023,4730,4640,4700,4700,162500,4700
170,28/07/2023,5020,4760,4760,5020,656200,5000
171,31/07/2023,5240,4900,4900,5120,508800,5100
172,01/08/2023,5130,4770,5100,4770,556700,4800
173,02/08/2023,4840,4730,4790,4760,274100,4800
174,03/08/2023,4870,4730,4870,4780,177400,4800
175,04/08/2023,4870,4730,4770,4780,248100,4800
176,07/08/2023,4890,4800,4800,4850,273700,4900
177,08/08/2023,5040,4860,4870,4940,393900,4900
178,09/08/2023,5030,4860,4940,4950,1140700,5000
179,10/08/2023,5290,5050,5050,5290,1748100,5300
180,11/08/2023,5550,5040,5290,5200,767900,5200
181,14/08/2023,5390,5070,5350,5100,700000,5100
182,15/08/2023,5200,4800,5200,5010,702000,5000
183,16/08/2023,5140,4960,5020,5100,556500,5100
184,17/08/2023,5100,4940,5100,4960,353600,5000
185,18/08/2023,4950,4620,4940,4620,693600,4600
186,21/08/2023,4450,4300,4370,4310,611100,4300
187,22/08/2023,4400,4060,4310,4350,355200,4400
188,23/08/2023,4390,4300,4360,4360,223800,4400
189,24/08/2023,4400,4310,4360,4380,261400,4400
190,25/08/2023,4400,4340,4380,4400,175300,4400
191,28/08/2023,4540,4390,4390,4510,111900,4500
192,29/08/2023,4580,4410,4580,4500,150500,4500
193,30/08/2023,4500,4410,4460,4480,127500,4500
194,31/08/2023,4500,4420,4500,4490,122800,4500
195,05/09/2023,4550,4490,4520,4500,189000,4500
196,06/09/2023,4810,4500,4560,4810,579700,4800
197,07/09/2023,5090,4870,5090,4920,582700,4900
198,08/09/2023,4930,4860,4920,4910,340400,4900
199,11/09/2023,5250,4920,4920,5080,1333200,5100
200,12/09/2023,5150,5000,5090,5080,257000,5100
201,13/09/2023,5090,4840,4840,4930,442800,4900
202,14/09/2023,5100,4920,4950,5030,686000,5000
203,15/09/2023,5230,5030,5100,5090,347200,5100
204,18/09/2023,5200,4900,5200,4900,293700,4900
205,19/09/2023,5000,4560,4900,4750,729300,4800
206,20/09/2023,4840,4750,4760,4750,164500,4800
207,21/09/2023,4780,4660,4770,4670,369100,4700
208,22/09/2023,4670,4480,4670,4550,290900,4600
209,25/09/2023,4640,4240,4550,4350,191500,4400
210,26/09/2023,4500,4180,4500,4250,165800,4300
211,27/09/2023,4300,3970,4250,4160,148600,4200
212,28/09/2023,4230,4100,4170,4190,56100,4200
213,29/09/2023,4230,4150,4190,4180,147200,4200
214,02/10/2023,4280,4180,4180,4210,105100,4200
215,03/10/2023,4200,3950,4200,4050,101300,4100
216,04/10/2023,4110,3990,4050,4050,74600,4100
217,05/10/2023,4190,3980,4190,4060,66300,4100
218,06/10/2023,4160,4000,4160,4090,52500,4100
219,09/10/2023,4160,4050,4090,4100,49900,4100
220,10/10/2023,4190,4100,4100,4100,193100,4100
221,11/10/2023,4240,4080,4100,4240,134600,4200
222,12/10/2023,4330,4180,4250,4240,62300,4200
223,13/10/2023,4240,4100,4240,4180,124900,4200
224,16/10/2023,4190,4110,4180,4120,102200,4100
225,17/10/2023,4150,4100,4120,4100,65500,4100
226,18/10/2023,4070,3840,4040,4000,194700,4000
227,19/10/2023,4190,3840,3850,4140,110500,4100
228,20/10/2023,4140,3900,4130,4100,61500,4100
229,23/10/2023,4170,3880,4100,4090,93000,4100
230,24/10/2023,4120,4000,4090,4090,32000,4100
231,25/10/2023,4140,4010,4140,4090,37200,4100
232,26/10/2023,4000,3810,4000,3980,137100,4000
233,27/10/2023,3950,3750,3900,3950,87600,4000
234,30/10/2023,3990,3800,3950,3900,33200,3900
235,31/10/2023,3900,3670,3900,3670,102500,3700
236,01/11/2023,3890,3530,3890,3820,66600,3800
237,02/11/2023,3980,3680,3830,3980,59200,4000
238,03/11/2023,3980,3850,3980,3910,35700,3900
239,06/11/2023,3930,3850,3930,3900,42300,3900
240,07/11/2023,3900,3820,3900,3890,44600,3900
241,08/11/2023,3990,3790,3790,3980,118200,4000
242,09/11/2023,4100,3950,4000,3990,133400,4000
243,10/11/2023,3980,3910,3980,3940,137000,3900
244,13/11/2023,3970,3870,3940,3870,49700,3900
245,14/11/2023,3950,3850,3900,3920,113400,3900
246,15/11/2023,3960,3900,3960,3930,70700,3900
247,16/11/2023,3940,3860,3930,3930,43700,3900
248,17/11/2023,3980,3870,3870,3920,93200,3900
249,20/11/2023,3910,3700,3800,3900,53700,3900
