,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,2950,2760,2790,2950,270200,3000
1,22/11/2022,3150,3000,3150,3000,180700,3000
2,23/11/2022,3150,2790,3150,2970,91800,3000
3,24/11/2022,2990,2780,2970,2880,146100,2900
4,25/11/2022,3000,2880,2880,2950,169900,3000
5,28/11/2022,3150,3100,3100,3140,382800,3100
6,29/11/2022,3190,3100,3150,3180,236400,3200
7,30/11/2022,3200,3110,3170,3180,399500,3200
8,01/12/2022,3300,3150,3180,3200,573200,3200
9,02/12/2022,3300,3000,3300,3230,234600,3200
10,05/12/2022,3390,3090,3390,3180,237500,3200
11,06/12/2022,3180,3020,3180,3020,254700,3000
12,07/12/2022,3230,2850,3230,2920,87200,2900
13,08/12/2022,3110,2920,3110,3000,142300,3000
14,09/12/2022,3100,2890,3100,3010,158500,3000
15,12/12/2022,3040,2960,3010,2970,19100,3000
16,13/12/2022,3000,2820,2970,2970,24300,3000
17,14/12/2022,3100,2980,2990,3000,95300,3000
18,15/12/2022,3020,2900,3010,3000,106400,3000
19,16/12/2022,3010,2950,3010,2980,74200,3000
20,19/12/2022,3050,2920,2950,2920,47800,2900
21,20/12/2022,3100,2720,3100,2750,214900,2800
22,21/12/2022,2750,2560,2750,2740,74500,2700
23,22/12/2022,2900,2560,2700,2900,45000,2900
24,23/12/2022,2930,2830,2900,2850,31800,2900
25,26/12/2022,2800,2660,2800,2660,72400,2700
26,27/12/2022,2720,2660,2710,2710,37000,2700
27,28/12/2022,2710,2700,2710,2700,17100,2700
28,29/12/2022,2790,2600,2600,2790,11600,2800
29,30/12/2022,2970,2640,2970,2800,17200,2800
30,03/01/2023,2890,2760,2790,2840,68700,2800
31,04/01/2023,2900,2800,2830,2800,22700,2800
32,05/01/2023,2850,2800,2800,2800,56400,2800
33,06/01/2023,2800,2650,2800,2680,27000,2700
34,09/01/2023,2710,2680,2710,2700,54200,2700
35,10/01/2023,2800,2530,2530,2780,28500,2800
