,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,28100,28100,28100,28100,36100,22400
1,22/11/2022,30000,28000,28000,30000,63400,23900
2,23/11/2022,30700,29500,29500,30650,34100,24400
3,24/11/2022,30750,29500,29500,30750,233400,24500
4,25/11/2022,30800,30100,30800,30100,32200,24000
5,28/11/2022,30650,30600,30600,30650,42800,24400
6,29/11/2022,30700,30700,30700,30700,32000,24500
7,30/11/2022,32800,30800,30800,32800,1700,26200
8,01/12/2022,31000,31000,31000,31000,100,24700
9,02/12/2022,31900,29500,29500,31900,61100,25400
10,05/12/2022,34000,32400,32400,34000,37600,27100
11,06/12/2022,33900,31700,33900,31700,33800,25300
12,07/12/2022,30200,26400,30000,30050,45200,26800
13,08/12/2022,30650,29950,29950,30600,38100,27300
14,09/12/2022,30800,28500,28500,30600,37300,27300
15,12/12/2022,30800,29800,30400,30600,41200,27300
16,13/12/2022,32700,32700,32700,32700,700,29200
17,14/12/2022,32700,32500,32700,32550,67700,29100
18,15/12/2022,32700,32550,32550,32700,36000,29200
19,16/12/2022,32700,32700,32700,32700,-,29200
20,19/12/2022,32900,32600,32600,32900,62900,29400
21,20/12/2022,32900,32700,32700,32900,37000,29400
22,21/12/2022,32800,32500,32600,32650,42000,29200
23,22/12/2022,32650,32000,32650,32000,34300,28600
24,23/12/2022,32600,32000,32000,32500,33600,29000
25,26/12/2022,32700,30700,32500,30700,35800,27400
26,27/12/2022,32700,30700,30700,30700,43600,27400
27,28/12/2022,32750,32600,32700,32650,35400,29200
28,29/12/2022,32650,32600,32600,32600,36600,29100
29,30/12/2022,32550,32550,32550,32550,37000,29100
30,03/01/2023,32700,31700,32650,32700,44300,29200
31,04/01/2023,32900,32700,32700,32700,64200,29200
32,05/01/2023,32900,32700,32700,32800,65300,29300
33,06/01/2023,32900,32000,32900,32700,49800,29200
34,09/01/2023,32700,32700,32700,32700,76200,29200
35,10/01/2023,32700,32000,32000,32700,486126,29200
36,11/01/2023,32700,32500,32700,32500,168600,29000
37,12/01/2023,32600,32400,32600,32400,746300,28900
38,13/01/2023,32500,32300,32500,32300,80000,28900
39,16/01/2023,32200,30100,30100,32000,80500,28600
40,17/01/2023,32700,32200,32200,32600,89000,29100
41,18/01/2023,32600,31500,32600,32600,92900,29100
42,19/01/2023,32800,32000,32400,32000,88700,28600
43,27/01/2023,32800,32000,32800,32000,92100,28600
44,30/01/2023,33200,32500,33200,33000,100000,29500
