,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,34700,34100,34100,34600,8600,28100
1,22/11/2022,35850,34500,34500,35450,27700,28800
2,23/11/2022,35600,34500,35600,34700,10700,28200
3,24/11/2022,34800,33000,34600,34750,18700,28200
4,25/11/2022,35200,34800,35200,35200,4700,28600
5,28/11/2022,37650,35600,35600,37500,78100,30400
6,29/11/2022,39100,37550,37550,39000,21300,31700
7,30/11/2022,40000,38250,38250,39000,20000,31700
8,01/12/2022,40000,38650,39000,39000,82500,31700
9,02/12/2022,39500,38500,39000,39500,23000,32100
10,05/12/2022,40850,38900,38900,40400,41600,32800
11,06/12/2022,41150,39500,41150,40200,50100,32600
12,07/12/2022,41000,38750,40100,41000,42900,33300
13,08/12/2022,42900,41000,41500,42500,37300,34500
14,09/12/2022,44000,42600,42600,44000,20900,35700
15,12/12/2022,45800,43000,44800,45500,35500,36900
16,13/12/2022,46150,44000,46150,45900,30000,37300
17,14/12/2022,46400,45100,46000,46300,14400,37600
18,15/12/2022,46300,44500,46300,44650,30600,36200
19,16/12/2022,44500,43500,43550,44000,33100,35700
20,19/12/2022,44900,44000,44000,44400,25600,36000
21,20/12/2022,45000,43000,44900,44200,29100,35900
22,21/12/2022,43000,41200,41200,41800,38100,34700
23,22/12/2022,42850,41600,41600,42550,4000,35300
24,23/12/2022,42850,42000,42300,42600,13400,35400
25,26/12/2022,42700,41500,42550,42000,28500,34900
26,27/12/2022,42000,40600,41500,41500,15400,34500
27,28/12/2022,41000,40600,41000,40900,10200,34000
28,29/12/2022,40900,40000,40700,40400,21900,33600
29,30/12/2022,40400,39350,39550,39350,15700,32700
30,03/01/2023,41000,39350,39350,41000,24500,34100
31,04/01/2023,41400,40700,40700,41200,15800,34200
32,05/01/2023,42700,40300,41250,42600,46800,35400
33,06/01/2023,44300,42700,42700,43950,50700,36500
34,09/01/2023,44500,43650,43950,44100,24700,36600
35,10/01/2023,45100,43450,44200,45000,60600,37400
36,11/01/2023,45400,44400,45050,45300,25100,37600
37,12/01/2023,45400,44200,44400,44500,24000,37000
38,13/01/2023,44300,43600,44000,44000,11600,36500
39,16/01/2023,44200,42900,44200,43600,20400,36200
40,17/01/2023,44700,43100,43600,44400,16600,36900
41,18/01/2023,45200,43250,44400,45000,28900,37400
42,19/01/2023,45550,44850,45000,45400,90100,37700
43,27/01/2023,46400,45600,45600,46100,12200,38300
44,30/01/2023,46200,45000,46000,45300,39000,37600
45,31/01/2023,45800,43700,45800,44100,53000,36600
46,01/02/2023,44300,43500,44250,43500,19100,36100
47,02/02/2023,43600,42500,43600,43100,23300,35800
48,03/02/2023,43800,42500,42500,43800,11600,36400
49,06/02/2023,43800,42600,43300,43800,18900,36400
50,07/02/2023,43250,42500,43100,43150,29500,35800
51,08/02/2023,43250,42000,42600,43000,18500,35700
52,09/02/2023,42600,41900,42600,42400,33100,35200
53,10/02/2023,42700,41700,41900,42500,21100,35300
54,13/02/2023,42800,41900,42300,42500,23300,35300
55,14/02/2023,42700,42000,42000,42550,16300,35300
56,15/02/2023,42900,42500,42500,42900,16100,35600
57,16/02/2023,43300,42900,42950,43100,23500,35800
58,17/02/2023,43400,43000,43100,43100,2900,35800
59,20/02/2023,44600,43000,43000,44600,41500,37000
60,21/02/2023,45050,44200,44600,44200,10600,36700
61,22/02/2023,44000,42200,44000,43000,27200,35700
62,23/02/2023,43450,42000,42850,42800,21300,35500
63,24/02/2023,43300,42000,42000,42050,23300,34900
64,27/02/2023,42050,40500,42050,41250,14100,34300
65,28/02/2023,42250,41500,42250,42200,12500,35000
66,01/03/2023,42250,40900,40900,42200,9200,35000
67,02/03/2023,42750,41500,41950,42250,12500,35100
68,03/03/2023,42100,41700,42000,41900,8500,34800
69,06/03/2023,42650,41900,41900,41950,15600,34800
70,07/03/2023,42300,41800,42000,42000,10000,34900
71,08/03/2023,42100,42000,42000,42100,16900,35000
72,09/03/2023,42200,41900,42100,42200,11900,35000
73,10/03/2023,42250,42000,42200,42250,12800,35100
74,13/03/2023,42100,41400,42000,42000,20300,34900
75,14/03/2023,41900,40500,41600,41000,31500,34100
76,15/03/2023,41650,41200,41400,41650,14400,34600
77,16/03/2023,40900,40300,40900,40650,7600,34600
78,17/03/2023,40750,40300,40700,40350,11400,34300
79,20/03/2023,40400,39400,40100,39500,14800,33600
80,21/03/2023,40000,39200,39500,39600,13400,33700
81,22/03/2023,40700,39900,39900,40600,16200,34500
82,23/03/2023,41000,40000,40300,41000,13200,34900
83,24/03/2023,42100,41100,41100,41600,26900,35400
84,27/03/2023,42200,41650,41700,42100,6800,35800
85,28/03/2023,42500,41800,42100,41800,10800,35600
86,29/03/2023,41850,41000,41050,41850,2800,35600
87,30/03/2023,41400,40550,41300,40550,28300,34500
88,31/03/2023,40550,40000,40550,40400,21600,34400
89,03/04/2023,40800,40150,40400,40800,28900,34700
90,04/04/2023,41100,40800,40850,40900,7800,34800
91,05/04/2023,41300,40500,40500,40950,13900,34800
92,06/04/2023,41600,40900,41400,40900,11500,34800
93,07/04/2023,41050,40500,40900,40600,23000,34500
94,10/04/2023,41250,40550,40550,41000,3600,34900
95,11/04/2023,41150,40700,41000,41100,11100,35000
96,12/04/2023,41950,41200,41500,41850,27400,35600
97,13/04/2023,42100,41500,41850,41850,35500,35600
98,14/04/2023,42100,41550,41850,42000,14200,35700
99,17/04/2023,42300,42000,42050,42000,7800,35700
100,18/04/2023,42200,41800,42000,42200,13400,35900
101,19/04/2023,44500,42800,43000,43500,212600,37000
102,20/04/2023,44000,43100,43550,43600,14200,37100
103,21/04/2023,44000,42300,44000,42700,16700,36300
104,24/04/2023,43400,42650,42700,42950,13800,36500
105,25/04/2023,45950,42900,43000,45000,66400,38300
106,26/04/2023,45800,45000,45000,45500,18400,38700
107,27/04/2023,46200,45400,46000,45800,17900,39000
108,28/04/2023,46400,45450,45600,46300,13500,39400
109,04/05/2023,46000,44400,46000,44800,22400,38100
110,05/05/2023,44900,44400,44500,44900,6200,38200
111,08/05/2023,44500,43500,44500,43650,28100,37100
112,09/05/2023,44100,43600,43950,43950,22600,37400
113,10/05/2023,44600,43800,43800,44600,94000,38000
114,11/05/2023,45500,45000,45000,45000,9700,38300
115,12/05/2023,45100,44600,45100,44900,15600,38200
116,15/05/2023,44850,44000,44350,44000,44500,37400
117,16/05/2023,44950,43550,43550,44900,33300,38200
118,17/05/2023,44500,44000,44500,44000,23000,37400
119,18/05/2023,45000,44000,44000,44800,49600,38100
120,19/05/2023,45200,44400,44500,45000,32600,38300
121,22/05/2023,45100,44600,44700,45000,39100,38300
122,23/05/2023,45000,44650,44800,44700,44900,38000
123,24/05/2023,44900,44700,44800,44700,43800,38000
124,25/05/2023,45850,44700,44700,45800,69300,39000
125,26/05/2023,46900,45800,45800,46850,36000,39900
126,29/05/2023,47900,46100,47100,47200,49200,40200
127,30/05/2023,47650,46800,47600,47500,28800,40400
128,31/05/2023,47800,46600,47800,47400,22800,40300
129,01/06/2023,47700,47450,47450,47500,3200,40400
130,02/06/2023,47900,46750,47000,47600,24100,40500
131,05/06/2023,47800,47100,47500,47650,24900,40500
132,06/06/2023,47700,47500,47600,47700,42100,40600
133,07/06/2023,48500,47650,47650,48400,34900,41200
134,08/06/2023,49000,48000,48000,48450,14600,41200
135,09/06/2023,48450,47200,48450,48000,36700,40800
136,12/06/2023,48100,47400,47500,47650,23400,40500
137,13/06/2023,47650,46900,47650,47100,56700,40100
138,14/06/2023,47650,46900,46900,47300,47600,40200
139,15/06/2023,40950,40250,40950,40600,4400,40600
140,16/06/2023,42050,40800,40800,41950,27500,42000
141,19/06/2023,42100,41700,41950,42100,13500,42100
142,20/06/2023,42300,41800,42200,42150,12300,42200
143,21/06/2023,42200,41400,42200,41800,23600,41800
144,22/06/2023,41800,41050,41450,41800,11300,41800
145,23/06/2023,41950,41000,41900,41900,31900,41900
146,26/06/2023,41850,41100,41500,41250,19400,41300
147,27/06/2023,41350,41000,41250,41300,22200,41300
148,28/06/2023,41250,40850,40900,40850,19900,40900
149,29/06/2023,41250,40800,40850,40950,22200,41000
150,30/06/2023,41350,40800,41350,41000,15200,41000
151,03/07/2023,41350,40900,41000,41100,27300,41100
152,04/07/2023,41250,41000,41100,41250,10300,41300
153,05/07/2023,41950,41250,41250,41850,27900,41900
154,06/07/2023,41950,41400,41950,41600,26600,41600
155,07/07/2023,41700,41350,41600,41650,5400,41700
156,10/07/2023,42000,41400,41700,41700,31200,41700
157,11/07/2023,42500,41700,41750,42450,50300,42500
158,12/07/2023,42500,41850,42450,42200,22600,42200
159,13/07/2023,42000,41650,42000,41650,25200,41700
160,14/07/2023,42000,41000,41650,41600,39100,41600
161,17/07/2023,41850,41500,41600,41600,25300,41600
162,18/07/2023,41950,41600,41600,41900,13700,41900
163,19/07/2023,42150,41500,41700,41650,7900,41700
164,20/07/2023,41850,41300,41500,41300,23200,41300
165,21/07/2023,41850,41300,41800,41550,14000,41600
166,24/07/2023,41800,41550,41700,41800,24200,41800
167,25/07/2023,41500,39700,41500,39700,212300,39700
168,26/07/2023,40000,39500,39750,39800,37400,39800
169,27/07/2023,40200,39300,39800,39700,32500,39700
170,28/07/2023,39650,38900,39550,39250,57800,39300
171,31/07/2023,39300,38800,39100,39100,51600,39100
172,01/08/2023,39800,39000,39150,39500,56500,39500
173,02/08/2023,40600,39450,39800,40300,50900,40300
174,03/08/2023,40250,39450,39450,40100,20800,40100
175,04/08/2023,40200,39700,40150,39950,68900,40000
176,07/08/2023,40100,39400,39400,39950,13200,40000
177,08/08/2023,40000,39700,40000,39900,21700,39900
178,09/08/2023,39950,39300,39950,39850,25200,39900
179,10/08/2023,39900,39500,39800,39550,14600,39600
180,11/08/2023,39700,39050,39550,39700,47500,39700
181,14/08/2023,40000,39550,39850,39900,18900,39900
182,15/08/2023,39950,39600,39950,39950,12600,40000
183,16/08/2023,40000,39550,40000,39700,18500,39700
184,17/08/2023,39750,39300,39700,39600,59600,39600
185,18/08/2023,39750,39050,39600,39600,144200,39600
186,21/08/2023,39500,38600,39100,39350,20200,39400
187,22/08/2023,39400,38550,39350,39400,21700,39400
188,23/08/2023,40050,39100,39700,39500,7800,39500
189,24/08/2023,39700,39400,39400,39500,32200,39500
190,25/08/2023,39700,39300,39500,39600,39100,39600
191,28/08/2023,40350,39400,39600,40200,30900,40200
192,29/08/2023,40250,39800,40000,40200,39500,40200
193,30/08/2023,42000,40000,40100,42000,108300,42000
194,31/08/2023,44250,42100,42100,43550,98400,43600
195,05/09/2023,44050,43250,43550,43900,51100,43900
196,06/09/2023,44200,43250,43900,44000,31200,44000
197,07/09/2023,44000,43300,43950,43550,18100,43600
198,08/09/2023,43550,43000,43500,43500,75000,43500
199,11/09/2023,43950,43000,43950,43100,64300,43100
200,12/09/2023,43700,43100,43300,43700,51500,43700
201,13/09/2023,44000,43500,44000,43600,11500,43600
202,14/09/2023,43750,43200,43600,43650,17700,43700
203,15/09/2023,43700,43350,43650,43600,12600,43600
204,18/09/2023,45100,43500,43600,44700,65300,44700
205,19/09/2023,44800,44300,44800,44750,12800,44800
206,20/09/2023,44700,44000,44650,44600,12700,44600
207,21/09/2023,44550,44000,44100,44000,43300,44000
208,22/09/2023,44000,43000,43950,43400,73200,43400
209,25/09/2023,43500,42200,43400,43000,65600,43000
210,26/09/2023,42950,42100,42800,42150,43300,42200
211,27/09/2023,42850,42000,42000,42400,28200,42400
212,28/09/2023,42500,41000,42500,42000,28800,42000
213,29/09/2023,42500,41800,42000,41800,11200,41800
214,02/10/2023,42000,41650,42000,41700,4600,41700
215,03/10/2023,41850,41000,41700,41000,35000,41000
216,04/10/2023,41800,41000,41650,41250,6600,41300
217,05/10/2023,41800,41400,41400,41800,11300,41800
218,06/10/2023,41950,41100,41850,41950,23300,42000
219,09/10/2023,42500,41900,41950,42500,59800,42500
220,10/10/2023,43100,42000,42900,42600,50400,42600
221,11/10/2023,42700,42500,42700,42700,2100,42700
222,12/10/2023,42800,41750,42800,41850,18300,41900
223,13/10/2023,42450,41200,41700,42450,34700,42500
224,16/10/2023,42500,41900,42450,42200,2200,42200
225,17/10/2023,42800,41700,42200,41900,6000,41900
226,18/10/2023,41500,40000,41500,40000,62200,40000
227,19/10/2023,40500,39850,40500,40000,17900,40000
228,20/10/2023,40350,39000,39800,40350,44100,40400
229,23/10/2023,40250,39500,40000,39550,8400,39600
230,24/10/2023,41900,40100,41900,40500,22200,40500
231,25/10/2023,41350,40250,40500,40700,16700,40700
232,26/10/2023,39900,37900,39700,38000,46800,38000
233,27/10/2023,38800,38000,38100,38550,51800,38600
234,30/10/2023,41000,38500,38500,40000,41900,40000
235,31/10/2023,40400,38500,40400,38500,23400,38500
236,01/11/2023,39800,38400,38600,39700,19200,39700
237,02/11/2023,40700,39700,39700,40200,50300,40200
238,03/11/2023,40800,40000,40800,40350,14800,40400
239,06/11/2023,40550,40100,40250,40500,11600,40500
240,07/11/2023,40800,40000,40300,40400,462900,40400
241,08/11/2023,40800,40000,40500,40800,28500,40800
242,09/11/2023,41250,40750,40800,41000,31400,41000
243,10/11/2023,41200,40400,41000,41050,37900,41100
244,13/11/2023,41100,40800,41000,40900,18000,40900
245,14/11/2023,41100,40850,41100,41000,200100,41000
246,15/11/2023,41500,40850,41150,41100,28200,41100
247,16/11/2023,41000,40600,41000,40750,7400,40800
248,17/11/2023,40850,40000,40550,40650,30900,40700
249,20/11/2023,40400,39850,39850,40100,36300,40100
