,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5850,5510,5790,5750,339800,4900
1,22/11/2022,6000,5410,5410,5640,479600,4800
2,23/11/2022,5770,5400,5630,5400,266000,4600
3,24/11/2022,5600,5250,5400,5600,443100,4800
4,25/11/2022,5900,5650,5740,5870,256000,5000
5,28/11/2022,6280,6000,6000,6280,649600,5400
6,29/11/2022,6700,6280,6700,6500,684700,5500
7,30/11/2022,6690,6450,6600,6690,468200,5700
8,01/12/2022,7150,6800,7100,6900,625500,5900
9,02/12/2022,7140,6700,6900,7100,560800,6000
10,05/12/2022,7470,7290,7290,7420,520900,6300
11,06/12/2022,7420,6910,7420,6910,549400,5900
12,07/12/2022,6840,6490,6490,6600,492600,5600
13,08/12/2022,7000,6670,6670,6810,347200,5800
14,09/12/2022,7090,6750,6830,7090,427300,6000
15,12/12/2022,7320,6980,7100,7000,417500,6000
16,13/12/2022,7000,6750,7000,6970,436100,5900
17,14/12/2022,7220,6970,7220,6980,609500,5900
18,15/12/2022,7060,6810,6980,6810,411800,5800
19,16/12/2022,7280,6700,6750,7280,1764300,6200
20,19/12/2022,7780,7530,7750,7640,1104100,6500
21,20/12/2022,7780,7110,7300,7110,1641600,6100
22,21/12/2022,7410,6630,7400,6800,667900,5800
23,22/12/2022,6970,6500,6810,6700,504200,5700
24,23/12/2022,6700,6400,6540,6490,522400,5500
25,26/12/2022,6510,6040,6490,6040,647200,5100
26,27/12/2022,6460,5830,6000,6460,446300,5500
27,28/12/2022,6680,6390,6470,6410,194600,5500
28,29/12/2022,6590,6300,6590,6410,220300,5500
29,30/12/2022,6540,6380,6410,6420,331900,5500
30,03/01/2023,6810,6440,6500,6810,403200,5800
31,04/01/2023,6990,6750,6760,6760,373500,5800
32,05/01/2023,6840,6630,6830,6780,431000,5800
33,06/01/2023,7100,6850,6850,6990,697000,6000
34,09/01/2023,7140,6970,7060,6990,457900,6000
35,10/01/2023,7120,6800,7050,7050,533400,6000
36,11/01/2023,7310,7110,7110,7120,609200,6100
37,12/01/2023,7300,7030,7300,7160,322700,6100
38,13/01/2023,7250,7160,7240,7170,452200,6100
39,16/01/2023,7450,7190,7190,7400,668600,6300
40,17/01/2023,7910,7400,7400,7910,983000,6700
41,18/01/2023,7790,7300,7780,7400,592200,6700
42,19/01/2023,7440,7200,7400,7350,613200,6700
43,27/01/2023,7490,7300,7350,7300,564500,6600
44,30/01/2023,7450,7200,7320,7370,993800,6700
45,31/01/2023,7450,7250,7450,7360,666400,6700
46,01/02/2023,7430,6850,7400,6990,952500,6400
47,02/02/2023,7100,6700,7000,6890,764800,6300
48,03/02/2023,7000,6710,6900,6820,611500,6200
49,06/02/2023,6820,6710,6800,6800,282400,6200
50,07/02/2023,6840,6400,6810,6420,451700,5800
51,08/02/2023,6800,6440,6670,6760,523000,6100
52,09/02/2023,6830,6730,6760,6760,318800,6100
53,10/02/2023,6890,6630,6760,6740,450300,6100
54,13/02/2023,6730,6440,6730,6440,345400,5900
55,14/02/2023,6690,6490,6690,6650,240600,6000
56,15/02/2023,6960,6620,6720,6870,654100,6200
57,16/02/2023,7120,6870,6940,7120,751400,6500
58,17/02/2023,7150,6980,7100,7050,413900,6400
59,20/02/2023,7230,7050,7050,7230,738700,6600
60,21/02/2023,7380,7120,7230,7150,581100,6500
61,22/02/2023,7350,7070,7120,7100,841000,6500
62,23/02/2023,7200,6840,7200,7140,521000,6500
63,24/02/2023,7220,7000,7200,7000,379200,6400
64,27/02/2023,6950,6690,6950,6690,484800,6100
65,28/02/2023,6850,6650,6800,6690,308800,6100
66,01/03/2023,7140,6690,6690,7140,436100,6500
67,02/03/2023,7150,7000,7000,7100,381000,6500
68,03/03/2023,7280,7060,7100,7060,681800,6400
69,06/03/2023,7190,7030,7190,7050,310400,6400
70,07/03/2023,7400,7040,7050,7200,927200,6500
71,08/03/2023,7240,7130,7190,7210,378100,6600
72,09/03/2023,7350,7210,7240,7260,759700,6600
73,10/03/2023,7200,7120,7160,7130,460200,6500
74,13/03/2023,7130,7040,7130,7090,483200,6400
75,14/03/2023,7080,6800,7020,6810,684700,6200
76,15/03/2023,7090,6880,6880,7060,375800,6400
77,16/03/2023,7050,6900,7050,6940,319300,6300
78,17/03/2023,7080,6900,7080,6910,410100,6300
79,20/03/2023,6920,6810,6900,6850,332000,6200
80,21/03/2023,6900,6790,6900,6870,329300,6200
81,22/03/2023,6910,6860,6900,6880,233800,6300
82,23/03/2023,6890,6820,6880,6890,311400,6300
83,24/03/2023,6950,6850,6870,6850,371000,6200
84,27/03/2023,7100,6850,6860,7070,581800,6400
85,28/03/2023,7210,7060,7110,7090,447100,6400
86,29/03/2023,7290,7070,7090,7210,1147600,6600
87,30/03/2023,7440,7290,7300,7290,1544300,6600
88,31/03/2023,7330,7000,7290,7080,595000,6400
89,03/04/2023,7300,7100,7100,7180,664900,6500
90,04/04/2023,7510,7190,7210,7410,2242300,6700
91,05/04/2023,7560,7300,7440,7400,1139600,6700
92,06/04/2023,7580,7350,7420,7350,1352900,6700
93,07/04/2023,7400,7100,7400,7130,888000,6500
94,10/04/2023,7230,6940,7230,6970,1400700,6300
95,11/04/2023,7070,6950,6950,7070,551000,6400
96,12/04/2023,7180,7070,7130,7130,474800,6500
97,13/04/2023,7150,7010,7150,7030,491200,6400
98,14/04/2023,7090,6900,7070,6900,771900,6300
99,17/04/2023,6960,6900,6950,6920,287000,6300
100,18/04/2023,6980,6920,6950,6950,351600,6300
101,19/04/2023,7050,6930,7050,7000,319900,6400
102,20/04/2023,7030,6950,6990,6990,373500,6400
103,21/04/2023,7010,6810,6810,6820,561800,6200
104,24/04/2023,6820,6750,6820,6760,510600,6100
105,25/04/2023,6950,6780,6800,6860,368400,6200
106,26/04/2023,7090,6770,6890,7090,461900,6400
107,27/04/2023,7200,6950,7200,7060,472300,6400
108,28/04/2023,7100,6950,7010,7000,325600,6400
109,04/05/2023,7050,6900,7000,6960,251800,6300
110,05/05/2023,7110,6950,6960,7080,573200,6400
111,08/05/2023,7150,7080,7100,7080,595600,6400
112,09/05/2023,7310,7090,7100,7250,995900,6600
113,10/05/2023,7340,7220,7290,7260,1088500,6600
114,11/05/2023,7760,7270,7270,7760,3657600,7100
115,12/05/2023,8300,7910,8100,8250,2787800,7500
116,15/05/2023,8500,8010,8490,8020,2437200,7300
117,16/05/2023,8400,8020,8030,8140,1453700,7400
118,17/05/2023,8200,8060,8140,8080,1080100,7300
119,18/05/2023,8180,8060,8140,8120,869800,7400
120,19/05/2023,8580,7900,8120,8250,1789800,7500
121,22/05/2023,8490,8110,8330,8390,1455600,7600
122,23/05/2023,8480,8160,8480,8250,1412600,7500
123,24/05/2023,8280,8100,8280,8100,941400,7400
124,25/05/2023,8250,8010,8020,8100,882800,7400
125,26/05/2023,8490,8070,8100,8400,2344000,7600
126,29/05/2023,8880,8340,8500,8800,2777800,8000
127,30/05/2023,8870,8560,8820,8640,1836400,7900
128,31/05/2023,8770,8500,8660,8510,1657700,7700
129,01/06/2023,8640,8450,8480,8530,1126100,7800
130,02/06/2023,8790,8500,8640,8610,1938900,7800
131,05/06/2023,8850,8630,8650,8650,1665500,7900
132,06/06/2023,8800,8650,8650,8710,1391300,7900
133,07/06/2023,9200,8770,8790,9050,1923400,8200
134,08/06/2023,9220,8800,9200,8800,2509000,8000
135,09/06/2023,8990,8760,8800,8890,1241300,8100
136,12/06/2023,8990,8800,8970,8930,982400,8100
137,13/06/2023,9470,8910,8940,9100,2048000,8300
