,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,18900,18900,18900,18900,4000,16000
1,22/11/2022,19100,18900,18900,19100,2000,16200
2,23/11/2022,19100,18600,19100,18600,1000,15700
3,24/11/2022,18600,18600,18600,18600,200,15700
4,25/11/2022,18600,18600,18600,18600,2400,15700
5,28/11/2022,19000,18600,18600,19000,3800,16100
6,29/11/2022,19000,19000,19000,19000,3000,16100
7,30/11/2022,19000,19000,19000,19000,1600,16100
8,01/12/2022,19900,19000,19000,19900,2500,16800
9,02/12/2022,19900,18800,19900,18800,6600,15900
10,05/12/2022,19150,18850,18850,19150,1900,16200
11,06/12/2022,19150,19000,19150,19000,1000,16100
12,07/12/2022,19000,19000,19000,19000,300,16100
13,08/12/2022,19000,18950,18950,19000,600,16100
14,09/12/2022,18950,18500,18950,18500,500,15600
15,12/12/2022,18500,18500,18500,18500,300,15600
16,13/12/2022,18700,18500,18500,18700,600,15800
17,14/12/2022,18650,18500,18650,18650,1800,15800
18,15/12/2022,18600,18500,18600,18500,1300,15600
19,16/12/2022,18500,18500,18500,18500,300,15600
20,19/12/2022,18600,18500,18500,18600,2600,15700
21,20/12/2022,18600,18000,18600,18000,1600,15200
22,21/12/2022,18000,17500,18000,17500,2200,14800
23,22/12/2022,17500,17300,17500,17300,2400,14600
24,23/12/2022,17400,17300,17300,17400,1700,14700
25,26/12/2022,17400,17400,17400,17400,400,14700
26,27/12/2022,17900,17400,17400,17900,2100,15100
27,28/12/2022,18100,17700,17900,18100,4400,15300
28,29/12/2022,18100,17700,18100,17700,1200,15000
29,30/12/2022,18100,17700,17700,18100,3500,15300
30,03/01/2023,18100,18000,18050,18100,2400,15300
31,04/01/2023,18100,18100,18100,18100,1600,15300
32,05/01/2023,18050,18050,18050,18050,400,15300
33,06/01/2023,18100,18050,18050,18100,900,15300
34,09/01/2023,18100,18100,18100,18100,2200,15300
35,10/01/2023,18450,18100,18100,18450,1600,15600
36,11/01/2023,18500,18450,18450,18450,2300,15600
37,12/01/2023,18600,18450,18450,18600,1400,15700
