,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,6340,5800,5910,5800,455300,5800
1,22/11/2022,6100,5400,5800,6000,417800,6000
2,23/11/2022,6250,5680,5960,5930,67300,5900
3,24/11/2022,5930,5650,5800,5900,35200,5900
4,25/11/2022,6310,5990,5990,6240,362200,6200
5,28/11/2022,6670,6000,6210,6670,287700,6700
6,29/11/2022,6800,6300,6800,6600,192200,6600
7,30/11/2022,7060,6270,6600,7020,439800,7000
8,01/12/2022,7490,7000,7000,7260,225900,7300
9,02/12/2022,7200,6800,7200,6990,222500,7000
10,05/12/2022,7200,6900,7000,7000,209000,7000
11,06/12/2022,6990,6660,6900,6800,85000,6800
12,07/12/2022,6880,6350,6500,6690,61900,6700
13,08/12/2022,6780,6660,6780,6700,71800,6700
14,09/12/2022,6710,6510,6700,6680,41500,6700
15,12/12/2022,6870,6610,6870,6690,208600,6700
16,13/12/2022,6720,6500,6500,6690,33000,6700
17,14/12/2022,6780,6550,6780,6690,101900,6700
18,15/12/2022,7030,6690,6740,6850,130400,6900
19,16/12/2022,6890,6710,6800,6810,69700,6800
20,19/12/2022,6990,6710,6990,6710,33500,6700
21,20/12/2022,6780,6300,6710,6670,34900,6700
22,21/12/2022,6800,6500,6500,6700,470900,6700
23,22/12/2022,6770,6300,6770,6590,65300,6600
24,23/12/2022,6590,6280,6590,6570,179900,6600
25,26/12/2022,6600,6280,6500,6410,103400,6400
26,27/12/2022,6400,6020,6020,6380,65400,6400
27,28/12/2022,6350,6200,6200,6320,42600,6300
28,29/12/2022,6320,6240,6320,6310,30400,6300
29,30/12/2022,6300,6100,6300,6190,101700,6200
30,03/01/2023,6250,6170,6190,6170,65600,6200
31,04/01/2023,6200,6100,6170,6160,64600,6200
32,05/01/2023,6180,5900,6150,5900,73000,5900
33,06/01/2023,6100,5750,6000,5750,117100,5800
34,09/01/2023,5960,5750,5960,5890,18300,5900
35,10/01/2023,5990,5600,5600,5990,48600,6000
36,11/01/2023,6090,5980,6000,6080,60000,6100
37,12/01/2023,6200,6040,6100,6070,94300,6100
38,13/01/2023,6190,6070,6150,6090,25600,6100
39,16/01/2023,6120,5910,6080,6000,22200,6000
40,17/01/2023,6010,5910,6000,6010,46600,6000
41,18/01/2023,6200,6010,6050,6150,89200,6200
42,19/01/2023,6270,6000,6270,6240,24100,6200
43,27/01/2023,6300,6240,6250,6290,89400,6300
44,30/01/2023,6380,6250,6300,6380,181000,6400
45,31/01/2023,6380,6260,6380,6360,52400,6400
46,01/02/2023,6400,6300,6360,6380,117100,6400
47,02/02/2023,6350,5960,6350,6200,36500,6200
48,03/02/2023,6280,6020,6100,6240,14000,6200
49,06/02/2023,6450,6100,6450,6190,13600,6200
50,07/02/2023,6200,6070,6070,6100,7600,6100
51,08/02/2023,6110,6010,6010,6050,59700,6100
52,09/02/2023,6130,6000,6000,6040,15500,6000
53,10/02/2023,6140,5900,5960,6050,32300,6100
54,13/02/2023,6040,5710,6000,6000,13100,6000
55,14/02/2023,6230,5750,6230,5950,54400,6000
56,15/02/2023,6180,5540,6180,6000,50300,6000
57,16/02/2023,6090,5900,6090,6030,28300,6000
58,17/02/2023,6150,5800,6080,6080,112000,6100
59,20/02/2023,6190,5930,5930,6180,89700,6200
60,21/02/2023,6190,6050,6140,6190,49000,6200
61,22/02/2023,6190,6000,6010,6150,104600,6200
62,23/02/2023,6300,6010,6010,6180,197500,6200
63,24/02/2023,6200,6110,6150,6180,79600,6200
64,27/02/2023,6240,6000,6180,6140,27100,6100
65,28/02/2023,6100,6050,6100,6100,5400,6100
66,01/03/2023,6180,5900,6100,6050,8600,6100
67,02/03/2023,6140,5810,6060,6000,34200,6000
68,03/03/2023,6180,5900,5910,6000,7300,6000
69,06/03/2023,6160,5950,6160,6090,100500,6100
70,07/03/2023,6120,5950,6120,6090,14800,6100
71,08/03/2023,6090,5950,6000,6050,150000,6100
72,09/03/2023,6070,5950,6000,6000,166400,6000
73,10/03/2023,6100,5900,6030,6050,69800,6100
74,13/03/2023,6060,5800,6050,6030,97700,6000
75,14/03/2023,6070,5900,6070,6000,130300,6000
76,15/03/2023,6040,5920,6000,6000,10500,6000
77,16/03/2023,6000,5800,6000,5980,75000,6000
78,17/03/2023,6000,5890,5970,6000,81500,6000
79,20/03/2023,5960,5830,5830,5900,13900,5900
80,21/03/2023,5900,5800,5900,5900,20800,5900
81,22/03/2023,5990,5840,5990,5890,5900,5900
82,23/03/2023,5900,5850,5890,5900,11700,5900
83,24/03/2023,5940,5900,5900,5940,11500,5900
84,27/03/2023,5920,5750,5750,5920,3800,5900
85,28/03/2023,5920,5800,5920,5890,24900,5900
86,29/03/2023,5900,5740,5900,5820,15300,5800
87,30/03/2023,5890,5800,5820,5880,38300,5900
88,31/03/2023,5880,5750,5850,5800,21200,5800
89,03/04/2023,5930,5800,5930,5800,139000,5800
90,04/04/2023,5860,5670,5760,5670,538500,5700
91,05/04/2023,5700,5430,5430,5690,263700,5700
92,06/04/2023,5790,5680,5710,5710,176400,5700
93,07/04/2023,5710,5500,5710,5690,81900,5700
94,10/04/2023,5740,5610,5740,5670,23800,5700
95,11/04/2023,5690,5400,5670,5640,50400,5600
96,12/04/2023,5620,5440,5560,5500,87300,5500
97,13/04/2023,5510,5450,5510,5500,18900,5500
98,14/04/2023,5550,5400,5420,5500,38500,5500
99,17/04/2023,5550,5360,5500,5490,51100,5500
100,18/04/2023,5490,5370,5450,5390,33800,5400
101,19/04/2023,5380,5300,5310,5380,119500,5400
102,20/04/2023,5380,5200,5370,5320,178800,5300
103,21/04/2023,5320,5210,5300,5230,31800,5200
104,24/04/2023,5480,5170,5240,5480,934900,5500
105,25/04/2023,5550,5330,5330,5480,406100,5500
106,26/04/2023,5490,5310,5480,5360,17500,5400
107,27/04/2023,5420,5260,5370,5360,32300,5400
108,28/04/2023,5490,5200,5490,5310,51800,5300
109,04/05/2023,5330,5210,5220,5300,38900,5300
110,05/05/2023,5300,5220,5300,5230,64100,5200
111,08/05/2023,5350,5230,5260,5230,30500,5200
112,09/05/2023,5350,5230,5270,5300,18900,5300
113,10/05/2023,5670,5290,5300,5670,141100,5700
114,11/05/2023,5900,5670,5740,5830,119300,5800
115,12/05/2023,5850,5730,5850,5820,127600,5800
116,15/05/2023,5900,5720,5840,5850,161000,5900
117,16/05/2023,5820,5570,5720,5790,100900,5800
118,17/05/2023,5840,5710,5840,5710,61400,5700
119,18/05/2023,5830,5680,5820,5700,60600,5700
120,19/05/2023,5790,5660,5690,5730,115400,5700
121,22/05/2023,5850,5730,5740,5840,125100,5800
122,23/05/2023,5880,5770,5880,5850,82100,5900
123,24/05/2023,5850,5740,5850,5850,105300,5900
124,25/05/2023,5880,5750,5800,5840,62000,5800
125,26/05/2023,5830,5800,5800,5830,19200,5800
126,29/05/2023,6230,5830,5840,6230,326200,6200
127,30/05/2023,6400,6230,6230,6340,107600,6300
128,31/05/2023,6500,6200,6200,6490,297800,6500
129,01/06/2023,6500,6350,6350,6470,126200,6500
130,02/06/2023,6510,6200,6470,6510,130400,6500
131,05/06/2023,6520,6430,6510,6430,88600,6400
132,06/06/2023,6550,6400,6490,6530,111500,6500
133,07/06/2023,6550,6420,6540,6540,160600,6500
134,08/06/2023,6850,6500,6510,6800,401500,6800
135,09/06/2023,6800,6600,6800,6760,139000,6800
136,12/06/2023,6800,6610,6800,6750,115800,6800
137,13/06/2023,6800,6650,6780,6750,102300,6800
138,14/06/2023,6900,6710,6770,6800,171200,6800
139,15/06/2023,6700,6500,6650,6700,178100,6700
140,16/06/2023,6730,6510,6660,6730,100800,6700
141,19/06/2023,6690,6380,6690,6400,207000,6400
142,20/06/2023,6500,6400,6400,6400,85900,6400
143,21/06/2023,6480,6210,6410,6400,98000,6400
144,22/06/2023,6650,6370,6370,6590,398600,6600
145,23/06/2023,6700,6500,6600,6600,539400,6600
146,26/06/2023,6660,6350,6580,6620,264600,6600
147,27/06/2023,6650,6460,6640,6590,55300,6600
148,28/06/2023,6590,6450,6590,6550,137100,6600
149,29/06/2023,6590,6300,6590,6410,37800,6400
150,30/06/2023,6410,6200,6410,6380,168800,6400
151,03/07/2023,6390,6150,6380,6270,169600,6300
152,04/07/2023,6270,6180,6180,6240,160400,6200
153,05/07/2023,6210,6150,6200,6150,127400,6200
154,06/07/2023,6270,6100,6160,6200,35100,6200
155,07/07/2023,6300,6100,6100,6200,316300,6200
156,10/07/2023,6330,6180,6300,6220,120700,6200
157,11/07/2023,6350,6090,6220,6200,172400,6200
158,12/07/2023,6250,6100,6220,6190,38900,6200
159,13/07/2023,6260,6100,6100,6190,124400,6200
160,14/07/2023,6190,6100,6130,6170,248300,6200
161,17/07/2023,6180,6100,6180,6170,324600,6200
162,18/07/2023,6600,6140,6220,6500,412500,6500
163,19/07/2023,6620,6400,6590,6410,136000,6400
