,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,30700,30150,30600,30600,205700,21800
1,22/11/2022,31500,30000,30600,31500,253900,22400
2,23/11/2022,31700,31150,31700,31300,128700,22300
3,24/11/2022,31200,30650,31000,31200,123600,22200
4,25/11/2022,31950,31100,31200,31950,172400,22700
5,28/11/2022,33000,32000,33000,32650,247000,23200
6,29/11/2022,33300,32550,32650,32600,249300,23200
7,30/11/2022,34100,32800,33000,33950,282600,24100
8,01/12/2022,34950,33400,33400,33800,154800,24000
9,02/12/2022,34500,33500,33650,34200,124200,24300
10,05/12/2022,35500,34100,34200,35500,196200,25200
11,06/12/2022,35600,34500,34900,35000,236200,24900
12,07/12/2022,35000,34150,34150,34800,174800,24700
13,08/12/2022,35200,34500,34800,34850,144400,24800
14,09/12/2022,34850,34000,34850,34850,180800,24800
15,12/12/2022,34850,34000,34500,34500,91600,24500
16,13/12/2022,34700,34000,34450,34700,57500,24700
17,14/12/2022,34950,34100,34700,34900,54900,24800
18,15/12/2022,35100,34700,34700,35050,100900,24900
19,16/12/2022,35050,34200,35050,35000,31400,24900
20,19/12/2022,35000,34650,35000,35000,30200,24900
21,20/12/2022,35000,33150,35000,33750,71000,24000
22,21/12/2022,33950,33000,33700,33300,56900,23700
23,22/12/2022,34000,33100,33500,33950,48900,24100
24,23/12/2022,33900,33050,33900,33900,13600,24100
25,26/12/2022,33900,33000,33200,33500,42700,23800
26,27/12/2022,33700,32850,32950,33700,69700,24000
27,28/12/2022,34000,32350,34000,32500,134600,23100
28,29/12/2022,34000,31700,32000,34000,166500,24200
29,30/12/2022,34950,32500,33100,34950,138100,24800
30,03/01/2023,34950,33400,34200,34800,105300,24700
31,04/01/2023,34950,34000,34950,34500,66500,24500
32,05/01/2023,35000,33900,34700,35000,152600,24900
33,06/01/2023,35950,34000,34100,35950,256100,25600
34,09/01/2023,36850,35000,36000,36850,266500,26200
35,10/01/2023,36800,36000,36000,36150,76000,25700
36,11/01/2023,36400,36000,36000,36400,94300,25900
37,12/01/2023,36500,36000,36450,36400,49800,25900
38,13/01/2023,36650,36000,36050,36650,89000,26100
39,16/01/2023,36500,36050,36500,36500,67200,25900
40,17/01/2023,36500,36000,36500,36500,109100,25900
41,18/01/2023,36900,36200,36900,36800,84500,26200
42,19/01/2023,37400,36200,36300,37400,151300,26600
43,27/01/2023,38800,37200,37950,38800,108400,27600
44,30/01/2023,39000,37800,38750,38650,122600,27500
45,31/01/2023,38800,37500,38800,38700,95400,27500
46,01/02/2023,38700,37550,38000,38000,144900,27000
47,02/02/2023,38500,35500,38500,37900,71600,26900
48,03/02/2023,38000,36900,38000,37900,68500,26900
49,06/02/2023,38000,37000,37900,38000,73300,27000
50,07/02/2023,37800,36900,37750,37550,77800,26700
51,08/02/2023,37600,36800,37300,37550,68500,26700
52,09/02/2023,38000,37550,37600,38000,127500,27000
53,10/02/2023,38800,37400,37950,38800,117000,27600
54,13/02/2023,38600,37300,38600,38000,50300,27000
55,14/02/2023,38000,37200,37350,38000,40800,27000
56,15/02/2023,38000,37500,37500,37600,11700,26700
57,16/02/2023,38000,37600,38000,37900,58500,26900
58,17/02/2023,38000,37550,37900,37950,54400,27000
59,20/02/2023,38000,37800,37950,37950,117400,27000
60,21/02/2023,37950,37400,37750,37800,89800,26900
61,22/02/2023,37750,37000,37300,37450,86900,26600
62,23/02/2023,37650,36000,37000,37650,104800,26800
63,24/02/2023,37750,37050,37050,37750,65200,26800
64,27/02/2023,37800,36800,37700,37500,101200,26700
65,28/02/2023,37500,36850,37500,37300,59800,26500
66,01/03/2023,37250,36100,37250,36750,147700,26100
67,02/03/2023,37000,36150,36700,36800,94600,26200
68,03/03/2023,37000,35800,36750,37000,193700,26300
69,06/03/2023,36900,36000,36900,36600,125400,26000
70,07/03/2023,37200,35800,36500,37200,244200,26400
71,08/03/2023,37000,36100,37000,37000,203900,26300
72,09/03/2023,37000,36200,36750,36400,126900,25900
73,10/03/2023,36800,36100,36800,36100,90400,25700
74,13/03/2023,36300,35600,36000,36100,128300,25700
75,14/03/2023,36200,35500,36050,36000,107200,25600
76,15/03/2023,37000,35500,35500,37000,356400,26300
77,16/03/2023,36950,36000,36950,36850,81900,26200
78,17/03/2023,36950,35950,36750,36950,211600,26300
79,20/03/2023,36900,36050,36050,36700,38800,26100
80,21/03/2023,36800,36050,36700,36600,107400,26000
81,22/03/2023,36750,36200,36600,36700,52000,26100
82,23/03/2023,36700,36300,36650,36600,51000,26000
83,24/03/2023,36700,36450,36600,36600,57100,26000
84,27/03/2023,36750,36400,36600,36750,108700,26100
85,28/03/2023,37000,36300,36750,36950,176400,26300
86,29/03/2023,36950,36400,36450,36800,111000,26200
87,30/03/2023,36850,36300,36800,36700,123300,26100
88,31/03/2023,36700,36300,36700,36700,102300,26100
89,03/04/2023,36800,36550,36700,36700,105400,26100
90,04/04/2023,36800,36300,36700,36750,117200,26100
91,05/04/2023,36850,36400,36400,36750,95000,26100
92,06/04/2023,36850,36500,36850,36750,109200,26100
93,07/04/2023,36750,36200,36750,36600,93600,26000
94,10/04/2023,36600,36200,36600,36600,176700,26000
95,11/04/2023,36600,36000,36600,36500,180500,25900
96,12/04/2023,36500,35600,36500,35600,307500,25300
97,13/04/2023,35600,34700,35600,35550,265700,25300
98,14/04/2023,35550,34750,35500,34750,168900,24700
99,17/04/2023,35000,34750,35000,35000,253300,24900
100,18/04/2023,35100,34850,35100,35000,233200,24900
101,19/04/2023,36500,35200,35200,35800,235800,25500
102,20/04/2023,27200,26200,27200,27200,287500,27200
103,21/04/2023,28750,27500,27950,28750,395800,28800
104,24/04/2023,28950,28000,28850,28750,150800,28800
105,25/04/2023,28750,27300,28700,28250,125600,28300
106,26/04/2023,28500,27150,28000,28450,154000,28500
107,27/04/2023,28300,27200,28250,28300,183800,28300
108,28/04/2023,28300,27300,27650,28300,234000,28300
109,04/05/2023,28300,27100,28300,27900,261200,27900
110,05/05/2023,27900,27150,27500,27900,242800,27900
111,08/05/2023,27800,27300,27600,27400,365900,27400
112,09/05/2023,27500,26900,27400,26900,304400,26900
113,10/05/2023,27050,26650,26900,27000,52000,27000
114,11/05/2023,27500,26950,27500,27000,683800,27000
115,12/05/2023,27250,26950,27000,27000,176900,27000
116,15/05/2023,27000,26800,27000,27000,189300,27000
117,16/05/2023,27000,26750,27000,27000,301400,27000
118,17/05/2023,27000,26800,27000,26900,195200,26900
119,18/05/2023,26900,26600,26850,26850,171100,26900
120,19/05/2023,26900,26500,26700,26900,300300,26900
121,22/05/2023,27400,26350,26900,27400,476600,27400
122,23/05/2023,27500,26950,27400,27500,275400,27500
123,24/05/2023,27500,26950,27400,27400,208200,27400
124,25/05/2023,27100,26750,27050,27100,187200,27100
125,26/05/2023,27050,26750,27050,27000,81600,27000
126,29/05/2023,27000,26550,26550,26950,103400,27000
127,30/05/2023,27000,26100,26550,27000,498800,27000
128,31/05/2023,27000,26000,27000,26750,373300,26800
129,01/06/2023,26750,26250,26750,26600,91000,26600
130,02/06/2023,26950,26200,26600,26950,348300,27000
131,05/06/2023,27000,26650,26900,26950,209100,27000
132,06/06/2023,26900,26550,26850,26900,196100,26900
133,07/06/2023,26850,26400,26700,26850,226900,26900
134,08/06/2023,26800,26400,26800,26800,290800,26800
135,09/06/2023,26750,26450,26500,26500,328600,26500
136,12/06/2023,26700,26450,26500,26600,240600,26600
137,13/06/2023,27450,26600,26600,27250,432100,27300
138,14/06/2023,27600,27200,27450,27200,191200,27200
139,15/06/2023,27200,26850,27050,26950,143800,27000
140,16/06/2023,27350,26850,26950,27150,585300,27200
141,19/06/2023,27850,27150,27150,27500,391200,27500
142,20/06/2023,27500,27300,27500,27300,88200,27300
143,21/06/2023,27800,27450,27450,27550,477100,27600
144,22/06/2023,27800,27550,27550,27650,149900,27700
145,23/06/2023,27700,27300,27700,27650,210800,27700
146,26/06/2023,27600,27050,27600,27400,167400,27400
147,27/06/2023,27500,27000,27400,27400,233700,27400
148,28/06/2023,27400,27000,27400,27000,112000,27000
149,29/06/2023,27000,26650,27000,27000,138000,27000
