,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3270,3010,3270,3200,460500,3200
1,22/11/2022,3420,3050,3200,3050,951300,3100
2,23/11/2022,3200,2840,3200,2840,303200,2800
3,24/11/2022,3000,2670,2840,2850,268000,2900
4,25/11/2022,3040,2880,2990,3040,439800,3000
5,28/11/2022,3250,3080,3200,3250,563500,3300
6,29/11/2022,3400,3030,3390,3280,1043000,3300
7,30/11/2022,3300,3110,3280,3230,436100,3200
8,01/12/2022,3450,3260,3310,3350,1468000,3400
9,02/12/2022,3400,3170,3210,3360,377200,3400
10,05/12/2022,3580,3370,3390,3450,707700,3500
11,06/12/2022,3470,3230,3470,3240,737700,3200
12,07/12/2022,3300,3080,3250,3110,474700,3100
13,08/12/2022,3320,3120,3230,3280,335200,3300
14,09/12/2022,3300,3150,3240,3280,266900,3300
15,12/12/2022,3360,3180,3350,3190,348500,3200
16,13/12/2022,3290,3110,3200,3200,331300,3200
17,14/12/2022,3300,3180,3300,3260,314800,3300
18,15/12/2022,3380,3220,3290,3310,391200,3300
19,16/12/2022,3390,3290,3300,3340,454200,3300
20,19/12/2022,3470,3330,3440,3340,522700,3300
21,20/12/2022,3340,3110,3300,3120,445400,3100
22,21/12/2022,3200,2980,3100,3090,205500,3100
23,22/12/2022,3140,2950,3100,3090,346600,3100
24,23/12/2022,3190,3010,3190,3030,123100,3000
25,26/12/2022,3060,2860,3050,2890,136800,2900
26,27/12/2022,3090,2860,2940,3090,182500,3100
27,28/12/2022,3200,3000,3150,3200,150600,3200
28,29/12/2022,3200,3050,3050,3180,112200,3200
29,30/12/2022,3250,3080,3080,3180,260600,3200
30,03/01/2023,3280,3000,3150,3280,156100,3300
31,04/01/2023,3300,3250,3280,3280,264400,3300
32,05/01/2023,3280,3110,3110,3250,85900,3300
33,06/01/2023,3270,3120,3120,3120,505000,3100
34,09/01/2023,3230,3150,3160,3160,55400,3200
35,10/01/2023,3240,3110,3160,3160,239300,3200
36,11/01/2023,3260,3130,3160,3160,60700,3200
37,12/01/2023,3290,3100,3160,3100,187100,3100
38,13/01/2023,3160,3030,3030,3050,209300,3100
39,16/01/2023,3150,3000,3150,3060,197700,3100
40,17/01/2023,3100,3030,3100,3060,260600,3100
41,18/01/2023,3150,3050,3100,3100,116500,3100
42,19/01/2023,3150,3060,3150,3100,190100,3100
43,27/01/2023,3150,3000,3100,3110,340200,3100
44,30/01/2023,3250,3100,3110,3200,357200,3200
45,31/01/2023,3260,3100,3260,3180,287200,3200
46,01/02/2023,3250,3100,3190,3160,744500,3200
47,02/02/2023,3150,3080,3100,3080,259100,3100
48,03/02/2023,3130,3040,3060,3100,199900,3100
49,06/02/2023,3140,3040,3140,3090,168400,3100
50,07/02/2023,3120,3030,3110,3080,140200,3100
51,08/02/2023,3100,3010,3020,3080,164200,3100
52,09/02/2023,3100,3010,3100,3010,85500,3000
53,10/02/2023,3080,3000,3010,3010,136100,3000
54,13/02/2023,3010,2860,2910,2890,307200,2900
55,14/02/2023,2980,2700,2980,2910,219500,2900
56,15/02/2023,2960,2840,2900,2940,269000,2900
57,16/02/2023,2950,2860,2950,2950,152500,3000
58,17/02/2023,2950,2880,2950,2940,93900,2900
59,20/02/2023,3050,2910,2940,3050,361000,3100
60,21/02/2023,3100,2970,3100,3010,151300,3000
61,22/02/2023,3010,2930,3010,2940,120400,2900
62,23/02/2023,2940,2820,2940,2930,192600,2900
63,24/02/2023,2950,2880,2940,2900,138200,2900
64,27/02/2023,2890,2730,2730,2860,91300,2900
65,28/02/2023,2900,2770,2770,2860,80700,2900
66,01/03/2023,2880,2800,2800,2880,86200,2900
67,02/03/2023,2950,2820,2880,2900,111700,2900
68,03/03/2023,2990,2830,2900,2840,55600,2800
69,06/03/2023,2880,2820,2880,2840,123800,2800
70,07/03/2023,2860,2820,2840,2830,70900,2800
71,08/03/2023,2850,2810,2820,2810,107000,2800
72,09/03/2023,2860,2810,2810,2860,107500,2900
73,10/03/2023,2880,2820,2860,2840,86700,2800
74,13/03/2023,2820,2740,2810,2800,243300,2800
75,14/03/2023,2810,2710,2810,2750,145500,2800
76,15/03/2023,2850,2760,2760,2820,51000,2800
77,16/03/2023,2800,2750,2800,2770,31500,2800
78,17/03/2023,2800,2750,2770,2760,55800,2800
79,20/03/2023,2790,2720,2790,2720,63500,2700
80,21/03/2023,2780,2700,2700,2750,87400,2800
81,22/03/2023,2780,2700,2780,2750,100000,2800
82,23/03/2023,2750,2680,2750,2750,211900,2800
83,24/03/2023,2770,2710,2770,2710,79200,2700
84,27/03/2023,2750,2640,2710,2670,242500,2700
85,28/03/2023,2720,2660,2720,2710,275900,2700
86,29/03/2023,2720,2640,2680,2710,462700,2700
87,30/03/2023,2750,2690,2740,2720,272500,2700
88,31/03/2023,2720,2680,2700,2710,147800,2700
89,03/04/2023,2800,2720,2720,2800,284900,2800
90,04/04/2023,2850,2780,2840,2790,293100,2800
91,05/04/2023,2830,2740,2790,2820,327600,2800
92,06/04/2023,2990,2820,2820,2880,681100,2900
93,07/04/2023,2900,2800,2900,2880,133200,2900
94,10/04/2023,2890,2800,2880,2850,144300,2900
95,11/04/2023,2850,2770,2840,2840,159300,2800
96,12/04/2023,2870,2790,2870,2790,124400,2800
97,13/04/2023,2850,2760,2850,2800,125200,2800
98,14/04/2023,2900,2800,2850,2800,282800,2800
99,17/04/2023,2800,2760,2790,2770,90700,2800
100,18/04/2023,2810,2740,2800,2740,138500,2700
101,19/04/2023,2760,2720,2750,2720,90600,2700
102,20/04/2023,2770,2680,2720,2740,187900,2700
103,21/04/2023,2760,2710,2740,2710,147800,2700
104,24/04/2023,2770,2700,2720,2720,78600,2700
105,25/04/2023,2760,2700,2700,2720,210900,2700
106,26/04/2023,2760,2700,2700,2740,84500,2700
107,27/04/2023,2770,2730,2740,2730,117500,2700
108,28/04/2023,2760,2700,2760,2710,154800,2700
109,04/05/2023,2750,2670,2670,2700,152100,2700
110,05/05/2023,2710,2670,2700,2700,100200,2700
111,08/05/2023,2740,2700,2740,2710,110500,2700
112,09/05/2023,2740,2710,2710,2730,114600,2700
113,10/05/2023,2870,2730,2730,2820,474500,2800
114,11/05/2023,2900,2800,2820,2840,303200,2800
115,12/05/2023,2880,2790,2830,2840,304900,2800
116,15/05/2023,2950,2860,2880,2870,768800,2900
117,16/05/2023,2920,2850,2910,2860,318400,2900
118,17/05/2023,2950,2840,2860,2940,441700,2900
119,18/05/2023,2990,2900,2970,2920,383100,2900
120,19/05/2023,2920,2820,2920,2870,246000,2900
121,22/05/2023,2870,2820,2850,2850,193000,2900
122,23/05/2023,2890,2800,2890,2840,403700,2800
123,24/05/2023,2870,2830,2840,2860,242100,2900
124,25/05/2023,2860,2820,2850,2840,111500,2800
125,26/05/2023,3000,2840,2880,2940,806600,2900
126,29/05/2023,3140,2980,2980,3140,1086000,3100
127,30/05/2023,3250,3000,3250,3060,640500,3100
128,31/05/2023,3150,3050,3050,3110,899600,3100
129,01/06/2023,3320,3150,3200,3310,1264400,3300
130,02/06/2023,3430,3150,3310,3200,829900,3200
131,05/06/2023,3250,3100,3160,3120,731300,3100
132,06/06/2023,3250,3080,3120,3210,512700,3200
133,07/06/2023,3390,3210,3310,3340,1041400,3300
134,08/06/2023,3480,3300,3360,3300,738600,3300
135,09/06/2023,3370,3200,3310,3290,484400,3300
136,12/06/2023,3380,3240,3300,3370,503000,3400
137,13/06/2023,3460,3370,3370,3430,781200,3400
138,14/06/2023,3520,3260,3500,3260,972700,3300
139,15/06/2023,3300,3140,3260,3230,483500,3200
140,16/06/2023,3300,3150,3230,3150,456300,3200
141,19/06/2023,3210,3050,3150,3070,417400,3100
142,20/06/2023,3150,3010,3010,3150,281900,3200
143,21/06/2023,3200,3140,3170,3190,233800,3200
144,22/06/2023,3280,3160,3260,3190,177500,3200
145,23/06/2023,3210,3150,3190,3190,243700,3200
146,26/06/2023,3220,3080,3190,3100,293200,3100
147,27/06/2023,3170,3030,3110,3120,305300,3100
148,28/06/2023,3130,3070,3120,3100,167400,3100
149,29/06/2023,3090,3030,3060,3030,287800,3000
150,30/06/2023,3070,3020,3030,3050,157300,3100
151,03/07/2023,3070,3030,3060,3050,117700,3100
152,04/07/2023,3090,3020,3020,3060,272300,3100
153,05/07/2023,3110,3050,3110,3080,152200,3100
154,06/07/2023,3060,2970,3060,3000,365900,3000
155,07/07/2023,3010,2930,2960,3000,225900,3000
156,10/07/2023,3210,3000,3000,3210,795800,3200
157,11/07/2023,3340,3150,3340,3160,351400,3200
158,12/07/2023,3200,3060,3160,3100,348300,3100
159,13/07/2023,3180,3060,3070,3150,222600,3200
160,14/07/2023,3170,3080,3150,3140,264500,3100
161,17/07/2023,3210,3120,3120,3200,312400,3200
162,18/07/2023,3200,3150,3180,3160,146500,3200
163,19/07/2023,3200,3110,3110,3120,114200,3100
164,20/07/2023,3170,3110,3130,3150,159100,3200
165,21/07/2023,3160,3120,3150,3150,238300,3200
166,24/07/2023,3340,3160,3340,3260,731500,3300
167,25/07/2023,3300,3190,3260,3210,399500,3200
168,26/07/2023,3240,3160,3200,3160,282300,3200
169,27/07/2023,3250,3130,3180,3200,504400,3200
170,28/07/2023,3300,3200,3210,3280,911500,3300
171,31/07/2023,3400,3300,3360,3400,1249100,3400
172,01/08/2023,3480,3250,3450,3250,676700,3300
173,02/08/2023,3340,3200,3200,3300,402700,3300
174,03/08/2023,3390,3280,3300,3280,536000,3300
175,04/08/2023,3360,3250,3300,3330,479000,3300
176,07/08/2023,3380,3300,3330,3350,583200,3400
177,08/08/2023,3580,3330,3370,3580,1455000,3600
178,09/08/2023,3800,3600,3630,3700,1233500,3700
179,10/08/2023,3750,3490,3750,3530,877800,3500
180,11/08/2023,3650,3410,3530,3510,547800,3500
181,14/08/2023,3590,3480,3500,3500,402700,3500
182,15/08/2023,3580,3500,3530,3530,378700,3500
183,16/08/2023,3600,3400,3600,3500,419700,3500
184,17/08/2023,3540,3430,3500,3430,363900,3400
185,18/08/2023,3440,3190,3400,3190,1242100,3200
186,21/08/2023,3190,3100,3170,3180,390600,3200
187,22/08/2023,3200,3010,3200,3180,369800,3200
188,23/08/2023,3270,3150,3180,3180,111900,3200
189,24/08/2023,3240,3100,3170,3240,265700,3200
190,25/08/2023,3300,3200,3290,3250,295400,3300
