,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,25450,24500,25450,25300,3800,24500
1,22/11/2022,25000,24000,25000,24450,24000,23700
2,23/11/2022,24900,23600,24000,24900,27500,24100
3,24/11/2022,24000,23600,24000,23600,6500,22900
4,25/11/2022,24650,23550,24650,23600,21100,22900
5,28/11/2022,25200,24000,24700,25200,34800,24400
6,29/11/2022,26000,25250,25250,26000,2300,25200
7,30/11/2022,27000,26000,26000,26900,7800,26000
8,01/12/2022,28550,27600,27600,28000,48400,27100
9,02/12/2022,28500,28000,28000,28500,30300,27600
10,05/12/2022,30400,28900,28900,30400,11000,29400
11,06/12/2022,30500,29000,29000,30500,2100,29500
12,07/12/2022,31450,30500,31450,30700,12100,29700
13,08/12/2022,30700,29200,30700,29200,300,28300
14,09/12/2022,31000,29200,29200,31000,500,30000
15,12/12/2022,32700,31000,31000,32600,6100,31600
16,13/12/2022,34750,33000,34750,33000,1500,32000
17,14/12/2022,33900,33900,33900,33900,100,32800
18,15/12/2022,36250,31550,36250,31550,202700,30500
19,16/12/2022,32000,32000,32000,32000,100,32000
20,19/12/2022,32000,29800,32000,31400,14000,31400
21,20/12/2022,31400,29250,29300,31000,11600,31000
22,21/12/2022,31000,28850,29000,28850,17400,28900
23,22/12/2022,28850,28850,28850,28850,-,28900
24,23/12/2022,30300,30300,30300,30300,1200,30300
25,26/12/2022,29700,28200,28500,29700,3300,29700
26,27/12/2022,29900,27650,27650,29900,3100,29900
27,28/12/2022,30300,28500,28500,30300,3200,30300
28,29/12/2022,30600,30600,30600,30600,1000,30600
29,30/12/2022,30500,28700,29000,30500,8000,30500
30,03/01/2023,30500,30500,30500,30500,-,30500
31,04/01/2023,30350,29000,29050,30350,1200,30400
32,05/01/2023,30350,30350,30350,30350,-,30400
33,06/01/2023,30350,30350,30350,30350,-,30400
34,09/01/2023,30350,30350,30350,30350,-,30400
35,10/01/2023,30350,30350,30350,30350,-,30400
36,11/01/2023,30000,29000,30000,29000,300,29000
37,12/01/2023,29900,29900,29900,29900,100,29900
38,13/01/2023,30900,28900,28900,30900,800,30900
39,16/01/2023,30900,30900,30900,30900,-,30900
40,17/01/2023,30000,30000,30000,30000,100,30000
41,18/01/2023,31000,30300,30900,31000,2200,31000
42,19/01/2023,31000,31000,31000,31000,-,31000
43,27/01/2023,31350,31000,31000,31350,1500,31400
44,30/01/2023,31450,31450,31450,31450,100,31500
45,31/01/2023,31000,30300,31000,30500,14800,30500
46,01/02/2023,30600,28400,28400,30600,51100,30600
47,02/02/2023,29850,29850,29850,29850,100,29900
48,03/02/2023,30800,29800,29800,30800,400,30800
49,06/02/2023,30000,30000,30000,30000,500,30000
50,07/02/2023,30000,30000,30000,30000,-,30000
51,08/02/2023,29700,29700,29700,29700,200,29700
52,09/02/2023,30450,29200,29200,30450,1800,30500
53,10/02/2023,29200,28800,29200,28800,400,28800
54,13/02/2023,29200,29200,29200,29200,200,29200
55,14/02/2023,29100,29100,29100,29100,300,29100
56,15/02/2023,30200,30200,30200,30200,100,30200
57,16/02/2023,29000,28600,28600,28900,20800,28900
58,17/02/2023,28700,27800,28700,28000,7800,28000
59,20/02/2023,28500,28000,28000,28500,7600,28500
60,21/02/2023,28900,28500,28500,28900,22600,28900
61,22/02/2023,28300,28000,28000,28000,7000,28000
62,23/02/2023,28000,28000,28000,28000,7000,28000
63,24/02/2023,28000,27800,28000,27800,3200,27800
64,27/02/2023,28500,27600,27600,28500,1400,28500
65,28/02/2023,28500,26550,27600,26550,127200,26600
66,01/03/2023,26100,26000,26000,26000,5500,26000
67,02/03/2023,27000,26900,27000,27000,47600,27000
68,03/03/2023,27000,27000,27000,27000,-,27000
69,06/03/2023,26500,26000,26400,26500,6900,26500
70,07/03/2023,26500,25600,26500,25600,4800,25600
71,08/03/2023,25000,24500,25000,24500,57800,24500
72,09/03/2023,25400,24800,25300,24800,1100,24800
73,10/03/2023,25250,24800,24800,25250,4400,25300
74,13/03/2023,25700,25100,25250,25600,1400,25600
75,14/03/2023,24850,24850,24850,24850,2000,24900
76,15/03/2023,25500,25000,25000,25500,400,25500
77,16/03/2023,25000,25000,25000,25000,7100,25000
78,17/03/2023,25000,25000,25000,25000,2000,25000
79,20/03/2023,24950,24700,24950,24750,2500,24800
80,21/03/2023,24800,24500,24750,24800,3800,24800
81,22/03/2023,25250,24800,24800,25250,4000,25300
82,23/03/2023,25000,25000,25000,25000,2500,25000
83,24/03/2023,25250,24500,24500,24750,2000,24800
84,27/03/2023,25250,25250,25250,25250,700,25300
85,28/03/2023,25100,25100,25100,25100,100,25100
86,29/03/2023,24850,24850,24850,24850,600,24900
87,30/03/2023,25500,25500,25500,25500,900,25500
88,31/03/2023,25500,25200,25500,25500,3400,25500
89,03/04/2023,25500,25500,25500,25500,200,25500
90,04/04/2023,26500,25200,25500,26500,600,26500
91,05/04/2023,26400,26000,26000,26400,800,26400
92,06/04/2023,26900,26000,26000,26900,14300,26900
93,07/04/2023,26900,26900,26900,26900,-,26900
94,10/04/2023,26650,26650,26650,26650,13900,26700
95,11/04/2023,26900,26800,26800,26800,4100,26800
96,12/04/2023,26800,26800,26800,26800,-,26800
97,13/04/2023,27000,26100,26100,27000,600,27000
98,14/04/2023,27000,26700,26700,27000,9400,27000
99,17/04/2023,27000,26100,27000,27000,3100,27000
100,18/04/2023,26200,26000,26200,26000,2000,26000
101,19/04/2023,26000,26000,26000,26000,-,26000
102,20/04/2023,26500,26200,26200,26500,1500,26500
103,21/04/2023,26500,26500,26500,26500,-,26500
104,24/04/2023,26900,26500,26900,26500,18600,26500
105,25/04/2023,26500,26500,26500,26500,-,26500
106,26/04/2023,27000,26300,26500,26750,20800,26800
