,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3370,3170,3270,3250,1330800,3300
1,22/11/2022,3470,3250,3320,3470,1743600,3500
2,23/11/2022,3590,3300,3500,3300,851600,3300
3,24/11/2022,3370,3150,3370,3300,1107500,3300
4,25/11/2022,3460,3310,3400,3460,810300,3500
5,28/11/2022,3700,3460,3460,3700,1109400,3700
6,29/11/2022,3940,3600,3890,3800,1297600,3800
7,30/11/2022,4000,3750,3800,3900,1249100,3900
8,01/12/2022,4160,3910,4000,3950,2027400,4000
9,02/12/2022,4100,3680,3950,4000,1703400,4000
10,05/12/2022,4170,3990,4160,4090,2447400,4100
11,06/12/2022,4370,3950,4020,4370,4579500,4400
12,07/12/2022,4600,4080,4370,4290,1961400,4300
13,08/12/2022,4400,3990,4290,3990,2630600,4000
14,09/12/2022,4060,3850,4000,3990,1046200,4000
15,12/12/2022,4150,3900,4060,3910,1044800,3900
16,13/12/2022,4100,3760,3830,3880,875800,3900
17,14/12/2022,4100,3940,3950,4000,933800,4000
18,15/12/2022,4040,3940,4010,3950,953300,4000
19,16/12/2022,4060,3710,3900,4000,2517800,4000
20,19/12/2022,4040,3920,4010,3920,942400,3900
21,20/12/2022,3990,3650,3990,3650,1947700,3700
22,21/12/2022,3750,3400,3630,3400,1439300,3400
23,22/12/2022,3480,3220,3400,3400,961100,3400
24,23/12/2022,3400,3300,3300,3380,651600,3400
25,26/12/2022,3400,3150,3380,3150,663100,3200
26,27/12/2022,3300,3100,3180,3250,1035600,3300
27,28/12/2022,3430,3230,3320,3350,728500,3400
28,29/12/2022,3430,3300,3390,3350,569500,3400
29,30/12/2022,3400,3160,3330,3160,667100,3200
30,03/01/2023,3380,3170,3170,3380,855000,3400
31,04/01/2023,3550,3380,3430,3420,864100,3400
32,05/01/2023,3600,3300,3480,3510,1577300,3500
33,06/01/2023,3550,3400,3510,3410,1053000,3400
34,09/01/2023,3600,3350,3450,3380,858000,3400
35,10/01/2023,3480,3280,3380,3380,520600,3400
36,11/01/2023,3480,3370,3410,3380,589500,3400
37,12/01/2023,3530,3350,3450,3370,2042100,3400
38,13/01/2023,3500,3360,3500,3370,570100,3400
39,16/01/2023,3430,3310,3400,3320,317000,3300
40,17/01/2023,3400,3320,3320,3400,879600,3400
41,18/01/2023,3560,3400,3400,3500,863500,3500
42,19/01/2023,3600,3500,3520,3570,580800,3600
43,27/01/2023,3800,3630,3760,3720,1206300,3700
44,30/01/2023,3950,3700,3780,3880,1311300,3900
45,31/01/2023,3860,3700,3830,3760,1437100,3800
46,01/02/2023,3900,3600,3820,3600,1101200,3600
47,02/02/2023,3650,3400,3600,3400,761600,3400
48,03/02/2023,3550,3400,3470,3470,1033100,3500
49,06/02/2023,3580,3400,3480,3520,699100,3500
50,07/02/2023,3610,3470,3600,3500,576700,3500
51,08/02/2023,3740,3480,3510,3740,2708700,3700
52,09/02/2023,4000,3750,3900,4000,3934000,4000
53,10/02/2023,4110,3720,4000,3720,2140300,3700
54,13/02/2023,3830,3460,3720,3460,1762200,3500
55,14/02/2023,3530,3400,3470,3490,614500,3500
56,15/02/2023,3700,3470,3500,3600,794800,3600
57,16/02/2023,3670,3580,3610,3640,868500,3600
58,17/02/2023,3670,3570,3650,3600,549000,3600
59,20/02/2023,3850,3640,3640,3850,2200700,3900
60,21/02/2023,4070,3840,3940,3850,2581600,3900
61,22/02/2023,3880,3660,3780,3800,1916900,3800
62,23/02/2023,3800,3640,3750,3780,744200,3800
63,24/02/2023,3850,3600,3800,3600,727000,3600
64,27/02/2023,3650,3550,3600,3640,831100,3600
65,28/02/2023,3820,3640,3640,3730,1144800,3700
66,01/03/2023,3800,3600,3680,3780,788800,3800
67,02/03/2023,3870,3690,3790,3690,864400,3700
68,03/03/2023,3750,3610,3750,3630,634900,3600
69,06/03/2023,3880,3650,3650,3750,1565400,3800
70,07/03/2023,3790,3680,3790,3680,578000,3700
71,08/03/2023,3700,3600,3650,3700,1087000,3700
72,09/03/2023,3850,3700,3730,3800,1609300,3800
73,10/03/2023,3800,3700,3750,3790,678300,3800
74,13/03/2023,3780,3680,3750,3730,1340500,3700
75,14/03/2023,3770,3560,3710,3580,1222800,3600
76,15/03/2023,3700,3610,3690,3670,487200,3700
77,16/03/2023,3670,3580,3660,3590,640300,3600
78,17/03/2023,3670,3570,3670,3570,434000,3600
79,20/03/2023,3590,3450,3550,3460,1017500,3500
80,21/03/2023,3560,3450,3500,3520,558100,3500
81,22/03/2023,3560,3500,3560,3520,310900,3500
