,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,24300,22300,22300,24000,7200,21700
1,22/11/2022,24400,22500,22500,24400,5100,22000
2,23/11/2022,23850,22800,22800,23850,1200,21500
3,24/11/2022,24000,24000,24000,24000,500,21700
4,25/11/2022,25500,22400,22400,25350,3600,22900
5,28/11/2022,25000,23600,23600,25000,3300,22600
6,29/11/2022,24500,23450,23450,24500,800,22100
7,30/11/2022,24850,24500,24700,24850,6200,22400
8,01/12/2022,25000,23550,23550,24000,2400,21700
9,02/12/2022,23400,23000,23400,23000,3500,20700
10,05/12/2022,24200,24150,24200,24150,200,21800
11,06/12/2022,24150,24150,24150,24150,-,21800
12,07/12/2022,24800,22500,22500,24800,1300,22400
13,08/12/2022,24800,24800,24800,24800,100,22400
14,09/12/2022,24900,24750,24900,24750,1200,22300
15,12/12/2022,24800,23300,23300,24700,1300,22300
16,13/12/2022,24700,24700,24700,24700,-,22300
17,14/12/2022,24700,24700,24700,24700,-,22300
18,15/12/2022,24700,24500,24500,24700,900,22300
19,16/12/2022,24000,24000,24000,24000,400,21700
20,19/12/2022,24250,23050,23200,24250,1100,21900
21,20/12/2022,24000,24000,24000,24000,200,21700
22,21/12/2022,24000,22500,23100,23800,8200,21500
23,22/12/2022,23000,22350,22500,23000,800,20700
24,23/12/2022,23400,23300,23300,23400,400,21100
25,26/12/2022,23400,23400,23400,23400,-,21100
26,27/12/2022,22600,22500,22600,22500,3100,20300
27,28/12/2022,22250,22100,22250,22100,9600,19900
28,29/12/2022,23100,22300,22300,23100,3900,20800
29,30/12/2022,23500,22200,23050,23200,6200,20900
30,03/01/2023,23200,22050,22500,23200,11700,20900
31,04/01/2023,23200,23200,23200,23200,-,20900
32,05/01/2023,23200,23200,23200,23200,-,20900
33,06/01/2023,22900,22700,22700,22850,5400,20600
34,09/01/2023,22500,22500,22500,22500,300,20300
35,10/01/2023,22950,22500,22500,22950,7000,20700
36,11/01/2023,22400,22300,22400,22300,200,20100
37,12/01/2023,22400,22200,22300,22200,3800,20000
38,13/01/2023,22400,22200,22200,22200,3000,20000
39,16/01/2023,22200,22200,22200,22200,-,20000
40,17/01/2023,22900,22600,22600,22900,3000,20700
41,18/01/2023,22900,22900,22900,22900,4000,20700
42,19/01/2023,24400,22900,22900,24400,5500,22000
43,27/01/2023,24400,24400,24400,24400,-,22000
44,30/01/2023,24000,22700,23000,24000,15200,21700
45,31/01/2023,24000,23000,24000,23350,6900,21100
46,01/02/2023,23500,23000,23500,23500,5100,21200
47,02/02/2023,23500,23000,23350,23500,10100,21200
48,03/02/2023,23000,23000,23000,23000,7000,20700
49,06/02/2023,22950,22900,22900,22900,3100,20700
50,07/02/2023,23000,22900,22900,23000,3100,20700
51,08/02/2023,23850,23000,23000,23850,3000,21500
52,09/02/2023,23850,23850,23850,23850,-,21500
53,10/02/2023,23500,22600,22700,23500,600,21200
54,13/02/2023,23300,23300,23300,23300,3000,21000
55,14/02/2023,23300,22500,22500,23300,1100,21000
56,15/02/2023,23000,23000,23000,23000,1800,20700
57,16/02/2023,23000,23000,23000,23000,-,20700
58,17/02/2023,22850,22700,22800,22850,3100,20600
59,20/02/2023,23450,23400,23400,23450,400,21200
60,21/02/2023,23450,22850,23000,23450,5300,21200
61,22/02/2023,23450,23400,23400,23450,1000,21200
62,23/02/2023,22900,22800,22800,22800,2300,20600
63,24/02/2023,23500,23000,23000,23300,2000,21000
64,27/02/2023,23000,23000,23000,23000,1600,20700
65,28/02/2023,23000,23000,23000,23000,-,20700
66,01/03/2023,23000,23000,23000,23000,-,20700
67,02/03/2023,22700,22700,22700,22700,100,20500
68,03/03/2023,23800,22600,22800,23800,800,21500
69,06/03/2023,23700,23700,23700,23700,100,21400
70,07/03/2023,23000,23000,23000,23000,300,20700
71,08/03/2023,23000,23000,23000,23000,300,20700
72,09/03/2023,23200,23150,23200,23150,400,20900
73,10/03/2023,23150,23150,23150,23150,-,20900
74,13/03/2023,22600,22600,22600,22600,100,20400
75,14/03/2023,22600,22600,22600,22600,-,20400
76,15/03/2023,22600,22600,22600,22600,-,20400
77,16/03/2023,22600,22600,22600,22600,-,20400
78,17/03/2023,23400,22200,22500,23400,2400,21100
79,20/03/2023,23400,23400,23400,23400,-,21100
80,21/03/2023,23400,23400,23400,23400,-,21100
81,22/03/2023,23200,23000,23000,23000,2000,20700
82,23/03/2023,22800,22800,22800,22800,100,20600
83,24/03/2023,22700,22100,22700,22100,600,19900
84,27/03/2023,22100,22100,22100,22100,-,19900
85,28/03/2023,22900,22850,22900,22850,200,20600
86,29/03/2023,22850,22850,22850,22850,-,20600
87,30/03/2023,22850,22850,22850,22850,-,20600
88,31/03/2023,22050,22050,22050,22050,100,19900
89,03/04/2023,22900,22100,22100,22900,1600,20700
90,04/04/2023,22900,22900,22900,22900,-,20700
91,05/04/2023,22850,22550,22850,22850,600,20600
