,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,76500,75000,76500,75000,1224900,63500
1,22/11/2022,76000,72500,74500,73500,1936000,62300
2,23/11/2022,73500,72400,73000,73500,1773000,62300
3,24/11/2022,74000,72500,73500,73000,1135000,61800
4,25/11/2022,73600,72800,73100,73100,1875100,61900
5,28/11/2022,77000,73800,74500,76700,2356900,65000
6,29/11/2022,79800,76000,76000,79800,1707400,67600
7,30/11/2022,81000,77000,80300,81000,1458600,68600
8,01/12/2022,81400,79200,80900,80000,1178900,67800
9,02/12/2022,85000,79300,79900,85000,1377300,72000
10,05/12/2022,87000,82500,84100,85000,1664000,72000
11,06/12/2022,85200,80000,85000,80000,1378000,67800
12,07/12/2022,82000,78000,80000,78500,1589800,66500
13,08/12/2022,81000,77000,79000,77000,2479700,65200
14,09/12/2022,79200,77100,78400,77300,1750100,65500
15,12/12/2022,80500,77400,78800,77400,2405700,65600
16,13/12/2022,79300,77900,78100,78200,2232500,66200
17,14/12/2022,79700,78500,79700,78800,1246300,66700
18,15/12/2022,80700,78600,78800,79500,1250400,67300
19,16/12/2022,82900,78900,79500,79700,3410700,67500
20,19/12/2022,81000,79000,80000,79200,757500,67100
21,20/12/2022,82000,79000,79700,79000,1560400,66900
22,21/12/2022,81400,78700,81400,78700,962000,66700
23,22/12/2022,81100,79300,79500,79300,1100300,67200
24,23/12/2022,81200,79100,80200,79100,1385200,67000
25,26/12/2022,80800,78900,79200,78900,1203600,66800
26,27/12/2022,80500,78900,80200,79100,1194000,67000
27,28/12/2022,82000,79500,80400,80000,1173500,67800
28,29/12/2022,82500,80500,82300,80700,1373400,68400
29,30/12/2022,83100,80000,82900,80000,1510900,67800
30,03/01/2023,82600,80200,80200,82600,1089800,70000
31,04/01/2023,82900,81800,82900,82800,943900,70100
32,05/01/2023,84000,82500,82800,84000,1078600,71200
33,06/01/2023,84800,83900,84000,84000,1261500,71200
34,09/01/2023,86900,84800,85800,86900,1667100,73600
35,10/01/2023,89900,86200,86200,87300,2198500,73900
36,11/01/2023,87300,85100,87300,85100,1313000,72100
