,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,37750,35750,36000,37750,5900,34400
1,22/11/2022,40000,35200,35350,40000,5300,36400
2,23/11/2022,42650,37200,42650,37200,700,33900
3,24/11/2022,39500,34600,35050,39500,8400,36000
4,25/11/2022,41950,36750,41950,36800,1500,33500
5,28/11/2022,39250,34250,39250,38000,10900,34600
6,29/11/2022,39400,35350,35450,39400,8200,35900
7,30/11/2022,37900,36650,36650,37900,6200,34500
8,01/12/2022,38200,35600,37500,38200,1500,34800
9,02/12/2022,37700,35850,35850,37700,3300,34300
10,05/12/2022,37650,36900,37650,37300,2700,34000
11,06/12/2022,36500,35400,36500,36000,3000,32800
12,07/12/2022,36450,34650,35000,36450,2200,33200
13,08/12/2022,36100,34400,34400,36100,500,32900
14,09/12/2022,36000,35800,35900,35900,2100,32700
15,12/12/2022,36400,34000,35900,36400,1900,33200
16,13/12/2022,35900,35000,35900,35000,1400,31900
17,14/12/2022,35700,35000,35000,35700,500,32500
18,15/12/2022,34700,34700,34700,34700,1200,31600
19,16/12/2022,35000,34200,34200,35000,1600,31900
20,19/12/2022,35600,34300,35600,35400,900,32200
21,20/12/2022,37000,35400,35400,35600,4600,32400
22,21/12/2022,36000,36000,36000,36000,100,32800
23,22/12/2022,36800,35800,36800,35800,900,32600
24,23/12/2022,36300,35800,36300,35800,700,32600
25,26/12/2022,35000,34500,34600,35000,500,31900
26,27/12/2022,35700,35000,35000,35700,600,32500
27,28/12/2022,37000,35700,37000,35700,400,32500
28,29/12/2022,35000,35000,35000,35000,1000,31900
29,30/12/2022,35000,35000,35000,35000,-,31900
30,03/01/2023,35800,35800,35800,35800,100,32600
31,04/01/2023,35350,35000,35150,35350,1100,32200
32,05/01/2023,36400,35000,36400,35200,700,32100
33,06/01/2023,35600,35000,35000,35000,1600,31900
34,09/01/2023,35500,34000,34150,35500,900,32300
35,10/01/2023,35000,34000,34200,34100,53900,31100
36,11/01/2023,36000,34000,34000,36000,3100,32800
37,12/01/2023,38000,34400,38000,36100,300,32900
38,13/01/2023,35950,34350,34350,35950,200,32700
39,16/01/2023,35500,34100,35500,34200,1200,31100
40,17/01/2023,35950,35000,35000,35950,1600,32700
41,18/01/2023,38100,35500,35950,37900,3600,34500
42,19/01/2023,40350,38000,40350,39950,1800,36400
43,27/01/2023,39900,39000,39000,39500,5700,36000
44,30/01/2023,39000,38000,39000,38000,401500,34600
45,31/01/2023,39200,37800,38850,39200,252800,35700
46,01/02/2023,39400,39000,39300,39400,526300,35900
47,02/02/2023,39400,39350,39350,39400,636900,35900
48,03/02/2023,39400,39400,39400,39400,126200,35900
49,06/02/2023,39200,37100,37100,39200,1600,35700
50,07/02/2023,38950,38950,38950,38950,100,36400
51,08/02/2023,38950,38950,38950,38950,-,36400
52,09/02/2023,38900,36300,36300,38900,2600,36400
53,10/02/2023,38900,38900,38900,38900,-,36400
54,13/02/2023,38900,38900,38900,38900,262400,36400
55,14/02/2023,38600,36500,36500,38600,200,36100
56,15/02/2023,40950,37000,40950,38800,300,36300
57,16/02/2023,38800,38800,38800,38800,-,36300
58,17/02/2023,37750,36200,37000,37750,2300,35300
59,20/02/2023,37000,36000,36000,37000,3800,34600
60,21/02/2023,37000,37000,37000,37000,-,34600
61,22/02/2023,38450,35600,38450,36950,1100,34500
62,23/02/2023,36950,36950,36950,36950,-,34500
63,24/02/2023,38850,35600,38850,35800,1000,33500
64,27/02/2023,36700,36700,36700,36700,300,34300
65,28/02/2023,36700,36700,36700,36700,-,34300
66,01/03/2023,35100,35100,35100,35100,100100,32800
67,02/03/2023,36100,36100,36100,36100,196770,33700
68,03/03/2023,36450,36100,36100,36450,62800,34100
69,06/03/2023,36000,36000,36000,36000,56700,33600
70,07/03/2023,35950,35200,35200,35950,606200,33600
71,08/03/2023,35850,34550,34550,35850,106500,33500
72,09/03/2023,36000,35850,35950,36000,3100,33600
73,10/03/2023,33600,33600,33600,33600,500,31400
74,13/03/2023,35950,35900,35950,35900,300,33600
