,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,31400,30200,31000,30300,652300,28900
1,22/11/2022,32200,30200,30300,30200,943200,28800
2,23/11/2022,30500,29600,30000,30000,495600,28700
3,24/11/2022,30200,28500,29000,29900,431700,28600
4,25/11/2022,31950,30000,30300,31950,750800,30500
5,28/11/2022,34150,32250,33400,34150,835400,32600
6,29/11/2022,36500,33700,34950,36500,1315300,34900
7,30/11/2022,37900,35550,37900,36650,1322000,35000
8,01/12/2022,39200,36000,38200,36500,1046900,34900
9,02/12/2022,39050,35900,35900,39050,1616500,37300
10,05/12/2022,40500,38500,40400,39700,667100,37900
11,06/12/2022,39800,37000,38500,38300,2070200,36600
12,07/12/2022,39200,36750,37200,39000,660100,37300
13,08/12/2022,41000,38500,40000,40000,946000,38200
14,09/12/2022,41500,38900,39400,41500,750800,39600
15,12/12/2022,44400,41500,41700,43450,1443500,41500
16,13/12/2022,43900,41750,41900,43900,884600,41900
17,14/12/2022,44600,43000,44000,43900,546300,41900
18,15/12/2022,43900,42250,43200,43050,521500,41100
19,16/12/2022,43200,41000,42100,42400,1082300,40500
20,19/12/2022,42550,39600,41700,39600,1115800,37800
21,20/12/2022,39650,36850,39000,38500,1528100,36800
22,21/12/2022,38900,35850,38900,36100,951800,34500
23,22/12/2022,36900,34200,36400,35500,845200,33900
24,23/12/2022,37000,34500,35500,36500,705800,34900
25,26/12/2022,36500,33950,36500,33950,920200,32400
26,27/12/2022,35000,32350,33900,35000,926100,33400
27,28/12/2022,36500,33100,34900,36000,938200,34400
28,29/12/2022,35800,34000,34900,34050,652700,32500
29,30/12/2022,34200,33050,33500,33800,754400,32300
30,03/01/2023,36150,33900,33900,36150,1403900,34500
31,04/01/2023,37600,35250,36300,36000,1032000,34400
32,05/01/2023,37600,36200,36200,37600,1304500,35900
33,06/01/2023,38700,36300,37750,37000,1195300,35300
34,09/01/2023,37500,36000,37500,36000,588100,34400
35,10/01/2023,36500,34900,36300,36000,635500,34400
36,11/01/2023,37400,36300,36300,36500,611900,34900
37,12/01/2023,37550,36800,36900,37500,809000,35800
38,13/01/2023,38200,36750,38200,37100,528800,35400
39,16/01/2023,37100,36150,37100,36350,692000,34700
