,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4200,4040,4100,4200,149800,4200
1,22/11/2022,4490,4100,4120,4390,541100,4400
2,23/11/2022,4390,4110,4390,4110,39700,4100
3,24/11/2022,4210,3910,4090,4200,159200,4200
4,25/11/2022,4380,4200,4300,4380,127000,4400
5,28/11/2022,4680,4540,4540,4680,475400,4700
6,29/11/2022,5000,4700,4980,4950,456900,5000
7,30/11/2022,5200,4890,5200,5100,241600,5100
8,01/12/2022,5450,5090,5300,5450,379700,5500
9,02/12/2022,5560,5160,5400,5420,206800,5400
10,05/12/2022,5600,5300,5600,5520,289600,5500
11,06/12/2022,5500,5140,5300,5140,290100,5100
12,07/12/2022,5000,4790,4820,4790,221400,4800
13,08/12/2022,5000,4630,4630,4950,128800,5000
14,09/12/2022,4980,4710,4980,4980,155500,5000
15,12/12/2022,5200,4800,5200,4820,199200,4800
16,13/12/2022,4820,4530,4820,4820,166600,4800
17,14/12/2022,4980,4800,4980,4800,136900,4800
18,15/12/2022,4920,4700,4790,4800,80300,4800
19,16/12/2022,4800,4730,4800,4800,128400,4800
20,19/12/2022,4800,4610,4800,4610,298200,4600
21,20/12/2022,4700,4290,4700,4480,153500,4500
22,21/12/2022,4600,4170,4240,4170,208600,4200
23,22/12/2022,4400,4020,4400,4230,46300,4200
24,23/12/2022,4320,4050,4200,4070,87300,4100
25,26/12/2022,4060,3790,4060,3790,406700,3800
26,27/12/2022,3930,3560,3560,3930,93400,3900
27,28/12/2022,4190,3880,3950,4000,79300,4000
28,29/12/2022,4070,3900,4070,3920,83400,3900
29,30/12/2022,4100,3920,3920,3990,80000,4000
30,03/01/2023,4200,3990,3990,4200,93000,4200
31,04/01/2023,4300,4060,4200,4180,121700,4200
32,05/01/2023,4360,4000,4000,4180,56100,4200
33,06/01/2023,4250,4100,4120,4110,98200,4100
34,09/01/2023,4140,4100,4130,4100,63500,4100
35,10/01/2023,4180,4020,4180,4090,29000,4100
36,11/01/2023,4180,4000,4180,4100,59400,4100
37,12/01/2023,4150,3990,3990,4040,41400,4000
38,13/01/2023,4150,4010,4120,4100,105000,4100
39,16/01/2023,4100,3990,4100,4070,67400,4100
40,17/01/2023,4090,3980,4000,4050,156700,4100
41,18/01/2023,4150,4000,4050,4060,56200,4100
42,19/01/2023,4200,4060,4180,4100,64000,4100
43,27/01/2023,4230,4140,4140,4150,88800,4200
44,30/01/2023,4340,4150,4150,4320,171200,4300
45,31/01/2023,4400,4200,4400,4200,97400,4200
46,01/02/2023,4450,4200,4250,4210,181100,4200
47,02/02/2023,4220,4050,4220,4130,135000,4100
48,03/02/2023,4330,4040,4330,4200,56300,4200
49,06/02/2023,4210,4140,4190,4190,57700,4200
50,07/02/2023,4280,4030,4280,4070,58400,4100
51,08/02/2023,4150,4050,4070,4070,77800,4100
52,09/02/2023,4110,4050,4100,4100,58200,4100
53,10/02/2023,4120,4030,4110,4090,40800,4100
54,13/02/2023,4030,3830,4030,3880,80900,3900
55,14/02/2023,4020,3880,4020,3950,62800,4000
56,15/02/2023,4000,3920,3920,3930,121700,3900
57,16/02/2023,4000,3930,4000,3940,36000,3900
58,17/02/2023,4130,3830,4100,3890,123600,3900
59,20/02/2023,4120,3950,3950,4120,214900,4100
60,21/02/2023,4220,4050,4180,4110,203400,4100
61,22/02/2023,4220,4020,4020,4060,115200,4100
62,23/02/2023,4070,3910,4010,3950,72300,4000
63,24/02/2023,4000,3900,3950,3900,58600,3900
64,27/02/2023,3900,3800,3850,3810,98800,3800
65,28/02/2023,3930,3800,3810,3800,90800,3800
66,01/03/2023,3910,3750,3800,3850,70000,3900
67,02/03/2023,3970,3810,3850,3850,35000,3900
68,03/03/2023,3950,3830,3950,3830,43900,3800
69,06/03/2023,4060,3850,3850,3880,144500,3900
70,07/03/2023,4000,3880,3890,3920,56200,3900
71,08/03/2023,3970,3860,3920,3960,57100,4000
