,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,9480,9400,9480,9450,800,9000
1,22/11/2022,9700,9500,9700,9680,1000,9200
2,23/11/2022,9600,9040,9600,9040,800,8600
3,24/11/2022,9580,9580,9580,9580,100,9100
4,25/11/2022,9570,8920,9570,9500,1100,9000
5,28/11/2022,9620,9020,9620,9090,8300,8700
6,29/11/2022,9450,9120,9120,9180,2100,8700
7,30/11/2022,9740,8710,9740,9600,2100,9100
8,01/12/2022,9590,8960,9590,9450,4900,9000
9,02/12/2022,9580,8820,9580,8820,11500,8400
10,05/12/2022,9420,9000,9390,9420,3700,9000
11,06/12/2022,9500,9000,9100,9390,7500,8900
12,07/12/2022,9370,9100,9370,9200,500,8800
13,08/12/2022,9400,8560,9400,9320,6400,8900
14,09/12/2022,9280,9280,9280,9280,300,8800
15,12/12/2022,9380,8750,9380,8990,4400,8600
16,13/12/2022,9300,8410,9300,9190,2400,8800
17,14/12/2022,8910,8900,8910,8900,1000,8500
18,15/12/2022,8940,8780,8780,8930,300,8500
19,16/12/2022,9060,8850,8910,9060,6300,8600
20,19/12/2022,9170,8780,9170,9030,2000,8600
21,20/12/2022,8840,8660,8700,8840,1500,8400
22,21/12/2022,9330,8700,9330,8840,2300,8400
23,22/12/2022,9000,8990,9000,8990,300,8600
24,23/12/2022,8990,8990,8990,8990,-,8600
25,26/12/2022,8990,8990,8990,8990,-,8600
26,27/12/2022,9050,8600,8600,8750,500,8300
27,28/12/2022,9070,8400,9070,9020,8300,8600
28,29/12/2022,9000,8390,8400,8400,16100,8000
29,30/12/2022,8400,8390,8400,8390,200,8000
30,03/01/2023,8830,7890,7890,8210,7400,7800
31,04/01/2023,8700,8560,8700,8700,49100,8300
32,05/01/2023,9020,8580,8590,9020,4500,8600
33,06/01/2023,9020,8560,9010,8600,1200,8200
34,09/01/2023,8450,8220,8220,8450,700,8000
35,10/01/2023,8510,8450,8450,8510,400,8100
36,11/01/2023,8750,8550,8550,8750,200,8300
37,12/01/2023,8530,8530,8530,8530,300,8100
38,13/01/2023,8600,8540,8600,8540,1300,8100
39,16/01/2023,8900,8850,8890,8850,1100,8400
40,17/01/2023,8850,8850,8850,8850,-,8400
41,18/01/2023,8450,8400,8450,8400,4000,8000
42,19/01/2023,8890,8390,8400,8780,3800,8400
43,27/01/2023,8790,8660,8790,8790,1500,8400
44,30/01/2023,8840,8780,8780,8800,3300,8400
45,31/01/2023,8900,8780,8780,8900,5700,8500
46,01/02/2023,9200,8850,9000,9080,2100,8600
47,02/02/2023,9100,9070,9100,9080,2200,8600
48,03/02/2023,9050,8550,9040,8550,1200,8100
49,06/02/2023,8950,8700,8700,8950,900,8500
50,07/02/2023,9050,8950,8950,8950,17000,8500
51,08/02/2023,8950,8900,8950,8900,1600,8500
52,09/02/2023,8900,8620,8620,8640,3600,8200
53,10/02/2023,8640,8640,8640,8640,-,8200
54,13/02/2023,8950,8640,8700,8640,2800,8200
55,14/02/2023,8900,8630,8640,8640,5800,8200
56,15/02/2023,9240,8710,9240,8710,12700,8300
57,16/02/2023,9000,8900,9000,8900,3500,8500
58,17/02/2023,9350,8700,9350,8700,12800,8300
59,20/02/2023,9100,8850,8850,9100,4000,8700
60,21/02/2023,9140,9000,9100,9000,1600,8600
61,22/02/2023,9120,9110,9110,9120,200,8700
62,23/02/2023,9000,8900,9000,9000,3000,8600
63,24/02/2023,8900,8650,8900,8710,900,8300
64,27/02/2023,8710,8710,8710,8710,500,8300
65,28/02/2023,8700,8630,8700,8630,1500,8200
66,01/03/2023,9020,9020,9020,9020,100,8600
67,02/03/2023,9140,8720,9140,8720,5300,8300
68,03/03/2023,8980,8830,8950,8850,8400,8400
69,06/03/2023,8900,8820,8900,8820,4300,8400
70,07/03/2023,8970,8860,8970,8860,600,8400
71,08/03/2023,8900,8900,8900,8900,200,8500
72,09/03/2023,9070,9000,9000,9050,2500,8600
73,10/03/2023,9100,9050,9050,9100,4000,8700
