,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,32900,31500,32900,31500,796400,28600
1,22/11/2022,32900,31050,31600,32900,512600,29900
2,23/11/2022,32450,31750,31750,32200,3814200,29300
3,24/11/2022,32000,31050,32000,31050,187300,28200
4,25/11/2022,32200,31200,31200,32200,823400,29300
5,28/11/2022,32400,31300,32300,32200,2318200,29300
6,29/11/2022,32100,31300,32000,32100,314800,29200
7,30/11/2022,32100,31500,32100,31550,93100,28700
8,01/12/2022,31950,31500,31550,31950,181400,29100
9,02/12/2022,32050,31350,31950,32050,176400,29100
10,05/12/2022,32150,31700,32000,31700,7011485,28800
11,06/12/2022,33500,31450,31850,32800,1467100,29800
12,07/12/2022,32650,31800,32600,31800,1102700,28900
13,08/12/2022,32400,31500,31850,31500,772000,28600
14,09/12/2022,32000,30000,31750,32000,385000,29100
15,12/12/2022,32100,30900,32100,31150,575700,28300
16,13/12/2022,31450,30500,31150,31250,3598900,28400
17,14/12/2022,31500,31000,31500,31250,453000,28400
18,15/12/2022,31250,30000,31250,31150,2244530,28300
19,16/12/2022,31050,30300,30800,30950,1700900,28100
20,19/12/2022,31000,30100,31000,30500,1036900,27700
21,20/12/2022,30800,29400,30000,30800,293700,28000
22,21/12/2022,30400,29000,29700,30400,4012200,27600
23,22/12/2022,30600,29750,30350,30400,176600,27600
24,23/12/2022,30200,29700,30050,30200,1052400,27500
25,26/12/2022,30300,29350,30150,30300,1813900,27600
26,27/12/2022,30250,29400,29650,30200,365000,27500
27,28/12/2022,30250,29700,29700,30000,61600,27300
28,29/12/2022,30300,29600,30100,30300,162800,27600
29,30/12/2022,30350,29800,30300,30350,39300,27600
30,03/01/2023,30300,29550,30050,30200,668000,27500
31,04/01/2023,30200,29900,30000,30100,69400,27400
32,05/01/2023,30950,29800,30000,30950,382400,28100
33,06/01/2023,30900,30350,30900,30400,2094600,27600
34,09/01/2023,30500,30150,30150,30400,83300,27600
35,10/01/2023,30800,30100,30200,30800,227000,28000
36,11/01/2023,30500,30200,30400,30300,282300,27600
37,12/01/2023,30550,30100,30300,30300,105000,27600
38,13/01/2023,30600,30250,30250,30450,37200,27700
