,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,13400,12000,12000,13400,824,13400
1,22/11/2022,13200,13200,13200,13400,60,13200
2,23/11/2022,15000,11300,15000,13800,5877,13800
3,24/11/2022,13400,10700,10700,13200,10701,13200
4,25/11/2022,13200,11200,13200,13200,4400,13200
5,28/11/2022,13300,12000,12000,13200,7123,13200
6,29/11/2022,13400,12100,12100,13300,8214,13300
7,30/11/2022,13600,13600,13600,13600,6870,13600
8,01/12/2022,13600,12000,12000,13500,3600,13500
9,02/12/2022,14600,12200,14600,13500,1701,13500
10,05/12/2022,13400,12000,12000,12300,4735,12300
11,06/12/2022,14000,11100,11100,14000,450,14000
12,07/12/2022,13900,11200,13900,13000,30000,13000
13,08/12/2022,13000,11100,13000,12500,17300,12500
14,09/12/2022,13000,11800,13000,12300,6800,12300
15,12/12/2022,12100,10600,11500,11900,3400,11900
16,13/12/2022,12700,10800,11800,12700,24700,12700
17,14/12/2022,12500,11400,12500,12300,18606,12300
18,15/12/2022,12900,11200,11200,12900,13700,12900
19,16/12/2022,12900,11500,11500,12500,12100,12500
20,19/12/2022,12300,11500,12000,12300,8500,12300
21,20/12/2022,13000,13000,13000,13000,100,13000
22,21/12/2022,13000,13000,13000,13000,-,13000
23,22/12/2022,14700,14700,14700,14700,100,14700
24,23/12/2022,14000,12500,14000,12800,17611,12800
25,26/12/2022,14500,11000,12800,13000,2600,13000
26,27/12/2022,13300,11800,13300,12500,1600,12500
27,28/12/2022,12000,12000,12000,12000,2000,12000
28,29/12/2022,12600,12500,12600,12500,230,12500
29,30/12/2022,12600,12600,12600,12600,-,12600
30,03/01/2023,12600,12600,12600,12600,-,12600
31,04/01/2023,12600,11400,12400,12600,4500,12600
32,05/01/2023,12200,12200,12200,12200,-,12200
33,06/01/2023,12200,12200,12200,12200,-,12200
34,09/01/2023,12700,12100,12100,12700,2024,12700
35,10/01/2023,14000,13000,13000,14000,5001,14000
36,11/01/2023,12100,11900,12100,11900,2600,11900
37,12/01/2023,12000,11900,11900,12000,300,12000
38,13/01/2023,12700,11900,11900,12700,3021,12700
39,16/01/2023,12000,12000,12000,12000,-,12000
40,17/01/2023,12400,12400,12400,12400,100,12400
41,18/01/2023,12700,12700,12700,12700,100,12700
42,19/01/2023,12700,12700,12700,12700,50,12700
43,27/01/2023,12800,11100,11100,12800,3100,12800
44,30/01/2023,12300,11400,11400,12300,5125,12300
45,31/01/2023,12400,11500,12400,12400,4400,12400
46,01/02/2023,12300,11500,12300,12300,7200,12300
47,02/02/2023,12300,12000,12300,12200,300,12200
48,03/02/2023,12400,11400,11900,12300,3400,12300
49,06/02/2023,12100,12100,12100,12300,1,12100
50,07/02/2023,12000,12000,12000,12000,3090,12000
51,08/02/2023,12000,12000,12000,12000,-,12000
52,09/02/2023,12000,11000,11000,12000,11000,12000
53,10/02/2023,11900,11000,11100,11600,16500,11600
54,13/02/2023,11700,10700,11600,11400,29500,11400
55,14/02/2023,11600,10600,10700,11400,4101,11400
56,15/02/2023,11000,9500,10700,10800,12983,10800
57,16/02/2023,10800,10000,10000,10800,41400,10800
58,17/02/2023,10800,10100,10200,10700,57800,10700
59,20/02/2023,10700,10100,10200,10700,49668,10700
60,21/02/2023,11000,10500,10500,11000,29800,11000
61,22/02/2023,11000,10900,10900,11000,8720,11000
62,23/02/2023,11100,10900,10900,11100,3601,11100
63,24/02/2023,11500,10200,10800,11500,59100,11500
64,27/02/2023,11400,10600,10600,11400,4336,11400
65,28/02/2023,11400,11300,11300,11400,1301,11400
66,01/03/2023,11400,10200,10200,11200,4100,11200
67,02/03/2023,11300,11200,11200,11300,3400,11300
68,03/03/2023,11100,10600,11100,11100,3801,11100
69,06/03/2023,11200,10600,10600,11200,3700,11200
70,07/03/2023,11100,11100,11100,11100,-,11100
71,08/03/2023,11100,11100,11100,11200,3,11100
72,09/03/2023,11100,11100,11100,11100,-,11100
73,10/03/2023,11900,11100,11100,11900,5000,11900
74,13/03/2023,11800,10200,11200,11800,13300,11800
75,14/03/2023,10900,10500,10500,10900,700,10900
76,15/03/2023,11700,10200,10500,11700,10760,11700
77,16/03/2023,11000,10400,10400,11000,30400,11000
78,17/03/2023,11800,10400,10800,11800,21401,11800
79,20/03/2023,11600,10400,10700,11600,27601,11600
80,21/03/2023,11000,10400,10700,10900,54857,10900
81,22/03/2023,11700,10400,10600,11400,18500,11400
82,23/03/2023,11300,10400,10900,11300,20200,11300
83,24/03/2023,11700,11700,11700,11700,1100,11700
84,27/03/2023,11700,11700,11700,11700,58,11700
85,28/03/2023,11700,11300,11300,11700,7101,11700
86,29/03/2023,11500,11500,11500,11500,10000,11500
87,30/03/2023,11900,11900,11900,11900,513,11900
88,31/03/2023,11900,11900,11900,11900,-,11900
89,03/04/2023,12000,10600,10600,12000,57130,12000
90,04/04/2023,11700,11000,11500,11100,19103,11100
91,05/04/2023,13000,11100,11900,12500,4100,12500
92,06/04/2023,13900,11200,11300,13900,19254,13900
93,07/04/2023,13300,11600,11700,13300,26150,13300
94,10/04/2023,12000,11600,11600,11700,10170,11700
95,11/04/2023,13500,11100,11100,12900,6100,12900
96,12/04/2023,13000,12900,12900,13000,608,13000
97,13/04/2023,14400,11700,14400,14100,5000,14100
98,14/04/2023,13800,13000,13000,13800,400,13800
99,17/04/2023,12000,12000,12000,12000,3000,12000
100,18/04/2023,12000,11600,12000,11600,2700,11600
101,19/04/2023,12500,12500,12500,12500,3000,12500
102,20/04/2023,12500,12500,12500,12500,10,12500
103,21/04/2023,12500,12500,12500,12500,200,12500
104,24/04/2023,12000,12000,12000,12000,400,12000
105,25/04/2023,13500,12000,12000,13500,2500,13500
106,26/04/2023,13800,13600,13800,13600,250,13600
107,27/04/2023,12900,11800,12000,12900,400,12900
108,28/04/2023,12900,12900,12900,12900,155,12900
109,04/05/2023,12900,12300,12900,12300,200,12300
110,05/05/2023,12900,12600,12600,12900,551,12900
111,08/05/2023,12800,12800,12800,12800,-,12800
112,09/05/2023,13400,11500,11500,13400,3000,13400
113,10/05/2023,13900,13000,13000,13900,535,13900
114,11/05/2023,15000,11500,11500,15000,4600,15000
115,12/05/2023,13900,11500,12000,13900,1510,13900
116,15/05/2023,13800,13800,13800,13800,2901,13800
117,16/05/2023,12900,11800,12000,12900,16009,12900
118,17/05/2023,13200,11700,11700,13200,1300,13200
119,18/05/2023,12600,11600,11700,12500,17332,12500
120,19/05/2023,12400,12400,12400,12400,1170,12400
121,22/05/2023,12900,12000,12900,12400,12500,12400
122,23/05/2023,12700,11500,11800,12700,15641,12700
123,24/05/2023,12700,11800,11800,12500,8200,12500
124,25/05/2023,12700,12000,12000,12400,14200,12400
125,26/05/2023,12400,11700,12300,12400,4700,12400
126,29/05/2023,12300,12300,12300,12300,118,12300
127,30/05/2023,12400,11700,12000,12400,12500,12400
128,31/05/2023,13100,12300,12300,13100,2524,13100
129,01/06/2023,12700,11800,11900,12700,12029,12700
130,02/06/2023,12300,12200,12200,12300,500,12300
131,05/06/2023,12200,12200,12200,12300,51,12200
132,06/06/2023,12900,11500,11700,12900,15000,12900
133,07/06/2023,12500,11800,11800,12400,7680,12400
134,08/06/2023,12400,12000,12000,12400,850,12400
