,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7200,7200,7200,7200,300,7000
1,22/11/2022,7200,7200,7200,7200,-,7000
2,23/11/2022,7200,7200,7200,7200,-,7000
3,24/11/2022,7200,7200,7200,7200,-,7000
4,25/11/2022,6300,6200,6300,6200,1200,6000
5,28/11/2022,7100,6200,6200,7100,400,6900
6,29/11/2022,7300,7300,7300,7300,100,7100
7,30/11/2022,7900,7900,7900,7900,200,7700
8,01/12/2022,7900,7900,7900,7900,-,7700
9,02/12/2022,8800,8800,8800,8800,100,8500
10,05/12/2022,8800,8800,8800,8800,-,8500
11,06/12/2022,8800,8800,8800,8800,-,8500
12,07/12/2022,8800,8800,8800,8800,-,8500
13,08/12/2022,8800,8800,8800,8800,-,8500
14,09/12/2022,8800,8800,8800,8800,-,8500
15,12/12/2022,8800,8800,8800,8800,-,8500
16,13/12/2022,8800,8800,8800,8800,-,8500
17,14/12/2022,7500,7500,7500,7500,100,7300
18,15/12/2022,7500,7500,7500,7500,-,7300
19,16/12/2022,7500,7500,7500,7500,-,7300
20,19/12/2022,7500,7500,7500,7500,-,7300
21,20/12/2022,7500,7500,7500,7500,-,7300
22,21/12/2022,7500,7500,7500,7500,-,7300
23,22/12/2022,7500,7500,7500,7500,-,7300
24,23/12/2022,7500,7500,7500,7500,-,7300
25,26/12/2022,7500,7500,7500,7500,-,7300
26,27/12/2022,7500,7500,7500,7500,-,7300
27,28/12/2022,7500,7500,7500,7500,-,7300
28,29/12/2022,7500,7500,7500,7500,-,7300
29,30/12/2022,7500,7500,7500,7500,-,7300
30,03/01/2023,7500,7500,7500,7500,-,7300
31,04/01/2023,7500,7500,7500,7500,-,7300
32,05/01/2023,7500,7500,7500,7500,-,7300
33,06/01/2023,7400,7000,7000,7400,800,7200
34,09/01/2023,7100,7100,7100,7100,-,6900
35,10/01/2023,7900,7900,7900,7900,100,7700
36,11/01/2023,7900,7900,7900,7900,-,7700
37,12/01/2023,7900,7900,7900,7900,-,7700
38,13/01/2023,7900,7900,7900,7900,-,7700
39,16/01/2023,7900,7900,7900,7900,-,7700
40,17/01/2023,8900,7900,7900,8900,800,8600
41,18/01/2023,9000,9000,9000,9000,100,8700
42,19/01/2023,9000,9000,9000,9000,-,8700
43,27/01/2023,9000,9000,9000,9000,-,8700
44,30/01/2023,8900,8800,8800,8900,10000,8600
45,31/01/2023,8900,8900,8900,8900,-,8600
46,01/02/2023,8900,8900,8900,8900,-,8600
47,02/02/2023,8900,8900,8900,8900,-,8600
48,03/02/2023,8900,8900,8900,8900,-,8600
49,06/02/2023,8900,8900,8900,8900,-,8600
50,07/02/2023,8900,8200,8200,8900,5200,8600
51,08/02/2023,8800,8800,8800,8800,-,8500
52,09/02/2023,8800,8800,8800,8800,-,8500
53,10/02/2023,8800,8800,8800,8800,-,8500
54,13/02/2023,8000,8000,8000,8000,7000,7800
