,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,26700,26700,26700,26700,-,24000
1,22/11/2022,26700,26700,26700,26700,-,24000
2,23/11/2022,27000,26000,27000,26000,600,23300
3,24/11/2022,26200,26000,26000,26200,200,23500
4,25/11/2022,26200,26100,26100,26100,1300,23400
5,28/11/2022,26200,26200,26200,26200,100,23500
6,29/11/2022,28900,25000,28900,25000,1200,22500
7,30/11/2022,28500,25800,25800,28500,400,25600
8,01/12/2022,27200,27200,27200,27200,-,24400
9,02/12/2022,27200,27200,27200,27200,-,24400
10,05/12/2022,27000,27000,27000,27000,100,24200
11,06/12/2022,27000,27000,27000,27000,-,24200
12,07/12/2022,27000,27000,27000,27000,-,24200
13,08/12/2022,27000,27000,27000,27000,-,24200
14,09/12/2022,27000,27000,27000,27000,-,24200
15,12/12/2022,27000,27000,27000,27000,-,24200
16,13/12/2022,27000,27000,27000,27000,-,24200
17,14/12/2022,27000,27000,27000,27000,-,24200
18,15/12/2022,27000,27000,27000,27000,-,24200
19,16/12/2022,27000,27000,27000,27000,-,24200
20,19/12/2022,27000,27000,27000,27000,-,24200
21,20/12/2022,24500,24500,24500,24500,500,22000
22,21/12/2022,24500,24500,24500,24500,-,22000
23,22/12/2022,28000,28000,28000,28000,100,25100
24,23/12/2022,28000,28000,28000,28000,-,25100
25,26/12/2022,28000,28000,28000,28000,20,25100
26,27/12/2022,28000,28000,28000,28000,-,25100
27,28/12/2022,28000,28000,28000,28000,-,25100
28,29/12/2022,28000,28000,28000,28000,-,25100
29,30/12/2022,28000,28000,28000,28000,100,25100
30,03/01/2023,29000,29000,29000,29000,300,26000
31,04/01/2023,29000,29000,29000,29000,-,26000
32,05/01/2023,29000,29000,29000,29000,100,26000
33,06/01/2023,29900,29900,29900,29900,100,26900
34,09/01/2023,29000,29000,29000,29000,100,26000
35,10/01/2023,29000,29000,29000,29000,520,26000
36,11/01/2023,29000,29000,29000,29000,-,26000
37,12/01/2023,29000,29000,29000,29000,79,26000
38,13/01/2023,29000,29000,29000,29000,-,26000
39,16/01/2023,29000,29000,29000,29000,-,26000
40,17/01/2023,30000,30000,30000,30000,100,26900
41,18/01/2023,34500,34500,34500,34500,100,31000
42,19/01/2023,36000,36000,36000,36000,100,32300
43,27/01/2023,36000,36000,36000,36000,-,32300
44,30/01/2023,36000,36000,36000,36000,500,32300
