,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,23000,23000,23000,23000,-,6000
1,22/11/2022,23000,23000,23000,23000,-,6000
2,23/11/2022,23000,23000,23000,23000,-,6000
3,24/11/2022,23000,23000,23000,23000,-,6000
4,25/11/2022,23000,23000,23000,23000,-,6000
5,28/11/2022,23000,23000,23000,23000,-,6000
6,29/11/2022,23000,23000,23000,23000,-,6000
7,30/11/2022,26400,26400,26400,26400,100,6900
8,01/12/2022,30000,30000,30000,30000,100,7800
9,02/12/2022,30000,30000,30000,30000,-,7800
10,05/12/2022,30000,30000,30000,30000,-,7800
11,06/12/2022,34500,30000,34500,30000,1000,7800
12,07/12/2022,36400,36400,36400,36400,600,9500
13,08/12/2022,39700,39700,39700,39700,200,10400
14,09/12/2022,39700,39700,39700,39700,-,10400
15,12/12/2022,39700,39700,39700,39700,-,10400
16,13/12/2022,39700,39700,39700,39700,-,10400
17,14/12/2022,33800,33800,33800,33800,400,8800
18,15/12/2022,33800,33800,33800,33800,-,8800
19,16/12/2022,33800,33800,33800,33800,-,8800
20,19/12/2022,33800,33800,33800,33800,-,8800
21,20/12/2022,33800,33800,33800,33800,-,8800
22,21/12/2022,33800,33800,33800,33800,200,8800
23,22/12/2022,33800,33800,33800,33800,-,8800
24,23/12/2022,33800,33800,33800,33800,-,8800
25,26/12/2022,30000,28800,30000,28800,300,7500
26,27/12/2022,29200,29200,29200,29200,-,7600
27,28/12/2022,29200,29200,29200,29200,-,7600
28,29/12/2022,33500,33500,33500,33500,100,8800
29,30/12/2022,33500,33500,33500,33500,-,8800
30,03/01/2023,33500,33500,33500,33500,-,8800
31,04/01/2023,33500,33500,33500,33500,-,8800
32,05/01/2023,33500,33500,33500,33500,-,8800
33,06/01/2023,33500,33500,33500,33500,-,8800
34,09/01/2023,33500,33500,33500,33500,-,8800
35,10/01/2023,28500,28500,28500,28500,300,7500
36,11/01/2023,28500,28500,28500,28500,-,7500
37,12/01/2023,28500,28500,28500,28500,-,7500
38,13/01/2023,28500,28500,28500,28500,-,7500
39,16/01/2023,28500,28500,28500,28500,-,7500
40,17/01/2023,28500,28500,28500,28500,-,7500
41,18/01/2023,28500,28500,28500,28500,-,7500
42,19/01/2023,28500,28500,28500,28500,-,7500
43,27/01/2023,28500,28500,28500,28500,-,7500
44,30/01/2023,28500,28500,28500,28500,-,7500
45,31/01/2023,28500,28500,28500,28500,500,7500
46,01/02/2023,32700,32700,32700,32700,100,8600
47,02/02/2023,32700,32700,32700,32700,-,8600
48,03/02/2023,32700,32700,32700,32700,-,8600
49,06/02/2023,32700,32700,32700,32700,-,8600
