,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5300,4900,5300,5000,34409,4700
1,22/11/2022,5600,4900,4900,5000,105406,4700
2,23/11/2022,5300,4500,4700,5100,16258,4800
3,24/11/2022,5000,4400,4500,4900,27747,4600
4,25/11/2022,5300,4800,5200,5200,47200,4900
5,28/11/2022,5800,5200,5200,5800,330693,5500
6,29/11/2022,6400,6000,6000,6200,86425,5900
7,30/11/2022,7000,6000,7000,6200,472656,5900
8,01/12/2022,6400,5900,6200,6000,177306,5700
9,02/12/2022,6400,5800,6100,6300,168507,6000
10,05/12/2022,6700,6200,6500,6700,132220,6300
11,06/12/2022,7000,6300,6800,6300,239474,6000
12,07/12/2022,6400,5800,6400,6200,73741,5900
13,08/12/2022,6500,6000,6400,6200,94753,5900
14,09/12/2022,6500,5600,5600,6200,42832,5900
15,12/12/2022,6400,5800,6100,5800,2052962,5500
16,13/12/2022,6200,5700,6000,6200,101471,5900
17,14/12/2022,6300,5900,6200,5900,19521,5600
18,15/12/2022,6100,5900,6000,5900,31107,5600
19,16/12/2022,6100,5800,5900,6000,223400,5700
20,19/12/2022,6500,5900,6000,6200,657527,5900
21,20/12/2022,6300,5900,6200,6100,142902,5800
22,21/12/2022,6000,5100,6000,5400,172439,5100
23,22/12/2022,5600,5200,5600,5500,126943,5200
24,23/12/2022,5500,5200,5400,5300,72779,5000
25,26/12/2022,5300,4700,5300,4800,108100,4500
26,27/12/2022,5200,4600,4700,5100,100427,4800
27,28/12/2022,5300,5000,5300,5100,35194,4800
28,29/12/2022,5200,4900,5100,5100,25329,4800
29,30/12/2022,5100,4900,5100,5100,25802,4800
30,03/01/2023,5400,4900,5100,5400,99678,5100
31,04/01/2023,5600,5100,5100,5400,41671,5100
32,05/01/2023,5400,5100,5300,5200,66757,4900
33,06/01/2023,5300,5000,5200,5100,42550,4800
34,09/01/2023,5300,5000,5100,5200,30650,4900
35,10/01/2023,5200,5000,5100,5100,29905,4800
36,11/01/2023,5300,5100,5100,5100,68961,4800
37,12/01/2023,5500,5200,5300,5200,115850,4900
38,13/01/2023,5400,5100,5400,5100,52700,4800
39,16/01/2023,5300,5000,5100,5200,25711,4900
40,17/01/2023,5500,5300,5300,5500,35550,5200
41,18/01/2023,5500,5300,5300,5500,104442,5200
42,19/01/2023,5700,5300,5400,5700,128638,5400
43,27/01/2023,5800,5400,5600,5600,49109,5300
44,30/01/2023,5900,5500,5700,5800,85515,5500
45,31/01/2023,5900,5600,5900,5800,67400,5500
46,01/02/2023,5900,5400,5700,5400,150100,5100
47,02/02/2023,5700,5300,5500,5400,57019,5100
48,03/02/2023,5600,5300,5400,5400,28003,5100
49,06/02/2023,5500,5300,5400,5400,26244,5100
50,07/02/2023,5500,5300,5500,5400,44319,5100
51,08/02/2023,5400,5100,5300,5400,36240,5100
