,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3900,3500,3900,3500,200,3500
1,22/11/2022,3700,3700,3700,3700,100,3700
2,23/11/2022,3700,3700,3700,3700,5000,3700
3,24/11/2022,3300,3300,3300,3300,100,3300
4,25/11/2022,3300,3300,3300,3300,2200,3300
5,28/11/2022,3300,3300,3300,3300,200,3300
6,29/11/2022,3400,3400,3400,3400,400,3400
7,30/11/2022,3900,3300,3300,3900,8500,3900
8,01/12/2022,4400,4400,4400,4400,5000,4400
9,02/12/2022,4400,4400,4400,4400,200,4400
10,05/12/2022,4400,4300,4400,4300,1200,4300
11,06/12/2022,3700,3700,3700,3700,600,3700
12,07/12/2022,3700,3700,3700,3700,2000,3700
13,08/12/2022,3700,3700,3700,3700,200,3700
14,09/12/2022,4200,4200,4200,4200,200,4200
15,12/12/2022,3600,3600,3600,3600,4900,3600
16,13/12/2022,3200,3200,3200,3200,1900,3200
17,14/12/2022,3600,3600,3600,3600,1200,3600
18,15/12/2022,3600,3600,3600,3600,-,3600
19,16/12/2022,4100,3600,3600,4100,1305,4100
20,19/12/2022,3500,3400,3400,3500,1200,3500
21,20/12/2022,3500,3500,3500,3500,-,3500
22,21/12/2022,3500,3400,3500,3400,5300,3400
23,22/12/2022,3400,3400,3400,3400,-,3400
24,23/12/2022,3300,3300,3300,3300,1200,3300
25,26/12/2022,3400,3400,3400,3400,1000,3400
26,27/12/2022,3400,3400,3400,3400,200,3400
27,28/12/2022,3400,3400,3400,3400,-,3400
28,29/12/2022,3400,3400,3400,3400,-,3400
29,30/12/2022,3400,3400,3400,3400,-,3400
30,03/01/2023,3100,2900,2900,3100,9800,3100
31,04/01/2023,3200,3200,3200,3200,1800,3200
32,05/01/2023,3200,3200,3200,3200,-,3200
33,06/01/2023,3400,3400,3400,3400,100,3400
34,09/01/2023,3400,3400,3400,3400,-,3400
35,10/01/2023,3400,3400,3400,3400,-,3400
36,11/01/2023,3400,3400,3400,3400,1000,3400
37,12/01/2023,3400,3400,3400,3400,-,3400
38,13/01/2023,3400,3400,3400,3400,-,3400
39,16/01/2023,3400,3400,3400,3400,-,3400
40,17/01/2023,3400,3400,3400,3400,-,3400
41,18/01/2023,3400,3400,3400,3400,-,3400
