,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,22000,19600,20200,21700,1400,20900
1,22/11/2022,22000,18200,22000,18200,3500,17500
2,23/11/2022,21000,18100,18500,21000,2300,20200
3,24/11/2022,20900,18500,18500,20000,800,19200
4,25/11/2022,22500,19900,19900,22500,4200,21600
5,28/11/2022,22400,20500,22400,20500,2000,19700
6,29/11/2022,21900,21900,21900,21900,-,21000
7,30/11/2022,23000,20100,21800,23000,2100,22100
8,01/12/2022,22300,21700,22100,21700,15400,20900
9,02/12/2022,19200,19200,19200,19200,100,18500
10,05/12/2022,22000,18700,19000,22000,3200,21100
11,06/12/2022,22800,22800,22800,22800,1600,21900
12,07/12/2022,26200,22800,22800,26200,18900,25200
13,08/12/2022,29200,21800,26200,29000,31400,27900
14,09/12/2022,29000,26200,28200,28000,31400,26900
15,12/12/2022,28000,25100,28000,25100,10800,24100
16,13/12/2022,27000,25000,25100,27000,500,25900
17,14/12/2022,27000,24000,26500,24000,5200,23100
18,15/12/2022,26000,25800,26000,25800,6100,24800
19,16/12/2022,25900,25100,25100,25300,4600,24300
20,19/12/2022,24100,24000,24100,24000,7100,23500
21,20/12/2022,21600,21000,21000,21500,400,21100
22,21/12/2022,24600,24600,24600,24600,2500,24100
23,22/12/2022,24600,22500,22500,24600,600,24100
24,23/12/2022,24300,24300,24300,24300,-,23800
25,26/12/2022,24300,24300,24300,24300,-,23800
26,27/12/2022,25600,24300,24300,25600,200,25100
27,28/12/2022,25000,21900,25000,21900,1200,21500
28,29/12/2022,23000,22000,22300,23000,2900,22500
29,30/12/2022,24000,24000,24000,24000,200,23500
30,03/01/2023,22100,22100,22100,22100,100,21700
31,04/01/2023,21300,21300,21300,21300,100,20900
32,05/01/2023,23900,23900,23900,23900,100,23400
33,06/01/2023,24700,21600,21600,24700,200,24200
34,09/01/2023,21200,20100,21200,20100,2200,19700
35,10/01/2023,20900,20900,20900,20900,-,20500
36,11/01/2023,21500,21100,21100,21200,900,20800
37,12/01/2023,21200,21200,21200,21200,-,20800
