,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,16200,16100,16200,16200,10300,15500
1,22/11/2022,16100,16100,16100,16100,-,15400
2,23/11/2022,16200,16100,16100,16100,6700,15400
3,24/11/2022,16200,16200,16200,16200,-,15500
4,25/11/2022,16200,16000,16100,16100,14504,15400
5,28/11/2022,17000,16000,17000,16000,11630,15300
6,29/11/2022,16200,16000,16000,16000,20642,15300
7,30/11/2022,16800,16000,16000,16800,1574,16100
8,01/12/2022,17000,16300,16800,16500,5803,15800
9,02/12/2022,18500,16300,18500,17100,15431,16400
10,05/12/2022,17500,16100,16700,16100,2510,15700
11,06/12/2022,17000,16000,16000,17000,42008,16600
12,07/12/2022,16000,14600,15100,16000,11700,15600
13,08/12/2022,16500,16000,16000,16200,10800,15800
14,09/12/2022,16900,16900,16900,16900,100,16500
15,12/12/2022,17200,16000,16700,17200,8893,16800
16,13/12/2022,16500,16000,16400,16000,6100,15600
17,14/12/2022,16500,16500,16500,16500,4500,16100
18,15/12/2022,17000,16300,16300,17000,400,16600
19,16/12/2022,16800,16800,16800,16800,-,16400
20,19/12/2022,16800,16500,16800,16500,5300,16100
21,20/12/2022,16500,16500,16500,16500,5800,16100
22,21/12/2022,16600,16500,16600,16500,7700,16100
23,22/12/2022,16500,16500,16500,16500,6000,16100
24,23/12/2022,16800,16500,16500,16700,3400,16300
25,26/12/2022,16700,16700,16700,16700,1,16300
26,27/12/2022,17000,16700,16700,17000,173200,16600
27,28/12/2022,17700,17700,17700,17700,100,17300
28,29/12/2022,17500,17500,17500,17500,300,17100
29,30/12/2022,17500,17400,17400,17500,5700,17100
30,03/01/2023,18600,17600,17600,18000,47623,17600
31,04/01/2023,17800,17800,17800,18000,34,17400
32,05/01/2023,17600,17600,17600,17600,2800,17200
33,06/01/2023,17200,17000,17200,17000,7000,16600
34,09/01/2023,17200,17200,17200,17200,2900,16800
35,10/01/2023,17200,17000,17100,17200,1300,16800
36,11/01/2023,17100,17000,17100,17000,1000,16600
37,12/01/2023,17300,17300,17300,17300,1000,16900
38,13/01/2023,17400,17000,17400,17400,4000,17000
39,16/01/2023,17400,17400,17400,17400,5,17000
40,17/01/2023,17400,17400,17400,17400,-,17000
41,18/01/2023,18500,18500,18500,18500,200,18100
42,19/01/2023,18400,18400,18400,18400,2000,18000
43,27/01/2023,17800,17800,17800,17800,2100,17400
44,30/01/2023,17700,17600,17600,17700,600,17300
45,31/01/2023,17600,17600,17600,17600,752,17200
46,01/02/2023,17600,17500,17600,17500,5048,17100
