,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,32000,32000,32000,32000,-,31400
1,22/11/2022,32000,32000,32000,32000,-,31400
2,23/11/2022,32000,32000,32000,32000,-,31400
3,24/11/2022,32000,32000,32000,32000,-,31400
4,25/11/2022,32000,32000,32000,32000,-,31400
5,28/11/2022,32000,32000,32000,32000,-,31400
6,29/11/2022,32000,32000,32000,32000,-,31400
7,30/11/2022,32000,32000,32000,32000,-,31400
8,01/12/2022,32000,32000,32000,32000,-,31400
9,02/12/2022,32000,32000,32000,32000,-,31400
10,05/12/2022,32000,32000,32000,32000,-,31400
11,06/12/2022,32000,32000,32000,32000,-,31400
12,07/12/2022,32000,32000,32000,32000,-,31400
13,08/12/2022,32000,32000,32000,32000,-,31400
14,09/12/2022,32000,32000,32000,32000,-,31400
15,12/12/2022,32000,32000,32000,32000,-,31400
16,13/12/2022,32000,32000,32000,32000,-,31400
17,14/12/2022,32000,32000,32000,32000,-,31400
18,15/12/2022,32000,32000,32000,32000,-,31400
19,16/12/2022,32000,32000,32000,32000,-,31400
20,19/12/2022,32000,32000,32000,32000,-,31400
21,20/12/2022,32000,32000,32000,32000,-,31400
22,21/12/2022,32000,32000,32000,32000,-,31400
23,22/12/2022,21000,19500,21000,19500,900,19100
24,23/12/2022,20300,20300,20300,20300,-,19900
25,26/12/2022,20300,20300,20300,20300,-,19900
26,27/12/2022,20300,20300,20300,20300,-,19900
27,28/12/2022,20300,20300,20300,20300,-,19900
28,29/12/2022,20300,20300,20300,20300,-,19900
29,30/12/2022,20300,20300,20300,20300,-,19900
30,03/01/2023,20300,20300,20300,20300,-,19900
31,04/01/2023,20300,20300,20300,20300,-,19900
32,05/01/2023,20300,20300,20300,20300,-,19900
33,06/01/2023,20300,20300,20300,20300,-,19900
34,09/01/2023,20300,20300,20300,20300,-,19900
35,10/01/2023,20300,20300,20300,20300,-,19900
36,11/01/2023,20300,20300,20300,20300,-,19900
37,12/01/2023,23300,23300,23300,23300,100,22900
38,13/01/2023,26700,26700,26700,26700,100,26200
39,16/01/2023,26700,26700,26700,26700,100,26200
40,17/01/2023,26700,26700,26700,26700,-,26200
41,18/01/2023,26700,26700,26700,26700,-,26200
42,19/01/2023,26700,26700,26700,26700,-,26200
43,27/01/2023,22700,22700,22700,22700,100,22300
44,30/01/2023,22700,22700,22700,22700,-,22300
45,31/01/2023,22700,22700,22700,22700,-,22300
46,01/02/2023,22700,22700,22700,22700,-,22300
47,02/02/2023,22700,22700,22700,22700,-,22300
48,03/02/2023,22700,22700,22700,22700,-,22300
49,06/02/2023,22700,22700,22700,22700,-,22300
50,07/02/2023,22700,22700,22700,22700,-,22300
51,08/02/2023,22700,22700,22700,22700,-,22300
52,09/02/2023,22700,22700,22700,22700,-,22300
53,10/02/2023,22700,22700,22700,22700,-,22300
54,13/02/2023,22700,22700,22700,22700,-,22300
55,14/02/2023,22700,22700,22700,22700,-,22300
56,15/02/2023,22700,22700,22700,22700,-,22300
57,16/02/2023,22700,22700,22700,22700,-,22300
58,17/02/2023,22700,22700,22700,22700,-,22300
59,20/02/2023,22700,22700,22700,22700,-,22300
60,21/02/2023,22700,22700,22700,22700,-,22300
61,22/02/2023,22700,22700,22700,22700,-,22300
62,23/02/2023,22700,22700,22700,22700,-,22300
63,24/02/2023,22700,22700,22700,22700,-,22300
64,27/02/2023,22700,22700,22700,22700,-,22300
65,28/02/2023,22700,22700,22700,22700,-,22300
66,01/03/2023,22700,22700,22700,22700,-,22300
67,02/03/2023,22700,22700,22700,22700,-,22300
68,03/03/2023,26100,26100,26100,26100,100,25600
69,06/03/2023,26100,26100,26100,26100,-,25600
70,07/03/2023,26100,26100,26100,26100,-,25600
71,08/03/2023,26100,26100,26100,26100,-,25600
72,09/03/2023,26100,26100,26100,26100,-,25600
